Estación: ,C19135,SAN FCO. DE BERLANGA
Variable: ,Evaporación (mm)
Longitud: ,100° 06' 57.8'',Latitud:,24° 21' 47.9''

Fecha,Valor,NúmDatos
1980-03-01,1.6,CLIC
1980-03-02,5.4,CLIC
1980-03-03,6.1,CLIC
1980-03-04,6.9,CLIC
1980-03-05,8,CLIC
1980-03-06,4.99,CLIC
1980-03-07,5.81,CLIC
1980-03-08,3.9,CLIC
1980-03-09,7.8,CLIC
1980-03-10,3.9,CLIC
1980-03-11,5.1,CLIC
1980-03-12,5.9,CLIC
1980-03-13,8.4,CLIC
1980-03-14,4.9,CLIC
1980-03-15,4.7,CLIC
1980-03-16,5.2,CLIC
1980-03-17,6.1,CLIC
1980-03-18,3.9,CLIC
1980-03-19,4.6,CLIC
1980-03-20,5.5,CLIC
1980-03-21,5.15,CLIC
1980-03-22,5.75,CLIC
1980-03-23,5.9,CLIC
1980-03-24,4,CLIC
1980-03-25,5.05,CLIC
1980-03-26,4.5,CLIC
1980-03-27,4.5,CLIC
1980-03-28,4.89,CLIC
1980-03-29,4.98,CLIC
1980-03-30,5.93,CLIC
1980-03-31,4.9,CLIC
1980-05-01,4.1,CLIC
1980-05-02,6.1,CLIC
1980-05-03,6,CLIC
1980-05-04,6.1,CLIC
1980-05-05,4.5,CLIC
1980-05-06,5,CLIC
1980-05-07,5.4,CLIC
1980-05-08,4.1,CLIC
1980-05-09,5,CLIC
1980-05-10,3.9,CLIC
1980-05-11,3.5,CLIC
1980-05-12,4.5,CLIC
1980-05-13,3.6,CLIC
1980-05-14,4.5,CLIC
1980-05-15,4.7,CLIC
1980-05-16,6.3,CLIC
1980-05-17,3,CLIC
1980-05-18,4.9,CLIC
1980-05-19,4.2,CLIC
1980-05-20,4.6,CLIC
1980-05-21,4.4,CLIC
1980-05-22,4.6,CLIC
1980-05-23,4.9,CLIC
1980-05-24,4.1,CLIC
1980-05-25,3.1,CLIC
1980-05-26,5.9,CLIC
1980-05-27,5.8,CLIC
1980-05-28,5.2,CLIC
1980-05-29,6.1,CLIC
1980-05-30,4.6,CLIC
1980-05-31,5.4,CLIC
1980-06-01,0.39,CLIC
1980-06-02,2.58,CLIC
1980-06-03,1.21,CLIC
1980-06-04,0.81,CLIC
1980-06-05,0.57,CLIC
1980-06-06,0.62,CLIC
1980-06-07,1.29,CLIC
1980-06-08,1.41,CLIC
1980-06-09,0.88,CLIC
1980-06-10,1.27,CLIC
1980-06-11,0.8,CLIC
1980-06-12,0.65,CLIC
1980-06-13,0.81,CLIC
1980-06-14,0.82,CLIC
1980-06-15,0.69,CLIC
1980-06-16,0.46,CLIC
1980-06-17,0.75,CLIC
1980-06-18,0.29,CLIC
1980-06-19,0.57,CLIC
1980-06-20,0.71,CLIC
1980-06-21,0.42,CLIC
1980-06-22,0.37,CLIC
1980-06-23,0.29,CLIC
1980-06-24,0.6,CLIC
1980-06-25,1.55,CLIC
1980-06-26,0.45,CLIC
1980-06-27,0.94,CLIC
1980-06-28,0.39,CLIC
1980-06-29,0.41,CLIC
1980-06-30,0.22,CLIC
1980-08-01,6.9,CLIC
1980-08-02,7.2,CLIC
1980-08-03,9.1,CLIC
1980-08-04,6.3,CLIC
1980-08-05,8.1,CLIC
1980-08-06,6.1,CLIC
1980-08-07,6.5,CLIC
1980-08-08,5.4,CLIC
1980-08-09,4.9,CLIC
1980-08-10,2.7,CLIC
1980-08-11,6.7,CLIC
1980-08-12,6.8,CLIC
1980-08-13,2.3,CLIC
1980-08-14,9.7,CLIC
1980-08-15,6,CLIC
1980-08-16,3.3,CLIC
1980-08-17,2.2,CLIC
1980-08-18,7.4,CLIC
1980-08-19,8.2,CLIC
1980-08-20,10.2,CLIC
1980-08-21,9.8,CLIC
1980-08-22,9.5,CLIC
1980-08-23,10.2,CLIC
1980-08-24,10.9,CLIC
1980-08-25,9.6,CLIC
1980-08-26,7.2,CLIC
1980-08-27,12.4,CLIC
1980-08-28,3.2,CLIC
1980-08-29,8.2,CLIC
1980-08-30,8,CLIC
1980-08-31,3.4,CLIC
1981-03-01,4.6,CLIC
