Estación: ,C19138,SANTA ANA. DR. ARROYO
Variable: ,Evaporación (mm)
Longitud: ,100° 23' 15.3'',Latitud:,24° 05' 37.3''

Fecha,Valor,NúmDatos
1980-04-01,9.3,CLIC
1980-04-02,10.3,CLIC
1980-04-03,6.8,CLIC
1980-04-04,15.3,CLIC
1980-04-05,3.5,CLIC
1980-04-06,5.3,CLIC
1980-04-07,9.4,CLIC
1980-04-08,7,CLIC
1980-04-09,7.8,CLIC
1980-04-10,9.9,CLIC
1980-04-11,8.6,CLIC
1980-04-12,4.7,CLIC
1980-04-13,11.3,CLIC
1980-04-14,8.4,CLIC
1980-04-15,6.3,CLIC
1980-04-16,5.8,CLIC
1980-04-17,5.4,CLIC
1980-04-18,9.3,CLIC
1980-04-19,6.3,CLIC
1980-04-20,3.3,CLIC
1980-04-21,5.7,CLIC
1980-04-22,3.4,CLIC
1980-04-23,1.3,CLIC
1980-04-24,3.8,CLIC
1980-04-25,5.5,CLIC
1980-04-26,9.9,CLIC
1980-04-27,5.2,CLIC
1980-04-28,7.8,CLIC
1980-04-29,6.4,CLIC
1980-04-30,15.6,CLIC
1980-05-01,6,CLIC
1980-05-02,6,CLIC
1980-05-03,4.3,CLIC
1980-05-04,5.1,CLIC
1980-05-05,5.6,CLIC
1980-05-06,6.5,CLIC
1980-05-07,9,CLIC
1980-05-08,9,CLIC
1980-05-09,7.3,CLIC
1980-05-10,9.3,CLIC
1980-05-11,10.5,CLIC
1980-05-12,6.9,CLIC
1980-05-13,3.6,CLIC
1980-05-14,7.3,CLIC
1980-05-15,10.6,CLIC
1980-05-16,5.2,CLIC
1980-05-17,8.8,CLIC
1980-05-18,3.9,CLIC
1980-05-19,14.2,CLIC
1980-05-20,5.3,CLIC
1980-05-21,7.8,CLIC
1980-05-22,6.7,CLIC
1980-05-23,1.3,CLIC
1980-05-24,7.8,CLIC
1980-05-25,6.2,CLIC
1980-05-26,7.2,CLIC
1980-05-27,7.3,CLIC
1980-05-28,7.1,CLIC
1980-05-29,5.9,CLIC
1980-05-30,8.7,CLIC
1980-05-31,8.3,CLIC
1980-06-01,4.1,CLIC
1980-06-02,9.6,CLIC
1980-06-03,6.6,CLIC
1980-06-04,8.3,CLIC
1980-06-05,8.1,CLIC
1980-06-06,6,CLIC
1980-06-07,14,CLIC
1980-06-08,7.9,CLIC
1980-06-09,7.7,CLIC
1980-06-10,2.2,CLIC
1980-06-11,8.5,CLIC
1980-06-12,7.6,CLIC
1980-06-13,9.1,CLIC
1980-06-14,8.8,CLIC
1980-06-15,14.8,CLIC
1980-06-16,5.3,CLIC
1980-06-17,8.2,CLIC
1980-06-18,1.1,CLIC
1980-06-19,0.8,CLIC
1980-06-20,2,CLIC
1980-06-21,6.6,CLIC
1980-06-22,9.9,CLIC
1980-06-23,7.8,CLIC
1980-06-24,6.2,CLIC
1980-06-25,5.3,CLIC
1980-06-26,6.3,CLIC
1980-06-27,3.6,CLIC
1980-06-28,6.6,CLIC
1980-06-29,4.2,CLIC
1980-06-30,5.3,CLIC
1980-07-01,9,CLIC
1980-07-02,11.5,CLIC
1980-07-03,8.3,CLIC
1980-07-04,7,CLIC
1980-07-05,8.7,CLIC
1980-07-06,3.8,CLIC
1980-07-07,7.2,CLIC
1980-07-08,7.8,CLIC
1980-07-09,8.3,CLIC
1980-07-10,7.5,CLIC
1980-07-11,11,CLIC
1980-07-12,8.5,CLIC
1980-07-13,6.8,CLIC
1980-07-14,7.9,CLIC
1980-07-15,7,CLIC
1980-07-16,9.8,CLIC
1980-07-17,8.6,CLIC
1980-07-18,9.1,CLIC
1980-07-19,2.8,CLIC
1980-07-20,9.3,CLIC
1980-07-21,1.5,CLIC
1980-07-22,1.4,CLIC
1980-07-23,2.2,CLIC
1980-07-24,5.2,CLIC
1980-07-25,7.3,CLIC
1980-07-26,8.2,CLIC
1980-07-27,6.5,CLIC
1980-07-28,7.6,CLIC
1980-07-29,6.1,CLIC
1980-07-30,6.3,CLIC
1980-07-31,9.1,CLIC
1980-08-01,8,CLIC
1980-08-02,9.6,CLIC
1980-08-03,8.1,CLIC
1980-08-04,6.9,CLIC
1980-08-05,10.8,CLIC
1980-08-06,5,CLIC
1980-08-07,4.1,CLIC
1980-08-08,7.6,CLIC
1980-08-09,7.7,CLIC
1980-08-10,5.4,CLIC
1980-08-11,4.8,CLIC
1980-08-12,6.3,CLIC
1980-08-13,7.3,CLIC
1980-08-14,6,CLIC
1980-08-15,6,CLIC
1980-08-16,4.2,CLIC
1980-08-17,7.2,CLIC
1980-08-18,6.7,CLIC
1980-08-19,7.3,CLIC
1980-08-20,6.5,CLIC
1980-08-21,3.9,CLIC
1980-08-22,6,CLIC
1980-08-23,9.1,CLIC
1980-08-24,8.4,CLIC
1980-08-25,8.5,CLIC
1980-08-26,6.9,CLIC
1980-08-27,8.1,CLIC
1980-08-28,7.1,CLIC
1980-08-29,3.9,CLIC
1980-08-30,7.5,CLIC
1980-08-31,4.5,CLIC
1980-09-01,5.1,CLIC
1980-09-02,3.5,CLIC
1980-09-03,2.3,CLIC
1980-09-04,8.7,CLIC
1980-09-05,5.7,CLIC
1980-09-06,4.8,CLIC
1980-09-07,6.9,CLIC
1980-09-08,8.5,CLIC
1980-09-09,6.7,CLIC
1980-09-10,7.8,CLIC
1980-09-11,3.6,CLIC
1980-09-12,6,CLIC
1980-09-13,4.1,CLIC
1980-09-14,3.7,CLIC
1980-09-15,7.1,CLIC
1980-09-16,1.8,CLIC
1980-09-17,8.7,CLIC
1980-09-18,6.9,CLIC
1980-09-19,7.4,CLIC
1980-09-20,4.7,CLIC
1980-09-21,6.8,CLIC
1980-09-22,7.5,CLIC
1980-09-23,10.8,CLIC
1980-09-24,6.8,CLIC
1980-09-25,5.9,CLIC
1980-09-26,1.3,CLIC
1980-09-27,2.6,CLIC
1980-09-28,6.6,CLIC
1980-09-29,6.4,CLIC
1980-09-30,5.9,CLIC
1980-10-01,9.9,CLIC
1980-10-02,7.1,CLIC
1980-10-03,6.8,CLIC
1980-10-04,4.7,CLIC
1980-10-05,7.5,CLIC
1980-10-06,6.9,CLIC
1980-10-07,7.9,CLIC
1980-10-08,4.7,CLIC
1980-10-09,5,CLIC
1980-10-10,3.4,CLIC
1980-10-11,6.5,CLIC
1980-10-12,4.1,CLIC
1980-10-13,6.5,CLIC
1980-10-14,3,CLIC
1980-10-15,5.3,CLIC
1980-10-16,5.6,CLIC
1980-10-17,7.6,CLIC
1980-10-18,7.7,CLIC
1980-10-19,6.9,CLIC
1980-10-20,5.7,CLIC
1980-10-21,5.8,CLIC
1980-10-22,5.7,CLIC
1980-10-23,6,CLIC
1980-10-24,5.2,CLIC
1980-10-25,5.2,CLIC
1980-10-26,4.6,CLIC
1980-10-27,3.4,CLIC
1980-10-28,2.1,CLIC
1980-10-30,5.1,CLIC
1980-10-31,5.2,CLIC
1980-11-01,1.6,CLIC
1980-11-02,3.3,CLIC
1980-11-03,1.9,CLIC
1980-11-04,2.2,CLIC
1980-11-05,2.9,CLIC
1980-11-06,2.7,CLIC
1980-11-07,3.4,CLIC
1980-11-08,2,CLIC
1980-11-09,3.4,CLIC
1980-11-10,1.8,CLIC
1980-11-11,2.7,CLIC
1980-11-12,1.9,CLIC
1980-11-13,2.1,CLIC
1980-11-14,2,CLIC
1980-11-15,2.3,CLIC
1980-11-16,1,CLIC
1980-11-17,0.2,CLIC
1980-11-18,2.3,CLIC
1980-11-19,1.7,CLIC
1980-11-20,1.3,CLIC
1980-11-21,3,CLIC
1980-11-22,1.5,CLIC
1980-11-23,4.9,CLIC
1980-11-24,4.6,CLIC
1980-11-25,3.3,CLIC
1980-11-26,3.4,CLIC
1980-11-27,1.8,CLIC
1980-11-28,3.7,CLIC
1980-11-29,2,CLIC
1980-11-30,2.6,CLIC
1980-12-01,5.1,CLIC
1980-12-02,3.1,CLIC
1980-12-03,1,CLIC
1980-12-04,2,CLIC
1980-12-05,4.3,CLIC
1980-12-06,3.7,CLIC
1980-12-07,3.3,CLIC
1980-12-08,2.7,CLIC
1980-12-09,1.2,CLIC
1980-12-10,0.8,CLIC
1980-12-11,2.7,CLIC
1980-12-12,0.9,CLIC
1980-12-13,2.7,CLIC
1980-12-14,0.5,CLIC
1980-12-15,2.4,CLIC
1980-12-16,3,CLIC
1980-12-17,1.8,CLIC
1980-12-18,3,CLIC
1980-12-19,4.9,CLIC
1980-12-20,1.8,CLIC
1980-12-21,4.9,CLIC
1980-12-22,4.3,CLIC
1980-12-23,2.6,CLIC
1980-12-24,0.7,CLIC
1980-12-25,1.6,CLIC
1980-12-26,4.3,CLIC
1980-12-27,0.8,CLIC
1980-12-28,4.4,CLIC
1980-12-29,1,CLIC
1980-12-30,1.2,CLIC
1980-12-31,0.6,CLIC
1981-01-01,4.4,CLIC
1981-01-02,3.2,CLIC
1981-01-03,3.8,CLIC
1981-01-04,2.4,CLIC
1981-01-05,3.1,CLIC
1981-01-06,2.2,CLIC
1981-01-07,1.2,CLIC
1981-01-08,4.2,CLIC
1981-01-09,2.4,CLIC
1981-01-10,3.7,CLIC
1981-01-11,1.7,CLIC
1981-01-12,2.1,CLIC
1981-01-13,0.6,CLIC
1981-01-14,3,CLIC
1981-01-15,2.2,CLIC
1981-01-16,1.3,CLIC
1981-01-17,2.4,CLIC
1981-01-18,2,CLIC
1981-01-19,1.9,CLIC
1981-01-20,1.3,CLIC
1981-01-21,1.9,CLIC
1981-01-22,1.1,CLIC
1981-01-23,0.2,CLIC
1981-01-24,1,CLIC
1981-01-25,1.8,CLIC
1981-01-26,1.8,CLIC
1981-01-27,2.4,CLIC
1981-01-28,3,CLIC
1981-01-29,1.7,CLIC
1981-01-30,1.1,CLIC
1981-01-31,3.1,CLIC
1981-03-01,4.4,CLIC
1981-03-02,5.3,CLIC
1981-03-03,5.2,CLIC
1981-03-04,4,CLIC
1981-03-05,4,CLIC
1981-03-06,3.9,CLIC
1981-03-07,5.8,CLIC
1981-03-08,3.4,CLIC
1981-03-09,4.3,CLIC
1981-03-10,5,CLIC
1981-03-11,3.9,CLIC
1981-03-12,5.7,CLIC
1981-03-13,4.9,CLIC
1981-03-14,5.4,CLIC
1981-03-15,3.4,CLIC
1981-03-16,2.6,CLIC
1981-03-17,3.7,CLIC
1981-03-18,3.5,CLIC
1981-03-19,6.6,CLIC
1981-03-20,5.8,CLIC
1981-03-21,5.2,CLIC
1981-03-22,4.9,CLIC
1981-03-23,6.3,CLIC
1981-03-24,6.3,CLIC
1981-03-25,5.3,CLIC
1981-03-26,5.9,CLIC
1981-03-27,6.3,CLIC
1981-03-28,6.2,CLIC
1981-03-29,6.3,CLIC
1981-03-30,5.8,CLIC
1981-03-31,6,CLIC
1981-04-01,6.9,CLIC
1981-04-02,6.3,CLIC
1981-04-03,6.7,CLIC
1981-04-04,7,CLIC
1981-04-05,6,CLIC
1981-04-06,5.9,CLIC
1981-04-07,6.3,CLIC
1981-04-08,6.4,CLIC
1981-04-09,6.7,CLIC
1981-04-10,7,CLIC
1981-04-11,6.6,CLIC
1981-04-12,6.7,CLIC
1981-04-13,5.8,CLIC
1981-04-14,5.4,CLIC
1981-04-15,5.9,CLIC
1981-04-16,5.6,CLIC
1981-04-17,4.3,CLIC
1981-04-18,4,CLIC
1981-04-19,6.1,CLIC
1981-04-20,6.7,CLIC
1981-04-21,6.1,CLIC
1981-04-22,5.1,CLIC
1981-04-23,5,CLIC
1981-04-24,5.7,CLIC
1981-04-25,5.1,CLIC
1981-04-26,5.6,CLIC
1981-04-27,5.8,CLIC
1981-04-28,6.3,CLIC
1981-04-29,6.1,CLIC
1981-04-30,6.5,CLIC
1981-06-01,4.9,CLIC
1981-06-02,6.3,CLIC
1981-06-03,5.9,CLIC
1981-06-04,5.2,CLIC
1981-06-05,7.5,CLIC
1981-06-06,5.2,CLIC
1981-06-07,6.3,CLIC
1981-06-08,6.9,CLIC
1981-06-09,7.4,CLIC
1981-06-10,6,CLIC
1981-06-11,5.9,CLIC
1981-06-12,6.2,CLIC
1981-06-13,4.5,CLIC
1981-06-14,6.5,CLIC
1981-06-15,6.4,CLIC
1981-06-16,4.6,CLIC
1981-06-17,4,CLIC
1981-06-18,4.6,CLIC
1981-06-19,5.9,CLIC
1981-06-20,5.2,CLIC
1981-06-21,5.5,CLIC
1981-06-22,6.9,CLIC
1981-06-23,6.5,CLIC
1981-06-24,5,CLIC
1981-06-25,5.9,CLIC
1981-06-26,6,CLIC
1981-06-27,6.5,CLIC
1981-06-28,6.1,CLIC
1981-06-29,5.7,CLIC
1981-06-30,5.9,CLIC
1981-07-01,4.8,CLIC
1981-07-02,6.6,CLIC
1981-07-03,6,CLIC
1981-07-04,5.6,CLIC
1981-07-05,6.1,CLIC
1981-07-06,5.3,CLIC
1981-07-07,5.2,CLIC
1981-07-08,5.4,CLIC
1981-07-09,5.8,CLIC
1981-07-10,6.6,CLIC
1981-07-11,5.2,CLIC
1981-07-12,5.4,CLIC
1981-07-13,6.9,CLIC
1981-07-14,4.4,CLIC
1981-07-15,5.2,CLIC
1981-07-16,5.9,CLIC
1981-07-17,5.1,CLIC
1981-07-18,6.8,CLIC
1981-07-19,5.4,CLIC
1981-07-20,5.8,CLIC
1981-07-21,6.8,CLIC
1981-07-22,5.4,CLIC
1981-07-23,6.7,CLIC
1981-07-24,4.3,CLIC
1981-07-25,6.4,CLIC
1981-07-26,5.6,CLIC
1981-07-27,4.6,CLIC
1981-07-28,6,CLIC
1981-07-29,5.8,CLIC
1981-07-30,6.4,CLIC
1981-07-31,5.7,CLIC
1981-08-01,7.6,CLIC
1981-08-02,6.3,CLIC
1981-08-03,6.8,CLIC
1981-08-04,6.2,CLIC
1981-08-05,6.8,CLIC
1981-08-06,7.8,CLIC
1981-08-07,7.6,CLIC
1981-08-08,6.7,CLIC
1981-08-09,6.3,CLIC
1981-08-10,8.5,CLIC
1981-08-11,6.6,CLIC
1981-08-12,7.3,CLIC
1981-08-13,9.2,CLIC
1981-08-14,6.3,CLIC
1981-08-15,7.8,CLIC
1981-08-16,7.9,CLIC
1981-08-17,8.9,CLIC
1981-08-18,5.9,CLIC
1981-08-19,7.4,CLIC
1981-08-20,7.8,CLIC
1981-08-21,8,CLIC
1981-08-22,6,CLIC
1981-08-23,5.7,CLIC
1981-08-24,6.2,CLIC
1981-08-25,4.3,CLIC
1981-08-26,6.1,CLIC
1981-08-27,5.6,CLIC
1981-08-28,5.1,CLIC
1981-08-30,5.8,CLIC
1981-08-31,6.4,CLIC
1981-09-01,5.1,CLIC
1981-09-02,5.8,CLIC
1981-09-03,6.5,CLIC
1981-09-04,7.1,CLIC
1981-09-05,6.8,CLIC
1981-09-06,3.7,CLIC
1981-09-07,5.1,CLIC
1981-09-08,6,CLIC
1981-09-09,5.1,CLIC
1981-09-10,5.4,CLIC
1981-09-11,6,CLIC
1981-09-12,6.2,CLIC
1981-09-13,8.8,CLIC
1981-09-14,5.2,CLIC
1981-09-15,5.4,CLIC
1981-09-16,3.8,CLIC
1981-09-17,4.8,CLIC
1981-09-18,5.7,CLIC
1981-09-19,5.7,CLIC
1981-09-20,7,CLIC
1981-09-21,7.8,CLIC
1981-09-22,5.8,CLIC
1981-09-23,5.9,CLIC
1981-09-24,7.4,CLIC
1981-09-25,7.4,CLIC
