Estación: ,C19142,AGUALEGUAS. AGUALEGUAS
Variable: ,Evaporación (mm)
Longitud: ,99° 33' 32.3'',Latitud:,26° 17' 51.3''

Fecha,Valor,NúmDatos
1979-01-01,2,CLIC
1979-01-02,0.2,CLIC
1979-01-03,1.2,CLIC
1979-01-04,1.5,CLIC
1979-01-05,2.2,CLIC
1979-01-06,1,CLIC
1979-01-07,0.6,CLIC
1979-01-08,2.5,CLIC
1979-01-09,2,CLIC
1979-01-10,0.5,CLIC
1979-01-11,0.5,CLIC
1979-01-12,1.8,CLIC
1979-01-13,2.5,CLIC
1979-01-14,4.2,CLIC
1979-01-15,1.6,CLIC
1979-01-16,1.1,CLIC
1979-01-17,1.3,CLIC
1979-01-18,2,CLIC
1979-01-19,2,CLIC
1979-01-20,2.5,CLIC
1979-01-21,3.4,CLIC
1979-01-22,4,CLIC
1979-01-23,3.2,CLIC
1979-01-24,3.4,CLIC
1979-01-25,2,CLIC
1979-01-26,1.4,CLIC
1979-01-27,2.4,CLIC
1979-01-28,2.3,CLIC
1979-01-29,1,CLIC
1979-01-30,1.6,CLIC
1979-01-31,2.7,CLIC
1979-02-01,1.8,CLIC
1979-02-02,0.4,CLIC
1979-02-03,0.3,CLIC
1979-02-04,0.9,CLIC
1979-02-05,0.2,CLIC
1979-02-06,0.2,CLIC
1979-02-07,2.7,CLIC
1979-02-08,2.2,CLIC
1979-02-09,4.1,CLIC
1979-02-10,3.3,CLIC
1979-02-11,1.5,CLIC
1979-02-12,0.7,CLIC
1979-02-13,2.5,CLIC
1979-02-14,4.1,CLIC
1979-02-15,6,CLIC
1979-02-16,1.4,CLIC
1979-02-17,1.1,CLIC
1979-02-18,1.2,CLIC
1979-02-19,2,CLIC
1979-02-20,0.3,CLIC
1979-02-21,1.9,CLIC
1979-02-22,0.6,CLIC
1979-02-23,4.4,CLIC
1979-02-24,2.8,CLIC
1979-02-25,6.7,CLIC
1979-02-26,5.8,CLIC
1979-02-27,3.7,CLIC
1979-02-28,4.5,CLIC
1979-03-01,4,CLIC
1979-03-02,3.3,CLIC
1979-03-03,5.1,CLIC
1979-03-04,5.6,CLIC
1979-03-05,5.6,CLIC
1979-03-06,1.4,CLIC
1979-03-07,3,CLIC
1979-03-08,5.5,CLIC
1979-03-09,7.3,CLIC
1979-03-10,7.7,CLIC
1979-03-11,2.3,CLIC
1979-03-12,2.8,CLIC
1979-03-13,1.9,CLIC
1979-03-14,3.1,CLIC
1979-03-15,2,CLIC
1979-03-16,1.9,CLIC
1979-03-17,0.8,CLIC
1979-03-18,2.9,CLIC
1979-03-19,5.4,CLIC
1979-03-20,4.6,CLIC
1979-03-21,2.4,CLIC
1979-03-22,5,CLIC
1979-03-23,7,CLIC
1979-03-24,6,CLIC
1979-03-25,6,CLIC
1979-03-26,6,CLIC
1979-03-27,7,CLIC
1979-03-28,4.6,CLIC
1979-03-29,5.6,CLIC
1979-03-30,4.8,CLIC
1979-03-31,5.4,CLIC
1979-04-01,5,CLIC
1979-04-02,4.3,CLIC
1979-04-03,4.2,CLIC
1979-04-04,5.1,CLIC
1979-04-05,5.4,CLIC
1979-04-06,5.6,CLIC
1979-04-07,3.3,CLIC
1979-04-08,3,CLIC
1979-04-09,5.7,CLIC
1979-04-10,4.9,CLIC
1979-04-11,4.2,CLIC
1979-04-12,3.7,CLIC
1979-04-13,5.5,CLIC
1979-04-14,5,CLIC
1979-04-15,6.8,CLIC
1979-04-16,4,CLIC
1979-04-17,1.3,CLIC
1979-04-18,5.1,CLIC
1979-04-19,5,CLIC
1979-04-20,5.7,CLIC
1979-04-21,4.2,CLIC
1979-04-22,7.7,CLIC
1979-04-23,4.1,CLIC
1979-04-24,6.3,CLIC
1979-04-25,6.7,CLIC
1979-04-26,7,CLIC
1979-04-27,5.2,CLIC
1979-04-28,2.6,CLIC
1979-04-29,3.3,CLIC
1979-04-30,1.2,CLIC
1979-05-01,1,CLIC
1979-05-02,3.6,CLIC
1979-05-03,5.2,CLIC
1979-05-04,4.5,CLIC
1979-05-05,5.5,CLIC
1979-05-06,5.9,CLIC
1979-05-07,5,CLIC
1979-05-08,6,CLIC
1979-05-09,7.9,CLIC
1979-05-10,7.5,CLIC
1979-05-11,8,CLIC
1979-05-12,7.1,CLIC
1979-05-13,6.1,CLIC
1979-05-14,7.2,CLIC
1979-05-15,7.2,CLIC
1979-05-16,6.1,CLIC
1979-05-17,6,CLIC
1979-05-18,7.6,CLIC
1979-05-19,7.4,CLIC
1979-05-20,7.5,CLIC
1979-05-21,6.7,CLIC
1979-05-22,8.1,CLIC
1979-05-23,6.9,CLIC
1979-05-24,8.2,CLIC
1979-05-25,7.5,CLIC
1979-05-26,9,CLIC
1979-05-27,4.7,CLIC
1979-05-28,6.4,CLIC
1979-05-29,7.4,CLIC
1979-05-30,8.5,CLIC
1979-05-31,7,CLIC
1979-12-06,1,CLIC
1979-12-07,1.4,CLIC
1979-12-08,2.2,CLIC
1979-12-09,2.1,CLIC
1979-12-10,1.3,CLIC
1979-12-11,2.5,CLIC
1979-12-12,2.3,CLIC
1979-12-13,0.1,CLIC
1979-12-14,0.3,CLIC
1979-12-15,0.5,CLIC
1979-12-16,3.4,CLIC
1979-12-17,0.2,CLIC
1979-12-18,3.4,CLIC
1979-12-19,1.5,CLIC
1979-12-20,1.5,CLIC
1979-12-21,4.5,CLIC
1979-12-22,3.2,CLIC
1979-12-23,3.6,CLIC
1979-12-24,3.5,CLIC
1979-12-25,3,CLIC
1979-12-26,1.5,CLIC
1979-12-27,0.6,CLIC
1979-12-28,1,CLIC
1979-12-29,0.4,CLIC
1979-12-30,1,CLIC
1979-12-31,1.4,CLIC
1980-01-01,2.5,CLIC
1980-01-02,1.9,CLIC
1980-01-03,2.5,CLIC
1980-01-04,1.8,CLIC
1980-01-05,2,CLIC
1980-01-06,3.2,CLIC
1980-01-07,3,CLIC
1980-01-08,2,CLIC
1980-01-09,1.1,CLIC
1980-01-10,1.8,CLIC
1980-01-11,2.1,CLIC
1980-01-12,2.8,CLIC
1980-01-13,4,CLIC
