Estación: ,C19143,LA CARDONA. MIER Y N.
Variable: ,Evaporación (mm)
Longitud: ,99° 58' 46.4'',Latitud:,23° 24' 17.5''

Fecha,Valor,NúmDatos
1979-02-01,4.2,CLIC
1979-02-02,4.1,CLIC
1979-02-03,0.6,CLIC
1979-02-04,9.9,CLIC
1979-02-05,1.1,CLIC
1979-02-06,4.1,CLIC
1979-02-07,3.9,CLIC
1979-02-08,2.1,CLIC
1979-02-09,4.8,CLIC
1979-02-10,1.5,CLIC
1979-02-11,0.7,CLIC
1979-02-12,1,CLIC
1979-02-13,3.1,CLIC
1979-02-14,4.9,CLIC
1979-02-15,0.7,CLIC
1979-02-16,0.8,CLIC
1979-02-17,0.5,CLIC
1979-02-18,0.2,CLIC
1979-02-19,0.8,CLIC
1979-02-20,1.6,CLIC
1979-02-21,3.1,CLIC
1979-02-22,1.2,CLIC
1979-02-23,7.4,CLIC
1979-02-24,7.4,CLIC
1979-02-25,0.7,CLIC
1979-02-26,3.3,CLIC
1979-02-27,9.3,CLIC
1979-02-28,7,CLIC
1979-03-01,0.9,CLIC
1979-03-02,0.6,CLIC
1979-03-03,0.6,CLIC
1979-03-04,1,CLIC
1979-03-05,2.3,CLIC
1979-03-06,0.7,CLIC
1979-03-07,0.9,CLIC
1979-03-08,4.5,CLIC
1979-03-09,7.5,CLIC
1979-03-10,4.3,CLIC
1979-03-11,3.6,CLIC
1979-03-12,3.1,CLIC
1979-03-13,8,CLIC
1979-03-14,11.5,CLIC
1979-03-15,0.2,CLIC
1979-03-16,3,CLIC
1979-03-17,2.6,CLIC
1979-03-18,4.7,CLIC
1979-03-19,5.5,CLIC
1979-03-20,0.7,CLIC
1979-03-21,3.2,CLIC
1979-03-22,0.3,CLIC
1979-03-23,0.6,CLIC
1979-03-24,4.7,CLIC
1979-03-25,9.9,CLIC
1979-03-26,6.6,CLIC
1979-03-27,5.2,CLIC
1979-03-28,0.3,CLIC
1979-03-29,0.7,CLIC
1979-03-30,0.5,CLIC
1979-03-31,1,CLIC
1979-04-01,0.4,CLIC
1979-04-02,0.3,CLIC
1979-04-03,0.2,CLIC
1979-04-04,0.5,CLIC
1979-04-05,2.1,CLIC
1979-04-06,2.1,CLIC
1979-04-07,5.2,CLIC
1979-04-09,0.9,CLIC
1979-04-10,0.2,CLIC
1979-04-11,2.2,CLIC
1979-04-12,2.6,CLIC
1979-04-13,0.1,CLIC
1979-04-14,3.5,CLIC
1979-04-15,2.6,CLIC
1979-04-16,5.9,CLIC
1979-04-17,4.7,CLIC
1979-04-18,2.7,CLIC
1979-04-20,0.9,CLIC
1979-04-21,0.4,CLIC
1979-04-22,1.5,CLIC
1979-04-23,1.5,CLIC
1979-04-24,3.3,CLIC
1979-04-25,2.2,CLIC
1979-04-26,4.7,CLIC
1979-04-27,3.7,CLIC
1979-04-28,4.6,CLIC
1979-04-29,3.1,CLIC
1979-04-30,6.7,CLIC
1979-05-02,0.3,CLIC
1979-05-03,0.4,CLIC
1979-05-04,0.8,CLIC
1979-05-05,0.6,CLIC
1979-05-07,1.7,CLIC
1979-05-08,0.6,CLIC
1979-05-09,1.4,CLIC
1979-05-10,0.1,CLIC
1979-05-11,0.7,CLIC
1979-05-12,0.3,CLIC
1979-05-13,1,CLIC
1979-05-14,0.6,CLIC
1979-05-15,0.4,CLIC
1979-05-16,2.2,CLIC
1979-05-17,1.8,CLIC
1979-05-18,2,CLIC
1979-05-19,1,CLIC
1979-05-20,0.3,CLIC
1979-05-21,0.8,CLIC
1979-05-22,2.9,CLIC
1979-05-23,1.5,CLIC
1979-05-24,1.7,CLIC
1979-05-25,2.2,CLIC
1979-05-26,0.6,CLIC
1979-05-27,7.5,CLIC
1979-05-28,3.4,CLIC
1979-05-29,5.8,CLIC
1979-05-30,2.6,CLIC
1979-05-31,4.4,CLIC
1980-06-01,2.3,CLIC
1980-06-02,9.9,CLIC
1980-06-03,5.5,CLIC
1980-06-04,5.2,CLIC
1980-06-05,2.8,CLIC
1980-06-06,0.7,CLIC
1980-06-07,5.4,CLIC
1980-06-08,14.8,CLIC
1980-06-09,15.5,CLIC
1980-06-10,1.7,CLIC
1980-06-11,5.6,CLIC
1980-06-12,3.1,CLIC
1980-06-13,10,CLIC
1980-06-14,6.1,CLIC
1980-06-15,4.6,CLIC
1980-06-16,5.7,CLIC
1980-06-17,7.8,CLIC
1980-06-18,2.6,CLIC
1980-06-19,10.3,CLIC
1980-06-20,13.5,CLIC
1980-06-21,4,CLIC
1980-06-22,3.6,CLIC
1980-06-23,12.2,CLIC
1980-06-24,2.04,CLIC
1980-06-25,2.02,CLIC
1980-06-26,2,CLIC
1980-06-27,1.9,CLIC
1980-06-28,5.7,CLIC
1980-06-29,14.9,CLIC
1980-08-01,10.3,CLIC
1980-08-02,10,CLIC
1980-08-03,5.7,CLIC
1980-08-04,3.7,CLIC
1980-08-05,10.3,CLIC
1980-08-06,5.6,CLIC
1980-08-07,6.4,CLIC
1980-08-08,3.3,CLIC
1980-08-09,4.3,CLIC
1980-08-10,6.4,CLIC
1980-08-11,2.3,CLIC
1980-08-12,7.9,CLIC
1980-08-13,2.4,CLIC
1980-08-14,3.2,CLIC
1980-08-15,6,CLIC
1980-08-16,9.2,CLIC
1980-08-17,3.2,CLIC
1980-08-18,8.2,CLIC
1980-08-19,8.6,CLIC
1980-08-20,6.5,CLIC
1980-08-21,3.2,CLIC
1980-08-22,7,CLIC
1980-08-23,6.9,CLIC
1980-08-24,6.5,CLIC
1980-08-25,7.2,CLIC
1980-08-26,9.1,CLIC
1980-08-27,8.3,CLIC
1980-08-28,8.8,CLIC
1980-08-29,6.6,CLIC
1980-08-30,7,CLIC
1980-08-31,7.8,CLIC
1980-12-01,1.4,CLIC
1980-12-02,4,CLIC
1980-12-03,5.3,CLIC
1980-12-04,5,CLIC
1980-12-05,1.8,CLIC
1980-12-06,3.8,CLIC
1980-12-07,4.2,CLIC
1980-12-08,7.9,CLIC
1980-12-09,2.3,CLIC
1980-12-11,2.8,CLIC
1980-12-12,3.7,CLIC
1980-12-13,6,CLIC
1980-12-15,6,CLIC
1980-12-16,0.8,CLIC
1980-12-17,5.1,CLIC
1980-12-18,2.5,CLIC
1980-12-19,1.4,CLIC
1980-12-20,2.1,CLIC
1980-12-21,4.1,CLIC
1980-12-23,10,CLIC
1980-12-24,3.6,CLIC
1980-12-25,2.4,CLIC
1980-12-26,2.5,CLIC
1980-12-27,4,CLIC
1980-12-28,1,CLIC
1980-12-29,3,CLIC
1980-12-30,3.9,CLIC
1981-03-01,2,CLIC
1981-03-02,1.9,CLIC
1981-03-03,4.1,CLIC
1981-03-04,3.9,CLIC
1981-03-05,4.8,CLIC
1981-03-06,5.3,CLIC
1981-03-07,4.9,CLIC
1981-03-08,4,CLIC
1981-03-09,5.1,CLIC
1981-03-10,4,CLIC
1981-03-11,4.9,CLIC
1981-03-12,6.6,CLIC
1981-03-13,5.3,CLIC
1981-03-14,6.6,CLIC
1981-03-15,5.4,CLIC
1981-03-16,4.8,CLIC
1981-03-17,5,CLIC
1981-03-18,5.9,CLIC
1981-03-19,5.9,CLIC
1981-03-20,7.1,CLIC
1981-03-21,5.1,CLIC
1981-03-22,5.4,CLIC
1981-03-23,4.9,CLIC
1981-03-24,6.6,CLIC
1981-03-25,5,CLIC
1981-03-26,5.9,CLIC
1981-03-27,6.1,CLIC
1981-03-28,5.9,CLIC
1981-03-29,6,CLIC
1981-03-30,6,CLIC
1981-03-31,5.4,CLIC
1981-04-01,3.3,CLIC
1981-04-02,2.8,CLIC
1981-04-03,4.2,CLIC
1981-04-04,3.4,CLIC
1981-04-05,4.3,CLIC
1981-04-06,5.5,CLIC
1981-04-07,3.2,CLIC
1981-04-08,6.6,CLIC
1981-04-09,3.6,CLIC
1981-04-10,4.5,CLIC
1981-04-11,11.9,CLIC
1981-04-12,5.9,CLIC
1981-04-13,4.5,CLIC
1981-04-14,5.5,CLIC
1981-04-15,4.2,CLIC
1981-04-16,4.1,CLIC
1981-04-17,4.4,CLIC
1981-04-18,3.6,CLIC
1981-04-19,3.8,CLIC
1981-04-20,4.4,CLIC
1981-04-21,2.5,CLIC
1981-04-22,3.8,CLIC
1981-04-23,2.9,CLIC
1981-04-24,3.5,CLIC
1981-04-25,3.7,CLIC
1981-04-26,3.5,CLIC
1981-04-27,1.8,CLIC
