Estación: ,C19144,CIENEGUILLAS Y CRUCITAS
Variable: ,Evaporación (mm)
Longitud: ,100° 00' 22.1'',Latitud:,24° 29' 47

Fecha,Valor,NúmDatos
1975-01-01,1.9,CLIC
1975-01-02,2.75,CLIC
1975-01-03,0.75,CLIC
1975-01-04,2.4,CLIC
1975-01-05,2.13,CLIC
1975-01-06,1.22,CLIC
1975-01-07,2.47,CLIC
1975-01-08,3.17,CLIC
1975-01-09,3.85,CLIC
1975-01-10,4.14,CLIC
1975-01-11,3.51,CLIC
1975-01-12,4.77,CLIC
1975-01-13,1.5,CLIC
1975-01-14,1.84,CLIC
1975-01-15,0.59,CLIC
1975-01-16,1.33,CLIC
1975-01-17,1.08,CLIC
1975-01-18,3.48,CLIC
1975-01-19,0.82,CLIC
1975-01-20,2.75,CLIC
1975-01-21,4.43,CLIC
1975-01-22,2.49,CLIC
1975-01-23,3.92,CLIC
1975-01-24,3.85,CLIC
1975-01-25,4.56,CLIC
1975-01-26,5.6,CLIC
1975-01-27,2.89,CLIC
1975-01-28,5.73,CLIC
1975-01-29,3.33,CLIC
1975-01-30,2.15,CLIC
1975-01-31,2.74,CLIC
1975-02-01,4.35,CLIC
1975-02-02,4.55,CLIC
1975-02-03,2.91,CLIC
1975-02-04,3.09,CLIC
1975-02-05,5.75,CLIC
1975-02-06,3.3,CLIC
1975-02-07,4.34,CLIC
1975-02-08,3.91,CLIC
1975-02-09,4.39,CLIC
1975-02-10,5.1,CLIC
1975-02-11,5.06,CLIC
1975-02-12,0.47,CLIC
1975-02-13,4.12,CLIC
1975-02-14,6.43,CLIC
1975-02-15,7.04,CLIC
1975-02-16,7.5,CLIC
1975-02-17,5.02,CLIC
1975-02-18,6.98,CLIC
1975-02-19,2.74,CLIC
1975-02-20,3.84,CLIC
1975-02-21,4.48,CLIC
1975-02-22,6.5,CLIC
1975-02-23,3.58,CLIC
1975-02-24,2.62,CLIC
1975-02-25,4.98,CLIC
1975-02-26,4.1,CLIC
1975-02-27,5.58,CLIC
1975-02-28,4.44,CLIC
1975-03-01,3.18,CLIC
1975-03-02,4.39,CLIC
1975-03-03,3.36,CLIC
1975-03-04,5.95,CLIC
1975-03-05,4.19,CLIC
1975-03-06,4.07,CLIC
1975-03-07,3.66,CLIC
1975-03-08,5.7,CLIC
1975-03-09,3.47,CLIC
1975-03-10,5.6,CLIC
1975-03-11,1.9,CLIC
1975-03-12,3.63,CLIC
1975-03-13,3.99,CLIC
1975-03-14,4.28,CLIC
1975-03-15,2.92,CLIC
1975-03-16,4.12,CLIC
1975-03-17,3.99,CLIC
1975-03-18,3.55,CLIC
1975-03-19,3.55,CLIC
1975-03-20,5.7,CLIC
1975-03-21,3.77,CLIC
1975-03-22,4.87,CLIC
1975-03-23,4.87,CLIC
1975-03-24,3.18,CLIC
1975-03-25,4.24,CLIC
1975-03-26,3.1,CLIC
1975-03-27,4.5,CLIC
1975-03-28,5.69,CLIC
1975-03-29,3.77,CLIC
1975-03-30,3.44,CLIC
1975-03-31,3.45,CLIC
1975-04-01,5.14,CLIC
1975-04-02,3.95,CLIC
1975-04-03,5.77,CLIC
1975-04-04,5.18,CLIC
1975-04-05,5.82,CLIC
1975-04-06,6.89,CLIC
1975-04-07,3.55,CLIC
1975-04-08,5.1,CLIC
1975-04-09,2.85,CLIC
1975-04-10,4.19,CLIC
1975-04-11,4.26,CLIC
1975-04-12,4.77,CLIC
1975-04-13,4.8,CLIC
1975-04-14,4.17,CLIC
1975-04-15,3.21,CLIC
1975-04-16,4.84,CLIC
1975-04-17,3.65,CLIC
1975-04-18,4.95,CLIC
1975-04-19,4.24,CLIC
1975-04-20,3.97,CLIC
1975-04-21,4.59,CLIC
1975-04-22,4.31,CLIC
1975-04-23,4.71,CLIC
1975-04-24,6.48,CLIC
1975-04-25,5.75,CLIC
1975-04-26,5.61,CLIC
1975-04-27,4.2,CLIC
1975-04-28,5.78,CLIC
1975-04-29,4.51,CLIC
1975-04-30,3.7,CLIC
1975-05-01,3.7,CLIC
1975-05-02,4.05,CLIC
1975-05-03,5.3,CLIC
1975-05-04,3.57,CLIC
1975-05-05,3.89,CLIC
1975-05-06,5.48,CLIC
1975-05-07,5.09,CLIC
1975-05-08,5.2,CLIC
1975-05-09,5.31,CLIC
1975-05-10,3.9,CLIC
1975-05-11,2.25,CLIC
1975-05-12,4.9,CLIC
1975-05-13,1.63,CLIC
1975-05-14,3.37,CLIC
1975-05-15,2.93,CLIC
1975-05-16,4.01,CLIC
1975-05-17,3.81,CLIC
1975-05-18,3.9,CLIC
1975-05-19,2.4,CLIC
1975-05-20,3.2,CLIC
1975-05-21,3.75,CLIC
1975-05-22,4.15,CLIC
1975-05-23,4.25,CLIC
1975-05-24,4.05,CLIC
1975-05-25,3.55,CLIC
1975-05-26,4.97,CLIC
1975-05-27,4.6,CLIC
1975-05-28,4.39,CLIC
1975-05-29,5.64,CLIC
1975-05-30,4.56,CLIC
1975-05-31,4.98,CLIC
1975-06-01,3.55,CLIC
1975-06-02,3.26,CLIC
1975-06-03,4.72,CLIC
1975-06-04,3.37,CLIC
1975-06-05,2.68,CLIC
1975-06-06,3.2,CLIC
1975-06-07,4.92,CLIC
1975-06-08,6.33,CLIC
1975-06-09,3.08,CLIC
1975-06-10,4.42,CLIC
1975-06-11,3.97,CLIC
1975-06-12,3.24,CLIC
1975-06-13,3.72,CLIC
1975-06-14,3.82,CLIC
1975-06-15,6.19,CLIC
1975-06-16,5.13,CLIC
