Estación: ,C19147,LAS CRUCITAS. LINARES
Variable: ,Evaporación (mm)
Longitud: ,99° 41' 50'',Latitud:,24° 47' 00

Fecha,Valor,NúmDatos
1981-04-01,4.3,CLIC
1981-04-02,2,CLIC
1981-04-03,4,CLIC
1981-04-04,7.1,CLIC
1981-04-05,6.1,CLIC
1981-04-06,4.1,CLIC
1981-04-07,7,CLIC
1981-04-08,6.1,CLIC
1981-04-09,8,CLIC
1981-04-10,6.1,CLIC
1981-04-11,3.1,CLIC
1981-04-12,3.1,CLIC
1981-04-13,3.8,CLIC
1981-04-14,2.9,CLIC
1981-04-15,2.7,CLIC
1981-04-16,3.6,CLIC
1981-04-17,4.2,CLIC
1981-04-18,3.5,CLIC
1981-04-19,2.5,CLIC
1981-04-20,3,CLIC
1981-04-21,3.2,CLIC
1981-04-22,2.5,CLIC
1981-04-23,3.9,CLIC
1981-04-24,3.3,CLIC
1981-04-25,3.1,CLIC
1981-04-26,3.7,CLIC
1981-04-27,2.2,CLIC
1981-04-28,3.3,CLIC
1981-04-29,1.8,CLIC
1981-04-30,4.8,CLIC
1981-10-02,4.4,CLIC
1981-10-03,7.2,CLIC
1981-10-04,8.4,CLIC
1981-10-05,8.1,CLIC
1981-10-06,7,CLIC
1981-10-07,5,CLIC
1981-10-08,5.1,CLIC
1981-10-09,5.9,CLIC
1981-10-10,6.1,CLIC
1981-10-11,7.7,CLIC
1981-10-12,5.7,CLIC
1981-10-13,5.2,CLIC
1981-10-14,4.4,CLIC
1981-10-15,9.1,CLIC
1981-10-16,5.4,CLIC
1981-10-17,4.3,CLIC
1981-10-18,4,CLIC
1981-10-19,4,CLIC
1981-10-20,4,CLIC
1981-10-21,4,CLIC
1981-10-22,5,CLIC
1981-10-23,5,CLIC
1981-10-24,4,CLIC
1981-10-25,4.3,CLIC
1981-10-26,3.9,CLIC
1981-10-27,5.2,CLIC
1981-10-28,4.2,CLIC
1981-10-29,5.1,CLIC
1981-10-30,5,CLIC
1981-10-31,4.9,CLIC
1981-11-01,5.7,CLIC
