Estación: ,C19149,LA GRANJA. LINARES
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 33' 22'',Latitud:,24° 38' 49

Fecha,Promedio,Máximo,Mínimo
1981-01-01,12,21,3
1981-01-02,12,15,9
1981-01-03,15,22,8
1981-01-04,13,17,9
1981-01-05,11,13,9
1981-01-06,10.5,13,8
1981-01-07,8,10,6
1981-01-08,9,13,5
1981-01-09,11.5,20,3
1981-01-10,11.5,19,4
1981-01-11,11,14,8
1981-01-12,5.5,7,4
1981-01-13,2.5,5,0
1981-01-14,4,7,1
1981-01-15,11,21,1
1981-01-16,7.5,15,0
1981-01-17,7.5,12,3
1981-01-18,10.5,19,2
1981-01-19,12.5,25,0
1981-01-20,13,23,3
1981-01-21,16.5,25,8
1981-01-22,17,25,9
1981-01-23,15.5,26,5
1981-01-24,19,27,11
1981-01-25,16.5,25,8
1981-01-26,16,24,8
1981-01-27,15,21,9
1981-01-28,15,20,10
1981-01-29,13,18,8
1981-01-30,16.5,23,10
1981-01-31,18.5,26,11
1981-02-01,17,22,12
1981-02-02,10.5,18,3
1981-02-03,10,15,5
1981-02-04,12.5,22,3
1981-02-05,9.5,17,2
1981-02-06,16.5,24,9
1981-02-07,16,25,7
1981-02-08,16,26,6
1981-02-09,16.5,25,8
1981-02-10,15,20,10
1981-02-11,6,11,1
1981-02-12,10.5,18,3
1981-02-13,12,20,4
1981-02-14,9.5,13,6
1981-02-15,9.5,15,4
1981-02-16,14.5,20,9
1981-02-17,17,26,8
1981-02-18,19,27,11
1981-02-19,20.5,28,13
1981-02-20,21.75,27.5,16
1981-02-21,20,26,14
1981-02-22,18.5,25,12
1981-02-23,14.5,24,5
1981-02-24,21,27,15
1981-02-25,19,23,15
1981-02-26,19,25,13
1981-02-27,17.5,23,12
1981-02-28,20,26,14
1981-03-01,21.5,28,15
1981-03-02,17,20,14
1981-03-03,18,26,10
1981-03-04,18.5,23,14
1981-03-05,20.5,28,13
1981-03-06,20,29,11
1981-03-07,22.75,30,15.5
1981-03-08,18.5,24,13
1981-03-09,15.5,20,11
1981-03-10,16,23,9
1981-03-11,13,18,8
1981-03-12,12.5,16,9
1981-03-13,13.5,20,7
1981-03-14,13,21,5
1981-03-15,19.5,27,12
1981-03-16,22,30,14
1981-03-17,18,28,8
1981-03-18,16.5,26,7
1981-03-19,15.5,20,11
1981-03-20,18.5,27,10
1981-03-21,15.5,24,7
1981-03-22,20.5,28,13
1981-03-23,23,30,16
1981-03-24,23.5,27,20
1981-03-25,25.5,30,21
1981-03-26,20,28,12
1981-03-27,20.5,30,11
1981-03-28,22.5,28,17
1981-03-29,19,24,14
1981-03-30,18.25,26,10.5
1981-03-31,22,29,15
1981-04-01,23,30,16
1981-04-02,21.5,25,18
1981-04-03,18,26,10
1981-04-04,22.5,30,15
1981-04-05,20,28,12
1981-04-06,23,30,16
1981-04-07,23,35,11
1981-04-08,25,33,17
1981-04-09,24.25,33.5,15
1981-04-10,23,30,16
1981-04-11,24,34,14
1981-04-12,23.5,32,15
1981-04-13,26,34,18
1981-04-14,24,33,15
1981-04-15,22.5,28,17
1981-04-16,22.75,29.5,16
1981-04-17,22.5,28,17
1981-04-18,21.25,29.5,13
1981-04-19,21,30,12
1981-04-20,24.5,33,16
1981-04-21,25.5,32,19
1981-04-22,24.5,33,16
1981-04-23,21.25,25,17.5
1981-04-24,18,26,10
1981-04-25,18,25,11
1981-04-26,22.5,30,15
1981-04-27,23.75,29.5,18
1981-04-28,23.5,31,16
1981-04-29,22.5,30,15
1981-04-30,22,28,16
1981-05-01,22.5,30,15
1981-05-02,18,25,11
1981-05-03,16.5,27,6
1981-05-04,22.5,30,15
1981-05-05,23,28,18
1981-05-06,26,32,20
1981-05-07,21,25,17
1981-05-08,22.5,29,16
1981-05-09,21.5,30,13
1981-05-10,25.5,32,19
1981-05-11,25.5,33,18
1981-05-12,24.5,30,19
1981-05-13,25,32,18
1981-05-14,26,33,19
1981-05-15,24.5,32,17
1981-05-16,28,36,20
1981-05-17,27,33,21
1981-05-18,26,30,22
1981-05-19,26,35,17
1981-05-20,23.5,31,16
1981-05-21,24.5,32,17
1981-05-22,25,34,16
1981-05-23,20.5,26,15
1981-05-24,11.15,19,3.3
1981-05-25,26.5,35,18
1981-05-26,29,36,22
1981-05-27,29,35,23
1981-05-28,28,36,20
1981-05-29,24.5,31,18
1981-05-30,22.75,29.5,16
1981-05-31,22,32,12
1981-08-01,28.25,36,20.5
1981-08-02,23.5,29,18
1981-08-03,29,38,20
1981-08-04,29,36.5,21.5
1981-08-05,28.5,37,20
1981-08-06,28.5,35,22
1981-08-07,30,38.5,21.5
1981-08-08,27.75,36,19.5
1981-08-09,27,35.5,18.5
1981-08-10,28,36,20
1981-08-11,28.75,38,19.5
1981-08-12,28.5,37,20
1981-08-13,29.5,38,21
1981-08-14,28.5,35,22
1981-08-15,28.5,37,20
1981-08-16,30.25,39,21.5
1981-08-17,30.25,38.5,22
1981-08-18,28.5,36,21
1981-08-19,29.25,35.5,23
1981-08-20,27,34,20
1981-08-21,27.25,33.5,21
1981-08-22,26.25,34,18.5
1981-08-23,27,35,19
1981-08-24,27.25,34,20.5
1981-08-25,24.5,31,18
1981-08-26,26,32.5,19.5
1981-08-27,25.5,30,21
1981-08-28,26.75,33.5,20
1981-08-29,24.25,29,19.5
1981-08-30,25.5,31,20
1981-08-31,27.5,34,21
1981-09-01,25.5,30,21
1981-09-02,25.5,33,18
1981-09-03,26.5,32,21
1981-09-04,26.5,32.5,20.5
1981-09-05,25,29,21
1981-09-06,26.75,32,21.5
1981-09-07,26.5,33,20
1981-09-08,26,31,21
1981-09-09,25,32,18
1981-09-10,25.25,33,17.5
1981-09-11,25,31,19
1981-09-12,27,34,20
1981-09-13,27.25,33,21.5
1981-09-14,28.75,35.5,22
1981-09-15,27.5,34,21
1981-09-16,23,28,18
1981-09-17,21.25,23,19.5
1981-09-18,18.75,24.5,13
1981-09-19,18.5,26,11
1981-09-20,21.75,30,13.5
1981-09-21,19.75,24.5,15
1981-09-22,25,32,18
1981-09-23,25.5,31,20
1981-09-24,26.5,32,21
1981-09-25,26,33,19
1981-09-26,27.25,34,20.5
1981-09-27,24,30,18
1981-09-28,24.75,31.5,18
1981-09-29,25,30,20
1981-09-30,27,35,19
1981-11-01,18.5,24,13
1981-11-02,17.5,25,10
1981-11-03,16.5,27,6
1981-11-04,20,30,10
1981-11-05,18.5,29,8
1981-11-06,19,27,11
1981-11-07,21.5,29,14
1981-11-08,21,25,17
1981-11-09,20.5,26,15
1981-11-10,21,29,13
1981-11-11,20,27,13
1981-11-12,18,26,10
1981-11-13,18,25,11
1981-11-14,20,30,10
1981-11-15,22,32,12
1981-11-16,20,32,8
1981-11-17,21.5,33,10
1981-11-18,21.5,30,13
1981-11-19,22,29,15
1981-11-20,23,31,15
1981-11-21,18,32,4
1981-11-22,22,31,13
1981-11-23,21.5,33,10
1981-11-24,18.5,30,7
1981-11-25,20.5,31,10
1981-11-26,21,33,9
1981-11-27,19.5,30,9
1981-11-28,20,29,11
1981-11-29,25.5,33,18
1981-11-30,24.5,30,19
1981-12-01,20.75,32,9.5
1981-12-02,18.5,30.5,6.5
1981-12-03,20.75,31.5,10
1981-12-04,18.5,28,9
1981-12-05,12.25,16,8.5
1981-12-06,15.75,22.5,9
1981-12-07,18.25,26,10.5
1981-12-08,16,23,9
1981-12-09,18.25,24.5,12
1981-12-10,15.75,22,9.5
1981-12-11,20.5,30,11
1981-12-12,22.5,32,13
1981-12-13,23,31,15
1981-12-14,16.75,23.5,10
1981-12-15,16.5,25,8
1981-12-16,19,28,10
1981-12-17,16.75,25,8.5
1981-12-18,7.5,11.5,3.5
1981-12-19,12.25,22,2.5
1981-12-20,18,28,8
1981-12-21,19,29,9
1981-12-22,22,33,11
1981-12-23,12.25,17,7.5
1981-12-24,9.5,15,4
1981-12-25,10.5,19,2
1981-12-26,18.5,31,6
1981-12-27,21,32,10
1981-12-28,20.5,30,11
1981-12-29,18,29.5,6.5
1981-12-30,17.5,28,7
1981-12-31,20,30,10
1982-01-01,15,25,5
1982-01-02,20.5,33,8
1982-01-03,22,34,10
1982-01-04,20.25,30,10.5
1982-01-05,19.75,31.5,8
1982-01-06,19.5,30,9
1982-01-07,20.25,28.5,12
1982-01-08,18.75,30,7.5
1982-01-09,17.5,30.5,4.5
1982-01-10,14.5,23,6
1982-01-11,8,15,1
1982-01-12,10,20,0
1982-01-13,10.25,19.5,1
1982-01-14,11,17,5
1982-01-15,14,25,3
1982-01-16,14.25,27,1.5
1982-01-17,9.25,17,1.5
1982-01-18,15.5,31,0
1982-01-19,17.5,32,3
1982-01-20,20.5,31,10
1982-01-21,19.5,28,11
1982-01-22,23.5,32,15
1982-01-23,18.5,24,13
1982-01-24,17,27,7
1982-01-25,20.5,33,8
1982-01-26,19,29,9
1982-01-27,19,28,10
1982-01-28,20.75,30.5,11
1982-01-29,22.75,31,14.5
1982-01-30,19.25,26,12.5
1982-01-31,19.5,29,10
1982-02-01,16.5,25.5,7.5
1982-02-02,16.5,24,9
1982-02-03,14.25,22,6.5
1982-02-04,14.25,25,3.5
1982-02-05,10.25,16.5,4
1982-02-06,9.25,13.5,5
1982-02-07,6,12,0
1982-02-08,10.25,19,1.5
1982-02-09,13.75,26.5,1
1982-02-10,12.5,23,2
1982-02-11,14,25,3
1982-02-12,15.25,26,4.5
1982-02-13,12.25,18.5,6
