Estación: ,C19150,LOS LERMAS. GUADALUPE
Variable: ,Evaporación (mm)
Longitud: ,100° 11' 06'',Latitud:,25° 40' 48

Fecha,Valor,NúmDatos
1985-01-01,0.3,CLIC
1985-01-02,1.2,CLIC
1985-01-03,1.8,CLIC
1985-01-04,1.6,CLIC
1985-01-05,0.5,CLIC
1985-01-06,0.8,CLIC
1985-01-07,1.3,CLIC
1985-01-08,1.5,CLIC
1985-01-09,1.1,CLIC
1985-01-10,1.3,CLIC
1985-01-11,0.4,CLIC
1985-01-12,1.4,CLIC
1985-01-13,1,CLIC
1985-01-14,0.4,CLIC
1985-01-15,0.5,CLIC
1985-01-16,1.3,CLIC
1985-01-17,0.4,CLIC
1985-01-18,1.3,CLIC
1985-01-19,1.7,CLIC
1985-01-20,1.5,CLIC
1985-01-21,2.1,CLIC
1985-01-22,0.1,CLIC
1985-01-23,1.2,CLIC
1985-01-24,2.1,CLIC
1985-01-25,0.9,CLIC
1985-01-26,0.1,CLIC
1985-01-27,2.3,CLIC
1985-01-28,1.5,CLIC
1985-01-29,2.2,CLIC
1985-01-30,1.2,CLIC
1985-01-31,1.1,CLIC
1985-02-01,1,CLIC
1985-02-02,0.9,CLIC
1985-02-03,1.8,CLIC
1985-02-04,3.8,CLIC
1985-02-05,5.2,CLIC
1985-02-06,4.3,CLIC
1985-02-07,5,CLIC
1985-02-08,1.9,CLIC
1985-02-09,1.9,CLIC
1985-02-10,1.7,CLIC
1985-02-11,2.1,CLIC
1985-02-12,3.7,CLIC
1985-02-13,3,CLIC
1985-02-14,3.7,CLIC
1985-02-15,3.7,CLIC
1985-02-16,5.2,CLIC
1985-02-17,3.5,CLIC
1985-02-18,2,CLIC
1985-02-19,3.6,CLIC
1985-02-20,1.7,CLIC
1985-02-21,2.7,CLIC
1985-02-22,3.5,CLIC
1985-02-23,5.5,CLIC
1985-02-24,3.6,CLIC
1985-02-25,3.9,CLIC
1985-02-26,2.6,CLIC
1985-02-27,3.1,CLIC
1985-02-28,2.7,CLIC
1985-03-01,0.3,CLIC
1985-03-02,2.6,CLIC
1985-03-03,5.7,CLIC
1985-03-04,4.7,CLIC
1985-03-05,6.3,CLIC
1985-03-06,3.2,CLIC
1985-03-07,3.1,CLIC
1985-03-08,5.9,CLIC
1985-03-09,5.7,CLIC
1985-03-10,6.3,CLIC
1985-03-11,4.8,CLIC
1985-03-12,6.3,CLIC
1985-03-13,0.7,CLIC
1985-03-14,4.1,CLIC
1985-03-15,1.8,CLIC
1985-03-16,2.7,CLIC
1985-03-17,3.3,CLIC
1985-03-18,4.9,CLIC
1985-03-19,4.9,CLIC
1985-03-20,4.9,CLIC
1985-03-21,5.9,CLIC
1985-03-22,4.5,CLIC
1985-03-23,4.1,CLIC
1985-03-24,6,CLIC
1985-03-25,3.8,CLIC
1985-03-26,3.6,CLIC
1985-03-27,2.6,CLIC
1985-03-28,6.4,CLIC
1985-03-29,6.4,CLIC
1985-03-30,6.3,CLIC
1985-04-01,5.9,CLIC
1985-04-02,4.2,CLIC
1985-04-03,5.8,CLIC
1985-04-04,10.3,CLIC
1985-04-05,10.8,CLIC
1985-04-06,7.7,CLIC
1985-04-07,6.3,CLIC
1985-04-08,7.3,CLIC
1985-04-09,0.4,CLIC
1985-04-10,12.8,CLIC
1985-04-11,3.1,CLIC
1985-04-12,5.2,CLIC
1985-04-13,7.6,CLIC
1985-04-14,7.2,CLIC
1985-04-15,2.8,CLIC
1985-04-16,4.1,CLIC
1985-04-17,5.7,CLIC
1985-04-18,3.1,CLIC
1985-04-19,2.7,CLIC
1985-04-20,5.9,CLIC
1985-04-21,3.4,CLIC
1985-04-22,4,CLIC
1985-04-23,6.2,CLIC
1985-04-24,7.2,CLIC
1985-04-25,4.8,CLIC
1985-04-26,4.7,CLIC
1985-04-27,10.1,CLIC
1985-04-28,4.6,CLIC
1985-04-29,4.5,CLIC
1985-04-30,4.4,CLIC
1985-05-01,6.7,CLIC
1985-05-02,3.1,CLIC
1985-05-03,4.1,CLIC
1985-05-04,5.2,CLIC
1985-05-05,3.9,CLIC
1985-05-06,5.6,CLIC
1985-05-07,7,CLIC
1985-05-08,6.3,CLIC
1985-05-09,6.6,CLIC
1985-05-10,6.5,CLIC
1985-05-11,1.2,CLIC
1985-05-12,13.2,CLIC
1985-05-13,4.8,CLIC
1985-05-14,5.3,CLIC
1985-05-15,3.1,CLIC
1985-05-16,0.6,CLIC
1985-05-17,5.2,CLIC
1985-05-18,5.9,CLIC
1985-05-19,0.4,CLIC
1985-05-20,4.3,CLIC
1985-05-21,7.8,CLIC
1985-05-22,11.7,CLIC
1985-05-23,0.2,CLIC
1985-05-24,5.7,CLIC
1985-05-25,6.9,CLIC
1985-05-26,11.8,CLIC
1985-05-27,6.3,CLIC
1985-05-28,7,CLIC
1985-05-29,3.6,CLIC
1985-05-30,9.6,CLIC
1985-05-31,10,CLIC
1985-06-01,8.8,CLIC
1985-06-02,8.2,CLIC
1985-06-03,4.7,CLIC
1985-06-04,6.2,CLIC
1985-06-05,5.3,CLIC
1985-06-06,3.5,CLIC
1985-06-07,4.5,CLIC
1985-06-08,10.9,CLIC
1985-06-09,6.7,CLIC
1985-06-10,8.1,CLIC
1985-06-11,7.6,CLIC
1985-06-12,6.4,CLIC
1985-06-13,7.6,CLIC
1985-06-14,6.8,CLIC
1985-06-15,6.6,CLIC
1985-06-16,7.5,CLIC
1985-06-17,6.2,CLIC
1985-06-18,4,CLIC
1985-06-19,3.4,CLIC
1985-06-20,6.6,CLIC
1985-06-21,7.6,CLIC
1985-06-22,10.6,CLIC
1985-06-23,9.6,CLIC
1985-06-24,5.6,CLIC
1985-06-25,4.1,CLIC
1985-06-26,4.1,CLIC
1985-06-27,3.3,CLIC
1985-06-28,6.6,CLIC
1985-06-29,7.5,CLIC
1985-06-30,7.8,CLIC
1985-07-01,4,CLIC
1985-07-02,2.2,CLIC
1985-07-03,5.1,CLIC
1985-07-04,7.3,CLIC
1985-07-05,7.3,CLIC
1985-07-06,7.8,CLIC
1985-07-07,8,CLIC
1985-07-08,8.1,CLIC
1985-07-09,9.1,CLIC
1985-07-10,11,CLIC
1985-07-11,7.8,CLIC
1985-07-12,5.1,CLIC
1985-07-13,8.9,CLIC
1985-07-14,8.9,CLIC
1985-07-15,6,CLIC
1985-07-16,6.7,CLIC
1985-07-17,10.8,CLIC
1985-07-18,8.8,CLIC
