Estación: ,C19150,LOS LERMAS. GUADALUPE
Variable: ,Precipitación (mm)
Longitud: ,100° 11' 06'',Latitud:,25° 40' 48

Fecha,Valor,NúmDatos
1981-09-01,33.6,CLIC
1981-09-02,3.4,CLIC
1981-09-03,2.5,CLIC
1981-09-04,3.5,CLIC
1981-09-05,0,CLIC
1981-09-06,1.3,CLIC
1981-09-07,0,CLIC
1981-09-08,0,CLIC
1981-09-09,0,CLIC
1981-09-10,0,CLIC
1981-09-11,0,CLIC
1981-09-12,0,CLIC
1981-09-13,0,CLIC
1981-09-14,0,CLIC
1981-09-15,75.6,CLIC
1981-09-16,30.8,CLIC
1981-09-17,4.5,CLIC
1981-09-18,0,CLIC
1981-09-19,0,CLIC
1981-09-20,0,CLIC
1981-09-21,0,CLIC
1981-09-22,0,CLIC
1981-09-23,0,CLIC
1981-09-24,0,CLIC
1981-09-25,0,CLIC
1981-09-26,0,CLIC
1981-09-27,24.7,CLIC
1981-09-28,36.3,CLIC
1981-09-29,0,CLIC
1981-09-30,0,CLIC
1981-10-01,7.4,CLIC
1981-10-02,0,CLIC
1981-10-03,0,CLIC
1981-10-04,0,CLIC
1981-10-05,0,CLIC
1981-10-06,4.4,CLIC
1981-10-07,6.3,CLIC
1981-10-08,3.4,CLIC
1981-10-09,0,CLIC
1981-10-10,0,CLIC
1981-10-11,0,CLIC
1981-10-12,0,CLIC
1981-10-13,0,CLIC
1981-10-14,0,CLIC
1981-10-15,0,CLIC
1981-10-16,0,CLIC
1981-10-17,0,CLIC
1981-10-18,8.4,CLIC
1981-10-19,3.6,CLIC
1981-10-20,5.7,CLIC
1981-10-21,5.6,CLIC
1981-10-22,7.5,CLIC
1981-10-23,7.6,CLIC
1981-10-24,2.3,CLIC
1981-10-25,0,CLIC
1981-10-26,0,CLIC
1981-10-27,0,CLIC
1981-10-28,0,CLIC
1981-10-29,0,CLIC
1981-10-30,4.3,CLIC
1981-10-31,8.6,CLIC
1981-11-01,0,CLIC
1981-11-02,0,CLIC
1981-11-03,0,CLIC
1981-11-04,0,CLIC
1981-11-05,0,CLIC
1981-11-06,10.3,CLIC
1981-11-07,1.2,CLIC
1981-11-08,0,CLIC
1981-11-09,0,CLIC
1981-11-10,0,CLIC
1981-11-11,0,CLIC
1981-11-12,0,CLIC
1981-11-13,0,CLIC
1981-11-14,0,CLIC
1981-11-15,0,CLIC
1981-11-16,0,CLIC
1981-11-17,0,CLIC
1981-11-18,0,CLIC
1981-11-19,0,CLIC
1981-11-20,0,CLIC
1981-11-21,0,CLIC
1981-11-22,0,CLIC
1981-11-23,0,CLIC
1981-11-24,0,CLIC
1981-11-25,0,CLIC
1981-11-26,0,CLIC
1981-11-27,0,CLIC
1981-11-28,0,CLIC
1981-11-29,0,CLIC
1981-11-30,0,CLIC
1981-12-01,0,CLIC
1981-12-02,0,CLIC
1981-12-03,0,CLIC
1981-12-04,0,CLIC
1981-12-05,0,CLIC
1981-12-06,0,CLIC
1981-12-07,0,CLIC
1981-12-08,0,CLIC
1981-12-09,0,CLIC
1981-12-10,0,CLIC
1981-12-11,0,CLIC
1981-12-12,0,CLIC
1981-12-13,0,CLIC
1981-12-14,0,CLIC
1981-12-15,0,CLIC
1981-12-16,0,CLIC
1981-12-17,0,CLIC
1981-12-18,0,CLIC
1981-12-19,0,CLIC
1981-12-20,0,CLIC
1981-12-21,0,CLIC
1981-12-22,0,CLIC
1981-12-23,0,CLIC
1981-12-24,0,CLIC
1981-12-25,0,CLIC
1981-12-26,0,CLIC
1981-12-27,0,CLIC
1981-12-28,0,CLIC
1981-12-29,0,CLIC
1981-12-30,0,CLIC
1981-12-31,0,CLIC
1982-01-01,0,CLIC
1982-01-02,0,CLIC
1982-01-03,0,CLIC
1982-01-04,0,CLIC
1982-01-05,0,CLIC
1982-01-06,0,CLIC
1982-01-07,0,CLIC
1982-01-08,0,CLIC
1982-01-09,0,CLIC
1982-01-10,0,CLIC
1982-01-11,0,CLIC
1982-01-12,0,CLIC
1982-01-13,0,CLIC
1982-01-14,0,CLIC
1982-01-15,0,CLIC
1982-01-16,0,CLIC
1982-01-17,0,CLIC
1982-01-18,0,CLIC
1982-01-19,0,CLIC
1982-01-20,0,CLIC
1982-01-21,0,CLIC
1982-01-22,0,CLIC
1982-01-23,0,CLIC
1982-01-24,0,CLIC
1982-01-25,0,CLIC
1982-01-26,0,CLIC
1982-01-27,0,CLIC
1982-01-28,0,CLIC
