Estación: ,C19150,LOS LERMAS. GUADALUPE
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 11' 06'',Latitud:,25° 40' 48

Fecha,Promedio,Máximo,Mínimo
1986-01-12,7.5,9,6
1986-01-13,13,24,2
1986-01-14,14.5,23,6
1986-01-15,15.75,25,6.5
1986-01-16,16.25,24,8.5
1986-01-17,20,27.5,12.5
1986-01-18,17,22,12
1986-01-19,19.25,27.5,11
1986-01-20,19.25,28,10.5
1986-01-21,21.25,31.5,11
1986-01-22,17,22,12
1986-01-23,17,20.5,13.5
1986-01-24,18.5,25.5,11.5
1986-01-25,19.5,27,12
1986-01-26,16.5,21.5,11.5
1986-01-27,12.75,21,4.5
1986-01-28,16.25,26,6.5
1986-01-29,20.25,33.5,7
1986-01-30,20.25,27,13.5
1986-01-31,19.25,26,12.5
1986-02-01,20,26.5,13.5
1986-02-02,20.75,27.5,14
1986-02-03,21,26.5,15.5
1986-02-04,21.5,28.5,14.5
1986-02-05,20.25,28,12.5
1986-02-06,19,27.5,10.5
1986-02-07,20,30.5,9.5
1986-02-08,19.5,29,10
1986-02-09,11.5,15.5,7.5
1986-02-10,8.5,10,7
1986-02-11,8.75,13.5,4
1986-02-12,8.25,12,4.5
1986-02-13,10.75,15.5,6
1986-02-14,18.5,29.5,7.5
1986-02-15,19,28.5,9.5
1986-02-16,22,34.5,9.5
1986-02-17,25.25,34,16.5
1986-02-18,25.5,36.5,14.5
1986-02-19,26.75,39,14.5
1986-02-20,29,39.5,18.5
1986-02-21,24,30.5,17.5
1986-02-22,19,25,13
1986-02-23,21,28,14
1986-02-24,21.25,33,9.5
1986-02-25,23.25,34,12.5
1986-02-26,25.5,36.5,14.5
1986-02-27,25.25,35,15.5
1986-02-28,18.75,25,12.5
1986-07-01,28.75,34,23.5
1986-07-02,28.75,34.5,23
1986-07-03,28.75,35,22.5
1986-07-04,29.5,36,23
1986-07-05,29,36,22
1986-07-06,29.75,35.5,24
1986-07-07,29.5,35.5,23.5
1986-07-08,27.25,33.5,21
1986-07-09,26.75,33,20.5
1986-07-10,27.5,34.5,20.5
1986-07-11,29.25,35,23.5
1986-07-12,29.25,34,24.5
1986-07-13,27,30,24
1986-07-14,27.25,31.5,23
1986-07-15,27,33,21
1986-07-16,27.5,33.5,21.5
1986-07-17,28.25,35,21.5
1986-07-18,28.5,35,22
1986-07-19,29,36,22
1986-07-20,29.75,36.5,23
1986-07-21,29.5,36.5,22.5
1986-07-22,29.5,37,22
1986-07-23,29.25,36.5,22
1986-07-24,30,37,23
1986-07-25,30.5,38,23
1986-07-26,30.25,38,22.5
1986-07-27,29.75,37,22.5
1986-07-28,30.5,38,23
1986-07-29,30.5,38,23
1986-07-30,30.5,37.5,23.5
1986-07-31,30,37,23
1986-08-01,31,38.5,23.5
1986-08-02,31.25,39,23.5
1986-08-03,31,38.5,23.5
1986-08-04,30.5,37.5,23.5
1986-08-05,28.5,35,22
1986-08-06,28.75,35.5,22
1986-08-07,29.5,37,22
1986-08-08,30.5,37,24
1986-08-09,28.25,32,24.5
1986-08-10,30.25,37,23.5
1986-08-11,31,38.5,23.5
1986-08-12,30.5,37.5,23.5
1986-08-13,30.75,36.5,25
1986-08-14,30.75,38,23.5
1986-08-15,30,36.5,23.5
1986-08-16,31,38.5,23.5
1986-08-17,31.75,38.5,25
1986-08-18,32.25,39.5,25
1986-08-19,32.25,39.5,25
1986-08-20,33.5,41,26
1986-08-21,31.25,36.5,26
1986-08-22,28.25,34,22.5
1986-08-23,26.75,30.5,23
1986-08-24,27.75,33,22.5
1986-08-25,29,36,22
1986-08-26,30.75,36.5,25
1986-08-27,29.75,36.5,23
1986-08-28,29.5,36,23
1986-08-29,29.25,35,23.5
1986-08-30,27,31.5,22.5
1986-08-31,29.25,35,23.5
