Estación: ,C19151,LAS MARGARITAS.DR.ARROYO
Variable: ,Evaporación (mm)
Longitud: ,100° 25' 11.6'',Latitud:,24° 15' 44.9''

Fecha,Valor,NúmDatos
1985-01-01,2.62,CLIC
1985-01-02,2.85,CLIC
1985-01-03,0.75,CLIC
1985-01-04,3.24,CLIC
1985-01-05,2.91,CLIC
1985-01-06,3.2,CLIC
1985-01-07,3.04,CLIC
1985-01-08,3.46,CLIC
1985-01-09,3.13,CLIC
1985-01-10,3.91,CLIC
1985-01-11,3.46,CLIC
1985-01-12,2.13,CLIC
1985-01-13,4.25,CLIC
1985-01-14,2.21,CLIC
1985-01-15,2.14,CLIC
1985-01-16,2.01,CLIC
1985-01-17,2.93,CLIC
1985-01-18,4.08,CLIC
1985-01-19,5,CLIC
1985-01-20,5.72,CLIC
1985-01-21,3.75,CLIC
1985-01-22,4.74,CLIC
1985-01-23,4.41,CLIC
1985-01-24,4.35,CLIC
1985-01-25,3.37,CLIC
1985-01-26,4.13,CLIC
1985-01-27,5.9,CLIC
1985-01-28,5.14,CLIC
1985-01-29,4.06,CLIC
1985-01-30,5.39,CLIC
1985-01-31,4.55,CLIC
1986-01-01,0.06,CLIC
1986-01-02,7.87,CLIC
1986-01-03,5.21,CLIC
1986-01-04,4,CLIC
1986-01-05,4,CLIC
1986-01-06,8.55,CLIC
1986-01-07,7.35,CLIC
1986-01-08,1.48,CLIC
1986-01-09,0.34,CLIC
1986-01-10,1.93,CLIC
1986-01-11,0.22,CLIC
1986-01-12,5.84,CLIC
1986-01-13,4.96,CLIC
1986-01-14,4.07,CLIC
1986-01-15,4.96,CLIC
1986-01-16,4.32,CLIC
1986-01-17,4.13,CLIC
1986-01-18,5,CLIC
1986-01-19,1.14,CLIC
1986-01-20,1.31,CLIC
1986-01-21,1.05,CLIC
1986-01-22,1.18,CLIC
1986-01-23,0.16,CLIC
1986-01-24,0.2,CLIC
1986-01-25,0.4,CLIC
1986-01-26,3.8,CLIC
1986-01-28,9.7,CLIC
1986-01-29,6.5,CLIC
1986-01-30,2.65,CLIC
1986-01-31,3.62,CLIC
1986-02-01,11.9,CLIC
1986-02-02,6.56,CLIC
1986-02-03,3.26,CLIC
1986-02-04,1.08,CLIC
1986-02-05,4.76,CLIC
1986-02-06,10.04,CLIC
1986-02-07,1.1,CLIC
1986-02-08,9.05,CLIC
1986-02-09,10.15,CLIC
1986-02-10,2.79,CLIC
1986-02-11,0.96,CLIC
1986-02-12,0.95,CLIC
1986-02-13,2.85,CLIC
1986-02-14,2.49,CLIC
1986-02-15,4.56,CLIC
1986-02-16,4.95,CLIC
1986-02-17,11.9,CLIC
1986-02-18,2.9,CLIC
1986-02-19,9.9,CLIC
1986-02-20,4.93,CLIC
1986-02-21,10.72,CLIC
1986-02-22,9.9,CLIC
1986-02-23,2.75,CLIC
1986-02-24,2.35,CLIC
1986-02-25,4.8,CLIC
1986-02-26,5.05,CLIC
1986-02-27,1.6,CLIC
1986-02-28,2.5,CLIC
1986-03-01,5.1,CLIC
1986-03-02,3.1,CLIC
1986-03-03,5.76,CLIC
1986-03-04,11.82,CLIC
1986-03-05,9.22,CLIC
1986-03-06,4.96,CLIC
1986-03-07,4.96,CLIC
1986-03-08,10.09,CLIC
1986-03-09,4.64,CLIC
1986-03-10,15.6,CLIC
1986-03-11,4.95,CLIC
1986-03-12,4.85,CLIC
1986-03-13,4.95,CLIC
1986-03-14,9.9,CLIC
1986-03-15,4.95,CLIC
1986-03-16,2.95,CLIC
1986-03-17,2.17,CLIC
1986-03-18,5.35,CLIC
1986-03-19,4.89,CLIC
1986-03-20,4.87,CLIC
1986-03-21,6.49,CLIC
1986-03-22,3.8,CLIC
1986-03-23,1.9,CLIC
1986-03-24,3.9,CLIC
1986-03-25,1.86,CLIC
1986-03-26,2.92,CLIC
1986-03-27,4.32,CLIC
1986-03-28,8.89,CLIC
1986-03-29,9.08,CLIC
1986-03-30,7.41,CLIC
1986-03-31,5.62,CLIC
1986-04-01,4.71,CLIC
1986-04-02,15.19,CLIC
1986-04-03,9.6,CLIC
1986-04-04,0.8,CLIC
1986-04-05,1.95,CLIC
1986-04-06,7.95,CLIC
1986-04-07,1.2,CLIC
1986-04-08,0.8,CLIC
1986-04-09,0.95,CLIC
1986-04-10,9.05,CLIC
1986-04-11,5.9,CLIC
1986-04-12,10,CLIC
1986-04-13,16.9,CLIC
1986-04-14,4.95,CLIC
1986-04-15,9.85,CLIC
1986-04-16,4.8,CLIC
1986-04-17,4.95,CLIC
1986-04-18,10.1,CLIC
1986-04-19,1.8,CLIC
1986-04-20,1.8,CLIC
1986-04-21,0.96,CLIC
1986-04-22,2.09,CLIC
1986-04-23,12.31,CLIC
1986-04-24,4.96,CLIC
1986-04-25,0.95,CLIC
1986-04-26,4.18,CLIC
1986-04-27,4.8,CLIC
1986-04-28,13.55,CLIC
1986-04-29,6.9,CLIC
1986-04-30,1.9,CLIC
1986-05-01,4.1,CLIC
1986-05-02,0.96,CLIC
1986-05-03,2.94,CLIC
1986-05-04,2,CLIC
1986-05-05,1.92,CLIC
1986-05-06,6.68,CLIC
1986-05-07,5.22,CLIC
1986-05-08,7.83,CLIC
1986-05-09,3.09,CLIC
1986-05-10,4.26,CLIC
1986-05-11,2.18,CLIC
1986-05-12,2.76,CLIC
1986-05-13,3.1,CLIC
1986-05-14,1.85,CLIC
1986-05-15,2.69,CLIC
1986-08-15,7.9,CLIC
1986-08-16,4.9,CLIC
1986-08-17,4.95,CLIC
1986-08-18,9.95,CLIC
1986-08-19,5.05,CLIC
1986-08-20,4.95,CLIC
1986-08-21,3,CLIC
1986-08-22,4.1,CLIC
1986-08-23,3.05,CLIC
1986-08-24,1,CLIC
1986-08-25,10.64,CLIC
1986-08-26,8.26,CLIC
1986-08-27,1.5,CLIC
1986-08-28,4.89,CLIC
1986-08-29,5.11,CLIC
1986-08-30,4.61,CLIC
1986-08-31,4.91,CLIC
1986-09-01,9.49,CLIC
1986-09-02,5.12,CLIC
1986-09-03,7.89,CLIC
1986-09-04,7.11,CLIC
1986-09-05,2.91,CLIC
1986-09-06,7.4,CLIC
1986-09-07,6.58,CLIC
1986-09-08,5.38,CLIC
1986-09-09,4.75,CLIC
1986-09-10,4.95,CLIC
1986-09-11,5.82,CLIC
1986-09-12,3.1,CLIC
1986-09-13,6.13,CLIC
1986-09-14,4.97,CLIC
1986-09-15,5.55,CLIC
1986-09-16,3.85,CLIC
1986-09-17,6.07,CLIC
1986-09-18,3.93,CLIC
1986-09-19,5.75,CLIC
1986-09-20,4.75,CLIC
1986-09-21,4.14,CLIC
1986-09-22,6.79,CLIC
1986-09-23,4.56,CLIC
1986-09-24,6.43,CLIC
1986-09-25,6.09,CLIC
1986-09-26,7.42,CLIC
1986-09-27,4.87,CLIC
1986-09-28,2.7,CLIC
1986-09-29,3.2,CLIC
1986-09-30,4,CLIC
1986-10-01,2.12,CLIC
1986-10-02,4.77,CLIC
1986-10-03,4.5,CLIC
1986-10-04,5.1,CLIC
1986-10-05,2.25,CLIC
1986-10-06,8.05,CLIC
1986-10-07,4.55,CLIC
1986-10-08,5.1,CLIC
1986-10-09,0.9,CLIC
1986-10-10,9.25,CLIC
1986-10-11,4.83,CLIC
1986-10-12,0.7,CLIC
1986-10-13,2.95,CLIC
1986-10-14,0.95,CLIC
1986-10-15,1.1,CLIC
1986-10-16,1.1,CLIC
1986-10-17,1.5,CLIC
1986-10-18,0.95,CLIC
1986-10-19,4.35,CLIC
1986-10-20,2.3,CLIC
1986-10-21,5.35,CLIC
1986-10-22,4.55,CLIC
1986-10-23,2.86,CLIC
1986-10-24,3.33,CLIC
1986-10-25,3.9,CLIC
1986-10-26,0.45,CLIC
1986-10-27,4.7,CLIC
1986-10-28,4.45,CLIC
1986-10-29,0.7,CLIC
1986-10-30,4.42,CLIC
1986-10-31,3.48,CLIC
1986-11-01,1.22,CLIC
1986-11-02,1.75,CLIC
1986-11-03,2.92,CLIC
1986-11-04,2.18,CLIC
1986-11-05,2.6,CLIC
1986-11-06,1.45,CLIC
1986-11-07,1.5,CLIC
1986-11-08,1.9,CLIC
1986-11-09,1.1,CLIC
1986-11-10,0.8,CLIC
1986-11-11,3.05,CLIC
1986-11-12,1.05,CLIC
1986-11-13,0.85,CLIC
1986-11-14,1.2,CLIC
1986-11-15,1.97,CLIC
1986-11-16,0.98,CLIC
1986-11-17,1.2,CLIC
1986-11-18,0.9,CLIC
1986-11-19,0.9,CLIC
1986-11-20,1.95,CLIC
1986-11-21,0.95,CLIC
1986-11-22,2.95,CLIC
1986-11-23,1.84,CLIC
1986-11-24,2,CLIC
1986-11-25,1.93,CLIC
1986-11-26,1.4,CLIC
1986-11-27,2.95,CLIC
1986-11-28,5.25,CLIC
1986-11-29,2.71,CLIC
1986-11-30,2.13,CLIC
1986-12-01,2.2,CLIC
1986-12-02,2.41,CLIC
1986-12-03,1.92,CLIC
1986-12-04,0.65,CLIC
1986-12-05,2.35,CLIC
1986-12-06,0.2,CLIC
1986-12-07,0.8,CLIC
1986-12-08,3,CLIC
1986-12-09,2.1,CLIC
1986-12-10,7.9,CLIC
1986-12-11,4.01,CLIC
1986-12-12,1.29,CLIC
1986-12-13,1.7,CLIC
1986-12-14,2,CLIC
1986-12-15,0.5,CLIC
1986-12-16,2.2,CLIC
1986-12-17,1.95,CLIC
1986-12-18,0.9,CLIC
1986-12-19,3.35,CLIC
1986-12-20,1.35,CLIC
1986-12-21,1.45,CLIC
1986-12-22,2.2,CLIC
1986-12-23,3.7,CLIC
1986-12-24,1.95,CLIC
1986-12-25,1.3,CLIC
1986-12-26,3.75,CLIC
1986-12-27,2.5,CLIC
1986-12-28,1.95,CLIC
1986-12-29,1.55,CLIC
1986-12-30,3.95,CLIC
1986-12-31,1.8,CLIC
1987-01-01,2.2,CLIC
