Estación: ,C19156,LAS PRESITAS. CHINA
Variable: ,Evaporación (mm)
Longitud: ,98° 44' 00'',Latitud:,25° 30' 00

Fecha,Valor,NúmDatos
1981-02-01,7.8,CLIC
1981-02-02,2.6,CLIC
1981-02-03,2.9,CLIC
1981-02-04,3.35,CLIC
1981-02-05,1.4,CLIC
1981-02-06,2.65,CLIC
1981-02-07,2.9,CLIC
1981-02-08,2.2,CLIC
1981-02-09,2.2,CLIC
1981-02-10,9.1,CLIC
1981-02-11,3.95,CLIC
1981-02-12,1.75,CLIC
1981-02-13,0.3,CLIC
1981-02-14,0.45,CLIC
1981-02-15,3.15,CLIC
1981-02-16,0.5,CLIC
1981-02-17,2,CLIC
1981-02-18,2.8,CLIC
1981-02-19,1.03,CLIC
1981-02-20,4.9,CLIC
1981-02-21,5.27,CLIC
1981-02-22,4.25,CLIC
1981-02-23,7.85,CLIC
1981-02-24,0.2,CLIC
1981-02-25,0.72,CLIC
1981-02-26,0.45,CLIC
1981-02-27,0.6,CLIC
1981-02-28,0.13,CLIC
1981-08-01,12.72,CLIC
1981-08-02,10.54,CLIC
1981-08-03,11.62,CLIC
1981-08-04,9.15,CLIC
1981-08-05,7.64,CLIC
1981-08-06,7.77,CLIC
1981-08-07,12.23,CLIC
1981-08-08,11.44,CLIC
1981-08-09,10.13,CLIC
1981-08-10,7.1,CLIC
1981-08-11,8.83,CLIC
1981-08-12,10.06,CLIC
1981-08-13,9.99,CLIC
1981-08-14,8.9,CLIC
1981-08-15,9.5,CLIC
1981-08-16,7.02,CLIC
1981-08-17,12.02,CLIC
1981-08-18,8.07,CLIC
1981-08-19,7.29,CLIC
1981-08-20,5.98,CLIC
1981-08-21,5.49,CLIC
1981-08-22,9.66,CLIC
1981-08-23,7.18,CLIC
1981-08-24,7.14,CLIC
1981-08-25,6.57,CLIC
1981-08-26,7.69,CLIC
1981-08-27,6.96,CLIC
1981-08-28,8.55,CLIC
1981-08-30,10.52,CLIC
1981-08-31,8.2,CLIC
