Estación: ,C19156,LAS PRESITAS. CHINA
Variable: ,Precipitación (mm)
Longitud: ,98° 44' 00'',Latitud:,25° 30' 00

Fecha,Valor,NúmDatos
1981-01-01,0,CLIC
1981-01-02,0,CLIC
1981-01-03,0,CLIC
1981-01-04,0,CLIC
1981-01-05,0,CLIC
1981-01-06,0,CLIC
1981-01-07,0,CLIC
1981-01-08,0,CLIC
1981-01-09,11,CLIC
1981-01-10,4.5,CLIC
1981-01-11,3.2,CLIC
1981-01-12,8.5,CLIC
1981-01-13,2,CLIC
1981-01-14,0,CLIC
1981-01-15,0,CLIC
1981-01-16,6.5,CLIC
1981-01-17,9,CLIC
1981-01-18,14.5,CLIC
1981-01-19,0.5,CLIC
1981-01-20,0,CLIC
1981-01-21,0,CLIC
1981-01-22,7,CLIC
1981-01-23,10.5,CLIC
1981-01-24,0,CLIC
1981-01-25,0,CLIC
1981-01-26,0,CLIC
1981-01-27,0.3,CLIC
1981-01-28,0,CLIC
1981-01-29,0,CLIC
1981-01-30,0,CLIC
1981-01-31,0,CLIC
1981-02-01,0,CLIC
1981-02-02,0,CLIC
1981-02-03,0,CLIC
1981-02-04,0,CLIC
1981-02-05,0,CLIC
1981-02-06,0,CLIC
1981-02-07,0,CLIC
1981-02-08,0,CLIC
1981-02-09,0,CLIC
1981-02-10,0,CLIC
1981-02-11,0,CLIC
1981-02-12,0,CLIC
1981-02-13,4,CLIC
1981-02-14,1,CLIC
1981-02-15,0,CLIC
1981-02-16,0.5,CLIC
1981-02-17,0.5,CLIC
1981-02-18,0,CLIC
1981-02-19,0,CLIC
1981-02-20,0,CLIC
1981-02-21,0,CLIC
1981-02-22,0,CLIC
1981-02-23,0,CLIC
1981-02-24,0,CLIC
1981-02-25,0,CLIC
1981-02-26,0,CLIC
1981-02-27,0,CLIC
1981-02-28,0,CLIC
1981-03-01,0,CLIC
1981-03-02,0,CLIC
1981-03-03,0,CLIC
1981-03-04,0,CLIC
1981-03-05,0,CLIC
1981-03-06,0,CLIC
1981-03-07,0,CLIC
1981-03-08,0,CLIC
1981-03-09,5,CLIC
1981-03-10,18,CLIC
1981-03-11,1,CLIC
1981-03-12,0,CLIC
1981-03-13,0,CLIC
1981-03-14,0,CLIC
1981-03-15,0,CLIC
1981-03-16,0,CLIC
1981-03-17,0,CLIC
1981-03-18,0,CLIC
1981-03-19,0,CLIC
1981-03-20,0,CLIC
1981-03-21,0,CLIC
1981-03-22,0,CLIC
1981-03-23,0,CLIC
1981-03-24,0,CLIC
