Estación: ,C19156,LAS PRESITAS. CHINA
Variable: ,Temperatura del Aire (°C)
Longitud: ,98° 44' 00'',Latitud:,25° 30' 00

Fecha,Promedio,Máximo,Mínimo
1981-01-01,15.5,23,8
1981-01-02,14,23,5
1981-01-03,15,24,6
1981-01-04,15.5,24,7
1981-01-05,16,24,8
1981-01-06,20.5,25,16
1981-01-07,15,17,13
1981-01-08,16,19,13
1981-01-09,12.5,14,11
1981-01-10,11,12,10
1981-01-11,11,12,10
1981-01-12,8.5,10,7
1981-01-13,9.5,11,8
1981-01-14,14,19,9
1981-01-15,11.5,18,5
1981-01-16,11,15,7
1981-01-17,9,11,7
1981-01-18,3,4,2
1981-01-19,4,5,3
1981-01-20,9.05,18,0.1
1981-01-21,8,15,1
1981-01-22,8.5,9,8
1981-01-23,10,19,1
1981-01-24,13.5,24,3
1981-01-25,13.5,24,3
1981-01-26,13.5,22,5
1981-01-27,17.5,24,11
1981-01-28,17,27,7
1981-01-29,19,28,10
1981-01-30,16.5,21,12
1981-01-31,20,27,13
1981-02-01,17.5,21,14
1981-02-02,9.5,16,3
1981-02-03,10,15,5
1981-02-04,15,19,11
1981-02-05,15,17,13
1981-02-06,13,15,11
1981-02-07,13,16,10
1981-02-08,16,22,10
1981-02-09,18,27,9
1981-02-10,22,32,12
1981-02-11,6.5,10,3
1981-02-12,4,8,0
1981-02-13,5,7,3
1981-02-14,9.5,13,6
1981-02-15,12,19,5
1981-02-16,12.5,18,7
1981-02-17,17,21,13
1981-02-18,21,27,15
1981-02-19,18.5,22,15
1981-02-20,21.5,29,14
1981-02-21,22,29,15
1981-02-22,19,21,17
1981-02-23,14,25,3
1981-02-24,17.5,27,8
1981-02-25,22.5,30,15
1981-02-26,23.5,30,17
1981-02-27,24.5,30,19
1981-02-28,23,28,18
1981-03-01,22.5,27,18
1981-03-02,22,25,19
1981-03-03,21,22,20
1981-03-04,24.5,31,18
1981-03-05,19.5,28,11
1981-03-06,22.5,29,16
1981-03-07,22,26,18
1981-03-08,19.5,25,14
1981-03-09,18,21,15
1981-03-10,17.5,20,15
1981-03-11,14.5,15,14
1981-03-12,16,20,12
1981-03-13,15,19,11
1981-03-14,14,24,4
1981-03-15,17,24,10
1981-03-16,19,25,13
1981-03-17,19.5,27,12
1981-03-18,17,23,11
1981-03-19,13.5,22,5
1981-03-20,15.5,23,8
1981-03-21,18,27,9
1981-03-22,19.5,27,12
1981-03-23,16.5,22,11
1981-03-24,15,22,8
1981-03-25,20,29,11
1981-03-26,21.5,30,13
1981-03-27,24,31,17
1981-03-28,25.5,31,20
1981-03-29,24,30,18
1981-03-30,25.5,32,19
1981-03-31,27,35,19
1981-04-01,22.5,25,20
1981-04-02,26,31,21
1981-04-03,28.5,36,21
1981-04-04,24,30,18
1981-04-05,20,30,10
1981-04-06,18.5,23,14
1981-04-07,24.5,32,17
1981-04-08,26.5,33,20
1981-04-09,25.5,30,21
1981-04-10,25.5,31,20
1981-04-11,25,29,21
1981-04-12,24,28,20
1981-04-13,27.5,32,23
1981-04-14,24,29,19
1981-04-15,22,23,21
1981-04-16,24.5,29,20
1981-04-17,22.5,25,20
1981-04-18,16.5,23,10
1981-04-19,23.5,30,17
1981-04-20,23.5,28,19
1981-04-21,24.5,28,21
1981-04-22,25,30,20
1981-04-23,22,24,20
1981-04-24,18.5,20,17
1981-04-25,19.5,23,16
1981-04-26,20.5,24,17
1981-04-27,20.5,23,18
1981-04-28,18.5,21,16
1981-04-29,23,30,16
1981-04-30,27,35,19
1981-05-01,25.5,31,20
1981-05-02,24,26,22
1981-05-03,21.5,22,21
1981-05-04,22.5,30,15
1981-05-05,23.5,31,16
1981-05-06,26,32,20
1981-05-07,25.5,30,21
1981-05-08,26.5,31,22
1981-05-09,28.5,34,23
1981-05-10,26,33,19
1981-05-11,21.5,28,15
1981-05-12,25,31,19
1981-05-13,29,35,23
1981-05-14,27.5,33,22
1981-05-15,27.5,32,23
1981-05-16,30,38,22
1981-05-17,32,40,24
1981-05-18,30,35,25
1981-05-19,28,33,23
1981-05-20,24,26,22
1981-05-21,26.5,32,21
1981-05-22,26.5,33,20
1981-05-23,29,34,24
1981-05-24,26,33,19
1981-05-25,27.5,34,21
1981-05-26,29,37,21
1981-05-27,30,36,24
1981-05-28,30,35,25
1981-05-29,29,34,24
1981-05-30,26,32,20
1981-05-31,25.5,30,21
1981-06-01,27.5,35,20
1981-06-02,27,32.5,21.5
1981-06-03,28,33,23
1981-06-04,28.75,33.5,24
1981-06-05,29,35,23
1981-06-06,31.25,38.5,24
1981-06-07,32,39,25
1981-06-08,32,38,26
1981-06-09,32,39,25
1981-06-10,32,37.5,26.5
1981-06-11,28.5,32,25
1981-06-12,29.65,35,24.3
1981-06-13,31.25,36,26.5
1981-06-14,28.5,32,25
1981-06-15,28.5,33,24
1981-06-16,25.5,28,23
1981-06-17,25,30,20
1981-06-18,27.25,33,21.5
1981-06-19,27.5,32,23
1981-06-20,28.75,33.5,24
1981-06-21,29,35,23
1981-06-22,29,34,24
1981-06-23,29.25,35,23.5
1981-06-24,28,34,22
1981-06-25,28,32,24
1981-06-26,24.75,29.5,20
1981-06-27,26.75,33,20.5
1981-06-28,29,36,22
1981-06-29,28.5,34,23
1981-06-30,28.25,34.5,22
1981-07-01,29,35,23
1981-07-02,29,36,22
1981-07-03,30.5,38,23
1981-07-04,29.5,35,24
1981-07-05,30.5,36,25
1981-07-06,30,36,24
1981-07-07,26.5,31,22
1981-07-08,28.5,33,24
1981-07-09,28.5,33,24
1981-07-10,28.5,34,23
1981-07-11,29,37,21
1981-07-12,29.5,36,23
1981-07-13,29.5,35,24
1981-07-14,29.5,36,23
1981-07-15,30.5,37,24
1981-07-16,30,36,24
1981-07-17,29.5,37,22
1981-07-18,30,37,23
1981-07-19,31,38,24
1981-07-20,31.5,38,25
1981-07-21,30.5,37,24
1981-07-22,30.5,38,23
1981-07-23,29.5,34,25
1981-07-24,30.5,38,23
1981-07-25,30,37,23
1981-07-26,28.5,32,25
1981-07-27,27.5,33,22
1981-07-28,28,32,24
1981-07-29,28.5,34,23
1981-07-30,29,34,24
1981-07-31,28.5,33,24
1981-08-01,30,36,24
1981-08-02,30,37,23
1981-08-03,30,36,24
1981-08-04,30,36,24
1981-08-05,31,37,25
1981-08-06,30.5,38,23
1981-08-07,30.5,38,23
1981-08-08,30,37,23
1981-08-09,30.5,37,24
1981-08-10,30.5,38,23
1981-08-11,31,38,24
1981-08-12,30.5,37,24
1981-08-13,30,37,23
1981-08-14,30,37,23
1981-08-15,30.5,38,23
1981-08-16,31.5,39,24
1981-08-17,32.5,40,25
1981-08-18,31,38,24
1981-08-19,31,37,25
1981-08-20,30,37,23
1981-08-21,27,31,23
1981-08-22,28,35,21
1981-08-23,28.5,36,21
1981-08-24,29,36,22
1981-08-25,29,35,23
1981-08-26,27.5,34,21
1981-08-27,27,33,21
1981-08-28,29,35,23
1981-08-29,28.5,33,24
1981-08-30,29,33,25
1981-08-31,29,35,23
1981-09-01,29.5,34,25
1981-09-02,26.5,30,23
1981-09-03,29,34,24
1981-09-04,27.5,32,23
1981-09-05,25.5,28,23
1981-09-06,27,33,21
1981-09-07,28.5,34,23
1981-09-08,26,30,22
1981-09-09,26,30,22
1981-09-10,28.5,34,23
1981-09-11,29,36,22
1981-09-12,29.5,35,24
1981-09-13,29.5,36,23
1981-09-14,30.5,36,25
1981-09-15,28.5,33,24
1981-09-16,29.5,36,23
1981-09-17,24,27,21
1981-09-18,19.5,26,13
1981-09-19,19.25,26.5,12
1981-09-20,22,32,12
1981-09-21,24,34,14
1981-09-22,29,35,23
1981-09-23,28,36,20
1981-09-24,28,35,21
1981-09-25,28,34,22
1981-09-26,27.5,34,21
1981-09-27,28,34,22
1981-09-28,25,31,19
1981-09-29,25.5,30,21
1981-09-30,26,32,20
1981-10-01,27.5,34,21
1981-10-02,27.5,33,22
1981-10-03,28,34,22
1981-10-04,26,32,20
1981-10-05,27,33,21
1981-10-06,29,34,24
1981-10-07,25.5,30,21
1981-10-08,26,31,21
1981-10-09,27.5,33,22
1981-10-10,28,34,22
1981-10-11,25.5,31,20
1981-10-12,26.5,32,21
1981-10-13,27.75,33.5,22
1981-10-14,27,33,21
1981-10-15,28,34,22
1981-10-16,28,36,20
1981-10-17,26.5,32,21
1981-10-18,20.5,27,14
1981-10-19,21.5,27,16
1981-10-20,18.5,24,13
1981-10-21,24,34,14
1981-10-22,19,26,12
1981-10-23,10.05,12.1,8
1981-10-24,12.5,16,9
1981-10-25,16.5,24,9
1981-10-26,18.5,25,12
1981-10-27,18.5,24,13
1981-10-28,17,22,12
1981-10-29,18,28,8
1981-10-30,23,31,15
1981-10-31,23,29,17
1981-11-01,22.5,30,15
1981-11-02,24,32,16
1981-11-03,20.5,28,13
1981-11-04,20.5,29,12
1981-11-05,20.5,30,11
1981-11-06,23.5,31,16
1981-11-07,24.5,29,20
1981-11-08,24.5,30,19
1981-11-09,19,31,7
1981-11-10,13,21,5
1981-11-11,12.5,21,4
1981-11-12,15,22,8
1981-11-13,17.5,25,10
1981-11-14,19.5,27,12
1981-11-15,21,26,16
1981-11-16,24,32,16
1981-11-17,20,30,10
1981-11-18,23,33,13
1981-11-19,20,27,13
1981-11-20,17.5,30,5
1981-11-21,20,30,10
1981-11-22,21.5,29,14
1981-11-23,19,33,5
1981-11-24,20.5,31,10
1981-11-25,22,32,12
1981-11-26,23.5,33,14
