Estación: ,C19160,SAN IGNACIO DE TEXAS
Variable: ,Evaporación (mm)
Longitud: ,100° 11' 26.4'',Latitud:,24° 18' 42.7''

Fecha,Valor,NúmDatos
1981-01-01,3.94,CLIC
1981-01-02,3.53,CLIC
1981-01-03,4.82,CLIC
1981-01-04,2.7,CLIC
1981-01-05,3.65,CLIC
1981-01-06,2.65,CLIC
1981-01-07,2,CLIC
1981-01-08,2.01,CLIC
1981-01-09,3.24,CLIC
1981-01-10,3.71,CLIC
1981-01-11,3.33,CLIC
1981-01-12,2.84,CLIC
1981-01-13,3.1,CLIC
1981-01-14,2.7,CLIC
1981-01-15,3.98,CLIC
1981-01-16,3.7,CLIC
1981-01-17,3.1,CLIC
1981-01-18,1.12,CLIC
1981-01-19,1.78,CLIC
1981-01-20,1.85,CLIC
1981-01-21,1.1,CLIC
1981-01-22,1.3,CLIC
1981-01-23,1.25,CLIC
1981-01-24,1.94,CLIC
1981-01-25,1.85,CLIC
1981-01-26,1.75,CLIC
1981-01-27,3.25,CLIC
1981-01-28,3.35,CLIC
1981-01-29,4.15,CLIC
1981-01-30,4.6,CLIC
1981-01-31,4.65,CLIC
1981-02-01,4.16,CLIC
1981-02-02,3.08,CLIC
1981-02-03,3.01,CLIC
1981-02-04,4.2,CLIC
1981-02-05,4.8,CLIC
1981-02-06,3.2,CLIC
1981-02-07,3.95,CLIC
1981-02-08,4.88,CLIC
1981-02-09,3.17,CLIC
1981-02-10,3.85,CLIC
1981-02-11,3.99,CLIC
1981-02-12,2.81,CLIC
1981-02-13,2.65,CLIC
1981-02-14,2.55,CLIC
1981-02-15,4.3,CLIC
1981-02-16,4.2,CLIC
1981-02-17,3.1,CLIC
1981-02-18,4.88,CLIC
1981-02-19,4.47,CLIC
1981-02-20,5.05,CLIC
1981-02-21,4.98,CLIC
1981-02-22,4.96,CLIC
1981-02-23,4.03,CLIC
1981-02-24,2.94,CLIC
1981-02-25,3.16,CLIC
1981-02-26,3.84,CLIC
1981-02-27,3.9,CLIC
1981-02-28,4.1,CLIC
1981-03-01,3.99,CLIC
1981-03-02,4.31,CLIC
1981-03-03,5.6,CLIC
1981-03-04,5.4,CLIC
1981-03-05,5.22,CLIC
1981-03-06,4.38,CLIC
1981-03-07,4.9,CLIC
1981-03-08,1.5,CLIC
1981-03-09,3.5,CLIC
1981-03-10,4.1,CLIC
1981-03-11,4.9,CLIC
1981-03-12,3.99,CLIC
1981-03-13,3.91,CLIC
1981-03-14,4.2,CLIC
1981-03-15,4.82,CLIC
1981-03-16,2.18,CLIC
1981-03-17,3.4,CLIC
1981-03-18,2.8,CLIC
1981-03-19,4,CLIC
1981-03-20,4.16,CLIC
1981-03-21,6.45,CLIC
1981-03-22,6.09,CLIC
1981-03-23,6.4,CLIC
1981-03-24,6.1,CLIC
1981-03-25,2.86,CLIC
1981-03-26,4.17,CLIC
1981-03-27,4.97,CLIC
1981-03-28,4.9,CLIC
1981-03-29,4.91,CLIC
1981-03-30,4.09,CLIC
1981-03-31,2.8,CLIC
1981-04-01,6.92,CLIC
1981-04-02,6.97,CLIC
1981-04-03,6.59,CLIC
1981-04-04,6.14,CLIC
1981-04-05,3.05,CLIC
1981-04-06,4.85,CLIC
1981-04-07,3.4,CLIC
1981-04-08,4.95,CLIC
1981-04-09,5.65,CLIC
1981-04-10,3.94,CLIC
1981-04-11,4.96,CLIC
1981-04-12,6.26,CLIC
1981-04-13,5.96,CLIC
1981-04-14,6.58,CLIC
1981-04-15,5.3,CLIC
1981-04-16,4.9,CLIC
1981-04-17,6.1,CLIC
1981-04-18,4.6,CLIC
1981-04-19,5.3,CLIC
1981-04-20,4.8,CLIC
1981-04-21,6.8,CLIC
1981-04-22,4.91,CLIC
1981-04-23,5.89,CLIC
1981-04-24,5.5,CLIC
1981-04-25,6.39,CLIC
1981-04-26,5.92,CLIC
1981-04-27,4.44,CLIC
1981-04-28,5.9,CLIC
1981-04-29,5,CLIC
1981-04-30,5.4,CLIC
1981-05-01,5.4,CLIC
1981-05-03,3,CLIC
1981-05-04,6.3,CLIC
1981-05-05,4.57,CLIC
1981-05-06,3.03,CLIC
1981-05-07,5.97,CLIC
1981-05-08,5.03,CLIC
1981-05-09,6.7,CLIC
1981-05-10,4.1,CLIC
1981-05-11,3.7,CLIC
1981-05-12,5.85,CLIC
1981-05-13,6.65,CLIC
1981-05-14,6,CLIC
1981-05-15,6.1,CLIC
1981-05-16,3.9,CLIC
1981-05-17,6.1,CLIC
1981-05-18,5.35,CLIC
1981-05-19,5.65,CLIC
1981-05-20,5.7,CLIC
1981-05-21,5.7,CLIC
1981-05-22,6.6,CLIC
1981-05-23,6.3,CLIC
1981-05-24,5.7,CLIC
1981-05-25,5.2,CLIC
1981-05-26,5.4,CLIC
1981-05-27,5.6,CLIC
1981-05-28,5.9,CLIC
1981-05-29,6.91,CLIC
1981-05-30,6.19,CLIC
1981-05-31,5.82,CLIC
1981-09-01,3.5,CLIC
1981-09-02,4.3,CLIC
1981-09-03,3.9,CLIC
1981-09-04,3.5,CLIC
1981-09-05,3.2,CLIC
1981-09-06,4.1,CLIC
1981-09-07,3.6,CLIC
1981-09-08,2.9,CLIC
1981-09-09,3.1,CLIC
1981-09-10,4.2,CLIC
1981-09-11,3.3,CLIC
1981-09-12,3.9,CLIC
1981-09-13,4.5,CLIC
1981-09-14,3.5,CLIC
1981-09-15,3.9,CLIC
1981-09-16,4.7,CLIC
1981-09-17,4,CLIC
1981-09-18,4.2,CLIC
1981-09-19,4.1,CLIC
1981-09-20,5.9,CLIC
1981-09-21,5.7,CLIC
1981-09-22,6.4,CLIC
1981-09-23,4.3,CLIC
1981-09-24,4.9,CLIC
1981-09-25,4.4,CLIC
1981-09-26,4.5,CLIC
1981-09-27,5.1,CLIC
1981-09-28,4.7,CLIC
1981-09-29,4.3,CLIC
1981-09-30,3.1,CLIC
1982-06-01,3.9,CLIC
1982-06-02,4.9,CLIC
1982-06-03,5.5,CLIC
1982-06-04,5.9,CLIC
1982-06-05,5.6,CLIC
1982-06-06,5,CLIC
1982-06-07,5.4,CLIC
1982-06-08,5.7,CLIC
1982-06-09,4.3,CLIC
1982-06-10,6.8,CLIC
1982-06-11,6.3,CLIC
1982-06-12,6.1,CLIC
1982-06-13,5.8,CLIC
1982-06-14,4.8,CLIC
1982-06-15,4.5,CLIC
1982-06-16,5.6,CLIC
1982-06-17,6.5,CLIC
1982-06-18,6.6,CLIC
1982-06-19,6.2,CLIC
1982-06-20,6.2,CLIC
1982-06-21,7,CLIC
1982-06-22,7.5,CLIC
1982-06-23,5.6,CLIC
1982-06-24,5.9,CLIC
1982-06-25,5.3,CLIC
1982-06-26,6.5,CLIC
1982-06-27,6.3,CLIC
1982-06-28,6.1,CLIC
1982-06-29,6.7,CLIC
1982-06-30,6.9,CLIC
1982-08-01,4.8,CLIC
1982-08-02,4.4,CLIC
1982-08-03,6.9,CLIC
1982-08-04,5.7,CLIC
1982-08-05,6.5,CLIC
1982-08-06,4.9,CLIC
1982-08-07,4.9,CLIC
1982-08-08,5,CLIC
1982-08-09,5,CLIC
1982-08-10,6.8,CLIC
