Estación: ,C19161,LA UNION. GENERAL BRAVO
Variable: ,Temperatura del Aire (°C)
Longitud: ,98° 47' 00'',Latitud:,25° 46' 00

Fecha,Promedio,Máximo,Mínimo
1982-02-01,13.75,24,3.5
1982-02-02,15.5,25,6
1982-02-03,10.25,19.5,1
1982-02-04,8.5,17,0
1982-02-05,8,13,3
1982-02-06,12.5,25,0
1982-02-07,6.75,15,-1.5
1982-02-08,8.25,16.5,0
1982-02-09,12.75,23,2.5
1982-02-10,12.75,23.5,2
1982-02-11,11.5,20,3
1982-02-12,10.75,16,5.5
1982-02-13,9.5,17,2
1982-02-14,9,15,3
1982-02-15,14.5,28,1
1982-02-16,17.5,33,2
1982-02-17,22,34,10
1982-02-18,18,28,8
1982-02-19,15.5,21,10
1982-02-20,13.75,17,10.5
1982-02-21,18,25,11
1982-02-22,18.25,29,7.5
1982-02-23,18.25,27,9.5
1982-02-24,21.5,29.5,13.5
1982-02-25,13.25,16,10.5
1982-02-26,8,10,6
1982-02-27,9.25,15,3.5
1982-02-28,9,17,1
1982-03-03,19.5,31,8
1982-03-04,21.5,34,9
1982-03-05,19.5,29,10
1982-03-06,7.75,11.5,4
1982-03-07,10,18,2
1982-03-08,12.25,20.5,4
1982-03-09,15.25,26,4.5
1982-03-10,18.25,29.5,7
1982-03-11,19,30,8
1982-03-12,20,31,9
1982-03-13,21.5,32,11
1982-03-14,25.75,33.5,18
1982-03-15,25,33,17
1982-03-16,27.25,36.5,18
1982-03-17,24.25,33.5,15
1982-03-18,24.5,32,17
1982-03-19,26,36,16
1982-03-20,25,33,17
1982-03-21,24.75,33.5,16
1982-03-22,19.25,20.5,18
1982-03-23,17,22,12
1982-03-24,20.75,28.5,13
1982-03-25,22,32,12
1982-03-26,14.75,18.5,11
1982-03-27,15,21,9
1982-03-28,13.25,18.5,8
1982-03-29,17.25,27,7.5
1982-03-30,21.75,29.5,14
1982-03-31,20,28,12
1982-04-01,26.25,33.5,19
1982-04-02,23.5,31,16
1982-04-03,20,29,11
1982-04-04,23.5,35,12
1982-04-05,25.25,36.5,14
1982-04-06,22.5,29.5,15.5
1982-04-07,21.5,29,14
1982-04-08,23,31,15
1982-04-09,23.25,32.5,14
1982-04-10,22,28,16
1982-04-11,20,26,14
1982-04-12,21.75,31.5,12
1982-04-13,24.5,36,13
1982-04-14,23.5,33,14
1982-04-15,23.5,35,12
1982-04-16,25.5,36,15
1982-04-17,22,31,13
1982-04-18,22.5,30,15
1982-04-19,25,34,16
1982-04-20,25,35,15
1982-04-21,23.5,36,11
1982-04-22,14.25,17,11.5
1982-04-23,13,18,8
1982-04-24,14.75,21,8.5
1982-04-25,17,25,9
1982-04-26,20.5,30,11
1982-04-27,25,37,13
1982-04-28,23,31,15
1982-04-29,21.25,28.5,14
1982-04-30,22.25,29.5,15
1982-06-01,28.5,34,23
1982-06-02,26.25,32,20.5
1982-06-03,27,33,21
1982-06-04,27,34,20
1982-06-05,27.25,33.5,21
1982-06-06,26.5,33,20
1982-06-07,27,32,22
1982-06-08,27,33,21
1982-06-09,26.75,34,19.5
1982-06-10,27,33,21
1982-06-11,27,34,20
1982-06-12,27.25,33.5,21
1982-06-13,25.25,31,19.5
1982-06-14,26,32,20
1982-06-15,27,35,19
1982-06-16,27,34,20
1982-06-17,28,35,21
1982-06-18,28.75,36,21.5
1982-06-19,27.75,35.5,20
1982-06-20,27.5,34,21
1982-06-21,28,36,20
1982-06-22,28,35,21
1982-06-23,28,36,20
1982-06-24,29,37,21
1982-06-25,28,36,20
1982-06-26,29,37,21
1982-06-27,29,38,20
1982-06-28,28.25,35.5,21
1982-06-29,28.5,36,21
1982-06-30,27.75,35.5,20
2005-03-01,19,26,12
2005-03-02,20.5,27,14
2005-03-03,22,27,17
2005-03-04,20,25,15
2005-03-05,20,25,15
2005-03-06,21,26,16
2005-03-07,19.5,24,15
2005-03-08,20.5,26,15
2005-03-09,20,25,15
2005-03-10,19,26,12
2005-03-11,20.5,27,14
2005-03-12,21,27,15
2005-03-13,20.5,25,16
2005-03-14,20.5,26,15
2005-03-15,18,20,16
2005-03-16,18,26,10
2005-03-17,18,26,10
2005-03-18,18,26,10
2005-03-19,21,28,14
2005-03-20,24,32,16
2005-03-21,23.5,32,15
2005-03-22,23,31,15
2005-03-23,23,32,14
2005-03-24,25,33,17
2005-03-25,25,33,17
2005-03-26,24,33,15
2005-03-27,26.5,37,16
2005-03-28,28,35,21
2005-03-29,27,36,18
2005-03-30,25.5,31,20
2005-03-31,21.5,26,17
