Estación: ,C19163,LAS BRISAS. GRAL. TERAN
Variable: ,Evaporación (mm)
Longitud: ,99° 32' 44.6'',Latitud:,25° 23' 47.9''

Fecha,Valor,NúmDatos
1982-04-01,8.1,CLIC
1982-04-02,5.2,CLIC
1982-04-03,3.6,CLIC
1982-04-04,5,CLIC
1982-04-05,3.5,CLIC
1982-04-06,3.4,CLIC
1982-04-07,3.3,CLIC
1982-04-08,3.4,CLIC
1982-04-09,3.5,CLIC
1982-04-10,3.6,CLIC
1982-04-11,3.4,CLIC
1982-04-12,3.8,CLIC
1982-04-13,7.7,CLIC
1982-04-14,6,CLIC
1982-04-15,5.8,CLIC
1982-04-16,6,CLIC
1982-04-17,3.1,CLIC
1982-04-18,2.2,CLIC
1982-04-19,6.3,CLIC
1982-04-20,7.6,CLIC
1982-04-21,4.2,CLIC
1982-04-22,0.9,CLIC
1982-04-23,0.3,CLIC
1982-04-24,0.6,CLIC
1982-04-25,1.1,CLIC
1982-04-26,5.5,CLIC
1982-04-28,3,CLIC
1982-04-29,0.5,CLIC
1982-06-01,6.7,CLIC
1982-06-02,5.8,CLIC
1982-06-03,6.5,CLIC
1982-06-04,5.6,CLIC
1982-06-05,5.9,CLIC
1982-06-06,5.4,CLIC
1982-06-07,5.8,CLIC
1982-06-08,7.7,CLIC
1982-06-09,6.9,CLIC
1982-06-10,6.4,CLIC
1982-06-11,7.6,CLIC
1982-06-12,8,CLIC
1982-06-13,4,CLIC
1982-06-14,7.6,CLIC
1982-06-15,7.9,CLIC
1982-06-16,5.2,CLIC
1982-06-17,7,CLIC
1982-06-18,6.4,CLIC
1982-06-19,7.2,CLIC
1982-06-20,6.5,CLIC
1982-06-21,6.4,CLIC
1982-06-22,6.6,CLIC
1982-06-23,4.3,CLIC
1982-06-24,6.6,CLIC
1982-06-25,5.4,CLIC
1982-06-26,6,CLIC
1982-06-27,5.9,CLIC
1982-06-28,6,CLIC
1982-06-29,7.7,CLIC
1982-06-30,10.1,CLIC
1982-09-01,8.7,CLIC
1982-09-02,9.6,CLIC
1982-09-03,5.5,CLIC
1982-09-04,5.6,CLIC
1982-09-05,5.1,CLIC
1982-09-06,4.5,CLIC
1982-09-07,5.4,CLIC
1982-09-08,5.1,CLIC
1982-09-09,4.5,CLIC
1982-09-10,5.3,CLIC
1982-09-11,5.1,CLIC
1982-09-12,5.5,CLIC
1982-09-13,5.8,CLIC
1982-09-14,5.2,CLIC
1982-09-15,5.5,CLIC
1982-09-16,3.8,CLIC
1982-09-17,4.4,CLIC
1982-09-18,4.2,CLIC
1982-09-19,5.3,CLIC
1982-09-20,7.9,CLIC
1982-09-21,2.1,CLIC
1982-09-22,4.3,CLIC
1982-09-23,2.6,CLIC
1982-09-24,3.3,CLIC
1982-09-25,4.3,CLIC
1982-09-26,5.4,CLIC
1982-09-27,5.1,CLIC
1982-09-28,4.4,CLIC
1982-09-29,3.6,CLIC
1982-09-30,5,CLIC
1982-10-01,4,CLIC
1982-10-02,4.3,CLIC
1982-10-03,3.8,CLIC
1982-10-04,3.9,CLIC
1982-10-05,4,CLIC
1982-10-06,3.8,CLIC
1982-10-07,1.3,CLIC
1982-10-08,4.2,CLIC
1982-10-09,4.3,CLIC
1982-10-10,1.8,CLIC
1982-10-11,1.1,CLIC
1982-10-12,0.1,CLIC
1982-10-13,0.9,CLIC
1982-10-14,1.4,CLIC
1982-10-15,2.3,CLIC
1982-10-16,2.7,CLIC
1982-10-17,3.1,CLIC
1982-10-18,2.7,CLIC
1982-10-19,2,CLIC
1982-10-20,2.1,CLIC
1982-10-21,3.2,CLIC
1982-10-22,4,CLIC
1982-10-23,1.5,CLIC
1982-10-24,2.5,CLIC
1982-10-25,3.8,CLIC
1982-10-26,2.2,CLIC
1982-10-27,2.7,CLIC
1982-10-28,3.1,CLIC
1982-10-29,2.8,CLIC
1982-10-30,3.3,CLIC
1982-10-31,3.3,CLIC
1982-11-01,2.6,CLIC
1982-11-02,3.7,CLIC
1982-11-03,2.8,CLIC
1982-11-04,2.6,CLIC
1982-11-05,2,CLIC
1982-11-06,2.3,CLIC
1982-11-07,2.7,CLIC
1982-11-08,3,CLIC
1982-11-09,2.8,CLIC
1982-11-10,4.1,CLIC
1982-11-11,3.9,CLIC
1982-11-12,3.5,CLIC
1982-11-13,3,CLIC
1982-11-14,4.2,CLIC
1982-11-15,4.1,CLIC
1982-11-16,2.1,CLIC
1982-11-17,1.5,CLIC
1982-11-18,1.4,CLIC
1982-11-19,2.5,CLIC
1982-11-20,2,CLIC
1982-11-21,1.5,CLIC
1982-11-22,2,CLIC
1982-11-23,5,CLIC
1982-11-24,1,CLIC
1982-11-25,0.3,CLIC
1982-11-26,0.9,CLIC
1982-11-27,0.9,CLIC
1982-11-28,0.4,CLIC
1982-11-29,2.6,CLIC
1982-11-30,1.4,CLIC
1983-01-01,1.6,CLIC
1983-01-02,1,CLIC
1983-01-03,1,CLIC
1983-01-04,0.5,CLIC
1983-01-05,0.6,CLIC
1983-01-06,1.2,CLIC
1983-01-07,0.9,CLIC
1983-01-08,2,CLIC
1983-01-09,1.7,CLIC
1983-01-10,1.4,CLIC
1983-01-11,1.5,CLIC
1983-01-12,2.6,CLIC
1983-01-13,2,CLIC
1983-01-14,1.2,CLIC
1983-01-15,1.4,CLIC
1983-01-16,0.8,CLIC
1983-01-18,0.4,CLIC
1983-01-19,0.2,CLIC
1983-01-20,0.2,CLIC
1983-01-21,0.4,CLIC
1983-01-22,1.2,CLIC
1983-01-23,1.4,CLIC
1983-01-24,2,CLIC
1983-01-25,2,CLIC
1983-01-26,2.7,CLIC
1983-01-27,2.2,CLIC
1983-01-28,1.6,CLIC
1983-01-29,2.5,CLIC
1983-01-30,1.9,CLIC
1983-01-31,3.4,CLIC
1983-02-01,1.4,CLIC
1983-02-02,2.9,CLIC
1983-02-03,0.5,CLIC
1983-02-04,0.1,CLIC
1983-02-05,0.9,CLIC
1983-02-06,2.2,CLIC
1983-02-07,2.3,CLIC
1983-02-08,1.5,CLIC
1983-02-09,3.1,CLIC
1983-02-10,2.9,CLIC
1983-02-11,1.2,CLIC
1983-02-12,1.8,CLIC
1983-02-13,2.4,CLIC
1983-02-14,2.2,CLIC
1983-02-15,3.4,CLIC
1983-02-16,2.3,CLIC
1983-02-17,2.3,CLIC
1983-02-18,2.2,CLIC
1983-02-19,4.4,CLIC
1983-02-20,4.9,CLIC
1983-02-21,2.7,CLIC
1983-02-22,2.8,CLIC
1983-02-23,1.8,CLIC
1983-02-24,1.5,CLIC
1983-02-25,1,CLIC
1983-02-26,1.5,CLIC
1983-02-27,1.7,CLIC
1983-02-28,2.5,CLIC
1983-03-01,2.2,CLIC
1983-03-02,5.4,CLIC
1983-03-03,4.3,CLIC
1983-03-04,5.9,CLIC
1983-03-05,4.7,CLIC
1983-03-06,4.3,CLIC
1983-03-07,4.4,CLIC
1983-03-08,3.8,CLIC
1983-03-09,2.3,CLIC
1983-03-10,2.6,CLIC
1983-03-11,3.5,CLIC
1983-03-12,1.5,CLIC
1983-03-13,2.3,CLIC
1983-03-14,2.8,CLIC
1983-03-15,4.9,CLIC
1983-03-16,5,CLIC
1983-03-17,3.1,CLIC
1983-03-18,3.2,CLIC
1983-03-19,5.4,CLIC
1983-03-20,4.8,CLIC
1983-03-21,4.1,CLIC
1983-03-22,3.9,CLIC
1983-03-23,3.9,CLIC
1983-03-24,4.2,CLIC
1983-03-25,6.4,CLIC
1983-03-26,3.4,CLIC
1983-03-27,3.2,CLIC
1983-03-28,3.8,CLIC
1983-03-29,3.2,CLIC
1983-03-30,4.3,CLIC
1983-03-31,4.9,CLIC
1983-04-01,7.5,CLIC
1983-04-02,5,CLIC
1983-04-03,4.5,CLIC
1983-04-04,5,CLIC
1983-04-05,6.7,CLIC
1983-04-06,5.4,CLIC
1983-04-07,3.1,CLIC
1983-04-08,1.9,CLIC
1983-04-09,3.7,CLIC
1983-04-10,5.7,CLIC
1983-04-11,5.9,CLIC
1983-04-12,5.7,CLIC
1983-04-13,9.3,CLIC
1983-04-14,6,CLIC
1983-04-15,4.8,CLIC
1983-04-16,6,CLIC
1983-04-17,3.8,CLIC
1983-04-18,7.7,CLIC
1983-04-19,6.7,CLIC
1983-04-20,7.2,CLIC
1983-04-21,6.3,CLIC
1983-04-22,6.9,CLIC
1983-04-23,9.2,CLIC
1983-04-24,6,CLIC
1983-04-25,5.9,CLIC
1983-04-26,4.6,CLIC
1983-04-27,4.5,CLIC
1983-04-28,7,CLIC
1983-04-30,6,CLIC
1983-05-01,9.5,CLIC
1983-05-02,13.1,CLIC
1983-05-03,10.1,CLIC
1983-05-04,9.3,CLIC
1983-05-05,7,CLIC
1983-05-06,6.8,CLIC
1983-05-07,6.3,CLIC
1983-05-08,5.9,CLIC
1983-05-09,2.7,CLIC
1983-05-10,4.9,CLIC
1983-05-11,5.8,CLIC
1983-05-12,6.9,CLIC
1983-05-13,6.3,CLIC
1983-05-14,7.9,CLIC
1983-05-15,4.8,CLIC
1983-05-16,8.1,CLIC
1983-05-17,4.5,CLIC
1983-05-18,3.2,CLIC
1983-05-19,5.4,CLIC
1983-05-20,10.7,CLIC
1983-05-21,7.4,CLIC
1983-05-22,4.1,CLIC
1983-05-23,1.5,CLIC
1983-05-24,3.8,CLIC
1983-05-25,9.7,CLIC
1983-05-28,2.8,CLIC
1983-05-29,1.5,CLIC
1983-05-30,5,CLIC
1983-05-31,5.4,CLIC
1983-06-01,3.4,CLIC
1983-06-02,3.8,CLIC
1983-06-03,3.7,CLIC
1983-06-04,3.7,CLIC
1983-06-05,2.8,CLIC
1983-06-06,7.6,CLIC
1983-06-07,1.4,CLIC
1983-06-08,4.8,CLIC
1983-06-09,6.2,CLIC
1983-06-10,7.4,CLIC
1983-06-11,6.1,CLIC
1983-06-12,3.9,CLIC
1983-06-13,5,CLIC
1983-06-14,4.6,CLIC
1983-06-15,5,CLIC
1983-06-16,6.4,CLIC
1983-06-17,6.7,CLIC
1983-06-18,4.8,CLIC
1983-06-19,6.5,CLIC
1983-06-20,5.6,CLIC
1983-06-21,5.9,CLIC
1983-06-22,5.4,CLIC
1983-06-23,5.8,CLIC
1983-06-24,7.7,CLIC
1983-06-25,6.9,CLIC
1983-06-26,6.4,CLIC
1983-06-27,7.6,CLIC
1983-06-28,8,CLIC
1983-06-29,4,CLIC
1983-06-30,7.7,CLIC
1983-07-01,5.9,CLIC
1983-07-02,7.3,CLIC
1983-07-03,7.1,CLIC
1983-07-04,7.5,CLIC
1983-07-05,8,CLIC
1983-07-06,6.9,CLIC
1983-07-07,9.1,CLIC
1983-07-08,7.6,CLIC
1983-07-09,5.6,CLIC
1983-07-10,4.6,CLIC
1983-07-11,5.4,CLIC
1983-07-12,3.4,CLIC
1983-07-13,3.4,CLIC
1983-07-14,5.4,CLIC
1983-07-15,6,CLIC
1983-07-16,4,CLIC
1983-07-17,4.2,CLIC
1983-07-18,4.3,CLIC
1983-07-19,1.6,CLIC
1983-07-20,2.7,CLIC
1983-07-21,5.4,CLIC
1983-07-22,7.1,CLIC
1983-07-23,8.3,CLIC
1983-07-24,8.8,CLIC
1983-07-25,9.1,CLIC
1983-07-26,8.2,CLIC
1983-07-27,9,CLIC
1983-07-28,5.9,CLIC
1983-07-29,6.4,CLIC
1983-07-30,6.6,CLIC
1983-07-31,7.4,CLIC
1983-08-01,7,CLIC
1983-08-02,6,CLIC
1983-08-03,5.1,CLIC
1983-08-04,4.3,CLIC
1983-08-05,4.2,CLIC
1983-08-06,2.5,CLIC
1983-08-07,4.6,CLIC
1983-08-08,7.1,CLIC
1983-08-09,7.2,CLIC
1983-08-10,9.7,CLIC
1983-08-11,11.5,CLIC
1983-08-12,10.5,CLIC
1983-08-13,11.6,CLIC
1983-08-14,10.2,CLIC
1983-08-15,9.6,CLIC
1983-08-16,11,CLIC
1983-08-17,9.2,CLIC
1983-08-18,9,CLIC
1983-08-19,9.1,CLIC
1983-08-20,8.6,CLIC
1983-08-21,9,CLIC
1983-08-22,9.6,CLIC
1983-08-23,8.5,CLIC
1983-08-24,8.9,CLIC
1983-08-25,8,CLIC
1983-08-26,11.7,CLIC
1983-08-27,10.1,CLIC
1983-08-29,3.6,CLIC
1983-08-30,4.6,CLIC
1983-08-31,7.9,CLIC
1983-09-01,5.6,CLIC
1983-09-02,3.3,CLIC
1983-09-03,2.9,CLIC
1983-09-04,4.1,CLIC
1983-09-05,2.9,CLIC
1983-09-06,3.9,CLIC
1983-09-07,3.8,CLIC
1983-09-08,3.9,CLIC
1983-09-09,3.1,CLIC
1983-09-10,3.5,CLIC
1983-09-11,1.5,CLIC
1983-09-12,3,CLIC
1983-09-13,2.3,CLIC
1983-09-14,1.6,CLIC
1983-09-15,2.9,CLIC
1983-09-16,3.3,CLIC
1983-09-17,4.6,CLIC
1983-09-18,2.4,CLIC
1983-09-19,2.3,CLIC
1983-09-20,4.7,CLIC
1983-09-21,1.9,CLIC
1983-09-22,1.4,CLIC
1983-09-23,2,CLIC
1983-09-24,2.8,CLIC
1983-09-25,1.5,CLIC
1983-09-26,1.5,CLIC
1983-09-27,2.8,CLIC
1983-09-28,3,CLIC
1983-09-30,4.4,CLIC
1983-10-01,3.1,CLIC
1983-10-02,1.5,CLIC
1983-10-03,2.5,CLIC
1983-10-04,2.4,CLIC
1983-10-05,3,CLIC
1983-10-06,4.1,CLIC
1983-10-07,3.1,CLIC
1983-10-08,3.7,CLIC
1983-10-09,3.4,CLIC
1983-10-10,2,CLIC
1983-10-11,2.6,CLIC
1983-10-12,3.3,CLIC
1983-10-13,2.9,CLIC
1983-10-14,2.9,CLIC
1983-10-15,2,CLIC
1983-10-16,1.6,CLIC
1983-10-17,2.6,CLIC
1983-10-18,3.4,CLIC
1983-10-19,5.6,CLIC
1983-10-20,4.1,CLIC
1983-10-21,0.6,CLIC
1983-10-22,2.6,CLIC
1983-10-23,2.5,CLIC
1983-10-24,2,CLIC
