Estación: ,C19171,LAMPACITOS. MONTEMORELOS
Variable: ,Evaporación (mm)
Longitud: ,99° 54' 01'',Latitud:,25° 06' 35

Fecha,Valor,NúmDatos
1982-01-01,3.2,CLIC
1982-01-02,4.1,CLIC
1982-01-03,5.8,CLIC
1982-01-04,4.1,CLIC
1982-01-05,4.7,CLIC
1982-01-06,3.6,CLIC
1982-01-07,4.5,CLIC
1982-01-08,1.8,CLIC
1982-01-09,2.1,CLIC
1982-01-10,3,CLIC
1982-01-11,2.5,CLIC
1982-01-12,3.7,CLIC
1982-01-13,3.1,CLIC
1982-01-14,3.1,CLIC
1982-01-15,3.7,CLIC
1982-01-16,2.4,CLIC
1982-01-17,3.9,CLIC
1982-01-18,3.9,CLIC
1982-01-19,6.4,CLIC
1982-01-20,3.9,CLIC
1982-01-21,4.9,CLIC
1982-01-22,4.9,CLIC
1982-01-23,5.1,CLIC
1982-01-24,4.8,CLIC
1982-01-25,4.9,CLIC
1982-01-26,5.5,CLIC
1982-01-27,3.1,CLIC
1982-01-28,5.3,CLIC
1982-01-29,4.8,CLIC
1982-01-30,4.1,CLIC
1982-01-31,4.6,CLIC
1982-02-01,4,CLIC
1982-02-02,3.4,CLIC
1982-02-03,4,CLIC
1982-02-04,3.9,CLIC
1982-02-05,4.4,CLIC
1982-02-06,3.7,CLIC
1982-02-07,1.6,CLIC
1982-02-08,1.4,CLIC
1982-02-09,2.8,CLIC
1982-02-10,3.2,CLIC
1982-02-11,4.6,CLIC
1982-02-12,3.5,CLIC
1982-02-13,4,CLIC
1982-02-14,3.9,CLIC
1982-02-15,4.1,CLIC
1982-02-16,5.4,CLIC
1982-02-17,5.1,CLIC
1982-02-18,4.5,CLIC
1982-02-19,3.1,CLIC
1982-02-20,4.9,CLIC
1982-02-21,5.2,CLIC
1982-02-22,5,CLIC
1982-02-23,4.8,CLIC
1982-02-24,5.3,CLIC
1982-02-25,1.5,CLIC
1982-02-26,2.6,CLIC
1982-02-27,4,CLIC
1982-02-28,4.4,CLIC
1982-03-01,5.6,CLIC
1982-03-02,5.5,CLIC
1982-03-03,6.1,CLIC
1982-03-04,6.4,CLIC
1982-03-05,4.2,CLIC
1982-03-06,3.4,CLIC
1982-03-07,3.7,CLIC
1982-03-08,2.4,CLIC
1982-03-09,4.1,CLIC
1982-03-10,3.9,CLIC
1982-03-11,6.1,CLIC
1982-03-12,5.9,CLIC
1982-03-13,5.1,CLIC
1982-03-14,5.8,CLIC
1982-03-15,5.5,CLIC
1982-03-16,5.6,CLIC
1982-03-17,5.4,CLIC
1982-03-18,5.7,CLIC
1982-03-19,5.9,CLIC
1982-03-20,6,CLIC
1982-03-21,5.5,CLIC
1982-03-22,4,CLIC
1982-03-23,5.8,CLIC
1982-03-24,6.2,CLIC
1982-03-25,5.4,CLIC
1982-03-26,2.8,CLIC
1982-03-27,3.7,CLIC
1982-03-28,3.3,CLIC
1982-03-29,6.1,CLIC
1982-03-30,5.5,CLIC
1982-03-31,5.4,CLIC
1982-12-01,2.8,CLIC
1982-12-02,3.5,CLIC
1982-12-03,5.6,CLIC
1982-12-04,3.4,CLIC
1982-12-05,4,CLIC
1982-12-06,4.9,CLIC
1982-12-07,5.7,CLIC
1982-12-08,3.9,CLIC
1982-12-09,5.7,CLIC
1982-12-10,6,CLIC
1982-12-11,5.2,CLIC
1982-12-12,6.1,CLIC
1982-12-13,6.9,CLIC
1982-12-14,6.8,CLIC
1982-12-15,5.3,CLIC
1982-12-16,5.9,CLIC
1982-12-17,5,CLIC
1982-12-18,7.1,CLIC
1982-12-19,5.2,CLIC
1982-12-20,6.8,CLIC
1982-12-21,4,CLIC
1982-12-22,4.8,CLIC
1982-12-23,3.5,CLIC
1982-12-24,3.7,CLIC
1982-12-25,2.9,CLIC
1982-12-26,3.8,CLIC
1982-12-27,2.7,CLIC
1982-12-28,3.9,CLIC
1982-12-29,4.7,CLIC
1982-12-30,4.5,CLIC
1982-12-31,4.8,CLIC
1983-10-01,7.9,CLIC
1983-10-02,2.4,CLIC
1983-10-03,3.3,CLIC
1983-10-04,2.7,CLIC
1983-10-05,2.8,CLIC
1983-10-06,6.2,CLIC
1983-10-07,4.7,CLIC
1983-10-08,2,CLIC
1983-10-09,5,CLIC
1983-10-10,0.4,CLIC
1983-10-11,2.8,CLIC
1983-10-12,4.5,CLIC
1983-10-13,1.8,CLIC
1983-10-14,3.3,CLIC
1983-10-15,3.3,CLIC
1983-10-16,1.2,CLIC
1983-10-17,2.3,CLIC
1983-10-18,4.7,CLIC
1983-10-19,5.6,CLIC
1983-10-21,1.3,CLIC
1983-10-22,3.1,CLIC
1983-10-23,4.3,CLIC
1983-10-24,3.1,CLIC
1983-10-25,2.8,CLIC
1983-10-26,1.6,CLIC
1983-10-27,2.2,CLIC
1983-10-28,5.4,CLIC
1983-10-29,1.4,CLIC
1983-10-30,2.4,CLIC
1983-10-31,3.1,CLIC
1983-11-01,2.1,CLIC
1983-11-02,1,CLIC
1983-11-03,1.1,CLIC
1983-11-04,0.9,CLIC
1983-11-05,1.9,CLIC
1983-11-06,1.7,CLIC
1983-11-07,2.2,CLIC
1983-11-08,2.4,CLIC
1983-11-09,3,CLIC
1983-11-10,2.5,CLIC
1983-11-11,2.2,CLIC
1983-11-12,3.3,CLIC
