Estación: ,C19172,LAS MONITAS. CERRALVO
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 43' 21.1'',Latitud:,26° 08' 54.4''

Fecha,Promedio,Máximo,Mínimo
1987-11-01,22,28,16
1987-11-02,22,29,15
1987-11-03,22.5,30,15
1987-11-04,21,29,13
1987-11-05,20.5,29,12
1987-11-06,20,27,13
1987-11-07,22.5,28,17
1987-11-08,23,26,20
1987-11-09,14.5,15,14
1987-11-10,12,13,11
1987-11-11,10,18,2
1987-11-12,13.5,25,2
1987-11-13,16.5,23,10
1987-11-14,13.25,21.5,5
1987-11-15,12,23,1
1987-11-16,14.25,26,2.5
1987-11-17,15.75,21.5,10
1987-11-18,15.5,21,10
1987-11-19,16,22,10
1987-11-20,11.5,18,5
1987-11-21,12.5,21,4
1987-11-22,15.5,21,10
1987-11-23,20,26,14
1987-11-24,21.5,24,19
1987-11-25,17.5,23,12
1987-11-26,18,21,15
1987-11-27,12,14,10
1987-11-28,7.5,13,2
1987-11-29,12,15,9
1987-11-30,10.5,16,5
1987-12-01,14.5,20,9
1987-12-02,16,24,8
1987-12-03,18,29,7
1987-12-04,18,28,8
1987-12-05,17.5,27,8
1987-12-06,17,26,8
1987-12-07,17.5,28,7
1987-12-08,17.5,26,9
1987-12-09,15.5,22,9
1987-12-10,18,26,10
1987-12-11,19,31,7
1987-12-12,17.5,26,9
1987-12-13,11,21,1
1987-12-14,11.5,20,3
1987-12-15,7.5,11,4
1987-12-16,5.5,12,-1
1987-12-17,8,14,2
1987-12-18,14.5,24,5
1987-12-19,19,24,14
1987-12-20,18,21,15
1987-12-21,10.5,11,10
1987-12-22,12,19,5
1987-12-23,17.5,25,10
1987-12-24,19,24,14
1987-12-25,9.5,11,8
1987-12-26,5,7,3
1987-12-27,8.5,13,4
1987-12-28,9.5,13,6
1987-12-29,6,11,1
1987-12-30,11.5,18,5
1987-12-31,12.5,18,7
1988-01-01,8.5,9,8
1988-01-02,9.5,15,4
1988-01-03,8,13,3
1988-01-04,7.5,14,1
1988-01-05,6.5,9,4
1988-01-06,9.5,12,7
1988-01-07,10,12,8
1988-01-08,6.5,10,3
1988-01-09,8.5,15,2
1988-01-10,7,12,2
1988-01-11,6,10,2
1988-01-12,9.5,15,4
1988-01-13,9.5,12,7
1988-01-14,8.5,10,7
1988-01-15,11,14,8
1988-01-16,16,22,10
1988-01-17,14.5,21,8
1988-01-18,15,23,7
1988-01-19,15,20,10
1988-01-20,12,22,2
1988-01-21,11,15,7
1988-01-22,6.5,8,5
1988-01-23,7.5,9,6
1988-01-24,5,10,0
1988-01-25,9,16,2
1988-01-26,10.5,20,1
1988-01-27,10.5,20,1
1988-01-28,15,21,9
1988-01-29,17,22,12
1988-01-30,19.5,25,14
1988-01-31,19,24,14
1988-02-01,18.5,26,11
1988-02-02,18.5,25,12
1988-02-03,17.5,23,12
1988-02-04,17.5,23,12
1988-02-05,3.5,4,3
1988-02-06,1,2,0
1988-02-07,3.5,7,0
1988-02-08,7,13,1
1988-02-09,9.5,13,6
1988-02-10,14.5,19,10
1988-02-11,11.5,19,4
1988-02-12,9,16,2
1988-02-13,11,22,0
1988-02-14,14.5,26,3
1988-02-15,16,21,11
1988-02-16,17,24,10
1988-02-17,20.5,26,15
1988-02-18,17,19,15
1988-02-19,13.5,16,11
1988-02-20,16.5,22,11
1988-02-21,17,30,4
1988-02-22,21,26,16
1988-02-23,14.5,23,6
1988-02-24,11.5,19,4
1988-02-25,14.5,16,13
1988-02-26,14.5,18,11
1988-02-27,20.5,26,15
1988-02-28,20,28,12
1988-02-29,20,30,10
1988-03-01,22,30,14
1988-03-02,19.5,25,14
1988-03-03,14.5,18,11
1988-03-04,13.5,18,9
1988-03-05,15.5,26,5
1988-03-06,16.5,26,7
1988-03-07,18,27,9
1988-03-08,21.5,29,14
1988-03-09,18,25,11
1988-03-10,16.5,30,3
1988-03-11,21.5,35,8
1988-03-12,18,28,8
1988-03-13,16.5,24,9
1988-03-14,11.5,16,7
1988-03-15,8,12,4
1988-03-16,14.5,19,10
1988-03-17,19.5,26,13
1988-03-18,11,15,7
1988-03-19,10,20,0
1988-03-20,12.5,24,1
1988-03-21,14.5,25,4
1988-03-22,17,26,8
1988-03-23,18,28,8
1988-03-24,23.5,31,16
1988-03-25,24,30,18
1988-03-26,23.5,32,15
1988-03-27,24,30,18
1988-03-28,24,32,16
1988-03-29,19.5,23,16
1988-03-30,17.5,23,12
1988-03-31,20,29,11
1988-04-01,21.5,28,15
1988-04-02,20.5,30,11
1988-04-03,21.5,31,12
1988-04-04,22.5,34,11
1988-04-05,19,20,18
1988-04-06,18.5,21,16
1988-04-07,17.5,23,12
1988-04-08,17,22,12
1988-04-09,17.5,22,13
1988-04-10,17,23,11
1988-04-11,17.5,27,8
1988-04-12,17.5,29,6
1988-04-13,19.5,30,9
1988-04-14,19.5,24,15
1988-04-15,23.5,31,16
1988-04-16,24.5,32,17
1988-04-17,26,33,19
1988-04-18,22.5,28,17
1988-04-19,20.5,31,10
1988-04-20,23,30,16
1988-04-21,25.5,32,19
1988-04-22,26,34,18
1988-04-23,27,34,20
1988-04-24,27.5,36,19
1988-04-25,23.5,33,14
1988-04-26,22,30,14
1988-04-27,18.5,23,14
1988-04-28,23.5,31,16
1988-04-29,28,36,20
1988-04-30,26,33,19
1988-05-01,25,32,18
1988-05-02,25,33,17
1988-05-03,25,32,18
1988-05-04,24.5,30,19
1988-05-05,25,30,20
1988-05-06,24,28,20
1988-05-07,25,31,19
1988-05-08,26.5,33,20
1988-05-09,27,33,21
1988-05-10,26,30,22
1988-05-11,26,30,22
1988-05-12,22,26,18
1988-05-13,24.5,31,18
1988-05-14,24.5,29,20
1988-05-15,25,31,19
1988-05-16,26,31,21
1988-05-17,25.5,30,21
1988-05-18,26,32,20
1988-05-19,25,30,20
1988-05-20,25.5,30,21
1988-05-21,23,26,20
1988-05-22,23.5,30,17
1988-05-23,24.5,32,17
1988-05-24,26,32,20
1988-05-25,25.5,30,21
1988-05-26,25,30,20
1988-05-27,24.5,30,19
1988-05-28,25.5,30,21
1988-05-29,26,31,21
1988-05-30,26.5,33,20
1988-05-31,26.5,33,20
1988-06-01,26.5,30,23
1988-06-02,28,34,22
1988-06-03,27.5,33,22
1988-06-04,27.5,34,21
1988-06-05,24.5,33,16
1988-06-06,26.5,34,19
1988-06-07,27.5,36,19
1988-06-08,30,38,22
1988-06-09,32,40,24
1988-06-10,27,30,24
1988-06-11,28.5,33,24
1988-06-12,26.5,32,21
1988-06-13,26.5,31,22
1988-06-14,26.5,32,21
1988-06-15,23,24,22
1988-06-16,25,29,21
1988-06-17,25.5,30,21
1988-06-18,26,30,22
1988-06-19,25.5,30,21
1988-06-20,26.5,31,22
1988-06-21,26,30,22
1988-06-22,26,32,20
1988-06-23,26,31,21
1988-06-24,26,32,20
1988-06-25,26,31,21
1988-06-26,25,30,20
1988-06-27,26.5,33,20
1988-06-28,28,34,22
1988-06-29,26,30,22
1988-06-30,25,30,20
1988-07-01,27.5,35,20
1988-07-02,28,34,22
1988-07-03,28.5,36,21
1988-07-04,27,32,22
1988-07-05,28.5,34,23
1988-07-06,28,34,22
1988-07-07,27.5,32,23
1988-07-08,28,33,23
1988-07-09,29,35,23
1988-07-10,27.5,33,22
1988-07-11,27.5,34,21
1988-07-12,28.5,35,22
1988-07-13,29,35,23
1988-07-14,29,35,23
1988-07-15,27,31,23
1988-07-16,28.5,34,23
1988-07-17,28.5,35,22
1988-07-18,29,36,22
1988-07-19,28.5,35,22
1988-07-20,29.5,35,24
1988-07-21,28,35,21
1988-07-22,27,33,21
1988-07-23,27.5,34,21
1988-07-24,28.5,35,22
1988-07-25,29,36,22
1988-07-26,28,34,22
1988-07-27,28,32,24
1988-07-28,26.5,31,22
1988-07-29,28,34,22
1988-07-30,26,32,20
1988-07-31,26,31,21
1988-08-01,27.5,33,22
1988-08-02,28,34,22
1988-08-03,28,33,23
1988-08-04,27.5,32,23
1988-08-05,28,33,23
1988-08-06,27.5,34,21
1988-08-07,28,34,22
1988-08-08,26.5,33,20
1988-08-09,28.5,35,22
1988-08-10,29,37,21
1988-08-11,29.5,36,23
1988-08-12,28.5,35,22
1988-08-13,28.5,34,23
1988-08-14,27.5,33,22
1988-08-15,28,35,21
1988-08-16,28,34,22
1988-08-17,28.5,35,22
1988-08-18,28,35,21
1988-08-19,28,35,21
1988-08-20,28.5,35,22
1988-08-21,28,34,22
1988-08-22,28,33,23
1988-08-23,26.5,31,22
1988-08-24,27,33,21
1988-08-25,28,34,22
1988-08-26,27.5,33,22
1988-08-27,27,33,21
1988-08-28,26.5,32,21
1988-08-29,27.5,33,22
1988-08-30,26,31,21
1988-08-31,26,32,20
1988-09-01,25.5,30,21
1988-09-02,24.5,27,22
1988-09-03,25.5,29,22
1988-09-04,24.5,28,21
1988-09-05,23,30,16
1988-09-06,25,31,19
1988-09-07,24.5,33,16
1988-09-08,24,30,18
1988-09-09,22,30,14
1988-09-10,23,30,16
1988-09-11,23,31,15
1988-09-12,24.5,31,18
1988-09-13,26.5,31,22
1988-09-14,27,32,22
1988-09-15,24.5,31,18
1988-09-16,25.5,32,19
1988-09-17,25,30,20
1988-09-18,25.5,30,21
1988-09-19,27,31,23
1988-09-20,25.5,30,21
1988-09-21,26,32,20
1988-09-22,26,30,22
1988-09-23,26,30,22
1988-09-24,25.5,30,21
1988-09-25,26,30,22
