Estación: ,C19174,SAN BARTOLO. C. JIMENEZ
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 00' 47.7'',Latitud:,25° 32' 49.9''

Fecha,Promedio,Máximo,Mínimo
1983-01-01,16.25,24,8.5
1983-01-02,14,18.5,9.5
1983-01-03,13.75,16,11.5
1983-01-04,14.75,16.5,13
1983-01-05,18,23.5,12.5
1983-01-06,19.25,23.5,15
1983-01-07,17.75,24,11.5
1983-01-08,14.25,20,8.5
1983-01-09,17.25,26,8.5
1983-01-10,12.5,16,9
1983-01-11,9,17,1
1983-01-12,13,23,3
1983-01-13,10.75,18,3.5
1983-01-14,8,15,1
1983-01-15,10,19,1
1983-01-16,10.5,20,1
1983-01-17,7.75,13.5,2
1983-01-18,8,12.5,3.5
1983-01-19,3.75,6.5,1
1983-01-20,4.75,7.5,2
1983-01-21,4.75,7,2.5
1983-01-22,6.5,11,2
1983-01-23,11,22,0
1983-01-24,12.25,16,8.5
1983-01-25,12,16,8
1983-01-26,14,22.5,5.5
1983-01-27,13.25,22.5,4
1983-01-28,15.5,25,6
1983-01-29,16.25,25.5,7
1983-01-30,11,13,9
1983-01-31,4.75,8,1.5
1983-02-24,18.75,27.5,10
1983-02-25,14,18,10
1983-02-26,14.25,20.5,8
1983-02-27,16,27.5,4.5
1983-03-01,17.75,30.5,5
1983-03-02,18.5,30,7
1983-03-03,22.5,33,12
1983-03-04,21.25,33,9.5
1983-03-05,20.25,30,10.5
1983-03-06,19.5,31,8
1983-03-07,19,34,4
1983-03-08,17.5,32,3
1983-03-09,14.5,25,4
1983-03-10,15,23,7
1983-03-11,15.5,27,4
1983-03-12,12.5,20,5
1983-03-13,18,26,10
1983-03-14,17.5,28,7
1983-03-15,19.5,30,9
1983-03-16,18,26,10
1983-03-17,16.25,29.5,3
1983-03-18,14.75,27.5,2
1983-03-19,19.25,34.5,4
1983-03-20,16.5,26,7
1983-03-21,11,17,5
1983-03-22,14.5,22,7
1983-03-23,19.5,29,10
1983-03-24,17.25,28.5,6
1983-03-25,17.5,31,4
1983-03-26,16,29,3
1983-03-27,17,31,3
1983-03-28,16.5,28,5
1983-03-29,18,30,6
1983-03-30,24,32,16
1983-03-31,20,31,9
1983-04-01,31,42,20
1983-04-02,31.5,44,19
1983-04-03,27.5,35,20
1983-04-04,21.25,32.5,10
1983-04-05,21.75,35,8.5
1983-04-06,21,32,10
1983-04-07,22,32,12
1983-04-08,27.25,38,16.5
1983-04-09,23.5,27,20
1983-04-10,26.5,33,20
1983-04-11,28.5,36,21
1983-04-12,29.25,37,21.5
1983-04-13,28.5,37,20
1983-04-14,30.25,41.5,19
1983-04-15,26.5,33,20
1983-04-16,24.75,32.5,17
1983-04-17,26,35,17
1983-04-18,27.25,34.5,20
1983-04-19,28,36,20
1983-04-20,31.25,42,20.5
1983-04-21,30.5,40,21
1983-04-22,28.5,35,22
1983-04-23,24,30,18
1983-04-24,26,32,20
1983-04-25,25.75,32.5,19
1983-04-26,21,24,18
1983-04-27,20,22,18
1983-04-28,19.5,22,17
1983-04-29,22,27,17
1983-04-30,21,26,16
1983-05-01,31,42,20
1983-05-02,31.5,44,19
1983-05-03,27.5,35,20
1983-05-04,21.25,32.5,10
1983-05-05,21.75,35,8.5
1983-05-06,20.75,32,9.5
1983-05-07,22,32,12
1983-05-08,25.25,34,16.5
1983-05-09,23.5,27,20
1983-05-10,26.5,33,20
1983-05-11,28.5,36,21
1983-05-12,29.25,37,21.5
1983-05-13,29,37,21
1983-05-14,30.25,41.5,19
1983-05-15,26.5,33,20
1983-05-16,24.75,32.5,17
1983-05-17,26,35,17
1983-05-18,27.25,34.5,20
1983-05-19,28,36,20
1983-05-20,31.25,42,20.5
1983-05-21,30.75,40,21.5
1983-05-22,28.5,35,22
1983-05-23,24,30,18
1983-05-24,26,32,20
1983-05-25,25.75,32.5,19
1983-05-26,21,24,18
1983-05-27,20,22,18
1983-05-28,19.5,22,17
1983-05-29,22,27,17
1983-05-30,24.5,33,16
1983-05-31,23.5,30,17
1983-06-01,24.25,30,18.5
1983-06-02,26.75,33.5,20
1983-06-03,26.75,33,20.5
1983-06-04,26.75,32.5,21
1983-06-05,27.75,33.5,22
1983-06-06,27.75,33.5,22
1983-06-07,18.5,25,12
1983-06-08,21.5,32.5,10.5
1983-06-09,24.25,33.5,15
1983-06-10,27.5,35,20
1983-06-11,27,34.5,19.5
1983-06-12,25.75,32.5,19
1983-06-13,27,34,20
1983-06-14,28.75,36.5,21
1983-06-15,27,34,20
1983-06-16,27,34,20
1983-06-17,27.5,36,19
1983-06-18,28.5,37,20
1983-06-19,27.5,36,19
1983-06-20,28,36,20
1983-06-21,26,32,20
1983-06-22,27.5,36.5,18.5
1983-06-23,28,37,19
1983-06-24,27.75,35.5,20
1983-06-25,25.75,37,14.5
1983-06-26,30.5,41,20
1983-06-27,29.75,41,18.5
1983-06-28,29.25,38.5,20
1983-06-29,28.75,36.5,21
1983-06-30,25.5,30,21
1983-07-01,29.25,35.5,23
1983-07-02,28.5,35,22
1983-07-03,28,36,20
1983-07-04,26.75,31,22.5
1983-07-05,28,33.5,22.5
1983-07-06,29,38,20
1983-07-07,27.25,37.5,17
1983-07-08,27.5,37.5,17.5
1983-07-09,27.75,36.5,19
1983-07-10,25.75,35,16.5
1983-07-11,25.25,34,16.5
1983-07-12,24,31,17
1983-07-13,26.25,34,18.5
1983-07-14,27.75,35.5,20
1983-07-15,28.75,36,21.5
1983-07-16,28.5,35,22
1983-07-17,28.25,35,21.5
1983-07-18,26.25,32,20.5
1983-07-19,25.5,30,21
1983-07-20,25.5,31,20
1983-07-21,26,32.5,19.5
1983-07-22,26.5,34.5,18.5
1983-07-23,26.75,35,18.5
1983-07-24,28.5,36,21
1983-07-25,28.25,36,20.5
1983-07-26,27.25,36,18.5
1983-07-27,29,39,19
1983-07-28,29.5,37,22
1983-07-29,30,37,23
1983-07-30,30,36.5,23.5
1983-07-31,29.25,37,21.5
1983-08-01,27.5,35.5,19.5
1983-08-02,26.5,35,18
1983-08-03,25.25,31.5,19
1983-08-04,27.75,36,19.5
1983-08-05,28,36.5,19.5
1983-08-06,26,33,19
1983-08-07,27,34,20
1983-08-08,27.75,35.5,20
1983-08-09,28.5,36,21
1983-08-10,29.25,36.5,22
1983-08-11,26.5,32,21
1983-08-12,28.5,36,21
1983-08-13,29,36,22
1983-08-14,25.75,31,20.5
1983-08-15,27.25,35,19.5
1983-08-16,28.25,37.5,19
1983-08-17,28,37,19
1983-08-18,28,39,17
1983-08-19,24.75,38.5,11
1983-08-20,22.75,33,12.5
1983-08-21,29.5,38,21
1983-08-22,29,38,20
1983-08-23,28.25,38,18.5
1983-08-24,27,36,18
1983-08-25,29,37,21
1983-08-26,27.75,36,19.5
1983-08-27,28.25,38,18.5
1983-08-28,27,35,19
1983-08-29,26,32.5,19.5
1983-08-30,26.25,33.5,19
1983-08-31,26.75,34,19.5
1983-09-01,27.5,37,18
1983-09-02,26,35,17
1983-09-03,27,36,18
1983-09-04,26.25,35,17.5
1983-09-05,27.5,36,19
1983-09-06,26.5,35,18
1983-09-07,28,36,20
1983-09-08,27,33,21
1983-09-09,25,30,20
1983-09-10,26.5,32,21
1983-09-11,25.5,30,21
1983-09-12,24.5,31,18
1983-09-13,28,37,19
1983-09-14,25,32,18
1983-09-15,24,31,17
1983-09-16,24.5,31,18
1983-09-17,26,32,20
1983-09-18,27,33,21
1983-09-19,27,34,20
1983-09-20,26.5,35,18
1983-09-21,22.5,29,16
1983-09-22,17.5,25,10
1983-09-23,18.5,28,9
1983-09-24,18.5,27,10
1983-09-25,21,28,14
1983-09-26,25,32,18
1983-09-27,25,30,20
1983-09-28,24.5,28,21
1983-09-29,22.5,26,19
1983-09-30,23,30,16
1983-10-01,28.25,37,19.5
1983-10-02,27.25,35,19.5
1983-10-03,27,35.5,18.5
1983-10-04,26.75,35,18.5
1983-10-05,27.5,36,19
1983-10-06,28,36.5,19.5
1983-10-07,27.75,35.5,20
1983-10-08,26.5,33,20
1983-10-09,25.5,30.5,20.5
1983-10-10,26.5,32,21
1983-10-11,25.75,30,21.5
1983-10-12,24.5,31,18
1983-10-13,27.75,37,18.5
1983-10-14,28.25,37.5,19
1983-10-15,24.75,31.5,18
1983-10-16,25.5,33,18
1983-10-17,26.25,32.5,20
1983-10-18,27.25,33,21.5
1983-10-19,28,34.5,21.5
1983-10-20,27.5,35,20
1983-10-21,19.25,20,18.5
1983-10-22,17.5,25,10
1983-10-23,18.75,28,9.5
1983-10-24,18.5,27,10
1983-10-25,21.25,28.5,14
1983-10-26,25.25,32,18.5
1983-10-27,25,30,20
1983-10-28,24,28,20
1983-10-29,23,26.5,19.5
1983-10-30,21,24,18
1983-10-31,21.5,26,17
1983-11-01,22.5,28,17
1983-11-02,23,29,17
1983-11-03,23.25,29.5,17
1983-11-04,22,27,17
1983-11-05,24.75,32,17.5
1983-11-06,23.25,29.5,17
1983-11-07,25.25,31,19.5
1983-11-08,22,29,15
1983-11-09,25.5,32,19
1983-11-10,20,28.5,11.5
1983-11-11,15,26,4
1983-11-12,17.5,31,4
1983-11-13,17.5,30,5
1983-11-14,18,32,4
1983-11-15,27,40,14
1983-11-16,20,30,10
1983-11-17,30,40,20
1983-11-18,20,30,10
1983-11-19,24.5,35,14
1983-11-20,15.5,25,6
1983-11-21,19.75,31.5,8
1983-11-22,18.75,34.5,3
1983-11-23,17.25,23,11.5
