Estación: ,C19176,OJO DE AGUA. BUSTAMANTE
Variable: ,Evaporación (mm)
Longitud: ,100° 31' 04'',Latitud:,26° 32' 09

Fecha,Valor,NúmDatos
1985-06-01,9.8,CLIC
1985-06-02,10.1,CLIC
1985-06-03,10.1,CLIC
1985-06-04,0.1,CLIC
1985-06-05,5,CLIC
1985-06-06,3.5,CLIC
1985-06-07,8,CLIC
1985-06-08,9.3,CLIC
1985-06-09,8.2,CLIC
1985-06-10,14.4,CLIC
1985-06-11,6.6,CLIC
1985-06-12,0.6,CLIC
1985-06-13,2.5,CLIC
1985-06-14,8.9,CLIC
1985-06-15,8,CLIC
1985-06-16,10.1,CLIC
1985-06-17,7.1,CLIC
1985-06-18,7.9,CLIC
1985-06-19,1.1,CLIC
1985-06-20,14.1,CLIC
1985-06-21,0.2,CLIC
1985-06-22,3.3,CLIC
1985-06-23,7,CLIC
1985-06-24,12.6,CLIC
1985-06-25,9,CLIC
1985-06-26,5.9,CLIC
1985-06-27,5.5,CLIC
1985-06-28,0.9,CLIC
1985-06-29,6.3,CLIC
1985-06-30,7.7,CLIC
