Estación: ,C19179,CERRITO DEL AIRE
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 13' 56'',Latitud:,23° 35' 37

Fecha,Promedio,Máximo,Mínimo
1983-11-11,13,19,7
1983-11-12,14,22,6
1983-11-13,12.5,21,4
1983-11-14,13.5,22,5
1983-11-15,13,23,3
1983-11-16,13,20,6
1983-11-17,12,21,3
1983-11-18,13.5,23,4
1983-11-19,11.5,17,6
1983-11-20,5.5,10,1
1983-11-21,12,22,2
1983-11-22,13.5,20,7
1983-11-23,11,13,9
1983-11-24,8.5,14,3
1983-11-25,10,20,0
1983-11-26,11.5,22,1
1983-11-27,15,23,7
1983-11-28,8,15,1
1983-11-29,12,22,2
1983-11-30,14.5,21,8
1983-12-01,13.5,19,8
1983-12-02,16.5,24,9
1983-12-03,15.5,22,9
1983-12-04,12,21,3
1983-12-05,12,21,3
1983-12-06,13,18,8
1983-12-07,12,15,9
1983-12-08,8,12,4
1983-12-09,15,20,10
1983-12-10,15,23,7
1983-12-11,19,27,11
1983-12-12,14.5,23,6
1983-12-13,11.5,19,4
1983-12-14,11,20,2
1983-12-15,11.5,20,3
1983-12-16,10.5,15,6
1983-12-17,13,20,6
1983-12-18,10,15,5
1983-12-19,11,20,2
1983-12-20,13,20,6
1983-12-21,13,25,1
1983-12-22,8,15,1
1983-12-23,15.5,30,1
1983-12-24,5.5,10,1
1983-12-25,6,20,-8
1983-12-26,9,22,-4
1983-12-27,11,22,0
1983-12-28,10,20,0
1983-12-29,9.5,18,1
1983-12-30,11,18,4
1983-12-31,10,16,4
1984-01-01,10,20,0
1984-01-02,5.5,11,0
1984-01-03,8,10,6
1984-01-04,12,17,7
1984-01-05,15,23,7
1984-01-06,15,24,6
1984-01-07,11,16,6
1984-01-08,14,21,7
1984-01-09,10.5,18,3
1984-01-10,7.5,12,3
1984-01-11,6.5,11,2
1984-01-12,11,20,2
1984-01-13,3.5,10,-3
1984-01-14,8.5,18,-1
1984-01-15,9.5,15,4
1984-01-16,15,23,7
1984-01-17,14.5,25,4
1984-01-18,15.5,26,5
1984-01-19,10.5,16,5
1984-01-20,9.5,15,4
1984-01-21,11,19,3
1984-01-22,9,15,3
1984-01-23,13.5,22,5
1984-01-24,15,22,8
1984-01-25,13.5,18,9
1984-01-26,11,19,3
1984-01-27,12,21,3
1984-01-28,15.5,23,8
1984-01-29,16,23,9
1984-01-30,15,20,10
1984-01-31,9.5,11,8
1984-02-01,11.5,16,7
1984-02-02,14.5,21,8
1984-02-03,13.5,20,7
1984-02-04,14,23,5
1984-02-05,13,19,7
1984-02-06,10,17,3
1984-02-07,6,10,2
1984-02-08,10,19,1
1984-02-09,11,20,2
1984-02-10,12,21,3
1984-02-11,12,22,2
1984-02-12,13,23,3
1984-02-13,13,24,2
1984-02-14,13,25,1
1984-02-15,12.5,23,2
1984-02-16,13.5,24,3
1984-02-17,13.5,23,4
1984-02-18,15.5,26,5
1984-02-19,14,23,5
1984-02-20,15,22,8
1984-02-21,7,14,0
1984-02-22,11.5,20,3
1984-02-23,12,23,1
1984-02-24,13,24,2
1984-02-25,13,22,4
1984-02-26,13,23,3
1984-02-27,9,16,2
1984-02-28,7.5,12,3
1984-02-29,11,18,4
1984-03-01,12,22,2
1984-03-02,11.5,23,0
1984-03-03,13,24,2
1984-03-04,15,28,2
1984-03-05,14.5,25,4
1984-03-06,11,20,2
1984-03-07,8.5,15,2
1984-03-08,11.5,21,2
1984-03-09,12.5,20,5
1984-03-10,11,19,3
1984-03-11,11,19,3
1984-03-12,13.5,24,3
1984-03-13,14,26,2
1984-03-14,13,22,4
1984-03-15,13,23,3
1984-03-16,14,23,5
1984-03-17,14,26,2
1984-03-18,15.5,27,4
1984-03-19,14,24,4
1984-03-20,10,16,4
1984-03-21,11.5,20,3
1984-03-22,13.5,23,4
1984-03-23,12,21,3
1984-03-24,14.5,27,2
1984-03-25,14,23,5
1984-03-26,13.5,24,3
1984-03-27,12,20,4
1984-03-28,11.5,20,3
1984-03-29,8,14,2
1984-03-30,13,24,2
1984-03-31,12.5,22,3
1984-04-01,15,20,10
1984-04-02,15,20,10
1984-04-03,16.5,25,8
1984-04-04,16,21,11
1984-04-05,17.5,23,12
1984-04-06,18,24,12
1984-04-07,15,20,10
1984-04-08,14,22,6
1984-04-09,13.5,23,4
1984-04-10,15.5,26,5
1984-04-11,15,26,4
1984-04-12,17,28,6
1984-04-13,17,26,8
1984-04-14,16.5,27,6
1984-04-15,16,20,12
1984-04-16,16,24,8
1984-04-17,14.5,23,6
1984-04-18,16,23,9
1984-04-19,15,25,5
1984-04-20,17.5,27,8
1984-04-21,17,28,6
1984-04-22,14.5,23,6
1984-04-23,18,25,11
1984-04-24,19,25,13
1984-04-25,17,24,10
1984-04-26,17,25,9
1984-04-27,16.5,23,10
1984-04-28,19,30,8
1984-04-29,21,28,14
1984-04-30,18.5,27,10
1984-05-01,19.5,29,10
1984-05-02,20.5,27,14
1984-05-03,19,25,13
1984-05-04,19.5,27,12
1984-05-05,18,26,10
1984-05-06,18.5,26,11
1984-05-07,21.5,30,13
1984-05-08,18.5,25,12
1984-05-09,15.5,23,8
1984-05-10,15,24,6
1984-05-11,15.5,24,7
1984-05-12,14.5,20,9
1984-05-13,16.5,23,10
1984-05-14,16.5,23,10
1984-05-15,17,24,10
1984-05-16,17,23,11
1984-05-17,13.5,17,10
1984-05-18,17.5,24,11
1984-05-19,17.5,23,12
1984-05-20,15.5,20,11
1984-05-21,17,24,10
1984-05-22,19,27,11
1984-05-23,15.5,21,10
1984-05-24,16.5,22,11
1984-05-25,18,20,16
1984-05-26,16,20,12
1984-05-27,15,20,10
1984-05-28,13.5,21,6
1984-05-29,12.5,20,5
1984-05-30,14,22,6
1984-05-31,15,23,7
1984-06-01,12.5,20,5
1984-06-02,14.5,24,5
1984-06-03,14,20,8
1984-06-04,14,20,8
1984-06-05,19,24,14
1984-06-06,18,28,8
1984-06-07,15,20,10
1984-06-08,14,21,7
1984-06-09,18,21,15
1984-06-10,18,20,16
1984-06-11,18,21,15
1984-06-12,16.5,21,12
1984-06-13,17.5,21,14
1984-06-14,19,24,14
1984-06-15,19,23,15
1984-06-16,17.5,22,13
1984-06-17,20,25,15
1984-06-18,20,24,16
1984-06-19,19,24,14
1984-06-20,13,20,6
1984-06-21,20,25,15
1984-06-22,17,21,13
1984-06-23,18.5,24,13
1984-06-24,19,24,14
1984-06-25,21,28,14
1984-06-26,19.5,26,13
1984-06-27,20,26,14
1984-06-28,21,27,15
1984-06-29,18.5,22,15
1984-06-30,18.5,21,16
1984-07-01,17.5,23,12
1984-07-02,16,21,11
1984-07-03,15.5,21,10
1984-07-04,17.5,20,15
1984-07-05,16,19,13
1984-07-06,18.5,23,14
1984-07-07,17,21,13
1984-07-08,19.5,24,15
1984-07-09,19.5,24,15
1984-07-10,18.5,22,15
1984-07-11,18,21,15
1984-07-12,18,21,15
1984-07-13,15,17,13
1984-07-14,15,20,10
1984-07-15,14,20,8
1984-07-16,14.5,21,8
1984-07-17,15,24,6
1984-07-18,13,20,6
1984-07-19,16,26,6
1984-07-20,19.5,27,12
1984-07-21,17,20,14
1984-07-22,17,27,7
1984-07-23,17.5,21,14
1984-07-24,18,23,13
1984-07-25,17.5,25,10
1984-07-26,17,21,13
1984-07-27,18.5,22,15
1984-07-28,19,24,14
1984-07-29,13,19,7
1984-07-30,19,24,14
1984-07-31,18.5,23,14
1984-08-01,17.5,21,14
1984-08-02,19.5,25,14
1984-08-03,18,20,16
1984-08-04,19,23,15
1984-08-05,15.5,21,10
1984-08-06,18,22,14
1984-08-07,17.5,22,13
1984-08-08,17.5,24,11
1984-08-09,16.5,23,10
1984-08-10,18.5,23,14
1984-08-11,17.5,24,11
1984-08-12,15,20,10
1984-08-13,21,27,15
1984-08-14,15,19,11
1984-08-15,18,22,14
1984-08-16,15.5,21,10
1984-08-17,17.5,22,13
1984-08-18,18,21,15
1984-08-19,16.5,21,12
1984-08-20,15,20,10
1984-08-21,17,22,12
1984-08-22,16.5,22,11
1984-08-23,16.5,19,14
1984-08-24,17.5,22,13
1984-08-25,17,23,11
1984-08-26,19.5,24,15
1984-08-27,19.5,26,13
1984-08-28,18.5,23,14
1984-08-29,19,24,14
1984-08-30,15.5,18,13
1984-08-31,16.5,20,13
1984-09-01,20,27,13
1984-09-02,19,26,12
1984-09-03,18,24,12
1984-09-04,18,21,15
1984-09-05,17.5,20,15
1984-09-06,16,21,11
1984-09-07,19.5,25,14
1984-09-08,18,21,15
1984-09-09,18,21,15
1984-09-10,18,24,12
1984-09-11,15,19,11
1984-09-12,18.5,24,13
1984-09-13,16.5,21,12
1984-09-14,16,21,11
1984-09-15,15,20,10
1984-09-16,14,21,7
1984-09-17,14.5,19,10
1984-09-18,15.5,20,11
1984-09-19,13,19,7
1984-09-20,16,21,11
1984-09-21,18.25,22.5,14
1984-09-22,16.5,20,13
1984-09-23,17.75,22.5,13
1984-09-24,21,27,15
1984-09-25,17,22,12
1984-09-26,18,22.5,13.5
1984-09-27,20.5,26.5,14.5
1984-09-28,20,26,14
1984-09-29,16.75,20,13.5
1984-09-30,17.5,22,13
1984-10-01,15.5,19,12
1984-10-02,18.5,24,13
1984-10-03,19,24.5,13.5
1984-10-04,20.5,26.5,14.5
1984-10-05,17.5,24.5,10.5
1984-10-06,16.75,21.5,12
1984-10-07,15.75,18.5,13
1984-10-08,14.75,17,12.5
