Estación: ,C19185,EL CANADA
Variable: ,Evaporación (mm)
Longitud: ,100° 16' 34'',Latitud:,25° 48' 05

Fecha,Valor,NúmDatos
1997-09-01,8.3,CLIC
1997-09-02,7.77,CLIC
1997-09-03,9.23,CLIC
1997-09-04,2.55,CLIC
1997-09-05,5.42,CLIC
1997-09-06,4.27,CLIC
1997-09-07,3.41,CLIC
1997-09-08,5.29,CLIC
1997-09-09,6.28,CLIC
1997-09-10,4.93,CLIC
1997-09-11,7.21,CLIC
1997-09-12,9.29,CLIC
1997-09-13,5.88,CLIC
1997-09-14,10.19,CLIC
1997-09-15,9.13,CLIC
1997-09-16,10.6,CLIC
1997-09-17,9.03,CLIC
1997-09-18,8.87,CLIC
1997-09-19,8.67,CLIC
1997-09-20,6.53,CLIC
1997-09-21,3.63,CLIC
1997-09-22,3.03,CLIC
1997-09-23,7.74,CLIC
1997-09-24,2.68,CLIC
1997-09-25,5.25,CLIC
1997-09-26,6.31,CLIC
1997-09-27,6.66,CLIC
1997-09-28,7.08,CLIC
1997-09-29,7.5,CLIC
1997-09-30,6.09,CLIC
1997-10-01,5.76,CLIC
1997-10-02,6.56,CLIC
1997-10-03,4.54,CLIC
1997-10-04,6.22,CLIC
1997-10-05,3.48,CLIC
1997-10-06,5.35,CLIC
1997-10-07,1.4,CLIC
1997-10-08,5.7,CLIC
1997-10-09,3.38,CLIC
1997-10-10,4.4,CLIC
1997-10-11,0.52,CLIC
1997-10-12,3.14,CLIC
1997-10-13,3.03,CLIC
1997-10-14,3.65,CLIC
1997-10-15,5.19,CLIC
1997-10-16,3.25,CLIC
1997-10-17,5.72,CLIC
1997-10-18,4.76,CLIC
1997-10-19,4.97,CLIC
1997-10-20,4.39,CLIC
1997-10-21,3.6,CLIC
1997-10-22,2.98,CLIC
1997-10-23,4.54,CLIC
1997-10-24,6.4,CLIC
1997-10-25,8.44,CLIC
1997-10-26,3.59,CLIC
1997-10-27,4.23,CLIC
1997-10-28,1,CLIC
1997-10-29,1.89,CLIC
1997-10-30,2.89,CLIC
1997-10-31,6.29,CLIC
1998-01-01,3.2,CLIC
1998-01-02,2.69,CLIC
1998-01-03,1.54,CLIC
1998-01-04,3.17,CLIC
1998-01-05,2,CLIC
1998-01-06,3.94,CLIC
1998-01-07,3.36,CLIC
1998-01-08,2.78,CLIC
1998-01-09,3.13,CLIC
1998-01-10,4.87,CLIC
1998-01-11,3.65,CLIC
1998-01-12,2.95,CLIC
1998-01-13,2.13,CLIC
1998-01-14,3.05,CLIC
