Estación: ,C19259,LAS ENRAMADAS II
Variable: ,Evaporación (mm)
Longitud: ,99° 31' 04'',Latitud:,25° 30' 06

Fecha,Valor,NúmDatos
2008-06-01,8.31,CLIC
2008-06-02,9.48,CLIC
2008-06-03,8.64,CLIC
2008-06-04,9.89,CLIC
2008-06-05,7.69,CLIC
2008-06-06,5.34,CLIC
2008-06-07,5.08,CLIC
2008-06-08,3.84,CLIC
2008-06-09,6.23,CLIC
2008-06-10,4.83,CLIC
2008-06-11,7.65,CLIC
2008-06-12,6.56,CLIC
2008-06-13,8.97,CLIC
2008-06-14,8.16,CLIC
2008-06-15,7.99,CLIC
2008-06-16,8.02,CLIC
2008-06-17,7.68,CLIC
2008-06-18,6.66,CLIC
2008-06-19,8.51,CLIC
2008-06-20,7.87,CLIC
2008-06-21,5.54,CLIC
2008-06-22,8.95,CLIC
2008-06-23,5.21,CLIC
2008-06-24,10.04,CLIC
2008-06-25,10.81,CLIC
2008-06-26,9.99,CLIC
2008-06-27,9.06,CLIC
2008-06-28,8.85,CLIC
2008-06-29,9.11,CLIC
2008-06-30,4.67,CLIC
2008-07-01,5.27,CLIC
2008-07-02,5.22,CLIC
2008-07-03,3.43,CLIC
2008-07-04,1.3,CLIC
2008-07-05,2.41,CLIC
2008-07-06,1.54,CLIC
2008-07-07,2.08,CLIC
2008-07-08,1.49,CLIC
2008-07-09,4,CLIC
2008-07-10,5.49,CLIC
2008-07-11,7.17,CLIC
2008-07-12,7.67,CLIC
2008-07-13,6.8,CLIC
2008-07-14,7.22,CLIC
2008-07-15,6.6,CLIC
2008-07-16,5.65,CLIC
2008-07-17,5.26,CLIC
2008-07-18,2.89,CLIC
2008-07-19,6.75,CLIC
2008-07-20,6.13,CLIC
2008-07-21,7.3,CLIC
2008-07-22,6.34,CLIC
2008-07-23,4.12,CLIC
2008-07-24,3.22,CLIC
2008-07-25,9.1,CLIC
2008-07-26,10.03,CLIC
2008-07-27,7.21,CLIC
2008-07-28,7.02,CLIC
2008-07-29,6.27,CLIC
2008-07-30,6.17,CLIC
2008-07-31,6.5,CLIC
2008-08-01,3.9,CLIC
2008-08-02,8.48,CLIC
2008-08-03,7.47,CLIC
2008-08-04,6.96,CLIC
2008-08-05,5.79,CLIC
2008-08-06,7.4,CLIC
2008-08-07,5.69,CLIC
2008-08-08,6.47,CLIC
2008-08-09,5.61,CLIC
2008-08-10,7.99,CLIC
2008-08-11,7.03,CLIC
2008-08-12,6.77,CLIC
2008-08-13,5.33,CLIC
2008-08-14,3.85,CLIC
2008-08-15,3.11,CLIC
2008-08-16,8.1,CLIC
2008-08-17,2.47,CLIC
2008-08-18,1.95,CLIC
2008-08-19,4.16,CLIC
2008-08-20,4.35,CLIC
2008-08-21,4.67,CLIC
2008-08-22,4.48,CLIC
2008-08-23,0.26,CLIC
2008-08-24,0.97,CLIC
2008-08-25,1.11,CLIC
2008-08-26,2.03,CLIC
2008-08-27,0.62,CLIC
2008-08-28,4.63,CLIC
2008-08-29,3.81,CLIC
2008-08-30,1.23,CLIC
2008-08-31,3.93,CLIC
2008-09-01,4.11,CLIC
2008-09-02,4.46,CLIC
2008-09-03,4.51,CLIC
2008-09-04,4.39,CLIC
2008-09-05,2.46,CLIC
2008-09-06,4.41,CLIC
2008-09-07,4.54,CLIC
2008-09-08,1.03,CLIC
2008-09-09,4.23,CLIC
2008-09-10,4.67,CLIC
2008-09-11,2.85,CLIC
2008-09-12,2.11,CLIC
2008-09-13,10.17,CLIC
2008-09-14,335.88,CLIC
2008-09-15,-32.46,CLIC
2008-09-16,5.24,CLIC
2008-09-17,2.84,CLIC
2008-09-18,3.7,CLIC
2008-09-19,3.22,CLIC
2008-09-20,3.71,CLIC
2008-09-21,3.67,CLIC
2008-09-22,1.87,CLIC
2008-09-23,1.8,CLIC
2008-09-24,1.78,CLIC
2008-09-25,3.8,CLIC
2008-09-26,3.1,CLIC
2008-09-27,3.2,CLIC
2008-09-28,2.31,CLIC
2008-09-29,4.49,CLIC
2008-09-30,2.85,CLIC
2008-10-01,3.52,CLIC
2008-10-02,4.68,CLIC
2008-10-03,4.21,CLIC
2008-10-04,2.29,CLIC
2008-10-05,4.1,CLIC
2008-10-06,4.66,CLIC
2008-10-07,3.01,CLIC
2008-10-08,0.75,CLIC
2008-10-09,9.2,CLIC
2008-10-10,2.21,CLIC
2008-10-11,3.23,CLIC
2008-10-12,4.53,CLIC
2008-10-13,3.96,CLIC
2008-10-14,3.11,CLIC
2008-10-15,3.13,CLIC
2008-10-16,1.11,CLIC
2008-10-17,2.57,CLIC
2008-10-18,1.35,CLIC
2008-10-19,6.14,CLIC
