Estación: ,C19259,LAS ENRAMADAS II
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 31' 04'',Latitud:,25° 30' 06

Fecha,Promedio,Máximo,Mínimo
2008-05-23,33.5,45,22
2008-05-24,31.5,40.5,22.5
2008-05-25,32.25,40,24.5
2008-05-26,31.5,39.5,23.5
2008-05-27,31.5,39.5,23.5
2008-05-28,31.25,39.5,23
2008-05-29,28.75,37,20.5
2008-05-30,30,39,21
2008-05-31,30.5,40.5,20.5
2008-06-01,31.25,40.5,22
2008-06-02,31.75,41,22.5
2008-06-03,31.75,41,22.5
2008-06-04,32,41.5,22.5
2008-06-05,32,41.5,22.5
2008-06-06,31.5,39,24
2008-06-07,31,37,25
2008-06-08,28.25,34,22.5
2008-06-09,29.75,37.5,22
2008-06-10,30.75,39,22.5
2008-06-11,30,37.5,22.5
2008-06-12,30,38.5,21.5
2008-06-13,31,40.5,21.5
2008-06-14,31,39.5,22.5
2008-06-15,31.75,41.5,22
2008-06-16,32.25,42,22.5
2008-06-17,31.5,41,22
2008-06-18,32,40.5,23.5
2008-06-19,32.75,42.5,23
2008-06-20,32,40.5,23.5
2008-06-21,31.25,39.5,23
2008-06-22,29.75,38.5,21
2008-06-23,30.75,40.5,21
2008-06-24,30.75,40,21.5
2008-06-25,30.75,39.5,22
2008-06-26,31.25,40.5,22
2008-06-27,31.75,41.5,22
2008-06-28,31,40,22
2008-06-29,31,40,22
2008-06-30,30,38.5,21.5
2008-07-01,30.25,38.5,22
2008-07-02,30.25,38.5,22
2008-07-03,28,33.5,22.5
2008-07-04,26.25,30.5,22
2008-07-05,26.5,31.5,21.5
2008-07-06,26,31,21
2008-07-07,26,31,21
2008-07-08,25.5,29.5,21.5
2008-07-09,27,32.5,21.5
2008-07-10,27.25,33.5,21
2008-07-11,28.5,36.5,20.5
2008-07-12,29,38,20
2008-07-13,29.75,39,20.5
2008-07-14,30,39.5,20.5
2008-07-15,30.5,39,22
2008-07-16,30,39.5,20.5
2008-07-17,28.75,37,20.5
2008-07-18,28.5,35.5,21.5
2008-07-19,29,36.5,21.5
2008-07-20,29.5,37.5,21.5
2008-07-21,30.25,39.5,21
2008-07-22,29.25,38,20.5
2008-07-23,27,33.5,20.5
2008-07-24,29.5,35.5,23.5
2008-07-25,30.75,39.5,22
2008-07-26,30.75,40,21.5
2008-07-27,30.5,40.5,20.5
2008-07-28,30.25,40.5,20
2008-07-29,29.75,39.5,20
2008-07-30,30.75,40,21.5
2008-07-31,31,39.5,22.5
2008-08-01,31.5,39.5,23.5
2008-08-02,31.75,41,22.5
2008-08-03,31,41.5,20.5
2008-08-04,30.5,40.5,20.5
2008-08-05,30.5,40.5,20.5
2008-08-06,31,40.5,21.5
2008-08-07,30.5,39.5,21.5
2008-08-08,31.75,41.5,22
2008-08-09,31,40,22
2008-08-10,31.5,41.5,21.5
2008-08-11,31.5,41.5,21.5
2008-08-12,31.5,40.5,22.5
2008-08-13,31,40,22
2008-08-14,31,39.5,22.5
2008-08-15,30.5,37.5,23.5
2008-08-16,32,40.5,23.5
2008-08-17,30,36.5,23.5
2008-08-18,33,43,23
2008-08-19,31.5,39.5,23.5
2008-08-20,29.75,38,21.5
2008-08-21,29,36.5,21.5
2008-08-22,30,36.5,23.5
2008-08-23,28,33,23
2008-08-24,26,30.5,21.5
2008-08-25,25.25,28,22.5
2008-08-26,26.5,31.5,21.5
2008-08-27,27.5,33.5,21.5
2008-08-28,29.25,36.5,22
2008-08-29,28.25,35,21.5
2008-08-30,27.25,32.5,22
2008-08-31,27.5,34.5,20.5
2008-09-01,28.25,36,20.5
2008-09-02,29.5,38.5,20.5
2008-09-03,29.25,38,20.5
2008-09-04,28.25,35.5,21
2008-09-05,29.5,36.5,22.5
2008-09-06,28,34.5,21.5
2008-09-07,28.5,35.5,21.5
2008-09-08,27.75,33.5,22
2008-09-09,28.5,35.5,21.5
2008-09-10,29,35.5,22.5
2008-09-11,28.25,33.5,23
2008-09-12,29.5,35,24
2008-09-13,32,39.5,24.5
2008-09-14,27.5,32.5,22.5
2008-09-15,21.75,24.5,19
2008-09-16,22.25,28.5,16
2008-09-17,22.75,30.5,15
2008-09-18,23,31.5,14.5
2008-09-19,23.5,31.5,15.5
2008-09-20,24.25,32.5,16
2008-09-21,25.25,33,17.5
2008-09-22,24,29.5,18.5
2008-09-23,25.25,30.5,20
2008-09-24,23.5,25.5,21.5
2008-09-25,24.75,29.5,20
2008-09-26,23.5,30.5,16.5
2008-09-27,23.25,31.5,15
2008-09-28,23.75,32.5,15
2008-09-29,23.25,31.5,15
2008-09-30,24,33.5,14.5
2008-10-01,24.5,35.5,13.5
2008-10-02,24.5,35.5,13.5
2008-10-03,23.75,34.5,13
2008-10-04,24.75,33.5,16
2008-10-05,25.5,34.5,16.5
2008-10-06,25.5,34.5,16.5
2008-10-07,26,33.5,18.5
2008-10-08,26.25,33,19.5
2008-10-09,23.75,33.5,14
2008-10-10,24,33.5,14.5
2008-10-11,25.25,34.5,16
2008-10-12,28,34.5,21.5
2008-10-13,29,35.5,22.5
2008-10-14,28.25,34.5,22
2008-10-15,27,33,21
2008-10-16,21.5,23.5,19.5
2008-10-17,24,29.5,18.5
2008-10-18,22.75,30,15.5
2008-10-19,21.75,31.5,12
2008-10-20,21.5,31.5,11.5
2008-10-21,21.25,31.5,11
2008-10-22,22.5,32.5,12.5
2008-10-23,21,27.5,14.5
2008-10-24,19.25,29,9.5
2008-10-25,20.5,31.5,9.5
2008-10-26,23,33.5,12.5
2008-10-27,21.75,28,15.5
2008-10-28,17.75,26.5,9
2008-10-29,14,22.5,5.5
2008-10-30,18,30.5,5.5
2008-10-31,21,30.5,11.5
2008-11-01,22,30.5,13.5
2008-11-02,22.5,29.5,15.5
2008-11-03,22.5,31.5,13.5
2008-11-04,22,31.5,12.5
2008-11-05,21.75,32,11.5
2008-11-06,20.5,29.5,11.5
2008-11-07,19.75,28.5,11
2008-11-08,19,27.5,10.5
2008-11-09,18.75,27,10.5
2008-11-10,24.5,32.5,16.5
2008-11-11,25,33.5,16.5
2008-11-12,22.75,30.5,15
2008-11-13,22,29.5,14.5
2008-11-14,19.5,29.5,9.5
2008-11-15,17.25,24.5,10
2008-11-16,13,23.5,2.5
2008-11-17,14.5,26.5,2.5
2008-11-18,15,27.5,2.5
2008-11-19,15.75,29,2.5
2008-11-20,16.75,30.5,3
2008-11-21,10.25,13,7.5
2008-11-22,11.5,15.5,7.5
2008-11-23,18,27.5,8.5
2008-11-24,18,27.5,8.5
2008-11-25,17,25.5,8.5
2008-11-26,21,29.5,12.5
2008-11-27,21,31,11
2008-11-28,20.5,29.5,11.5
2008-11-29,21.25,28.5,14
2008-11-30,17,26.5,7.5
2009-01-01,16.75,24.5,9
2009-01-02,20.5,31.5,9.5
2009-01-03,21,32.5,9.5
2009-01-04,21,31.5,10.5
2009-01-05,13.75,16.5,11
2009-01-06,17,26,8
2009-01-07,16.25,28.5,4
2009-01-08,18.75,33.5,4
2009-01-09,18.5,31.5,5.5
2009-01-10,17,24.5,9.5
2009-01-11,15.25,20.5,10
2009-01-12,12.75,23.5,2
2009-01-13,11.25,21.5,1
2009-01-14,11.75,24.5,-1
2009-01-15,9.25,19.5,-1
2009-01-16,14,23.5,4.5
2009-01-17,16.5,21.5,11.5
2009-01-18,17,25.5,8.5
2009-01-19,19.25,31.5,7
2009-01-20,16,27.5,4.5
2009-01-21,15.25,28.5,2
2009-01-22,15.75,30,1.5
2009-01-23,18.5,34,3
2009-01-24,18.5,26.5,10.5
2009-01-25,22.5,33.5,11.5
2009-01-26,21,31.5,10.5
2009-01-27,22.5,32.5,12.5
2009-01-28,16.25,23,9.5
2009-01-29,17,29.5,4.5
2009-01-30,14.25,22.5,6
2009-01-31,17.75,24.5,11
2009-02-01,18.75,30.5,7
2009-02-02,17.25,27.5,7
2009-02-03,14.25,28.5,0
2009-02-04,14,28.5,-0.5
2009-02-05,15.5,29.5,1.5
2009-02-06,12,21.5,2.5
2009-02-07,11.5,20.5,2.5
2009-02-08,17.75,28.5,7
2009-02-09,20.25,31,9.5
2009-02-10,23.5,34.5,12.5
2009-02-11,20.25,29,11.5
2009-02-12,19.5,32.5,6.5
2009-02-13,21,35.5,6.5
2009-02-14,22.75,33.5,12
2009-02-15,17.75,23.5,12
2009-02-16,16,18.5,13.5
2009-02-17,20.25,27,13.5
2009-02-18,22,30.5,13.5
2009-02-19,20,26.5,13.5
2009-02-20,18.5,23.5,13.5
2009-02-21,20.5,27.5,13.5
2009-02-22,13.5,22.5,4.5
2009-02-23,14.25,27.5,1
2009-02-24,17,33.5,0.5
2009-02-25,21.75,38.5,5
2009-02-26,22.25,37,7.5
2009-02-27,25.5,39.5,11.5
2009-02-28,18.5,23.5,13.5
2009-03-01,14.5,22.5,6.5
2009-03-02,10.75,22.5,-1
2009-03-03,15.5,31.5,-0.5
2009-03-04,18,33.5,2.5
2009-03-05,20.5,34.5,6.5
2009-03-06,21.5,33.5,9.5
2009-03-07,22.75,33.5,12
2009-03-08,22.5,31.5,13.5
2009-03-09,26,35.5,16.5
2009-03-10,24.75,34.5,15
2009-03-11,22.75,30.5,15
2009-03-12,11,14.5,7.5
2009-03-13,11.25,15.5,7
2009-03-14,14.25,21.5,7
2009-03-15,13.5,18.5,8.5
2009-03-16,20,31.5,8.5
2009-03-17,17.25,24,10.5
2009-03-18,22,30.5,13.5
