Estación: ,C19262,SAN CARLOS
Variable: ,Evaporación (mm)
Longitud: ,99° 47' 41.1'',Latitud:,26° 34' 00

Fecha,Valor,NúmDatos
1997-01-01,0.8,CLIC
1997-01-02,3.44,CLIC
1997-01-03,4.03,CLIC
1997-01-04,6.53,CLIC
1997-01-05,4.63,CLIC
1997-01-06,1.92,CLIC
1997-01-07,0.68,CLIC
1997-01-08,0.54,CLIC
1997-01-09,3.8,CLIC
1997-01-10,2.58,CLIC
1997-01-11,1.78,CLIC
1997-01-12,7.09,CLIC
1997-01-13,1,CLIC
1997-01-14,1,CLIC
1997-01-15,3.08,CLIC
1997-01-16,1.76,CLIC
1997-01-17,0.66,CLIC
1997-01-18,1.93,CLIC
1997-01-19,0.96,CLIC
1997-01-20,1.54,CLIC
1997-01-21,1.9,CLIC
1997-01-22,2.17,CLIC
1997-01-23,2.2,CLIC
1997-01-24,2.1,CLIC
1997-01-25,5.89,CLIC
1997-01-26,2.83,CLIC
1997-01-27,5.79,CLIC
1997-01-28,3.08,CLIC
1997-01-29,2.05,CLIC
1997-01-30,3.56,CLIC
1997-01-31,2.55,CLIC
1997-02-01,0.99,CLIC
1997-02-02,3.66,CLIC
1997-02-03,3.92,CLIC
1997-02-04,5.51,CLIC
1997-02-05,2.42,CLIC
1997-02-06,0.59,CLIC
1997-02-07,3.56,CLIC
1997-02-08,1.85,CLIC
1997-02-09,3.32,CLIC
1997-02-10,1.58,CLIC
1997-02-11,2.22,CLIC
1997-02-12,6.03,CLIC
1997-02-13,1.97,CLIC
1997-02-14,1.91,CLIC
1997-02-15,1.37,CLIC
1997-02-16,2.15,CLIC
1997-02-17,4.95,CLIC
1997-02-18,3.75,CLIC
1997-02-19,6.58,CLIC
1997-02-20,5.51,CLIC
1997-02-21,11.31,CLIC
1997-02-22,4.4,CLIC
1997-02-23,3.55,CLIC
1997-02-24,0.54,CLIC
1997-02-25,0.71,CLIC
1997-02-26,5.5,CLIC
1997-02-27,3.87,CLIC
1997-02-28,3.98,CLIC
1997-03-01,4.55,CLIC
1997-03-02,1,CLIC
1997-03-03,3.75,CLIC
1997-03-04,6.01,CLIC
1997-03-05,3.94,CLIC
1997-03-06,1.58,CLIC
1997-03-07,4,CLIC
1997-03-08,1.52,CLIC
1997-03-09,6,CLIC
1997-03-10,7.2,CLIC
1997-03-11,5,CLIC
1997-03-12,1.63,CLIC
1997-03-13,5.07,CLIC
1997-03-14,6.89,CLIC
1997-03-15,1.71,CLIC
1997-03-16,1.34,CLIC
1997-03-17,0.78,CLIC
1997-03-18,1.82,CLIC
1997-03-19,4.18,CLIC
1997-03-20,6.22,CLIC
1997-03-21,6.22,CLIC
1997-03-22,4.8,CLIC
1997-03-23,3.34,CLIC
1997-03-24,6.98,CLIC
1997-03-25,8.02,CLIC
1997-03-26,2.21,CLIC
1997-03-27,1.89,CLIC
1997-03-28,8.2,CLIC
1997-03-29,4.53,CLIC
1997-03-30,2.5,CLIC
1997-03-31,1.48,CLIC
1997-04-01,0.99,CLIC
1997-04-02,3.86,CLIC
1997-04-03,2.55,CLIC
1997-04-04,2.33,CLIC
1997-04-05,1.73,CLIC
1997-04-06,8.25,CLIC
1997-04-07,6.14,CLIC
1997-04-08,3.39,CLIC
1997-04-09,4.11,CLIC
1997-04-10,2.14,CLIC
1997-04-11,8.52,CLIC
1997-04-12,5.24,CLIC
