Estación: ,C19263,LA MORITA
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 26' 51'',Latitud:,25° 41' 16

Fecha,Promedio,Máximo,Mínimo
1997-07-01,23,33,13
1997-07-02,19.5,29,10
1997-07-03,20,27,13
1997-07-04,21,31,11
1997-07-05,21.5,29,14
1997-07-06,23.5,31,16
1997-07-07,20,29,11
1997-07-08,22,31,13
1997-07-09,22.5,30,15
1997-07-10,21.5,31,12
1997-07-11,21.5,29,14
1997-07-12,21.5,32,11
1997-07-13,22.5,30,15
1997-07-14,20.5,28,13
1997-07-15,20.5,30,11
1997-07-16,23,33,13
1997-07-17,23,31,15
1997-07-18,20,27,13
1997-07-19,21,31,11
1997-07-20,21.5,29,14
1997-07-21,21,32,10
1997-07-22,21,29,13
1997-07-23,22.5,34,11
1997-07-24,21,28,14
1997-07-25,19.5,27,12
1997-07-26,19.5,29,10
1997-07-27,22,31,13
1997-07-28,20,29,11
1997-07-29,20,27,13
1997-07-30,19.5,29,10
1997-07-31,20.5,30,11
1997-08-01,20,29,11
1997-08-02,18.5,27,10
1997-08-03,21,30,12
1997-08-04,21.5,29,14
1997-08-05,19.5,27,12
1997-08-06,20.5,31,10
1997-08-07,21,29,13
1997-08-08,21,31,11
1997-08-09,22,29,15
1997-08-10,21,31,11
1997-08-11,23,33,13
1997-08-12,24,31,17
1997-08-13,21,29,13
1997-08-14,21,31,11
1997-08-15,20.5,28,13
1997-08-16,20,30,10
1997-08-17,22.5,33,12
1997-08-18,23,31,15
1997-08-19,21,29,13
1997-08-20,20.5,31,10
1997-08-21,21,29,13
1997-08-22,19,27,11
1997-08-23,20.5,31,10
1997-08-24,20.5,29,12
1997-08-25,21,31,11
1997-08-26,20.5,28,13
1997-08-27,20,30,10
1997-08-28,19.5,28,11
1997-08-29,21.5,30,13
1997-08-30,19.5,29,10
1997-08-31,20.5,29,12
1997-09-01,20.5,29,12
1997-09-02,20.5,31,10
1997-09-03,22,33,11
1997-09-04,21,29,13
1997-09-05,19,27,11
1997-09-06,19.5,29,10
1997-09-07,21.5,31,12
1997-09-08,19,28,10
1997-09-09,20.5,30,11
1997-09-10,22,31,13
1997-09-11,21.5,33,10
1997-09-12,22,32,12
1997-09-13,21.5,29,14
1997-09-14,20.5,31,10
1997-09-15,21,30,12
1997-09-16,21,28,14
1997-09-17,20,30,10
1997-09-18,21.5,31,12
1997-09-19,21.5,29,14
1997-09-20,20.5,31,10
1997-09-21,20,28,12
1997-09-22,18.5,26,11
1997-09-23,19,28,10
1997-09-24,19,26,12
1997-09-25,19,28,10
1997-09-26,19,26,12
1997-09-27,19,28,10
1997-09-28,19,26,12
1997-09-29,19,28,10
1997-09-30,24.5,36,13
1997-10-01,20,30,10
1997-10-02,20,28,12
1997-10-03,18.5,27,10
1997-10-04,21,29,13
1997-10-05,18.5,27,10
1997-10-06,18,25,11
1997-10-07,18,27,9
1997-10-08,20,29,11
1997-10-09,20,27,13
1997-10-10,17,24,10
1997-10-11,17.5,26,9
1997-10-12,17.5,24,11
1997-10-13,18,26,10
1997-10-14,17,23,11
1997-10-15,15.5,24,7
1997-10-16,17.5,26,9
1997-10-17,12.5,18,7
1997-10-18,12.5,20,5
1997-10-19,17,26,8
1997-10-20,17.5,22,13
1997-10-21,17,24,10
1997-10-22,16.5,21,12
1997-10-23,17,25,9
1997-10-24,19,27,11
1997-10-25,19,25,13
1997-10-26,17,23,11
1997-10-27,17,25,9
1997-10-28,16.5,23,10
1997-10-29,17,25,9
1997-10-30,19.5,28,11
1997-10-31,21,29,13
1997-11-01,17.5,23,12
1997-11-02,17.5,25,10
1997-11-03,17.5,23,12
1997-11-04,17.5,25,10
1997-11-05,17.5,23,12
1997-11-06,15,21,9
1997-11-07,17,23,11
1997-11-08,15,21,9
1997-11-09,11.555,23,0.11
1997-11-10,18,27,9
1997-11-11,15,23,7
1997-11-12,17.5,25,10
1997-11-13,18,23,13
1997-11-14,15,21,9
1997-11-15,11.5,16,7
1997-11-16,10,15,5
1997-11-17,8.5,13,4
1997-11-18,11.5,17,6
1997-11-19,13,17,9
1997-11-20,11,15,7
1997-11-21,11.5,18,5
1997-11-22,16,23,9
1997-11-23,16,21,11
1997-11-24,16,24,8
1997-11-25,17.5,22,13
1997-11-26,16.5,24,9
1997-11-27,17,21,13
1997-11-28,17.5,24,11
1997-11-29,19.5,26,13
1997-11-30,19,23,15
1997-12-01,14.5,22,7
1997-12-02,16.5,24,9
1997-12-03,16.5,22,11
1997-12-04,17,25,9
1997-12-05,18,23,13
1997-12-06,15,21,9
1997-12-07,15.5,19,12
1997-12-08,14,21,7
1997-12-09,15,18,12
1997-12-10,12.5,16,9
1997-12-11,14,21,7
1997-12-12,9.5,20,-1
1997-12-13,10.5,18,3
1997-12-14,10.5,16,5
1997-12-15,12,17,7
1997-12-16,12,15,9
1997-12-17,9.5,17,2
1997-12-18,13.5,21,6
1997-12-19,17.5,23,12
1997-12-20,15.5,20,11
1997-12-21,15.5,22,9
1997-12-22,15.5,20,11
1997-12-23,15,22,8
1997-12-24,15.5,20,11
1997-12-25,13.5,18,9
1997-12-26,16.5,23,10
1997-12-27,13.5,19,8
1997-12-28,16.5,22,11
1997-12-29,15.5,21,10
1997-12-30,15.5,23,8
1997-12-31,16,20,12
1998-01-01,14,19,9
1998-01-02,17,23,11
1998-01-03,18.5,24,13
1998-01-04,15,20,10
1998-01-05,14,21,7
1998-01-06,17,23,11
1998-01-07,17.5,22,13
1998-01-08,14.5,20,9
1998-01-09,12,18,6
1998-01-10,13.5,23,4
1998-01-11,15.5,21,10
1998-01-12,14.5,16,13
1998-01-13,14,18,10
1998-01-14,12.5,20,5
1998-01-15,13.5,17,10
1998-01-16,11,18,4
1998-01-17,14,21,7
1998-01-18,14.5,20,9
1998-01-19,15,19,11
1998-01-20,14,21,7
1998-01-21,14,19,9
1998-01-22,14,21,7
1998-01-23,13.5,18,9
1998-01-24,11.5,19,4
1998-01-25,12,17,7
1998-01-26,11.5,16,7
1998-01-27,11,18,4
1998-01-28,13,20,6
1998-01-29,14,18,10
1998-01-30,13.5,20,7
1998-01-31,14.5,20,9
1998-02-01,12,17,7
1998-02-02,11,15,7
1998-02-03,11,17,5
1998-02-04,13,19,7
1998-02-05,15,21,9
1998-02-06,13.5,19,8
1998-02-07,13.5,17,10
1998-02-08,12.5,18,7
1998-02-09,11.5,18,5
1998-02-10,12,17,7
1998-02-11,13,20,6
1998-02-12,12,17,7
1998-02-13,12,15,9
1998-02-14,11.5,18,5
1998-02-15,11.5,16,7
1998-02-16,11.5,18,5
1998-02-17,12.5,16,9
1998-02-18,13,19,7
1998-02-19,12,15,9
1998-02-20,11,17,5
1998-02-21,12.5,18,7
1998-02-22,12.5,16,9
1998-02-23,10.5,14,7
1998-02-24,11.5,18,5
1998-02-25,14.5,20,9
1998-02-26,16,21,11
1998-02-27,14,19,9
1998-02-28,14,21,7
1998-03-01,13,19,7
1998-03-02,14,19,9
1998-03-03,11.5,18,5
1998-03-04,14.5,17,12
1998-03-05,12.5,16,9
1998-03-06,12,15,9
1998-03-07,12,17,7
1998-03-08,13,17,9
1998-03-09,13,15,11
1998-03-10,12,17,7
1998-03-11,9,13,5
1998-03-12,9.5,15,4
1998-03-13,10.5,15,6
1998-03-14,9.5,15,4
1998-03-15,12,17,7
1998-03-16,14,19,9
1998-03-17,14,17,11
1998-03-18,11.5,15,8
1998-03-19,12.5,19,6
1998-03-20,13.5,17,10
1998-03-21,11.5,16,7
1998-03-22,13,17,9
1998-03-23,13,19,7
1998-03-24,15,20,10
1998-03-25,17,22,12
1998-03-26,15.5,18,13
1998-03-27,13.5,19,8
1998-03-28,16,22,10
1998-03-29,17.5,23,12
1998-03-30,15,21,9
1998-03-31,16,19,13
1998-04-01,14,19,9
1998-04-02,14,17,11
1998-04-03,13,19,7
1998-04-04,15,21,9
1998-04-05,15,19,11
1998-04-06,16,22,10
1998-04-07,16.5,20,13
1998-04-08,14,19,9
1998-04-09,14,17,11
1998-04-10,14,21,7
1998-04-11,15,19,11
1998-04-12,15,21,9
1998-04-13,14.5,18,11
1998-04-14,15.5,22,9
1998-04-15,18,24,12
1998-04-16,14.5,19,10
1998-04-17,14.5,21,8
1998-04-18,15,19,11
1998-04-19,13,17,9
1998-04-20,12.5,18,7
1998-04-21,15,21,9
1998-04-22,15,19,11
1998-04-23,15,21,9
1998-04-24,17,23,11
1998-04-25,16,19,13
1998-04-26,16,22,10
1998-04-27,15,18,12
1998-04-28,16.5,23,10
1998-04-29,16,21,11
1998-04-30,15,17,13
1998-05-01,16.5,20,13
1998-05-02,16.5,22,11
1998-05-03,16,23,9
1998-05-04,17,21,13
1998-05-05,17,23,11
1998-05-06,19,25,13
1998-05-07,19,23,15
1998-05-08,17,22,12
1998-05-09,15,20,10
1998-05-10,17,23,11
1998-05-11,17,21,13
1998-05-12,17,23,11
1998-05-13,17,21,13
1998-05-14,17.5,24,11
1998-05-15,18,23,13
1998-05-16,16,21,11
1998-05-17,18,23,13
1998-05-18,20,25,15
1998-05-19,19.5,26,13
1998-05-20,19.5,24,15
1998-05-21,19,26,12
1998-05-22,19.5,25,14
1998-05-23,21,26,16
1998-05-24,18.5,23,14
1998-05-25,18.5,25,12
1998-05-26,19.5,24,15
1998-05-27,19.5,26,13
1998-05-28,20,25,15
1998-05-29,19.5,26,13
1998-05-30,21.5,27,16
1998-05-31,20,23,17
