Estación: ,C19265,Las Adjuntas (Hualahuises)
Variable: ,Precipitación (mm)
Longitud: ,99° 40' 50'',Latitud:,24° 53' 06

Fecha,Valor,NúmDatos
1997-07-01,0,CLIC
1997-07-02,0,CLIC
1997-07-03,0,CLIC
1997-07-04,0,CLIC
1997-07-05,6.8,CLIC
1997-07-06,0,CLIC
1997-07-07,1.5,CLIC
1997-07-08,0,CLIC
1997-07-09,0,CLIC
1997-07-10,0,CLIC
1997-07-11,0,CLIC
1997-07-12,0,CLIC
1997-07-13,0,CLIC
1997-07-14,0,CLIC
1997-07-15,0,CLIC
1997-07-16,0,CLIC
1997-07-17,0,CLIC
1997-07-18,0,CLIC
1997-07-19,0,CLIC
1997-07-20,0,CLIC
1997-07-21,0,CLIC
1997-07-22,0,CLIC
1997-07-24,11.8,CLIC
1997-07-25,0,CLIC
1997-07-26,0,CLIC
1997-07-27,0,CLIC
1997-07-28,0,CLIC
1997-07-29,0,CLIC
1997-07-30,0,CLIC
1997-07-31,0,CLIC
1997-08-01,0,CLIC
1997-08-02,8,CLIC
1997-08-03,0,CLIC
1997-08-05,0,CLIC
1997-08-06,0,CLIC
1997-08-07,0,CLIC
1997-08-08,0,CLIC
1997-08-09,0,CLIC
1997-08-10,0,CLIC
1997-08-11,0,CLIC
1997-08-12,0,CLIC
1997-08-13,0.2,CLIC
1997-08-14,0,CLIC
1997-08-15,0,CLIC
1997-08-16,0,CLIC
1997-08-17,0,CLIC
1997-08-18,0,CLIC
1997-08-19,0,CLIC
1997-08-20,0,CLIC
1997-08-21,0,CLIC
1997-08-22,0,CLIC
1997-08-23,0,CLIC
1997-08-24,2,CLIC
1997-08-26,3.5,CLIC
1997-08-27,0,CLIC
1997-08-28,0,CLIC
1997-08-29,48.5,CLIC
1997-08-30,0,CLIC
1997-09-01,0,CLIC
1997-09-02,0,CLIC
1997-09-03,0,CLIC
1997-09-04,16.1,CLIC
1997-09-06,43,CLIC
1997-09-07,46.4,CLIC
1997-09-08,0,CLIC
1997-09-09,0,CLIC
1997-09-10,2,CLIC
1997-09-11,0,CLIC
1997-09-12,0,CLIC
1997-09-13,0,CLIC
1997-09-14,0,CLIC
1997-09-15,0,CLIC
1997-09-16,0,CLIC
1997-09-17,0,CLIC
1997-09-18,0,CLIC
1997-09-19,0,CLIC
1997-09-20,4.2,CLIC
1997-09-21,1,CLIC
1997-09-22,1,CLIC
1997-09-23,32,CLIC
1997-09-24,2,CLIC
1997-09-26,0,CLIC
1997-09-27,0,CLIC
1997-09-28,0,CLIC
1997-09-29,0,CLIC
1997-10-01,0,CLIC
1997-10-02,0,CLIC
1997-10-03,0,CLIC
1997-10-04,0.8,CLIC
1997-10-05,20.5,CLIC
1997-10-06,1,CLIC
1997-10-07,0,CLIC
1997-10-08,1.5,CLIC
1997-10-09,36,CLIC
1997-10-10,58.5,CLIC
1997-10-11,0,CLIC
1997-10-12,6.5,CLIC
1997-10-13,9.5,CLIC
1997-10-14,0,CLIC
1997-10-15,0,CLIC
1997-10-16,0,CLIC
1997-10-17,0,CLIC
1997-10-18,0,CLIC
1997-10-19,0,CLIC
1997-10-20,0,CLIC
1997-10-21,0,CLIC
1997-10-22,0,CLIC
1997-10-23,0,CLIC
1997-10-24,0,CLIC
