Estación: ,CABNL,Cabezones
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 44' 38'',Latitud:,24° 59' 24
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,-,-,-
2022-01-02,-,17,-
2022-01-03,7.5,17.5,-2.5
2022-01-04,10.75,23.5,-2
2022-01-05,16.25,30,2.5
2022-01-06,17.25,31,3.5
2022-01-07,11,15.5,6.5
2022-01-08,19.25,27.5,11
2022-01-09,20.25,29,11.5
2022-01-10,12.5,13,12
2022-01-11,13.5,17,10
2022-01-12,14.5,18,11
2022-01-13,15.5,27.5,3.5
2022-01-14,15.75,28,3.5
2022-01-15,12,20.5,3.5
2022-01-16,9.5,20.5,-1.5
2022-01-17,12,26,-2
2022-01-18,13,27,-1
2022-01-19,19,31.5,6.5
2022-01-20,10.75,15.5,6
2022-01-21,3.75,6,1.5
2022-01-22,5.25,8.5,2
2022-01-23,7.25,9.5,5
2022-01-24,10.75,14.5,7
2022-01-25,16.25,25.5,7
2022-01-26,10,13.5,6.5
2022-01-27,13,14.5,11.5
2022-01-28,13.25,14,12.5
2022-01-29,13.5,18,9
2022-01-30,13,23,3
2022-01-31,15,26.5,3.5
2022-02-01,17.5,28,7
2022-02-02,18.25,29,7.5
2022-02-03,10.5,11,10
2022-02-04,5.25,9,1.5
2022-02-05,7.75,14,1.5
2022-02-06,8.75,17,0.5
2022-02-07,7,13,1
2022-02-08,14,20,8
2022-02-09,12.5,23,2
2022-02-10,11.75,21,2.5
2022-02-11,14,22.5,5.5
2022-02-12,17,24,10
2022-02-13,10.25,19,1.5
2022-02-14,11.5,21,2
2022-02-15,13.25,25,1.5
2022-02-16,17.5,30,5
2022-02-17,21.25,28.5,14
2022-02-18,14.25,21,7.5
2022-02-19,12.25,21.5,3
2022-02-20,16,28.5,3.5
2022-02-21,18.5,30,7
2022-02-22,22.75,35,10.5
2022-02-23,20,27.5,12.5
2022-02-24,12.75,17.5,8
2022-02-25,9.5,11,8
2022-02-26,7.75,9,6.5
2022-02-27,12.75,19,6.5
2022-02-28,13,23,3
2022-03-01,14.25,25,3.5
2022-03-02,12,20.5,3.5
2022-03-03,18,27.5,8.5
2022-03-04,20.75,29,12.5
2022-03-05,24.25,32,16.5
2022-03-06,25,32,18
2022-03-07,22.25,27,17.5
2022-03-08,16.25,24.5,8
2022-03-09,13.75,22,5.5
2022-03-10,16.25,28.5,4
2022-03-11,18.25,32.5,4
2022-03-12,12,16,8
2022-03-13,13,24,2
2022-03-14,16.5,31,2
2022-03-15,18.5,30,7
2022-03-16,18,30.5,5.5
2022-03-17,21.75,37.5,6
2022-03-18,19.25,28,10.5
2022-03-19,18.25,27.5,9
2022-03-20,18,29,7
2022-03-21,21.25,35,7.5
2022-03-22,21,32,10
2022-03-23,16,25,7
2022-03-24,17,30,4
2022-03-25,18,33,3
2022-03-26,18.5,33.5,3.5
2022-03-27,19.75,31.5,8
2022-03-28,23,32,14
2022-03-29,23.75,34,13.5
2022-03-30,24.75,35.5,14
2022-03-31,23.75,34,13.5
2022-04-01,22.75,32,13.5
2022-04-02,22.25,29,15.5
2022-04-03,23.5,31,16
2022-04-04,25,35,15
2022-04-05,29.75,39,20.5
2022-04-06,30,42,18
2022-04-07,21,28.5,13.5
2022-04-08,24.75,39,10.5
2022-04-09,21.25,31,11.5
2022-04-10,26.25,37.5,15
2022-04-11,28.25,40.5,16
2022-04-12,25.75,36,15.5
2022-04-13,29.75,40.5,19
2022-04-14,26,34,18
2022-04-15,28,37,19
2022-04-16,29.25,37,21.5
2022-04-17,30.25,39,21.5
2022-04-18,26.75,31,22.5
2022-04-19,26,30.5,21.5
2022-04-20,25.25,30,20.5
2022-04-21,26.75,32.5,21
2022-04-22,27.75,34,21.5
2022-04-23,27.5,34,21
2022-04-24,27,33,21
2022-04-25,26,31.5,20.5
2022-04-26,23.25,29.5,17
2022-04-27,23.75,30,17.5
2022-04-28,25.75,32,19.5
2022-04-29,26.75,33,20.5
2022-04-30,28.5,35.5,21.5
2022-05-01,28,35,21
2022-05-02,29.75,36.5,23
2022-05-03,28.75,35,22.5
2022-05-04,29,35.5,22.5
2022-05-05,31,38,24
2022-05-06,31.25,38,24.5
2022-05-07,29.75,38,21.5
2022-05-08,30.25,39,21.5
2022-05-09,30.5,37.5,23.5
2022-05-10,28,31,25
2022-05-11,29,34,24
2022-05-12,29,36,22
2022-05-13,28.75,36.5,21
2022-05-14,28.75,36,21.5
2022-05-15,28.5,38,19
2022-05-16,28.25,38.5,18
2022-05-17,28.25,39,17.5
2022-05-18,27.5,34.5,20.5
2022-05-19,30.25,38,22.5
2022-05-20,32,41.5,22.5
2022-05-21,31.75,41,22.5
2022-05-22,27.75,33,22.5
2022-05-23,26.75,31.5,22
2022-05-24,26.5,31,22
2022-05-25,25.25,29,21.5
2022-05-26,27.75,35,20.5
2022-05-27,30,38,22
2022-05-28,30.5,38,23
2022-05-29,30,37.5,22.5
2022-05-30,30,37.5,22.5
2022-05-31,30.75,37.5,24
2022-06-01,30.5,37.5,23.5
2022-06-02,29.75,36.5,23
2022-06-03,26.75,32,21.5
2022-06-04,28,36.5,19.5
2022-06-05,29.75,40,19.5
2022-06-06,31.25,41,21.5
2022-06-07,31.25,40,22.5
2022-06-08,30.5,37.5,23.5
2022-06-09,30.5,37,24
2022-06-10,31.25,39,23.5
2022-06-11,31.25,39,23.5
2022-06-12,31.25,39,23.5
2022-06-13,28.5,34,23
2022-06-14,29,35,23
2022-06-15,29.5,35.5,23.5
2022-06-16,29.5,36.5,22.5
2022-06-17,30,37.5,22.5
2022-06-18,29.25,36,22.5
2022-06-19,29.25,36,22.5
2022-06-20,29.5,36.5,22.5
2022-06-21,29.75,37,22.5
2022-06-22,28.75,35,22.5
2022-06-23,27.25,35,19.5
2022-06-24,28.25,37,19.5
2022-06-25,29.25,37,21.5
2022-06-26,29.5,37,22
2022-06-27,29.5,37,22
2022-06-28,29,36.5,21.5
2022-06-29,27.25,34,20.5
2022-06-30,28,35.5,20.5
2022-07-01,28.75,35.5,22
2022-07-02,28.25,34,22.5
2022-07-03,29.5,36,23
2022-07-04,29.25,36,22.5
2022-07-05,29.75,37,22.5
2022-07-06,29.75,37,22.5
2022-07-07,30.25,38,22.5
2022-07-08,30.75,38.5,23
2022-07-09,31.5,39.5,23.5
2022-07-10,31.75,40,23.5
2022-07-11,31.75,40.5,23
2022-07-12,31,39,23
2022-07-13,31,38.5,23.5
2022-07-14,29.25,38,20.5
2022-07-15,28.25,36,20.5
2022-07-16,28.25,35.5,21
2022-07-17,29.75,37.5,22
2022-07-18,30,38,22
2022-07-19,29.75,37,22.5
2022-07-20,32,41,23
2022-07-21,31.5,38.5,24.5
2022-07-22,31.25,39,23.5
2022-07-23,30.5,38,23
2022-07-24,30.5,38,23
2022-07-25,-,-,23.5
2022-07-26,-,-,-
2022-07-27,-,-,-
2022-07-28,-,-,-
2022-07-29,-,38,-
2022-07-30,30,37.5,22.5
2022-07-31,30.25,38,22.5
2022-08-01,30.25,38,22.5
2022-08-02,30.5,38,23
2022-08-03,31.25,39.5,23
2022-08-04,30.75,38,23.5
2022-08-05,31,38,24
2022-08-06,30.25,37.5,23
2022-08-07,29.75,37,22.5
2022-08-08,30.25,38,22.5
2022-08-09,29.75,37.5,22
2022-08-10,30.75,39.5,22
2022-08-11,31.25,39.5,23
2022-08-12,31.25,39,23.5
2022-08-13,29.25,36,22.5
2022-08-14,27.75,33,22.5
2022-08-15,28,33,23
2022-08-16,28.5,34,23
2022-08-17,29.75,36,23.5
2022-08-18,30.25,37.5,23
2022-08-19,30,37,23
2022-08-20,29.75,37,22.5
2022-08-21,30.25,38,22.5
2022-08-22,31.5,39,24
2022-08-23,30.5,37,24
2022-08-24,31,38.5,23.5
2022-08-25,30.75,38,23.5
2022-08-26,29.75,35.5,24
2022-08-27,30.25,37.5,23
2022-08-28,29.25,35.5,23
2022-08-29,29.5,36.5,22.5
2022-08-30,29.75,36,23.5
2022-08-31,28.75,35.5,22
2022-09-01,28.25,34.5,22
2022-09-02,28.75,36,21.5
2022-09-03,27.25,32,22.5
2022-09-04,27.5,32.5,22.5
2022-09-05,25.5,28.5,22.5
2022-09-06,24.25,27.5,21
2022-09-07,25.5,30.5,20.5
2022-09-08,26.5,33.5,19.5
2022-09-09,27.25,35,19.5
2022-09-10,27.5,34,21
2022-09-11,27.25,34,20.5
2022-09-12,27.25,34.5,20
2022-09-13,26.75,34,19.5
2022-09-14,27.25,34,20.5
2022-09-15,26.5,33,20
2022-09-16,26,32,20
2022-09-17,26.25,33,19.5
2022-09-18,26.5,32,21
2022-09-19,27.5,32,23
2022-09-20,28.75,35,22.5
2022-09-21,27.5,34,21
2022-09-22,26.5,34,19
2022-09-23,26.75,34.5,19
2022-09-24,26.75,35,18.5
2022-09-25,27.25,35,19.5
2022-09-26,25.5,31.5,19.5
2022-09-27,25.75,33,18.5
2022-09-28,24.75,30,19.5
2022-09-29,23.5,30,17
2022-09-30,23,31,15
2022-10-01,22.75,32,13.5
2022-10-02,22.25,31,13.5
2022-10-03,22.75,29,16.5
2022-10-04,21.25,26,16.5
2022-10-05,21.75,26,17.5
2022-10-06,21.25,25,17.5
2022-10-07,21.75,25.5,18
2022-10-08,20.5,23,18
2022-10-09,22.5,29,16
2022-10-10,21.25,26.5,16
2022-10-11,22.25,27,17.5
2022-10-12,25,33,17
2022-10-13,23,29.5,16.5
2022-10-14,24,32.5,15.5
2022-10-15,24.25,32,16.5
2022-10-16,25.5,28,23
2022-10-17,25.75,30.5,21
2022-10-18,15.25,16,14.5
2022-10-19,16,19,13
2022-10-20,18.75,26.5,11
2022-10-21,19.75,29,10.5
2022-10-22,19.75,29,10.5
2022-10-23,22.25,27,17.5
2022-10-24,26.5,33,20
2022-10-25,23,26.5,19.5
2022-10-26,19.25,27,11.5
2022-10-27,20.75,30.5,11
2022-10-28,20.75,27.5,14
2022-10-29,19.5,27,12
2022-10-30,19.25,27.5,11
2022-10-31,16.5,22,11
2022-11-01,19,23,15
2022-11-02,20.25,22,18.5
2022-11-03,24.5,30.5,18.5
2022-11-04,26.5,33,20
2022-11-05,23.5,28,19
2022-11-06,20.25,32,8.5
2022-11-07,21.25,33,9.5
2022-11-08,24.25,31,17.5
2022-11-09,24.75,30,19.5
2022-11-10,24.5,30,19
2022-11-11,26,32,20
2022-11-12,17.5,21,14
2022-11-13,13.5,21,6
2022-11-14,18.5,31,6
2022-11-15,-,-,11
2022-11-16,-,-,-
2022-11-17,-,-,-
2022-11-18,-,-,-
2022-11-19,-,-,-
2022-11-20,-,-,-
2022-11-21,-,-,-
2022-11-22,-,-,-
2022-11-23,-,-,-
2022-11-24,-,-,-
2022-11-25,-,-,-
2022-11-26,-,-,-
2022-11-27,-,-,-
2022-11-28,-,-,-
2022-11-29,-,-,-
2022-11-30,-,30,-
2022-12-01,12,17,7
2022-12-02,17,22.5,11.5
2022-12-03,16.5,20,13
2022-12-04,20.5,23.5,17.5
2022-12-05,21.75,25.5,18
2022-12-06,21.75,27.5,16
2022-12-07,21.25,24.5,18
2022-12-08,21.75,27.5,16
2022-12-09,21,27,15
2022-12-10,21.5,26.5,16.5
2022-12-11,18.25,24,12.5
2022-12-12,19.5,26.5,12.5
2022-12-13,22,30,14
2022-12-14,18.5,23.5,13.5
2022-12-15,14.75,23.5,6
2022-12-16,15.75,26,5.5
2022-12-17,10.25,13.5,7
2022-12-18,-,-,10
2022-12-19,-,-,-
2022-12-20,-,-,-
2022-12-21,-,-,-
2022-12-22,-,-,-
2022-12-23,-,-,-
2022-12-24,-,-,-
2022-12-25,-,-,-
2022-12-26,-,-,-
2022-12-27,-,-,-
2022-12-28,-,-,-
2022-12-29,-,-,-
2022-12-30,-,-,-
2022-12-31,-,-,-
2023-01-01,-,30.5,-
2023-01-02,24,31.5,16.5
2023-01-03,20.5,28.5,12.5
2023-01-04,17.75,28,7.5
2023-01-05,17.75,29,6.5
2023-01-06,16.5,26.5,6.5
2023-01-07,22.75,30,15.5
2023-01-08,19.25,23.5,15
2023-01-09,19.25,23,15.5
2023-01-10,19.5,29.5,9.5
2023-01-11,19.75,30.5,9
2023-01-12,17.5,27.5,7.5
2023-01-13,12.75,21.5,4
2023-01-14,11.25,22,0.5
2023-01-15,14,27.5,0.5
2023-01-16,20.75,33,8.5
2023-01-17,20,32,8
2023-01-18,19.25,29,9.5
2023-01-19,16.5,21.5,11.5
2023-01-20,14.75,20.5,9
2023-01-21,18,26,10
2023-01-22,19,24,14
2023-01-23,13.25,18,8.5
2023-01-24,21.25,29.5,13
2023-01-25,15,22,8
2023-01-26,8.25,15,1.5
2023-01-27,7,12.5,1.5
2023-01-28,17.25,28.5,6
2023-01-29,20.75,31.5,10
2023-01-30,20.5,29,12
2023-01-31,8.75,9,8.5
2023-02-01,5.5,6.5,4.5
2023-02-02,9.5,14.5,4.5
2023-02-03,10.75,20,1.5
2023-02-04,11.75,22,1.5
2023-02-05,15,28.5,1.5
2023-02-06,17,29.5,4.5
2023-02-07,22,31.5,12.5
2023-02-08,16.25,18.5,14
2023-02-09,19.75,26,13.5
2023-02-10,15,18.5,11.5
2023-02-11,10.5,20,1
2023-02-12,11.25,22.5,0
2023-02-13,18,32.5,3.5
2023-02-14,21.75,32.5,11
2023-02-15,23.5,36,11
2023-02-16,18,25.5,10.5
2023-02-17,12,17.5,6.5
2023-02-18,10.75,21,0.5
2023-02-19,15,29,1
2023-02-20,17.75,32,3.5
2023-02-21,23.5,33,14
2023-02-22,26.25,36,16.5
2023-02-23,26,36.5,15.5
2023-02-24,23.75,33,14.5
2023-02-25,22.25,31,13.5
2023-02-26,25.25,31,19.5
2023-02-27,24.5,33,16
2023-02-28,25.25,36,14.5
2023-03-01,26.75,38.5,15
2023-03-02,27.5,39,16
2023-03-03,-,-,10
