Estación: ,CANNL,Canada
Variable: ,Gasto en Río (m3/s)
Longitud: ,100° 16' 33.54'',Latitud:,25° 48' 04.93''

Fecha,Valor
2002-01-01,3.227
2002-01-08,0.01
2002-01-09,3
2002-01-10,2.97
2002-01-11,0.01
2002-01-13,3.04
2002-01-14,2.87
2002-01-15,3.1
2002-01-16,0.01
2002-01-17,0.01
2002-01-18,2.985
2002-01-20,3.19
2002-01-21,0
2002-01-22,0
2002-01-23,0.01
2002-01-24,0.01
2002-01-25,0.01
2002-01-26,3.074
2002-01-28,0.01
2002-01-29,2.956
2002-01-30,3.085
2002-01-31,3.138
2002-02-01,3.057
2002-02-02,3.205
2002-02-04,0.01
2002-02-05,0.01
2002-02-06,0.536
2002-02-07,3.03
2002-02-08,3.071
2002-02-11,3.045
2002-02-12,3.036
2002-02-13,2.967
2002-02-14,0.01
2002-02-15,0.01
2002-02-18,0.01
2002-02-19,3.041
2002-02-20,3.044
2002-02-21,3.057
2002-02-22,2.949
2002-02-25,3.151
2002-02-26,3.081
2002-02-27,3.07
2002-02-28,0.01
2002-03-01,2.84
2002-03-04,3.06
2002-03-05,3.017
2002-03-06,0.01
2002-03-07,2.91
2002-03-12,3.071
2002-03-14,3.103
2002-03-15,3.103
2002-03-16,3.013
2002-03-17,0.01
2002-03-18,0.01
2002-03-19,3.066
2002-03-20,3.133
2002-03-22,3.144
2002-03-23,3.02
2002-03-25,3.19
2002-03-26,3.279
2002-03-27,3.117
2002-04-01,3.08
2002-04-02,2.991
2002-04-04,0
2002-04-05,0
2002-04-06,0
2002-04-07,0
2002-04-08,0
2002-04-09,0
2002-04-10,0
2002-04-11,0
2002-04-15,3.057
2002-04-16,3.151
2002-04-17,3.078
2002-04-18,2.946
2002-04-19,3.14
2002-04-22,2.872
2002-04-23,3.013
2002-04-24,2.983
2002-04-25,3.153
2002-04-26,0.01
2002-04-27,3.069
2002-04-29,3.129
2002-05-01,3
2002-05-02,0.01
2002-05-03,3.072
2002-05-06,0.01
2002-05-07,2.87
2002-05-08,3.089
2002-05-09,2.888
2002-05-10,0.01
2002-05-13,3.181
2002-05-14,3.023
2002-05-15,3.05
2002-05-16,2.91
2002-05-17,3.075
2002-05-19,3.19
2002-05-20,3.279
2002-05-21,2.672
2002-05-22,3.002
2002-05-23,2.832
2002-05-24,2.982
2002-05-26,0.01
2002-05-27,2.998
2002-05-28,2.946
2002-05-29,3.018
2002-05-30,3.039
2002-05-31,3.08
2002-06-01,0.01
2002-06-04,2.704
2002-06-05,2.809
2002-06-06,3.156
2002-06-07,3.171
2002-06-08,0.01
2002-06-10,3.19
2002-06-11,3.057
2002-06-12,2.776
2002-06-13,3.103
2002-06-14,3.016
2002-06-16,2.954
2002-06-17,3.187
2002-06-18,3.279
2002-06-19,3.025
2002-06-20,3.041
2002-06-21,0.01
2002-06-22,3.04
2002-06-23,3.201
2002-06-24,3.069
2002-06-25,3.139
2002-06-26,3.101
2002-06-27,3.229
2002-06-29,3.03
2002-07-01,0
2002-07-02,0.01
