Estación: ,CCHNL,P.El Cuchillo
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 16' 35.2'',Latitud:,25° 42' 47.4''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,25.25,32,18.5
2022-01-02,21,24,18
2022-01-03,10.25,18.5,2
2022-01-04,12.5,23.5,1.5
2022-01-05,15.5,27.5,3.5
2022-01-06,20.5,28.5,12.5
2022-01-07,13,14,12
2022-01-08,15.25,20,10.5
2022-01-09,15.25,20.5,10
2022-01-10,12,14,10
2022-01-11,13.5,16.5,10.5
2022-01-12,13.75,17,10.5
2022-01-13,17.5,25,10
2022-01-14,18,27,9
2022-01-15,16.5,22,11
2022-01-16,13.5,21,6
2022-01-17,15.5,23,8
2022-01-18,18.5,28,9
2022-01-19,16.25,29.5,3
2022-01-20,14.5,14,15
2022-01-21,4.25,6.5,2
2022-01-22,4.75,7,2.5
2022-01-23,7.5,9,6
2022-01-24,8.6,11,6.2
2022-01-25,14.75,21,8.5
2022-01-26,13.25,17,9.5
2022-01-27,10.75,13,8.5
2022-01-28,12,11.5,12.5
2022-01-29,13.5,17,10
2022-01-30,12.5,20,5
2022-01-31,17.5,26,9
2022-02-01,19,29,9
2022-02-02,19,28,10
2022-02-03,8.75,8,9.5
2022-02-04,5.5,8.5,2.5
2022-02-05,7.5,14.5,0.5
2022-02-06,9.75,18.5,1
2022-02-07,6.75,11.5,2
2022-02-08,13.75,19.5,8
2022-02-09,14.25,21,7.5
2022-02-10,14.25,21,7.5
2022-02-11,16.25,22,10.5
2022-02-12,18.25,22.5,14
2022-02-13,11.5,18,5
2022-02-14,13,21,5
2022-02-15,13.5,22,5
2022-02-16,19,29,9
2022-02-17,20.25,25,15.5
2022-02-18,14,19,9
2022-02-19,13.5,21,6
2022-02-20,18,26,10
2022-02-21,20.75,29.5,12
2022-02-22,27.5,37,18
2022-02-23,22.5,26,19
2022-02-24,11,14,8
2022-02-25,8.75,10.5,7
2022-02-26,7.5,9,6
2022-02-27,10.5,14.5,6.5
2022-02-28,14.5,21,8
2022-03-01,15.5,23,8
2022-03-02,15,22,8
2022-03-03,17.75,25,10.5
2022-03-04,23,28,18
2022-03-05,24.75,31,18.5
2022-03-06,24.5,31,18
2022-03-07,20,20,20
2022-03-08,14.25,17,11.5
2022-03-09,15,20,10
2022-03-10,16.75,23.5,10
2022-03-11,18.75,27,10.5
2022-03-12,13,17,9
2022-03-13,13.25,22.5,4
2022-03-14,15.5,27,4
2022-03-15,19,28,10
2022-03-16,19,31,7
2022-03-17,21,34,8
2022-03-18,21,26,16
2022-03-19,20.75,26,15.5
2022-03-20,21,28,14
2022-03-21,24,35,13
2022-03-22,24,28,20
2022-03-23,18.75,24,13.5
2022-03-24,17.75,28.5,7
2022-03-25,22.75,31.5,14
2022-03-26,23.5,33,14
2022-03-27,22.5,31,14
2022-03-28,23.5,31,16
2022-03-29,24.5,32,17
2022-03-30,26.5,34,19
2022-03-31,24.5,32,17
2022-04-01,22.5,29,16
2022-04-02,23.5,28,19
2022-04-03,25.5,30,21
2022-04-04,26,31,21
2022-04-05,29,36,22
2022-04-06,31.5,40,23
2022-04-07,23,27,19
2022-04-08,22.75,28,17.5
2022-04-09,24.5,31,18
2022-04-10,26,35.5,16.5
2022-04-11,29.75,38.5,21
2022-04-12,28.25,35.5,21
2022-04-13,30.75,38.5,23
2022-04-14,27.75,32.5,23
2022-04-15,28.75,34,23.5
2022-04-16,29.75,36,23.5
2022-04-17,31.5,39,24
2022-04-18,27.75,32,23.5
2022-04-19,27,31,23
2022-04-20,28,32,24
2022-04-21,28,32,24
2022-04-22,26.5,30,23
2022-04-23,26,28,24
2022-04-24,29.75,35,24.5
2022-04-25,28.5,32.5,24.5
2022-04-26,24.5,30,19
2022-04-27,23.5,29,18
2022-04-28,24.75,31,18.5
2022-04-29,27.5,34,21
2022-04-30,27,32,22
2022-05-01,27.75,33,22.5
2022-05-02,30.25,36,24.5
2022-05-03,28.25,32,24.5
2022-05-04,30,35,25
2022-05-05,31.25,38,24.5
2022-05-06,30.25,36,24.5
2022-05-07,31.5,38,25
2022-05-08,31,37,25
2022-05-09,30.5,35,26
2022-05-10,29,32,26
2022-05-11,29.25,32,26.5
2022-05-12,28.5,34,23
2022-05-13,29,35,23
2022-05-14,29.25,34.5,24
2022-05-15,29.25,35.5,23
2022-05-16,30.5,37.5,23.5
2022-05-17,30.75,38.5,23
2022-05-18,30,36.5,23.5
2022-05-19,30.75,38,23.5
2022-05-20,32.5,40,25
2022-05-21,32.5,39,26
2022-05-22,29.25,32,26.5
2022-05-23,28,30,26
2022-05-24,26.5,32,21
2022-05-25,26,30,22
2022-05-26,28,35,21
2022-05-27,31.5,37,26
2022-05-28,30,37,23
2022-05-29,31,38,24
2022-05-30,31.5,38,25
2022-05-31,31.5,38,25
2022-06-01,30,35,25
2022-06-02,30,36,24
2022-06-03,29.5,36,23
2022-06-04,30.5,38,23
2022-06-05,32.5,40,25
2022-06-06,33.5,42,25
2022-06-07,32.25,39,25.5
2022-06-08,32,38,26
2022-06-09,31,36,26
2022-06-10,32,38,26
2022-06-11,32.5,39,26
2022-06-12,33,40,26
2022-06-13,30.5,36,25
2022-06-14,31,36,26
2022-06-15,30.5,36,25
2022-06-16,31,36,26
2022-06-17,30.5,37,24
2022-06-18,30.5,37,24
2022-06-19,29.5,35,24
2022-06-20,30,36,24
2022-06-21,30.5,36,25
2022-06-22,30.5,35.5,25.5
2022-06-23,30.5,37,24
2022-06-24,31,38,24
2022-06-25,31,38,24
2022-06-26,29.75,37.5,22
2022-06-27,31.75,38,25.5
2022-06-28,31,36,26
2022-06-29,29,34,24
2022-06-30,31,38,24
2022-07-01,32,39,25
2022-07-02,31,36,26
2022-07-03,32,38,26
2022-07-04,32,39,25
2022-07-05,32.5,39,26
2022-07-06,32,39,25
2022-07-07,32,39,25
2022-07-08,33,39,27
2022-07-09,32.75,39,26.5
2022-07-10,33.5,41,26
2022-07-11,34.5,42,27
2022-07-12,34,41,27
2022-07-13,33.5,39,28
2022-07-14,32,37,27
2022-07-15,30,36,24
2022-07-16,31.5,38,25
2022-07-17,31,38,24
2022-07-18,31.5,38,25
2022-07-19,32,39,25
2022-07-20,32.5,39,26
2022-07-21,32.5,39,26
2022-07-22,32.5,39,26
2022-07-23,32,37,27
2022-07-24,32.75,38.5,27
2022-07-25,32.5,38,27
2022-07-26,32.5,38.5,26.5
2022-07-27,32.5,38,27
2022-07-28,32.5,38.5,26.5
2022-07-29,32.25,38,26.5
2022-07-30,32.25,38,26.5
2022-07-31,31.5,38,25
2022-08-01,31,38,24
2022-08-02,32,39,25
2022-08-03,32,38,26
2022-08-04,32,39,25
2022-08-05,32,38,26
2022-08-06,31.5,38,25
2022-08-07,31.75,37.5,26
2022-08-08,31.25,36,26.5
2022-08-09,32,38,26
2022-08-10,32.5,38.5,26.5
2022-08-11,32.75,39,26.5
2022-08-12,31.25,36,26.5
2022-08-13,29.5,34,25
2022-08-14,28.75,33,24.5
2022-08-15,30.25,35,25.5
2022-08-16,29.5,35,24
2022-08-17,31.5,38,25
2022-08-18,32.5,39,26
2022-08-19,32,38,26
2022-08-20,31,37,25
2022-08-21,31.5,37,26
2022-08-22,32,38,26
2022-08-23,30.5,36,25
2022-08-24,31.5,37,26
2022-08-25,31.5,38,25
2022-08-26,30,35,25
2022-08-27,31,36,26
2022-08-28,31.5,37,26
2022-08-29,32.75,38.5,27
2022-08-30,32.75,38,27.5
2022-08-31,31.75,36,27.5
2022-09-01,30.25,35,25.5
2022-09-02,30.5,35,26
2022-09-03,26.5,29,24
2022-09-04,26.5,30,23
2022-09-05,25,27,23
2022-09-06,25.5,28,23
2022-09-07,27,31,23
2022-09-08,28,32,24
2022-09-09,29,35,23
2022-09-10,30,36,24
2022-09-11,29.5,34,25
2022-09-12,29.75,35,24.5
2022-09-13,29.75,35.5,24
2022-09-14,27,30,24
2022-09-15,29,35,23
2022-09-16,27,32,22
2022-09-17,28.5,34,23
2022-09-18,28.5,34,23
2022-09-19,30,36,24
2022-09-20,29,34,24
2022-09-21,29,35,23
2022-09-22,29.5,36,23
2022-09-23,29.5,35,24
2022-09-24,30,36,24
2022-09-25,30.5,36,25
2022-09-26,27.5,32,23
2022-09-27,26,31,21
2022-09-28,25.75,30,21.5
2022-09-29,26,31,21
2022-09-30,27,32,22
2022-10-01,26.5,33,20
2022-10-02,26.25,32,20.5
2022-10-03,26,32,20
2022-10-04,24.5,27,22
2022-10-05,26,32,20
2022-10-06,26.5,32,21
2022-10-07,23.5,27,20
2022-10-08,24.5,28,21
2022-10-09,27,31,23
2022-10-10,26,30,22
2022-10-11,27,33,21
2022-10-12,28.5,35,22
2022-10-13,29.5,36,23
2022-10-14,29.5,35.5,23.5
2022-10-15,29,34,24
2022-10-16,29.5,35,24
2022-10-17,30,35,25
2022-10-18,18,19,17
2022-10-19,19.5,25,14
2022-10-20,21.5,28,15
2022-10-21,22.25,30,14.5
2022-10-22,24,32,16
2022-10-23,25.25,32,18.5
2022-10-24,28,34,22
2022-10-25,25.5,27,24
2022-10-26,23.5,30,17
2022-10-27,24.5,31,18
2022-10-28,23.5,27,20
2022-10-29,22.75,27,18.5
2022-10-30,22.25,30,14.5
2022-10-31,18.75,22,15.5
2022-11-01,20.5,21,20
2022-11-02,21.5,23,20
2022-11-03,25.5,31,20
2022-11-04,27,33,21
2022-11-05,24,27,21
2022-11-06,24,31,17
2022-11-07,25.5,32,19
2022-11-08,25.5,31,20
2022-11-09,26.5,31,22
2022-11-10,27.25,33,21.5
2022-11-11,27,32,22
2022-11-12,16.75,18,15.5
2022-11-13,16.5,23,10
2022-11-14,20.25,30,10.5
2022-11-15,16,19,13
2022-11-16,12.5,13,12
2022-11-17,9.75,11,8.5
2022-11-18,10.25,11.5,9
2022-11-19,9.5,9,10
2022-11-20,7,8,6
2022-11-21,7.5,8.5,6.5
2022-11-22,10.25,12.5,8
2022-11-23,12.5,15,10
2022-11-24,18,22,14
2022-11-25,15,15,15
2022-11-26,15.5,21,10
2022-11-27,18,26,10
2022-11-28,20,25,15
2022-11-29,21.5,28,15
2022-11-30,19,19,19
2022-12-01,14.75,15,14.5
2022-12-02,17.25,21,13.5
2022-12-03,17.5,21,14
2022-12-04,20.25,22,18.5
2022-12-05,24,29,19
2022-12-06,23,29,17
2022-12-07,24.5,29,20
2022-12-08,25.25,30,20.5
2022-12-09,24,29,19
2022-12-10,25,30,20
2022-12-11,23,27,19
2022-12-12,22.75,27,18.5
2022-12-13,25.25,32,18.5
2022-12-14,21,23,19
2022-12-15,18.75,26,11.5
2022-12-16,19.5,28,11
2022-12-17,11.75,13,10.5
2022-12-18,12.25,13,11.5
2022-12-19,13.5,15,12
2022-12-20,11.75,13,10.5
2022-12-21,12.75,16,9.5
2022-12-22,18,23,13
2022-12-23,1.5,2,1
2022-12-24,4.5,8,1
2022-12-25,7.5,14,1
2022-12-26,13,23,3
2022-12-27,16.5,22,11
2022-12-28,18,28,8
2022-12-29,20,28,12
2022-12-30,19,24,14
2022-12-31,21.5,29,14
2023-01-01,22.5,31,14
2023-01-02,23.5,31,16
2023-01-03,22,26.5,17.5
2023-01-04,21.25,28,14.5
2023-01-05,21,28,14
2023-01-06,21.75,29,14.5
2023-01-07,23,28,18
2023-01-08,21,23,19
2023-01-09,20.25,25,15.5
2023-01-10,22.5,30,15
2023-01-11,22.5,31,14
2023-01-12,17.75,19.5,16
2023-01-13,14,20,8
2023-01-14,16.75,25.5,8
2023-01-15,19,29,9
2023-01-16,20.25,28.5,12
2023-01-17,22.25,29,15.5
2023-01-18,21.5,27.5,15.5
2023-01-19,19,21.5,16.5
2023-01-20,18,19,17
2023-01-21,19.75,24,15.5
2023-01-22,20,25,15
2023-01-23,16,20,12
2023-01-24,19.5,24,15
2023-01-25,16.5,23,10
2023-01-26,10.75,15.5,6
2023-01-27,10.75,15,6.5
2023-01-28,18.25,24.5,12
2023-01-29,21,29.5,12.5
2023-01-30,22.75,28,17.5
2023-01-31,7.75,7.5,8
2023-02-01,5.75,6.5,5
2023-02-02,9.25,13.5,5
2023-02-03,12.25,18.5,6
2023-02-04,14,21.5,6.5
2023-02-05,16.5,27,6
2023-02-06,20.5,29,12
2023-02-07,22.75,29.5,16
2023-02-08,19,21,17
2023-02-09,20.75,26,15.5
2023-02-10,16.25,17.5,15
2023-02-11,14.5,20,9
2023-02-12,16.75,24.5,9
2023-02-13,19,28.5,9.5
2023-02-14,20.5,29.5,11.5
2023-02-15,25.25,34,16.5
2023-02-16,20,21.5,18.5
2023-02-17,13,15,11
2023-02-18,13.25,20.5,6
2023-02-19,17.25,28,6.5
2023-02-20,19.75,30,9.5
2023-02-21,26.25,34,18.5
2023-02-22,27.5,36,19
2023-02-23,28,36,20
2023-02-24,27,34,20
2023-02-25,26.25,32,20.5
2023-02-26,25.5,30,21
2023-02-27,26,32,20
2023-02-28,27.5,34.5,20.5
2023-03-01,28.75,36,21.5
2023-03-02,28.25,35.5,21
2023-03-03,-,-,15
