Estación: ,CPRNL,P.Cerro Prieto
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 24' 00.1'',Latitud:,24° 56' 30.9''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,27.5,36,19
2022-01-02,16,16,16
2022-01-03,9,16,2
2022-01-04,12,22,2
2022-01-05,17,29,5
2022-01-06,20,29,11
2022-01-07,12,13,11
2022-01-08,16.25,23,9.5
2022-01-09,18.75,27,10.5
2022-01-10,12.5,13,12
2022-01-11,12.25,14.5,10
2022-01-12,13.25,16.5,10
2022-01-13,15.5,25,6
2022-01-14,16.25,26.5,6
2022-01-15,15,19,11
2022-01-16,11.5,20,3
2022-01-17,14.5,26,3
2022-01-18,15.5,26,5
2022-01-19,21.5,30,13
2022-01-20,14.5,15,14
2022-01-21,2.75,4.5,1
2022-01-22,3.25,6,0.5
2022-01-23,5.75,7.5,4
2022-01-24,8.5,12,5
2022-01-25,15,23,7
2022-01-26,11.5,15,8
2022-01-27,12,14,10
2022-01-28,12,12,12
2022-01-29,14,21,7
2022-01-30,13.5,21,6
2022-01-31,15.25,24.5,6
2022-02-01,18.5,27,10
2022-02-02,19,28,10
2022-02-03,9.75,10,9.5
2022-02-04,4.5,8,1
2022-02-05,6.75,12.5,1
2022-02-06,7.5,13,2
2022-02-07,7,12,2
2022-02-08,13.25,18.5,8
2022-02-09,13.5,22,5
2022-02-10,12.5,20,5
2022-02-11,13.25,18,8.5
2022-02-12,17.75,22.5,13
2022-02-13,10.5,17,4
2022-02-14,12.25,20.5,4
2022-02-15,15,25,5
2022-02-16,18.75,28,9.5
2022-02-17,21.25,27.5,15
2022-02-18,13.5,20,7
2022-02-19,12,19,5
2022-02-20,16.5,28,5
2022-02-21,20,30,10
2022-02-22,25,35,15
2022-02-23,23,27,19
2022-02-24,11.25,16,6.5
2022-02-25,9,11.5,6.5
2022-02-26,6.75,8,5.5
2022-02-27,10.25,15,5.5
2022-02-28,12.5,21,4
2022-03-01,14,24,4
2022-03-02,13.5,21,6
2022-03-03,18.5,27,10
2022-03-04,22.5,29,16
2022-03-05,24.5,31,18
2022-03-06,25.75,33,18.5
2022-03-07,20.5,21,20
2022-03-08,16.5,22,11
2022-03-09,13.25,20,6.5
2022-03-10,16.5,26,7
2022-03-11,21,31,11
2022-03-12,11.5,15.5,7.5
2022-03-13,12.5,22,3
2022-03-14,16.75,30.5,3
2022-03-15,20.5,29,12
2022-03-16,21.75,31,12.5
2022-03-17,24,36,12
2022-03-18,23,28,18
2022-03-19,20,27,13
2022-03-20,20.25,29,11.5
2022-03-21,23,34,12
2022-03-22,24.5,31,18
2022-03-23,17.5,24,11
2022-03-24,18,28,8
2022-03-25,20.5,33,8
2022-03-26,23,33,13
2022-03-27,24,32,16
2022-03-28,24.25,32,16.5
2022-03-29,25,33,17
2022-03-30,26.5,34,19
2022-03-31,25,33,17
2022-04-01,23.5,32,15
2022-04-02,21.75,28.5,15
2022-04-03,25.25,32,18.5
2022-04-04,27,35,19
2022-04-05,29,38,20
2022-04-06,31,41,21
2022-04-07,22.25,28,16.5
2022-04-08,22,29,15
2022-04-09,22.25,29.5,15
2022-04-10,27.25,36.5,18
2022-04-11,29.25,39.5,19
2022-04-12,28.5,37.5,19.5
2022-04-13,31.25,41,21.5
2022-04-14,28,34,22
2022-04-15,29.75,37,22.5
2022-04-16,30.25,37.5,23
2022-04-17,30.5,38,23
2022-04-18,27.5,32.5,22.5
2022-04-19,26.75,31.5,22
2022-04-20,27,32,22
2022-04-21,27.5,34,21
2022-04-22,27.5,34,21
2022-04-23,28.75,35,22.5
2022-04-24,29.25,36,22.5
2022-04-25,27.5,33,22
2022-04-26,21.5,30,13
2022-04-27,23.75,29.5,18
2022-04-28,26,33,19
2022-04-29,27.5,34,21
2022-04-30,29.5,37,22
2022-05-01,29.25,36,22.5
2022-05-02,30,37,23
2022-05-03,30.75,37.5,24
2022-05-04,29.75,36,23.5
2022-05-05,31,38,24
2022-05-06,31.25,38,24.5
2022-05-07,30.5,39,22
2022-05-08,32,40,24
2022-05-09,32,39,25
2022-05-10,30.5,36,25
2022-05-11,30.5,36,25
2022-05-12,30,37,23
2022-05-13,29.5,38,21
2022-05-14,30.25,38,22.5
2022-05-15,30,38.5,21.5
2022-05-16,30.25,38.5,22
2022-05-17,30.75,39,22.5
2022-05-18,29.25,36,22.5
2022-05-19,31.25,39,23.5
2022-05-20,33,42.5,23.5
2022-05-21,32.25,41,23.5
2022-05-22,29.25,35,23.5
2022-05-23,26.75,31,22.5
2022-05-24,28,34,22
2022-05-25,26,30,22
2022-05-26,27.5,35,20
2022-05-27,30.75,38.5,23
2022-05-28,30,37,23
2022-05-29,30,36.5,23.5
2022-05-30,31.25,38.5,24
2022-05-31,31.25,38,24.5
2022-06-01,30.75,37,24.5
2022-06-02,29.75,36.5,23
2022-06-03,28.5,35,22
2022-06-04,30,38,22
2022-06-05,31.75,41.5,22
2022-06-06,33.25,43,23.5
2022-06-07,33,42,24
2022-06-08,31.75,39.5,24
2022-06-09,30,35,25
2022-06-10,31.5,39,24
2022-06-11,31.75,39.5,24
2022-06-12,32,39,25
2022-06-13,29,33.5,24.5
2022-06-14,28.5,33,24
2022-06-15,29.5,35,24
2022-06-16,30.25,37,23.5
2022-06-17,30,36.5,23.5
2022-06-18,29,35,23
2022-06-19,29.5,36.5,22.5
2022-06-20,29.25,36,22.5
2022-06-21,29.5,36,23
2022-06-22,23,23.5,22.5
2022-06-23,27,34.5,19.5
2022-06-24,28.5,37,20
2022-06-25,30.25,37.5,23
2022-06-26,30.25,37,23.5
2022-06-27,29.75,36,23.5
2022-06-28,30,36,24
2022-06-29,26.5,32,21
2022-06-30,27.5,34.5,20.5
2022-07-01,31.25,39,23.5
2022-07-02,29.25,35,23.5
2022-07-03,31,37.5,24.5
2022-07-04,30.75,36.5,25
2022-07-05,31.25,37,25.5
2022-07-06,31.25,37.5,25
2022-07-07,31,38,24
2022-07-08,31.75,39,24.5
2022-07-09,32,39,25
2022-07-10,31.5,38,25
2022-07-11,31.75,38.5,25
2022-07-12,31.75,38,25.5
2022-07-13,31.75,38,25.5
2022-07-14,30.5,36,25
2022-07-15,27.75,34,21.5
2022-07-16,28.5,35,22
2022-07-17,30,37,23
2022-07-18,30.75,38.5,23
2022-07-19,31,38,24
2022-07-20,32.5,40,25
2022-07-21,32.25,39,25.5
2022-07-22,32,39,25
2022-07-23,31.5,38,25
2022-07-24,31,37,25
2022-07-25,30.5,36,25
2022-07-26,30.75,37.5,24
2022-07-27,30,36,24
2022-07-28,30.75,36.5,25
2022-07-29,30.5,36,25
2022-07-30,30.25,36.5,24
2022-07-31,29.75,36.5,23
2022-08-01,29.75,37,22.5
2022-08-02,30,36.5,23.5
2022-08-03,31,38,24
2022-08-04,31.5,38,25
2022-08-05,31.5,38,25
2022-08-06,31.25,37.5,25
2022-08-07,30.75,37,24.5
2022-08-08,30.25,36.5,24
2022-08-09,29.75,36,23.5
2022-08-10,31.25,39,23.5
2022-08-11,31,38,24
2022-08-12,31.5,38,25
2022-08-13,27.5,33,22
2022-08-14,27,32,22
2022-08-15,28,35,21
2022-08-16,29,34.5,23.5
2022-08-17,30.25,37,23.5
2022-08-18,30.5,37.5,23.5
2022-08-19,30.5,36.5,24.5
2022-08-20,30.5,36.5,24.5
2022-08-21,31.25,38,24.5
2022-08-22,32.25,39,25.5
2022-08-23,31,37,25
2022-08-24,31,37,25
2022-08-25,30.25,38,22.5
2022-08-26,30.25,36.5,24
2022-08-27,30.5,37,24
2022-08-28,30.5,37,24
2022-08-29,30,35.5,24.5
2022-08-30,31.5,37.5,25.5
2022-08-31,28.25,34.5,22
2022-09-01,28.25,34.5,22
2022-09-02,29.5,36,23
2022-09-03,28.25,33,23.5
2022-09-04,27.25,32,22.5
2022-09-05,25.75,29,22.5
2022-09-06,24,28,20
2022-09-07,25,30,20
2022-09-08,26.75,32.5,21
2022-09-09,27.75,34,21.5
2022-09-10,28.25,34,22.5
2022-09-11,27.25,32,22.5
2022-09-12,27.25,33,21.5
2022-09-13,27.5,33.5,21.5
2022-09-14,27.75,33.5,22
2022-09-15,27.5,33,22
2022-09-16,26.75,32.5,21
2022-09-17,27.5,33,22
2022-09-18,26.5,32,21
2022-09-19,27.25,32.5,22
2022-09-20,27.75,33,22.5
2022-09-21,27.5,33.5,21.5
2022-09-22,27.5,33.5,21.5
2022-09-23,27.75,34,21.5
2022-09-24,28.25,35,21.5
2022-09-25,28.5,34,23
2022-09-26,25.5,30,21
2022-09-27,25,30,20
2022-09-28,24.5,29,20
2022-09-29,24,30,18
2022-09-30,25.25,32,18.5
2022-10-01,24.75,32,17.5
2022-10-02,24,30,18
2022-10-03,24.25,29.5,19
2022-10-04,22.25,26,18.5
2022-10-05,24.75,29.5,20
2022-10-06,23,26,20
2022-10-07,22.25,26,18.5
2022-10-08,21,24.5,17.5
2022-10-09,23,28,18
2022-10-10,22.5,27,18
2022-10-11,24.5,30,19
2022-10-12,25.75,32,19.5
2022-10-13,26.75,34,19.5
2022-10-14,26.75,32.5,21
2022-10-15,27,33,21
2022-10-16,28,34,22
2022-10-17,27.5,32,23
2022-10-18,15.25,16.5,14
2022-10-19,15.75,19.5,12
2022-10-20,18.75,25.5,12
2022-10-21,20.25,28,12.5
2022-10-22,22.5,29,16
2022-10-23,23,27,19
2022-10-24,26.5,32,21
2022-10-25,23.25,26.5,20
2022-10-26,20.5,28.5,12.5
2022-10-27,22.25,31.5,13
2022-10-28,21.75,26,17.5
2022-10-29,20,25,15
2022-10-30,20.5,27,14
2022-10-31,17.75,20.5,15
2022-11-01,19.5,22.5,16.5
2022-11-02,20,22,18
2022-11-03,24.75,31,18.5
2022-11-04,27,33,21
2022-11-05,24.25,27.5,21
2022-11-06,22.25,31,13.5
2022-11-07,22.75,31.5,14
2022-11-08,25.75,31,20.5
2022-11-09,25.5,31.5,19.5
2022-11-10,25.5,31,20
2022-11-11,27.25,33.5,21
2022-11-12,16,19,13
2022-11-13,14.25,20.5,8
2022-11-14,19.25,30.5,8
2022-11-15,14.5,18,11
2022-11-16,10.25,9.5,11
2022-11-17,7.75,9.5,6
2022-11-18,9.25,12,6.5
2022-11-19,12.25,16,8.5
2022-11-20,7,8,6
2022-11-21,7,8.5,5.5
2022-11-22,9.5,13.5,5.5
2022-11-23,11.25,14.5,8
2022-11-24,18.75,26.5,11
2022-11-25,15.25,16.5,14
2022-11-26,13.5,17.5,9.5
2022-11-27,18,26,10
2022-11-28,18.75,27,10.5
2022-11-29,20.5,30,11
2022-11-30,19.75,24.5,15
2022-12-01,13.75,17,10.5
2022-12-02,15,19.5,10.5
2022-12-03,16.5,21,12
2022-12-04,19.75,24,15.5
2022-12-05,22,27,17
2022-12-06,22.75,28.5,17
2022-12-07,22.75,27,18.5
2022-12-08,23.5,28,19
2022-12-09,22.5,28,17
2022-12-10,22.25,28.5,16
2022-12-11,20.5,26,15
2022-12-12,22,28.5,15.5
2022-12-13,24.25,30,18.5
2022-12-14,19.75,23.5,16
2022-12-15,16.5,24,9
2022-12-16,16.25,25,7.5
2022-12-17,13.25,15,11.5
2022-12-18,10.25,11,9.5
2022-12-19,12,15,9
2022-12-20,16,22.5,9.5
2022-12-21,12,15,9
2022-12-22,15.5,21.5,9.5
2022-12-23,0.5,1.5,-0.5
2022-12-24,1.5,5,-2
2022-12-25,4.5,11,-2
2022-12-26,11,22,0
2022-12-27,13,20,6
2022-12-28,16.5,27,6
2022-12-29,20.75,30,11.5
2022-12-30,19.25,27.5,11
2022-12-31,19.25,27,11.5
2023-01-01,20.5,29.5,11.5
2023-01-02,22.75,30.5,15
2023-01-03,21.75,27,16.5
2023-01-04,19.75,27.5,12
2023-01-05,19.5,28,11
2023-01-06,19.5,27,12
2023-01-07,23.5,30,17
2023-01-08,20.5,24,17
2023-01-09,18,23,13
2023-01-10,21,29,13
2023-01-11,22.75,29.5,16
2023-01-12,21.25,25.5,17
2023-01-13,14.75,20.5,9
2023-01-14,14.75,22.5,7
2023-01-15,16,26,6
2023-01-16,23,33,13
2023-01-17,21.75,30,13.5
2023-01-18,21,28.5,13.5
2023-01-19,17.5,20,15
2023-01-20,17.75,21,14.5
2023-01-21,20,25,15
2023-01-22,19.25,24,14.5
2023-01-23,16,20,12
2023-01-24,22,30,14
2023-01-25,16,20.5,11.5
2023-01-26,9.75,14.5,5
2023-01-27,9.5,13,6
2023-01-28,17.5,27,8
2023-01-29,19.5,31,8
2023-01-30,22.5,27,18
2023-01-31,7.5,8,7
2023-02-01,4,5,3
2023-02-02,7.25,11.5,3
2023-02-03,10.75,18,3.5
2023-02-04,13,22,4
2023-02-05,15,26,4
2023-02-06,18.5,28,9
2023-02-07,22.5,30,15
2023-02-08,19.25,20,18.5
2023-02-09,18.5,25,12
2023-02-10,16.75,18.5,15
2023-02-11,12.25,19,5.5
2023-02-12,13.75,22,5.5
2023-02-13,17,26,8
2023-02-14,23.75,34,13.5
2023-02-15,25.25,35,15.5
2023-02-16,19.5,23,16
2023-02-17,12.25,17,7.5
2023-02-18,11.75,20,3.5
2023-02-19,15.75,28,3.5
2023-02-20,19,31,7
2023-02-21,23.75,31,16.5
2023-02-22,27,36,18
2023-02-23,28.75,38,19.5
2023-02-24,26,33,19
2023-02-25,25.25,31,19.5
2023-02-26,25.25,31,19.5
2023-02-27,26.5,33.5,19.5
2023-02-28,27,34.5,19.5
2023-03-01,28.75,38,19.5
2023-03-02,28.5,36,21
2023-03-03,-,-,13.5
