Estación: ,CRUNL,Las Crucitas
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 41' 50.7'',Latitud:,24° 47' 03.8''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,26.5,38,15
2022-01-02,14.5,15,14
2022-01-03,9.5,18,1
2022-01-04,12.25,23,1.5
2022-01-05,16.5,29,4
2022-01-06,19.5,30,9
2022-01-07,14.75,19,10.5
2022-01-08,18.5,27,10
2022-01-09,21.5,29,14
2022-01-10,11.25,12,10.5
2022-01-11,11,14,8
2022-01-12,13.5,18,9
2022-01-13,16.5,27,6
2022-01-14,17.5,29,6
2022-01-15,13,19,7
2022-01-16,11.5,20,3
2022-01-17,16.5,30,3
2022-01-18,15.25,27,3.5
2022-01-19,19.5,30,9
2022-01-20,11.5,14,9
2022-01-21,2.25,4.5,0
2022-01-22,4.25,8,0.5
2022-01-23,5.75,8,3.5
2022-01-24,8.5,12,5
2022-01-25,15.75,25,6.5
2022-01-26,10.5,13,8
2022-01-27,12,14,10
2022-01-28,12.25,13,11.5
2022-01-29,11.75,17,6.5
2022-01-30,13.5,22,5
2022-01-31,15,25,5
2022-02-01,18,28,8
2022-02-02,20,29,11
2022-02-03,9.5,10,9
2022-02-04,3.5,7,0
2022-02-05,7,14,0
2022-02-06,7.5,15,0
2022-02-07,6.25,12,0.5
2022-02-08,13,19,7
2022-02-09,13.5,23,4
2022-02-10,12.5,21,4
2022-02-11,13.5,20,7
2022-02-12,15.75,23,8.5
2022-02-13,10.25,18.5,2
2022-02-14,11.25,20.5,2
2022-02-15,14,25,3
2022-02-16,18,30,6
2022-02-17,20.5,29,12
2022-02-18,12.75,19.5,6
2022-02-19,12.5,21,4
2022-02-20,16.5,29,4
2022-02-21,18.5,30,7
2022-02-22,24,34,14
2022-02-23,22.5,28,17
2022-02-24,13,19,7
2022-02-25,8,9,7
2022-02-26,7.25,9,5.5
2022-02-27,11.75,18,5.5
2022-02-28,14,23,5
2022-03-01,15.25,25.5,5
2022-03-02,13,21,5
2022-03-03,19,27,11
2022-03-04,21.75,30,13.5
2022-03-05,21.5,32,11
2022-03-06,25.5,33.5,17.5
2022-03-07,22,27,17
2022-03-08,16,25,7
2022-03-09,13.75,22,5.5
2022-03-10,17,29,5
2022-03-11,20.25,33,7.5
2022-03-12,8.75,15.5,2
2022-03-13,13.5,24,3
2022-03-14,17.5,31,4
2022-03-15,19.5,30,9
2022-03-16,21.5,31,12
2022-03-17,25,38,12
2022-03-18,22.5,29,16
2022-03-19,19.75,28.5,11
2022-03-20,20.5,30,11
2022-03-21,23,35,11
2022-03-22,22.5,32,13
2022-03-23,17.5,26,9
2022-03-24,18.5,29,8
2022-03-25,21.5,34,9
2022-03-26,22,33,11
2022-03-27,23,33,13
2022-03-28,23.25,33,13.5
2022-03-29,25,35,15
2022-03-30,25.75,34.5,17
2022-03-31,24,35,13
2022-04-01,22.5,31,14
2022-04-02,23,30,16
2022-04-03,25.25,31.5,19
2022-04-04,27,36,18
2022-04-05,28.75,39,18.5
2022-04-06,30.5,42.5,18.5
2022-04-07,22,29,15
2022-04-08,21.5,30,13
2022-04-09,22.5,32,13
2022-04-10,25.5,38,13
2022-04-11,28.5,41,16
2022-04-12,27,38,16
2022-04-13,29.5,41,18
2022-04-14,27.25,36,18.5
2022-04-15,29,38,20
2022-04-16,29.5,38,21
2022-04-17,30,39,21
2022-04-18,26.5,32,21
2022-04-19,25.5,31,20
2022-04-20,25,31,19
2022-04-21,26.5,33,20
2022-04-22,27.5,35,20
2022-04-23,27.75,36,19.5
2022-04-24,28,37,19
2022-04-25,26.25,33,19.5
2022-04-26,22.5,29,16
2022-04-27,23,30,16
2022-04-28,25.5,33,18
2022-04-29,26.25,34,18.5
2022-04-30,27,35,19
2022-05-01,28,36,20
2022-05-02,30,38,22
2022-05-03,28.75,35.5,22
2022-05-04,28.75,36,21.5
2022-05-05,30.25,38,22.5
2022-05-06,31.25,40,22.5
2022-05-07,32,43,21
2022-05-08,31.25,41,21.5
2022-05-09,31,40,22
2022-05-10,28.25,33,23.5
2022-05-11,28.75,35,22.5
2022-05-12,28.5,37,20
2022-05-13,29,38,20
2022-05-14,28,36,20
2022-05-15,28.5,38,19
2022-05-16,29,39,19
2022-05-17,29.75,40,19.5
2022-05-18,28.25,37,19.5
2022-05-19,30,39,21
2022-05-20,32.25,43,21.5
2022-05-21,31.5,42,21
2022-05-22,28.5,36,21
2022-05-23,27.5,34,21
2022-05-24,27.5,34,21
2022-05-25,27.5,34,21
2022-05-26,28,37,19
2022-05-27,29.25,38,20.5
2022-05-28,30.25,39,21.5
2022-05-29,29.5,38,21
2022-05-30,30,38.5,21.5
2022-05-31,30,38,22
2022-06-01,30.5,38.5,22.5
2022-06-02,30.5,38,23
2022-06-03,27.25,34,20.5
2022-06-04,29.25,39,19.5
2022-06-05,30.5,41,20
2022-06-06,31,42,20
2022-06-07,31.75,42,21.5
2022-06-08,30.75,39.5,22
2022-06-09,30.25,38,22.5
2022-06-10,31,40,22
2022-06-11,31.25,40.5,22
2022-06-12,31,40,22
2022-06-13,28.25,35,21.5
2022-06-14,29.25,37,21.5
2022-06-15,29.25,37,21.5
2022-06-16,29.75,38,21.5
2022-06-17,29.75,38,21.5
2022-06-18,30.5,39,22
2022-06-19,28.5,37,20
2022-06-20,29,37,21
2022-06-21,29.75,38,21.5
2022-06-22,28,35,21
2022-06-23,28,37,19
2022-06-24,28.75,38.5,19
2022-06-25,29,38,20
2022-06-26,29.25,37.5,21
2022-06-27,30,38,22
2022-06-28,29.75,39,20.5
2022-06-29,26.5,34,19
2022-06-30,27.5,36,19
2022-07-01,29,37,21
2022-07-02,28.25,35,21.5
2022-07-03,28.5,36,21
2022-07-04,29.75,38,21.5
2022-07-05,29.75,38,21.5
2022-07-06,30,38.5,21.5
2022-07-07,29.75,39,20.5
2022-07-08,30.5,39.5,21.5
2022-07-09,31.5,41,22
2022-07-10,31.75,41.5,22
2022-07-11,32,42,22
2022-07-12,31.75,41,22.5
2022-07-13,31.25,39.5,23
2022-07-14,29.25,38.5,20
2022-07-15,28.5,37,20
2022-07-16,28.5,37,20
2022-07-17,29.25,38,20.5
2022-07-18,30.5,40,21
2022-07-19,29.5,38,21
2022-07-20,31.5,41,22
2022-07-21,30.75,39,22.5
2022-07-22,30.75,40,21.5
2022-07-23,30.25,39,21.5
2022-07-24,30.75,40,21.5
2022-07-25,29.25,36.5,22
2022-07-26,30.25,39.5,21
2022-07-27,29.75,38,21.5
2022-07-28,30,39,21
2022-07-29,29.5,38,21
2022-07-30,29.75,39,20.5
2022-07-31,29.75,38.5,21
2022-08-01,29.75,38,21.5
2022-08-02,30,39,21
2022-08-03,31,40,22
2022-08-04,30.5,39,22
2022-08-05,30.5,39,22
2022-08-06,30,39,21
2022-08-07,30.25,39.5,21
2022-08-08,30,39,21
2022-08-09,30,39,21
2022-08-10,30.5,40,21
2022-08-11,31.25,40.5,22
2022-08-12,30.5,39,22
2022-08-13,28,36,20
2022-08-14,25.5,31,20
2022-08-15,27.75,34.5,21
2022-08-16,28,34,22
2022-08-17,29.5,37,22
2022-08-18,30.75,40,21.5
2022-08-19,29.75,38.5,21
2022-08-20,29.75,38,21.5
2022-08-21,30,39,21
2022-08-22,30.75,39.5,22
2022-08-23,29.25,37,21.5
2022-08-24,30.25,38.5,22
2022-08-25,31,40,22
2022-08-26,29.75,37,22.5
2022-08-27,30.25,38.5,22
2022-08-28,29.5,37,22
2022-08-29,30,38,22
2022-08-30,29.75,37,22.5
2022-08-31,28,35,21
2022-09-01,27,34,20
2022-09-02,28,36,20
2022-09-03,27.75,34,21.5
2022-09-04,27.5,34,21
2022-09-05,25.25,29,21.5
2022-09-06,23.25,27,19.5
2022-09-07,25,31,19
2022-09-08,26.25,33.5,19
2022-09-09,26.25,34,18.5
2022-09-10,27.5,35,20
2022-09-11,26.75,34,19.5
2022-09-12,26.5,34,19
2022-09-13,26,33.5,18.5
2022-09-14,26.5,34,19
2022-09-15,26,33,19
2022-09-16,24.5,31,18
2022-09-17,26,33,19
2022-09-18,26.5,33,20
2022-09-19,26.25,32,20.5
2022-09-20,27.5,35,20
2022-09-21,26.5,34,19
2022-09-22,25.5,33,18
2022-09-23,26,34,18
2022-09-24,26.25,34.5,18
2022-09-25,26.25,34.5,18
2022-09-26,23.5,29,18
2022-09-27,24.5,30,19
2022-09-28,23.5,28,19
2022-09-29,23,29,17
2022-09-30,22.5,31,14
2022-10-01,22.75,32,13.5
2022-10-02,22.5,31,14
2022-10-03,22.25,29,15.5
2022-10-04,21.5,27,16
2022-10-05,20,25,15
2022-10-06,20,25,15
2022-10-07,20.25,24,16.5
2022-10-08,20.5,24,17
2022-10-09,23,30,16
2022-10-10,21,26,16
2022-10-11,21.5,27,16
2022-10-12,24.5,33,16
2022-10-13,25.5,34,17
2022-10-14,25,34,16
2022-10-15,25.25,33,17.5
2022-10-16,27.5,34,21
2022-10-17,26.25,33.5,19
2022-10-18,13.75,15,12.5
2022-10-19,15.25,18.5,12
2022-10-20,19,27,11
2022-10-21,20,29,11
2022-10-22,21,30,12
2022-10-23,21,27,15
2022-10-24,26,34,18
2022-10-25,22,26.5,17.5
2022-10-26,20,28,12
2022-10-27,22,32,12
2022-10-28,20.75,27,14.5
2022-10-29,19,26,12
2022-10-30,19,27,11
2022-10-31,18,24,12
2022-11-01,19.5,24,15
2022-11-02,19.75,23.5,16
2022-11-03,24.5,32,17
2022-11-04,26.5,34,19
2022-11-05,23,28.5,17.5
2022-11-06,22.5,33,12
2022-11-07,24,34,14
2022-11-08,24,31,17
2022-11-09,23.25,29.5,17
2022-11-10,23.5,30,17
2022-11-11,25,31,19
2022-11-12,15.5,19,12
2022-11-13,13.5,21,6
2022-11-14,18.5,31,6
2022-11-15,15.5,21,10
2022-11-16,12.25,14,10.5
2022-11-17,7.5,9.5,5.5
2022-11-18,9.25,13,5.5
2022-11-19,10.25,12,8.5
2022-11-20,6.75,8,5.5
2022-11-21,7.25,9,5.5
2022-11-22,10,15,5
2022-11-23,12.25,16.5,8
2022-11-24,19.5,27,12
2022-11-25,15.5,17,14
2022-11-26,15,19,11
2022-11-27,18.25,27,9.5
2022-11-28,18.5,28,9
2022-11-29,21,30,12
2022-11-30,20,26,14
2022-12-01,13,17,9
2022-12-02,16.5,23,10
2022-12-03,17.25,22,12.5
2022-12-04,20,24,16
2022-12-05,21,26,16
2022-12-06,22.25,28,16.5
2022-12-07,21,25.5,16.5
2022-12-08,21,28,14
2022-12-09,20.75,27,14.5
2022-12-10,20.5,27,14
2022-12-11,19,24,14
2022-12-12,21,27.5,14.5
2022-12-13,22.5,30,15
2022-12-14,17.5,22.5,12.5
2022-12-15,15.5,23.5,7.5
2022-12-16,16.25,24.5,8
2022-12-17,11.75,13.5,10
2022-12-18,10.5,13,8
2022-12-19,11.75,15,8.5
2022-12-20,13,19.5,6.5
2022-12-21,12,17,7
2022-12-22,17.25,26,8.5
2022-12-23,-0.25,1,-1.5
2022-12-24,2,7,-3
2022-12-25,5,13,-3
2022-12-26,11,24,-2
2022-12-27,12,20,4
2022-12-28,16.25,26.5,6
2022-12-29,17.5,29,6
2022-12-30,18.25,26,10.5
2022-12-31,19.5,28.5,10.5
2023-01-01,20.5,30,11
2023-01-02,22.5,31,14
2023-01-03,22.5,29,16
2023-01-04,20.5,28,13
2023-01-05,19.5,30,9
2023-01-06,18.25,26.5,10
2023-01-07,21.5,29,14
2023-01-08,19,23,15
2023-01-09,17.5,21,14
2023-01-10,20,29.5,10.5
2023-01-11,20.25,30.5,10
2023-01-12,18.25,26,10.5
2023-01-13,13.75,21,6.5
2023-01-14,13.75,23.5,4
2023-01-15,16,27,5
2023-01-16,21.5,33,10
2023-01-17,21.25,32.5,10
2023-01-18,21,30,12
2023-01-19,18.25,23,13.5
2023-01-20,16.75,23,10.5
2023-01-21,16.5,22,11
2023-01-22,17.25,22,12.5
2023-01-23,13.75,17.5,10
2023-01-24,20,29,11
2023-01-25,-,-,6
2023-01-26,-,21.5,-
2023-01-27,10.5,16,5
2023-01-28,17.5,28,7
2023-01-29,21,31,11
2023-01-30,21.5,28,15
2023-01-31,8.5,9,8
2023-02-01,4.5,6,3
2023-02-02,7.25,11.5,3
2023-02-03,8.25,13,3.5
2023-02-04,13,22.5,3.5
2023-02-05,16,28,4
2023-02-06,18.5,29,8
2023-02-07,22,34,10
2023-02-08,16,17,15
2023-02-09,19.5,25,14
2023-02-10,15,18,12
2023-02-11,10.75,19.5,2
2023-02-12,12.75,23,2.5
2023-02-13,16.25,27,5.5
2023-02-14,18.75,28.5,9
2023-02-15,25.5,36,15
2023-02-16,19,23,15
2023-02-17,12,18.5,5.5
2023-02-18,12,22,2
2023-02-19,15.75,29,2.5
2023-02-20,19.5,32,7
2023-02-21,23.5,33,14
2023-02-22,26,37,15
2023-02-23,28,37,19
2023-02-24,25.25,34,16.5
2023-02-25,24.5,32,17
2023-02-26,25.25,32,18.5
2023-02-27,25.5,35,16
2023-02-28,25.75,36,15.5
2023-03-01,27,38.5,15.5
2023-03-02,27.5,39,16
2023-03-03,-,-,10
