Estación: ,DARNL,Dr. Arroyo
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 10' 36.5'',Latitud:,23° 40' 34.7''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,18.5,28,9
2022-01-02,18,27,9
2022-01-03,10.5,19,2
2022-01-04,14.5,27,2
2022-01-05,17,30,4
2022-01-06,18,29,7
2022-01-07,15.75,23,8.5
2022-01-08,17.5,27,8
2022-01-09,19,29,9
2022-01-10,14.5,20,9
2022-01-11,14.5,19,10
2022-01-12,16.5,23,10
2022-01-13,17.5,26,9
2022-01-14,18,27,9
2022-01-15,15.5,27,4
2022-01-16,12.5,22,3
2022-01-17,14.5,26,3
2022-01-18,16,28,4
2022-01-19,15.5,27,4
2022-01-20,13,20,6
2022-01-21,12,14,10
2022-01-22,10.5,14,7
2022-01-23,11.5,17,6
2022-01-24,15,21,9
2022-01-25,17,24,10
2022-01-26,15.5,23,8
2022-01-27,16,23,9
2022-01-28,14,17,11
2022-01-29,6.5,7,6
2022-01-30,13.5,25,2
2022-01-31,13.5,25,2
2022-02-01,15.5,27,4
2022-02-02,16.5,29,4
2022-02-03,15.5,25,6
2022-02-04,12,16,8
2022-02-05,8.5,15,2
2022-02-06,13,24,2
2022-02-07,10.5,16,5
2022-02-08,8.5,13,4
2022-02-09,12.5,21,4
2022-02-10,13,22,4
2022-02-11,14,21,7
2022-02-12,16,23,9
2022-02-13,12.5,18,7
2022-02-14,13,22,4
2022-02-15,15,27,3
2022-02-16,16,29,3
2022-02-17,18.5,30,7
2022-02-18,18,26,10
2022-02-19,14,20,8
2022-02-20,18,28,8
2022-02-21,20.5,31,10
2022-02-22,20.5,32,9
2022-02-23,22.5,33,12
2022-02-24,21,30,12
2022-02-25,18.5,26,11
2022-02-26,19.5,27,12
2022-02-27,18.5,27,10
2022-02-28,17.5,25,10
2022-03-01,18,30,6
2022-03-02,18,30,6
2022-03-03,19.5,30,9
2022-03-04,21.5,32,11
2022-03-05,21,32,10
2022-03-06,22,33,11
2022-03-07,23,33,13
2022-03-08,21,30,12
2022-03-09,19.5,27,12
2022-03-10,18.5,30,7
2022-03-11,19,32,6
2022-03-12,12.5,16,9
2022-03-13,14,27,1
2022-03-14,15.5,30,1
2022-03-15,18.5,29,8
2022-03-16,19,30,8
2022-03-17,19.5,31,8
2022-03-18,20,31,9
2022-03-19,18.5,27,10
2022-03-20,19,28,10
2022-03-21,21,32,10
2022-03-22,20.5,31,10
2022-03-23,18,27,9
2022-03-24,15.5,25,6
2022-03-25,16.5,28,5
2022-03-26,17.5,29,6
2022-03-27,19,31,7
2022-03-28,20.5,33,8
2022-03-29,20,30,10
2022-03-30,22.5,33,12
2022-03-31,21.5,32,11
2022-04-01,21.5,33,10
2022-04-02,23,35,11
2022-04-03,23.5,33,14
2022-04-04,25.5,35,16
2022-04-05,23,33,13
2022-04-06,23,33,13
2022-04-07,20,27,13
2022-04-08,17,24,10
2022-04-09,17.5,27,8
2022-04-10,19,30,8
2022-04-11,22,33,11
2022-04-12,23,33,13
2022-04-13,22.5,33,12
2022-04-14,22.5,33,12
2022-04-15,24,34,14
2022-04-16,26.5,37,16
2022-04-17,26.5,37,16
2022-04-18,24.5,33,16
2022-04-19,22,28,16
2022-04-20,24,34,14
2022-04-21,24,34,14
2022-04-22,24,36,12
2022-04-23,22.5,33,12
2022-04-24,24,33,15
2022-04-25,21.5,30,13
2022-04-26,20,26,14
2022-04-27,19,24,14
2022-04-28,22.5,31,14
2022-04-29,24,33,15
2022-04-30,25.5,35,16
2022-05-01,24,32,16
2022-05-02,24.5,34,15
2022-05-03,25,32,18
2022-05-04,25.5,35,16
2022-05-05,25.5,36,15
2022-05-06,25.5,36,15
2022-05-07,27.5,38,17
2022-05-08,28,38,18
2022-05-09,28,38,18
2022-05-10,27.5,35,20
2022-05-11,25.5,32,19
2022-05-12,25,34,16
2022-05-13,25,36,14
2022-05-14,25.5,36,15
2022-05-15,24.5,34,15
2022-05-16,24,34,14
2022-05-17,25,35,15
2022-05-18,26.5,36,17
2022-05-19,25,36,14
2022-05-20,25,36,14
2022-05-21,26,36,16
2022-05-22,26.5,36,17
2022-05-23,24,31,17
2022-05-24,26,34,18
2022-05-25,25.5,36,15
2022-05-26,24.5,34,15
2022-05-27,26,34,18
2022-05-28,25,33,17
2022-05-29,24.5,34,15
2022-05-30,26,36,16
2022-05-31,-,-,17
2022-06-01,-,-,-
2022-06-02,-,-,-
2022-06-03,-,-,-
2022-06-04,-,-,-
2022-06-05,-,-,-
2022-06-06,-,-,-
2022-06-07,-,-,-
2022-06-08,-,-,-
2022-06-09,-,-,-
2022-06-10,-,-,-
2022-06-11,-,-,-
2022-06-12,-,-,-
2022-06-13,-,-,-
2022-06-14,-,-,-
2022-06-15,-,-,-
2022-06-16,-,-,-
2022-06-17,-,-,-
2022-06-18,-,-,-
2022-06-19,-,-,-
2022-06-20,-,-,-
2022-06-21,-,-,-
2022-06-22,-,-,-
2022-06-23,-,-,-
2022-06-24,-,-,-
2022-06-25,-,-,-
2022-06-26,-,-,-
2022-06-27,-,-,-
2022-06-28,-,-,-
2022-06-29,-,-,-
2022-06-30,-,-,-
2022-07-01,-,-,-
2022-07-02,-,-,-
2022-07-03,-,-,-
2022-07-04,-,-,-
2022-07-05,-,-,-
2022-07-06,-,-,-
2022-07-07,-,-,-
2022-07-08,-,-,-
2022-07-09,-,-,-
2022-07-10,-,-,-
2022-07-11,-,-,-
2022-07-12,-,-,-
2022-07-13,-,-,-
2022-07-14,-,-,-
2022-07-15,-,-,-
2022-07-16,-,-,-
2022-07-17,-,-,-
2022-07-18,-,-,-
2022-07-19,-,-,-
2022-07-20,-,-,-
2022-07-21,-,-,-
2022-07-22,-,-,-
2022-07-23,-,-,-
2022-07-24,-,-,-
2022-07-25,-,-,-
2022-07-26,-,-,-
2022-07-27,-,-,-
2022-07-28,-,-,-
2022-07-29,-,-,-
2022-07-30,-,-,-
2022-07-31,-,-,-
2022-08-01,-,-,-
2022-08-02,-,-,-
2022-08-03,-,-,-
2022-08-04,-,-,-
2022-08-05,-,-,-
2022-08-06,-,-,-
2022-08-07,-,-,-
2022-08-08,-,-,-
2022-08-09,-,-,-
2022-08-10,-,-,-
2022-08-11,-,-,-
2022-08-12,-,-,-
2022-08-13,-,-,-
2022-08-14,-,-,-
2022-08-15,-,-,-
2022-08-16,-,-,-
2022-08-17,-,-,-
2022-08-18,-,-,-
2022-08-19,-,-,-
2022-08-20,-,-,-
2022-08-21,-,-,-
2022-08-22,-,-,-
2022-08-23,-,-,-
2022-08-24,-,-,-
2022-08-25,-,-,-
2022-08-26,-,-,-
2022-08-27,-,-,-
2022-08-28,-,-,-
2022-08-29,-,-,-
2022-08-30,-,-,-
2022-08-31,-,-,-
2022-09-01,-,-,-
2022-09-02,-,-,-
2022-09-03,-,-,-
2022-09-04,-,-,-
2022-09-05,-,-,-
2022-09-06,-,-,-
2022-09-07,-,-,-
2022-09-08,-,-,-
2022-09-09,-,-,-
2022-09-10,-,-,-
2022-09-11,-,-,-
2022-09-12,-,-,-
2022-09-13,-,-,-
2022-09-14,-,-,-
2022-09-15,-,-,-
2022-09-16,-,-,-
2022-09-17,-,-,-
2022-09-18,-,-,-
2022-09-19,-,-,-
2022-09-20,-,-,-
2022-09-21,-,-,-
2022-09-22,-,-,-
2022-09-23,-,-,-
2022-09-24,-,-,-
2022-09-25,-,-,-
2022-09-26,-,-,-
2022-09-27,-,-,-
2022-09-28,-,-,-
2022-09-29,-,-,-
2022-09-30,-,-,-
2022-10-01,-,-,-
2022-10-02,-,-,-
2022-10-03,-,-,-
2022-10-04,-,-,-
2022-10-05,-,-,-
2022-10-06,-,-,-
2022-10-07,-,-,-
2022-10-08,-,-,-
2022-10-09,-,-,-
2022-10-10,-,-,-
2022-10-11,-,-,-
2022-10-12,-,-,-
2022-10-13,-,-,-
2022-10-14,-,-,-
2022-10-15,-,-,-
2022-10-16,-,-,-
2022-10-17,-,-,-
2022-10-18,-,-,-
2022-10-19,-,-,-
2022-10-20,-,-,-
2022-10-21,-,-,-
2022-10-22,-,-,-
2022-10-23,-,-,-
2022-10-24,-,-,-
2022-10-25,-,-,-
2022-10-26,-,-,-
2022-10-27,-,-,-
2022-10-28,-,-,-
2022-10-29,-,-,-
2022-10-30,-,-,-
2022-10-31,-,-,-
2022-11-01,-,-,-
2022-11-02,-,-,-
2022-11-03,-,-,-
2022-11-04,-,-,-
2022-11-05,-,-,-
2022-11-06,-,-,-
2022-11-07,-,-,-
2022-11-08,-,-,-
2022-11-09,-,-,-
2022-11-10,-,-,-
2022-11-11,-,-,-
2022-11-12,-,-,-
2022-11-13,-,-,-
2022-11-14,-,-,-
2022-11-15,-,-,-
2022-11-16,-,-,-
2022-11-17,-,-,-
2022-11-18,-,-,-
2022-11-19,-,-,-
2022-11-20,-,-,-
2022-11-21,-,-,-
2022-11-22,-,-,-
2022-11-23,-,-,-
2022-11-24,-,-,-
2022-11-25,-,-,-
2022-11-26,-,-,-
2022-11-27,-,-,-
2022-11-28,-,-,-
2022-11-29,-,-,-
2022-11-30,-,-,-
2022-12-01,-,-,-
2022-12-02,-,-,-
2022-12-03,-,-,-
2022-12-04,-,-,-
2022-12-05,-,-,-
2022-12-06,-,-,-
2022-12-07,-,-,-
2022-12-08,-,-,-
2022-12-09,-,-,-
2022-12-10,-,-,-
2022-12-11,-,-,-
2022-12-12,-,-,-
2022-12-13,-,-,-
2022-12-14,-,-,-
2022-12-15,-,-,-
2022-12-16,-,-,-
2022-12-17,-,-,-
2022-12-18,-,-,-
2022-12-19,-,-,-
2022-12-20,-,-,-
2022-12-21,-,-,-
2022-12-22,-,-,-
2022-12-23,-,-,-
2022-12-24,-,-,-
2022-12-25,-,-,-
2022-12-26,-,-,-
2022-12-27,-,-,-
2022-12-28,-,-,-
2022-12-29,-,-,-
2022-12-30,-,-,-
2022-12-31,-,-,-
2023-01-01,-,-,-
2023-01-02,-,-,-
2023-01-03,-,-,-
2023-01-04,-,-,-
2023-01-05,-,-,-
2023-01-06,-,-,-
2023-01-07,-,-,-
2023-01-08,-,-,-
2023-01-09,-,-,-
2023-01-10,-,-,-
2023-01-11,-,-,-
2023-01-12,-,-,-
2023-01-13,-,-,-
2023-01-14,-,-,-
2023-01-15,-,-,-
2023-01-16,-,-,-
2023-01-17,-,-,-
2023-01-18,-,-,-
2023-01-19,-,-,-
2023-01-20,-,-,-
2023-01-21,-,-,-
2023-01-22,-,-,-
2023-01-23,-,-,-
2023-01-24,-,-,-
2023-01-25,-,-,-
2023-01-26,-,-,-
2023-01-27,-,-,-
2023-01-28,-,-,-
2023-01-29,-,-,-
2023-01-30,-,-,-
2023-01-31,-,-,-
2023-02-01,-,-,-
2023-02-02,-,-,-
2023-02-03,-,-,-
2023-02-04,-,-,-
2023-02-05,-,-,-
2023-02-06,-,-,-
2023-02-07,-,-,-
2023-02-08,-,-,-
2023-02-09,-,-,-
2023-02-10,-,-,-
2023-02-11,-,-,-
2023-02-12,-,-,-
2023-02-13,-,-,-
2023-02-14,-,-,-
2023-02-15,-,-,-
2023-02-16,-,-,-
2023-02-17,-,-,-
2023-02-18,-,-,-
2023-02-19,-,-,-
2023-02-20,-,-,-
2023-02-21,-,-,-
2023-02-22,-,-,-
2023-02-23,-,-,-
2023-02-24,-,-,-
2023-02-25,-,-,-
2023-02-26,-,-,-
2023-02-27,-,-,-
2023-02-28,-,-,-
2023-03-01,-,-,-
2023-03-02,-,-,-
2023-03-03,-,-,-
