Estación: ,GALNL,Galeana
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 04' 59.4'',Latitud:,24° 49' 13.9''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,17.75,25,10.5
2022-01-02,8.75,12,5.5
2022-01-03,6,14,-2
2022-01-04,11.75,21,2.5
2022-01-05,13.75,22,5.5
2022-01-06,13.25,21,5.5
2022-01-07,13.25,22,4.5
2022-01-08,15.25,25,5.5
2022-01-09,14.75,23,6.5
2022-01-10,8.25,11,5.5
2022-01-11,8.75,13,4.5
2022-01-12,10.75,16,5.5
2022-01-13,10.75,18,3.5
2022-01-14,14.25,24,4.5
2022-01-15,9.25,12,6.5
2022-01-16,7,16,-2
2022-01-17,9,19,-1
2022-01-18,13.75,23,4.5
2022-01-19,14.75,24,5.5
2022-01-20,9.25,12,6.5
2022-01-21,5,8.5,1.5
2022-01-22,6.75,12,1.5
2022-01-23,10.75,17,4.5
2022-01-24,10.75,17,4.5
2022-01-25,11.75,19,4.5
2022-01-26,10.25,17,3.5
2022-01-27,10.25,16,4.5
2022-01-28,6.25,9,3.5
2022-01-29,6.25,11,1.5
2022-01-30,10.25,18,2.5
2022-01-31,12.25,21,3.5
2022-02-01,11.75,21,2.5
2022-02-02,14.25,24,4.5
2022-02-03,11.25,16,6.5
2022-02-04,1.5,5,-2
2022-02-05,4,9,-1
2022-02-06,9.75,16,3.5
2022-02-07,4.75,6,3.5
2022-02-08,5.5,12,-1
2022-02-09,8,15,1
2022-02-10,8.25,15,1.5
2022-02-11,10.25,17,3.5
2022-02-12,9.75,14,5.5
2022-02-13,5.5,12,-1
2022-02-14,8.5,17,0
2022-02-15,11.5,22,1
2022-02-16,15.25,26,4.5
2022-02-17,15.75,24,7.5
2022-02-18,8.75,14,3.5
2022-02-19,8.25,14,2.5
2022-02-20,13.75,24,3.5
2022-02-21,18.25,27,9.5
2022-02-22,18.25,28,8.5
2022-02-23,17.75,24,11.5
2022-02-24,16.75,25,8.5
2022-02-25,12.75,18,7.5
2022-02-26,13.75,20,7.5
2022-02-27,9.25,14,4.5
2022-02-28,10.25,18,2.5
2022-03-01,11.75,20,3.5
2022-03-02,12.75,19,6.5
2022-03-03,14.25,21,7.5
2022-03-04,18.75,29,8.5
2022-03-05,19.25,28,10.5
2022-03-06,20.75,30,11.5
2022-03-07,15.75,21,10.5
2022-03-08,15.25,22,8.5
2022-03-09,11.25,18,4.5
2022-03-10,14.25,22,6.5
2022-03-11,17.75,29,6.5
2022-03-12,5,8.5,1.5
2022-03-13,8.5,17,0
2022-03-14,12.75,22,3.5
2022-03-15,13.25,20,6.5
2022-03-16,15.25,24,6.5
2022-03-17,18.25,28,8.5
2022-03-18,14.25,20,8.5
2022-03-19,12.75,18,7.5
2022-03-20,15.25,24,6.5
2022-03-21,18.25,28,8.5
2022-03-22,15.25,23,7.5
2022-03-23,11.75,17,6.5
2022-03-24,9.75,18,1.5
2022-03-25,13.25,22,4.5
2022-03-26,13.75,23,4.5
2022-03-27,16.25,24,8.5
2022-03-28,17.75,25,10.5
2022-03-29,21.25,32,10.5
2022-03-30,20.75,29,12.5
2022-03-31,17.25,24,10.5
2022-04-01,16.25,24,8.5
2022-04-02,18.25,25,11.5
2022-04-03,17.25,23,11.5
2022-04-04,20.25,30,10.5
2022-04-05,20.75,30,11.5
2022-04-06,21.75,31,12.5
2022-04-07,12.75,18,7.5
2022-04-08,12.25,19,5.5
2022-04-09,15.75,24,7.5
2022-04-10,18.75,29,8.5
2022-04-11,19.75,30,9.5
2022-04-12,20.25,29,11.5
2022-04-13,21.25,30,12.5
2022-04-14,19.75,27,12.5
2022-04-15,20.75,30,11.5
2022-04-16,22.75,31,14.5
2022-04-17,22.75,30,15.5
2022-04-18,21.75,28,15.5
2022-04-19,19.25,26,12.5
2022-04-20,18.75,27,10.5
2022-04-21,18.25,27,9.5
2022-04-22,18.25,25,11.5
2022-04-23,18.25,26,10.5
2022-04-24,18.75,27,10.5
2022-04-25,17.25,24,10.5
2022-04-26,12.75,17,8.5
2022-04-27,13.25,18,8.5
2022-04-28,16.25,22,10.5
2022-04-29,17.25,26,8.5
2022-04-30,17.75,27,8.5
2022-05-01,18.75,28,9.5
2022-05-02,21.25,30,12.5
2022-05-03,22.25,30,14.5
2022-05-04,22.75,31,14.5
2022-05-05,23.25,31,15.5
2022-05-06,20.25,26,14.5
2022-05-07,21.25,29,13.5
2022-05-08,23.25,32,14.5
2022-05-09,23.25,31,15.5
2022-05-10,21.25,27,15.5
2022-05-11,20.25,26,14.5
2022-05-12,19.75,27,12.5
2022-05-13,20.25,29,11.5
2022-05-14,20.25,28,12.5
2022-05-15,19.75,28,11.5
2022-05-16,20.25,28,12.5
2022-05-17,22.25,31,13.5
2022-05-18,21.25,29,13.5
2022-05-19,20.75,28,13.5
2022-05-20,21.75,30,13.5
2022-05-21,23.25,32,14.5
2022-05-22,19.75,24,15.5
2022-05-23,18.25,24,12.5
2022-05-24,19.75,28,11.5
2022-05-25,18.75,24,13.5
2022-05-26,18.25,24,12.5
2022-05-27,19.75,26,13.5
2022-05-28,20.25,28,12.5
2022-05-29,20.75,28,13.5
2022-05-30,21.75,29,14.5
2022-05-31,20.75,27,14.5
2022-06-01,19.75,26,13.5
2022-06-02,18.25,24,12.5
2022-06-03,16.75,21,12.5
2022-06-04,18.75,26,11.5
2022-06-05,20.25,28,12.5
2022-06-06,23.25,32,14.5
2022-06-07,22.75,30,15.5
2022-06-08,21.25,28,14.5
2022-06-09,20.25,27,13.5
2022-06-10,20.75,29,12.5
2022-06-11,20.75,29,12.5
2022-06-12,21.25,29,13.5
2022-06-13,18.75,25,12.5
2022-06-14,19.25,26,12.5
2022-06-15,18.75,25,12.5
2022-06-16,19.25,27,11.5
2022-06-17,18.25,25,11.5
2022-06-18,17.25,24,10.5
2022-06-19,17.25,24,10.5
2022-06-20,16.75,23,10.5
2022-06-21,17.25,24,10.5
2022-06-22,16.25,23,9.5
2022-06-23,16.25,23,9.5
2022-06-24,16.75,25,8.5
2022-06-25,17.25,25,9.5
2022-06-26,18.75,27,10.5
2022-06-27,16.75,24,9.5
2022-06-28,16.75,23,10.5
2022-06-29,16.25,22,10.5
2022-06-30,15.25,21,9.5
2022-07-01,16.25,23,9.5
2022-07-02,16.25,22,10.5
2022-07-03,17.25,23,11.5
2022-07-04,17.25,24,10.5
2022-07-05,20.25,30,10.5
2022-07-06,20.25,29,11.5
2022-07-07,19.75,28,11.5
2022-07-08,19.75,28,11.5
2022-07-09,19.75,28,11.5
2022-07-10,20.25,29,11.5
2022-07-11,20.25,28,12.5
2022-07-12,20.75,29,12.5
2022-07-13,19.75,27,12.5
2022-07-14,17.25,24,10.5
2022-07-15,16.75,24,9.5
2022-07-16,18.25,26,10.5
2022-07-17,19.25,28,10.5
2022-07-18,20.75,29,12.5
2022-07-19,20.75,28,13.5
2022-07-20,20.75,29,12.5
2022-07-21,20.25,28,12.5
2022-07-22,19.25,27,11.5
2022-07-23,18.75,26,11.5
2022-07-24,19.75,28,11.5
2022-07-25,19.75,27,12.5
2022-07-26,18.75,25,12.5
2022-07-27,17.75,24,11.5
2022-07-28,17.25,23,11.5
2022-07-29,18.75,26,11.5
2022-07-30,20.75,29,12.5
2022-07-31,19.25,26,12.5
2022-08-01,17.75,23,12.5
2022-08-02,19.75,28,11.5
2022-08-03,22.25,31,13.5
2022-08-04,22.25,30,14.5
2022-08-05,21.25,29,13.5
2022-08-06,20.25,27,13.5
2022-08-07,19.25,26,12.5
2022-08-08,18.25,25,11.5
2022-08-09,17.75,24,11.5
2022-08-10,18.25,24,12.5
2022-08-11,20.25,28,12.5
2022-08-12,18.75,24,13.5
2022-08-13,17.75,24,11.5
2022-08-14,17.75,24,11.5
2022-08-15,18.75,25,12.5
2022-08-16,17.75,24,11.5
2022-08-17,18.25,25,11.5
2022-08-18,19.25,27,11.5
2022-08-19,18.75,27,10.5
2022-08-20,19.25,27,11.5
2022-08-21,19.25,28,10.5
2022-08-22,20.75,28,13.5
2022-08-23,20.25,28,12.5
2022-08-24,19.75,27,12.5
2022-08-25,19.75,27,12.5
2022-08-26,17.75,24,11.5
2022-08-27,16.75,23,10.5
2022-08-28,19.75,28,11.5
2022-08-29,19.25,27,11.5
2022-08-30,18.75,25,12.5
2022-08-31,18.75,25,12.5
2022-09-01,17.75,23,12.5
2022-09-02,18.25,25,11.5
2022-09-03,17.25,23,11.5
2022-09-04,17.25,23,11.5
2022-09-05,15.75,21,10.5
2022-09-06,14.75,20,9.5
2022-09-07,14.75,19,10.5
2022-09-08,16.75,24,9.5
2022-09-09,18.25,26,10.5
2022-09-10,17.25,24,10.5
2022-09-11,16.75,23,10.5
2022-09-12,16.75,24,9.5
2022-09-13,16.75,23,10.5
2022-09-14,16.75,23,10.5
2022-09-15,16.75,24,9.5
2022-09-16,17.75,25,10.5
2022-09-17,17.75,23,12.5
2022-09-18,17.75,24,11.5
2022-09-19,18.75,25,12.5
2022-09-20,18.25,24,12.5
2022-09-21,17.75,23,12.5
2022-09-22,16.75,24,9.5
2022-09-23,17.25,25,9.5
2022-09-24,17.25,24,10.5
2022-09-25,16.75,23,10.5
2022-09-26,15.25,21,9.5
2022-09-27,15.75,21,10.5
2022-09-28,14.25,19,9.5
2022-09-29,14.25,20,8.5
2022-09-30,14.75,22,7.5
2022-10-01,15.25,22,8.5
2022-10-02,14.25,21,7.5
2022-10-03,12.75,19,6.5
2022-10-04,11.75,17,6.5
2022-10-05,12.75,16,9.5
2022-10-06,12.25,15,9.5
2022-10-07,12.75,16,9.5
2022-10-08,11.75,15,8.5
2022-10-09,12.75,17,8.5
2022-10-10,16.5,19,14
2022-10-11,16.25,23,9.5
2022-10-12,17.75,25,10.5
2022-10-13,17.25,24,10.5
2022-10-14,16.25,23,9.5
2022-10-15,17.75,25,10.5
2022-10-16,19.25,27,11.5
2022-10-17,17.75,25,10.5
2022-10-18,10.75,13,8.5
2022-10-19,8.25,11,5.5
2022-10-20,12.25,18,6.5
2022-10-21,15.25,23,7.5
2022-10-22,15.75,25,6.5
2022-10-23,17.75,26,9.5
2022-10-24,18.75,26,11.5
2022-10-25,14.75,19,10.5
2022-10-26,14.75,21,8.5
2022-10-27,17.25,25,9.5
2022-10-28,14.25,20,8.5
2022-10-29,12.25,20,4.5
2022-10-30,13.25,21,5.5
2022-10-31,13.25,19,7.5
2022-11-01,14.75,21,8.5
2022-11-02,16.75,23,10.5
2022-11-03,17.75,24,11.5
2022-11-04,18.75,27,10.5
2022-11-05,16.75,23,10.5
2022-11-06,17.75,26,9.5
2022-11-07,18.25,27,9.5
2022-11-08,16.75,23,10.5
2022-11-09,15.75,22,9.5
2022-11-10,17.75,25,10.5
2022-11-11,18.25,26,10.5
2022-11-12,10.25,13,7.5
2022-11-13,11.5,17.5,5.5
2022-11-14,15.25,23,7.5
2022-11-15,11.25,17,5.5
2022-11-16,9.75,14,5.5
2022-11-17,8.75,12,5.5
2022-11-18,11.25,17,5.5
2022-11-19,9.75,13,6.5
2022-11-20,9.25,12,6.5
2022-11-21,10.75,16,5.5
2022-11-22,11.75,18,5.5
2022-11-23,13.75,21,6.5
2022-11-24,15.25,22,8.5
2022-11-25,12.25,17,7.5
2022-11-26,12.75,19,6.5
2022-11-27,14.25,22,6.5
2022-11-28,14.75,22,7.5
2022-11-29,16.75,25,8.5
2022-11-30,13.25,18,8.5
2022-12-01,13.25,18,8.5
2022-12-02,16.25,24,8.5
2022-12-03,15.75,22,9.5
2022-12-04,16.25,24,8.5
2022-12-05,17.75,26,9.5
2022-12-06,18.75,27,10.5
2022-12-07,15.75,23,8.5
2022-12-08,15.25,23,7.5
2022-12-09,14.75,22,7.5
2022-12-10,14.75,23,6.5
2022-12-11,15.25,23,7.5
2022-12-12,15.25,23,7.5
2022-12-13,16.75,25,8.5
2022-12-14,13.25,19,7.5
2022-12-15,10.75,18,3.5
2022-12-16,10.75,17,4.5
2022-12-17,9.25,14,4.5
2022-12-18,11.75,19,4.5
2022-12-19,10.75,15,6.5
2022-12-20,11.75,16,7.5
2022-12-21,11.25,18,4.5
2022-12-22,15.25,23,7.5
2022-12-23,2,5,-1
2022-12-24,3,8,-2
2022-12-25,5,11,-1
2022-12-26,9.5,17,2
2022-12-27,9,16,2
2022-12-28,12,21,3
2022-12-29,12.75,20,5.5
2022-12-30,12.25,18,6.5
2022-12-31,13.75,22,5.5
2023-01-01,14.25,21,7.5
2023-01-02,15.25,23,7.5
2023-01-03,15.25,22,8.5
2023-01-04,13.25,20,6.5
2023-01-05,13.75,21,6.5
2023-01-06,15.75,24,7.5
2023-01-07,15.75,23,8.5
2023-01-08,12.25,17,7.5
2023-01-09,12.75,19,6.5
2023-01-10,-,-,6.5
2023-01-11,-,24,-
2023-01-12,11.75,17,6.5
2023-01-13,7.75,14,1.5
2023-01-14,10,19,1
2023-01-15,13,23,3
2023-01-16,15.25,24,6.5
2023-01-17,16.75,25,8.5
2023-01-18,14.25,22,6.5
2023-01-19,11.25,17,5.5
2023-01-20,12.75,20,5.5
2023-01-21,12.75,19,6.5
2023-01-22,10.75,17,4.5
2023-01-23,9.75,16,3.5
2023-01-24,13.25,21,5.5
2023-01-25,8,14,2
2023-01-26,3,8,-2
2023-01-27,7,14,0
2023-01-28,12.75,21,4.5
2023-01-29,15.25,23,7.5
2023-01-30,17.25,24,10.5
2023-01-31,16.25,24,8.5
2023-02-01,14.25,21,7.5
2023-02-02,13.25,18,8.5
2023-02-03,7.75,12,3.5
2023-02-04,9.25,16,2.5
2023-02-05,11.25,19,3.5
2023-02-06,15.25,25,5.5
2023-02-07,16.75,25,8.5
2023-02-08,12.25,17,7.5
2023-02-09,13.25,19,7.5
2023-02-10,7.25,11,3.5
2023-02-11,5,12,-2
2023-02-12,11.75,20,3.5
2023-02-13,15.25,25,5.5
2023-02-14,17.25,24,10.5
2023-02-15,19.25,27,11.5
2023-02-16,12.75,17,8.5
2023-02-17,3,8,-2
2023-02-18,8.5,18,-1
2023-02-19,14.25,23,5.5
2023-02-20,16.75,25,8.5
2023-02-21,19.25,28,10.5
2023-02-22,19.25,27,11.5
2023-02-23,19.25,27,11.5
2023-02-24,17.75,25,10.5
2023-02-25,16.25,24,8.5
2023-02-26,18.25,27,9.5
2023-02-27,18.75,27,10.5
2023-02-28,20.25,29,11.5
2023-03-01,19.75,29,10.5
2023-03-02,21.25,30,12.5
2023-03-03,-,-,9.5
