Estación: ,LERNL,Las Enramadas
Variable: ,Gasto en Río (m3/s)
Longitud: ,99° 31' 04.4'',Latitud:,25° 30' 06.1''

Fecha,Valor
2002-01-21,3.186
2002-06-06,6.63
2002-06-08,3.017
2003-05-28,4.18
2004-06-05,11.64
2004-07-17,0
2004-07-24,4.84
2004-07-25,3.83
2004-07-26,3.69
2004-07-29,3.7
2004-07-31,3.96
2004-08-01,3.33
2004-08-02,2.97
2004-08-03,2.95
2004-08-04,4.57
2004-08-05,3.77
2004-08-09,3.19
2004-08-10,3
2004-08-14,9.13
2004-08-15,7.87
2004-08-17,5.85
2004-08-18,4.53
2004-08-20,3.98
2004-08-24,3.41
2004-08-25,3.42
2004-08-26,3.13
2004-08-27,2.83
2004-08-28,2.77
2004-08-29,2.43
2004-08-31,1.98
2004-09-03,623.6
2004-09-04,467.59
2004-09-11,61.21
2004-09-13,30
2004-09-14,27
2004-09-15,24
2004-09-17,24.92
2004-09-22,162
2004-09-24,68
2004-09-26,100
2004-09-27,110
2004-09-29,100
2004-10-01,68
2004-10-02,70.8
2004-10-04,60
2004-10-05,55
2004-10-08,48
2004-10-09,60.5
2004-10-12,70.8
2004-10-13,60
2004-10-14,48
2004-10-15,37
2004-10-16,24.92
2004-10-17,22.5
2004-10-19,16
2004-10-20,14
2004-10-21,16
2004-10-24,13.55
2004-10-26,11
2004-10-27,10
2004-10-28,9
2004-11-02,8
2004-11-03,6.5
2004-11-04,5.5
2004-11-05,5.5
2004-11-06,10.12
2004-11-09,8.5
2004-11-10,8
2004-11-11,8
2004-11-12,17.77
2004-11-13,17.17
2004-11-14,16.76
2004-11-16,16.37
2004-11-17,15.15
2004-11-18,18.72
2004-11-19,17.82
2004-11-20,17.19
2004-11-21,16.88
2004-11-23,15.69
2004-11-24,15.06
2004-11-25,14.41
2004-11-26,14.36
2004-11-27,13.45
2004-11-30,12.67
2004-12-01,12.49
2004-12-02,11.93
2004-12-03,11.74
2005-01-03,9.534
2005-01-04,9.515
2005-01-06,9.802
2005-01-07,9.823
2005-01-08,8.689
2005-01-10,8.64
2005-01-11,7.916
2005-01-12,7.844
2005-01-13,7.742
2005-01-16,6.828
2005-01-17,6.766
2005-01-18,6.492
2005-01-19,6.746
2005-01-20,6.509
2005-01-21,6.45
2005-01-22,6.422
2005-01-23,6.14
2005-01-24,6.289
2005-01-25,6.178
2005-01-26,8.558
2005-01-27,6.988
2005-01-28,6.989
2005-01-29,6.367
2005-02-01,6.228
2005-02-02,5.912
2005-02-03,5.791
2005-02-04,5.862
2005-02-05,5.39
2005-02-06,8.004
2005-02-07,7.686
2005-02-08,7.267
2005-02-09,6.471
2005-02-11,7.03
2005-02-12,12.759
2005-02-13,12.294
2005-02-14,8.482
2005-02-15,7.996
2005-02-17,7.589
2005-02-18,7.156
2005-02-19,7.176
2005-02-21,8.586
2005-02-23,7.701
2005-02-24,6.995
2005-02-25,6.773
2005-02-26,7.253
2005-03-01,18.55
2005-03-02,16.286
2005-03-03,15.617
2005-03-04,13.112
2005-03-05,13.039
2005-03-06,13.03
2005-03-07,11.948
2005-03-08,12.039
2005-03-12,20.458
2005-03-14,15.508
2005-03-15,15.237
2005-03-16,14.774
2005-03-17,12.413
2005-03-18,11.769
2005-03-19,11.886
2005-03-21,11.764
2005-03-22,11.057
2005-03-23,11.375
2005-03-24,10.67
2005-03-25,10.027
2005-03-27,10.654
2005-03-28,8.576
2005-03-29,8.139
2005-03-30,7.985
2005-03-31,7.461
2005-04-01,7.36
2005-04-02,6.862
2005-04-04,6.071
2005-04-06,5.603
2005-04-07,6.433
2005-04-08,5.644
2005-04-09,5.53
2005-04-11,5.21
2005-04-12,4.57
2005-04-13,4.385
2005-04-14,4.382
2005-04-17,3.368
2005-04-18,3.191
2005-04-19,4.274
2005-04-20,4.407
2005-04-21,3.948
2005-04-22,3.763
2005-04-23,3.631
2005-04-25,6.734
2005-04-26,4.741
2005-04-27,3.833
2005-04-28,3.314
2005-04-29,3.296
2005-05-01,3.225
2005-05-02,3.029
2005-05-03,2.906
2005-05-04,3.416
2005-05-06,18.5
2005-05-09,9.52
2005-05-10,7.35
2005-05-11,6.64
2005-05-12,7.5
2005-05-14,6.947
2005-05-15,6.778
2005-05-17,6.778
2005-05-18,7.001
2005-05-19,7.221
2005-05-20,6.73
2005-05-23,5.809
2005-05-24,5.064
2005-05-31,7.404
2005-06-03,6.111
2005-06-04,3.492
2005-06-06,3.002
2005-06-07,2.921
2005-06-08,2.953
2005-06-09,2.912
2005-06-10,2.725
2005-06-11,2.349
2005-06-12,1.67
2005-06-13,1.596
2005-06-14,2.061
2005-06-16,1.982
2005-06-17,1.876
2005-06-18,1.689
2005-06-19,1.584
2005-06-20,1.555
2005-06-21,1.33
2005-06-22,1.303
2005-06-23,1.293
2005-06-24,1.246
2005-06-25,1.16
2005-06-26,1.73
2005-06-27,1.024
2005-06-28,0.962
2005-06-29,2.279
2005-06-30,2.069
2005-07-01,1.174
2005-07-02,1.145
2005-07-03,1.013
2005-07-04,0.99
2005-07-05,0.815
2005-07-06,0.81
