Estación: ,LERNL,Las Enramadas
Variable: ,Nivel (m)
Longitud: ,99° 31' 04.4'',Latitud:,25° 30' 06.1''

Fecha,Valor
2002-06-06,0.68
2002-06-08,0.6
2003-05-28,1.42
2004-06-05,1.3
2004-07-17,0
2004-07-24,1.17
2004-07-25,1.12
2004-07-26,1.06
2004-07-29,1.06
2004-07-31,1.07
2004-08-01,1.04
2004-08-02,1.02
2004-08-03,1
2004-08-04,1.12
2004-08-05,1.06
2004-08-09,1.04
2004-08-10,1
2004-08-12,1.2
2004-08-13,1.24
2004-08-14,1.06
2004-08-15,1
2004-08-17,0.95
2004-08-18,0.94
2004-08-20,0.9
2004-08-24,0.98
2004-08-25,0.98
2004-08-26,0.96
2004-08-27,0.94
2004-08-28,0.93
2004-08-29,0.9
2004-08-31,1.04
2004-09-03,4.68
2004-09-04,3.98
2004-09-11,1.52
2004-09-13,1.44
2004-09-14,1.42
2004-09-15,1.38
2004-09-17,1.34
2004-09-18,1.32
2004-09-19,1.32
2004-09-22,2.17
2004-09-23,1.8
2004-09-24,1.6
2004-09-26,2
2004-09-27,2.2
2004-09-29,2
2004-10-01,1.6
2004-10-02,1.58
2004-10-04,1.5
2004-10-05,1.47
2004-10-08,1.44
2004-10-09,1.6
2004-10-12,1.58
2004-10-13,1.5
2004-10-14,1.44
2004-10-15,1.38
2004-10-16,1.34
2004-10-17,1.3
2004-10-19,1.26
2004-10-20,1.24
2004-10-21,1.26
2004-10-24,1.24
2004-10-26,1.2
2004-10-27,1.19
2004-10-28,1.18
2004-10-30,1.16
2004-11-02,1.16
2004-11-03,1.13
2004-11-04,1.1
2004-11-05,1.1
2004-11-06,1.1
2004-11-09,1.08
2004-11-10,1.04
2004-11-11,1.04
2004-11-12,1.02
2004-11-13,1.02
2004-11-14,1
2004-11-16,0.99
2004-11-17,0.97
2004-11-18,1.05
2004-11-19,1.04
2004-11-20,1.02
2004-11-21,1
2004-11-23,0.98
2004-11-24,0.96
2004-11-25,0.94
2004-11-26,0.94
2004-11-27,0.92
2004-11-30,0.9
2004-12-01,0.9
2004-12-02,0.88
2004-12-03,0.88
2005-01-29,0
2005-02-04,0
2005-03-06,0
2005-03-27,0
2005-04-21,0.96
2005-04-22,0.95
2005-04-23,0.94
2005-04-25,1.1
2005-04-26,1
2005-04-27,0.95
2005-04-28,0.93
2005-04-29,0.91
2005-05-01,0.88
2005-05-02,0.86
2005-05-03,0.84
2005-05-04,0.9
2005-05-06,1.44
2005-05-09,1.16
2005-05-10,1.1
2005-05-11,1.04
2005-05-12,1.05
2005-05-14,1.02
2005-05-15,1.02
2005-05-17,1.02
2005-05-18,1.03
2005-05-19,1.04
2005-05-20,1.02
2005-05-23,0.97
2005-05-24,0.94
2005-05-31,1.08
2005-06-03,0.98
2005-06-04,0.84
2005-06-06,0.8
2005-06-07,0.78
2005-06-08,0.78
2005-06-09,0.77
2005-06-10,0.76
2005-06-11,0.74
2005-06-12,0.7
2005-06-13,0.69
2005-06-14,0.72
2005-06-16,0.71
2005-06-17,0.7
2005-06-18,0.7
2005-06-19,0.68
2005-06-20,0.68
2005-06-21,0.66
2005-06-22,0.66
2005-06-23,0.65
2005-06-24,0.65
2005-06-25,0.64
2005-06-26,0.63
2005-06-27,0.63
2005-06-28,0.62
2005-06-29,0.76
2005-06-30,0.72
2005-07-01,0.65
2005-07-02,0.64
2005-07-03,0.62
2005-07-04,0.6
2005-07-05,0.59
2005-07-06,0.59
2005-07-08,0.56
2005-07-09,0.7
2005-07-10,0.65
2005-07-11,0.62
2005-07-12,0.55
2005-07-13,0.6
2005-07-14,0.6
2005-07-16,0.72
2005-07-17,0.56
2005-07-18,1.16
2005-07-19,1.2
2005-07-20,0.96
2005-07-21,3.1
2005-07-22,8.5
2005-07-23,3.04
2005-07-24,2.62
2005-07-25,2.28
2005-07-26,3.5
2005-07-27,2.9
2005-07-28,2.32
2005-07-29,2.25
2005-07-30,2.12
2005-07-31,2.06
2005-08-01,1.95
2005-08-02,2
2005-08-03,2.16
2005-08-04,2.1
2005-08-05,2.02
2005-08-06,1.9
2005-08-07,1.9
2005-08-08,1.86
2005-08-09,1.85
2005-08-10,1.8
2005-08-11,1.76
2005-08-12,1.74
2005-08-13,1.7
2005-08-14,1.66
2005-08-15,1.64
2005-08-16,1.61
2005-08-17,1.58
2005-08-18,1.58
2005-08-19,1.55
2005-08-20,1.52
2005-08-21,1.5
2005-08-22,1.48
2005-08-23,1.42
2005-08-24,1.39
2005-08-25,1.36
2005-08-26,1.36
2005-08-27,1.33
2005-08-28,1.29
2005-08-31,1.39
2005-09-01,1.32
2005-09-02,1.29
2005-09-03,1.83
2005-09-04,1.78
2005-09-05,1.72
2005-09-06,1.74
2005-09-07,1.67
2005-09-08,1.7
2005-09-09,1.7
2005-09-10,1.57
2005-09-11,1.53
2005-09-12,1.5
2005-09-13,1.5
2005-09-14,1.64
2005-09-15,1.74
2005-09-16,1.64
2005-09-19,1.5
2005-09-20,1.42
2005-09-21,1.38
2005-09-22,1.36
2005-09-23,1.32
2005-09-24,1.3
2005-09-25,1.28
