Estación: ,MDRNL,Madero
Variable: ,Evaporación (mm)
Longitud: ,99° 11' 48'',Latitud:,26° 01' 20
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,-,-
2022-01-02,5.1,
2022-01-03,2.38,
2022-01-04,1.88,
2022-01-05,2.33,
2022-01-06,2.86,
2022-01-07,1.9,
2022-01-08,2.73,
2022-01-09,2.52,
2022-01-10,3.23,
2022-01-11,2.12,
2022-01-12,1.82,
2022-01-13,2.13,
2022-01-14,2.92,
2022-01-15,6.85,
2022-01-16,3.03,
2022-01-17,3.38,
2022-01-18,2.73,
2022-01-19,3.87,
2022-01-20,3.54,
2022-01-21,0.91,
2022-01-22,0.85,
2022-01-23,0.37,
2022-01-24,0.4,
2022-01-25,2.35,
2022-01-26,1.03,
2022-01-27,0.42,
2022-01-28,0.94,
2022-01-29,2.21,
2022-01-30,2.22,
2022-01-31,2.63,
2022-02-01,3.3,
2022-02-02,3.6,
2022-02-03,3.7,
2022-02-04,2.57,
2022-02-05,2.06,
2022-02-06,2.89,
2022-02-07,1.48,
2022-02-08,2.73,
2022-02-09,3.14,
2022-02-10,1.85,
2022-02-11,3,
2022-02-12,4.36,
2022-02-13,3.12,
2022-02-14,5.18,
2022-02-15,4.72,
2022-02-16,5.3,
2022-02-17,6.35,
2022-02-18,4.25,
2022-02-19,3.25,
2022-02-20,3.34,
2022-02-21,5.37,
2022-02-22,6.04,
2022-02-23,2.48,
2022-02-24,1.32,
2022-02-25,1,
2022-02-26,0.55,
2022-02-27,1.75,
2022-02-28,4.2,
2022-03-01,4.32,
2022-03-02,2.96,
2022-03-03,3.68,
2022-03-04,5.88,
2022-03-05,6.35,
2022-03-06,6.02,
2022-03-07,2.39,
2022-03-08,2.31,
2022-03-09,3.7,
2022-03-10,1.44,
2022-03-11,7.09,
2022-03-12,4.66,
2022-03-13,4.1,
2022-03-14,5.45,
2022-03-15,8.37,
2022-03-16,8.78,
2022-03-17,6.35,
2022-03-18,7.12,
2022-03-19,6.47,
2022-03-20,6.39,
2022-03-21,8.47,
2022-03-22,9.31,
2022-03-23,6.22,
2022-03-24,7.17,
2022-03-25,7.47,
2022-03-26,8.05,
2022-03-27,7.21,
2022-03-28,7.36,
2022-03-29,9.1,
2022-03-30,10.05,
2022-03-31,7.53,
2022-04-01,6.15,
2022-04-02,4.8,
2022-04-03,6.54,
2022-04-04,6.15,
2022-04-05,7.05,
2022-04-06,11.6,
2022-04-07,7.28,
2022-04-08,7.37,
2022-04-09,8.31,
2022-04-10,8.26,
2022-04-11,8.31,
2022-04-12,7.8,
2022-04-13,10.13,
2022-04-14,6.39,
2022-04-15,4.32,
2022-04-16,6.76,
2022-04-17,6.9,
2022-04-18,5.57,
2022-04-19,6.17,
2022-04-20,4.36,
2022-04-21,5.59,
2022-04-22,10.2,
2022-04-23,9.06,
2022-04-24,8.37,
2022-04-25,7.35,
2022-04-26,2.92,
2022-04-27,6.13,
2022-04-28,5.58,
2022-04-29,7.3,
2022-04-30,4.46,
2022-05-01,6.52,
2022-05-02,7.28,
2022-05-03,5.98,
2022-05-04,6.17,
2022-05-05,7.19,
2022-05-06,6.42,
2022-05-07,8.52,
2022-05-08,8.75,
2022-05-09,8.03,
2022-05-10,6.74,
2022-05-11,6.28,
2022-05-12,10.71,
2022-05-13,8.91,
2022-05-14,9.2,
2022-05-15,-,-
2022-05-16,-,-
2022-05-17,9.27,
2022-05-18,8.67,
2022-05-19,8.18,
2022-05-20,9.53,
2022-05-21,8.55,
2022-05-22,3.72,
2022-05-23,4.75,
2022-05-24,4.91,
2022-05-25,3.87,
2022-05-26,6.49,
2022-05-27,6.65,
2022-05-28,8.37,
2022-05-29,9.96,
2022-05-30,9.28,
2022-05-31,9.75,
2022-06-01,9.09,
2022-06-02,9.43,
2022-06-03,8.93,
2022-06-04,9.5,
2022-06-05,-,-
2022-06-06,-,-
2022-06-07,-,-
2022-06-08,-,-
2022-06-09,-,-
2022-06-10,-,-
2022-06-11,-,-
2022-06-12,-,-
2022-06-13,-,-
2022-06-14,-,-
2022-06-15,-,-
2022-06-16,-,-
2022-06-17,-,-
2022-06-18,-,-
2022-06-19,11.36,
2022-06-20,10.04,
2022-06-21,8.62,
2022-06-22,8.2,
2022-06-23,10.5,
2022-06-24,11.35,
2022-06-25,10.88,
2022-06-26,9.26,
2022-06-27,8.44,
2022-06-28,8.61,
2022-06-29,7.2,
2022-06-30,8.95,
2022-07-01,10.34,
2022-07-02,8.2,
2022-07-03,12.84,
2022-07-04,12.74,
2022-07-05,13.45,
2022-07-06,11.84,
2022-07-07,12.13,
2022-07-08,11.28,
2022-07-09,10.8,
2022-07-10,11.04,
2022-07-11,11.03,
2022-07-12,11.27,
2022-07-13,12.6,
2022-07-14,9.58,
2022-07-15,12.42,
2022-07-16,13.33,
2022-07-17,12.85,
2022-07-18,11.81,
2022-07-19,11.63,
2022-07-20,11.2,
2022-07-21,11.86,
2022-07-22,11.17,
2022-07-23,14.51,
2022-07-24,11.54,
2022-07-25,11.17,
2022-07-26,11.38,
2022-07-27,10.52,
2022-07-28,12.06,
2022-07-29,11.32,
2022-07-30,11.42,
2022-07-31,8.63,
2022-08-01,11.57,
2022-08-02,14.92,
2022-08-03,14.3,
2022-08-04,11.87,
2022-08-05,12.31,
2022-08-06,11.3,
2022-08-07,9.44,
2022-08-08,10.34,
2022-08-09,9.76,
2022-08-10,10.54,
2022-08-11,12.54,
2022-08-12,6.69,
2022-08-13,7.72,
2022-08-14,8.93,
2022-08-15,-,-
2022-08-16,-,-
2022-08-17,-,-
2022-08-18,-,-
2022-08-19,-,-
2022-08-20,-,-
2022-08-21,-,-
2022-08-22,-,-
2022-08-23,-,-
2022-08-24,-,-
2022-08-25,-,-
2022-08-26,-,-
2022-08-27,-,-
2022-08-28,-,-
2022-08-29,11.44,
2022-08-30,10.72,
2022-08-31,8.04,
2022-09-01,7.91,
2022-09-02,7.66,
2022-09-03,2.77,
2022-09-04,4.02,
2022-09-05,2.86,
2022-09-06,4.09,
2022-09-07,4.23,
2022-09-08,6.33,
2022-09-09,6.74,
2022-09-10,7.07,
2022-09-11,7.35,
2022-09-12,7.26,
2022-09-13,6.74,
2022-09-14,5.55,
2022-09-15,4.76,
2022-09-16,6.24,
2022-09-17,5.5,
2022-09-18,4.32,
2022-09-19,6.33,
2022-09-20,4.25,
2022-09-21,5.73,
2022-09-22,5.9,
2022-09-23,6.66,
2022-09-24,6.5,
2022-09-25,9.28,
2022-09-26,-,-
2022-09-27,-,-
2022-09-28,-,-
2022-09-29,-,-
2022-09-30,-,-
2022-10-01,-,-
2022-10-02,-,-
2022-10-03,-,-
2022-10-04,-,-
2022-10-05,-,-
2022-10-06,-,-
2022-10-07,-,-
2022-10-08,-,-
2022-10-09,-,-
2022-10-10,-,-
2022-10-11,-,-
2022-10-12,-,-
2022-10-13,-,-
2022-10-14,-,-
2022-10-15,-,-
2022-10-16,-,-
2022-10-17,-,-
2022-10-18,-,-
2022-10-19,-,-
2022-10-20,-,-
2022-10-21,-,-
2022-10-22,-,-
2022-10-23,5.75,
2022-10-24,6.9,
2022-10-25,6.52,
2022-10-26,4.88,
2022-10-27,2.47,
2022-10-28,5.65,
2022-10-29,4.04,
2022-10-30,4.17,
2022-10-31,0.77,
2022-11-01,1.08,
2022-11-02,0.51,
2022-11-03,5.06,
2022-11-04,6.01,
2022-11-05,4.37,
2022-11-06,3.16,
2022-11-07,3.86,
2022-11-08,4.45,
2022-11-09,3.62,
2022-11-10,3.58,
2022-11-11,4.38,
2022-11-12,4.16,
2022-11-13,2.15,
2022-11-14,3.35,
2022-11-15,10.8,
2022-11-16,1.93,
2022-11-17,1.58,
2022-11-18,0.34,
2022-11-19,0.32,
2022-11-20,-,-
2022-11-21,-,-
2022-11-22,-,-
2022-11-23,-,-
2022-11-24,-,-
2022-11-25,-,-
2022-11-26,-,-
2022-11-27,-,-
2022-11-28,-,-
2022-11-29,-,-
2022-11-30,-,-
2022-12-01,-,-
2022-12-02,-,-
2022-12-03,-,-
2022-12-04,-,-
2022-12-05,-,-
2022-12-06,-,-
2022-12-07,-,-
2022-12-08,-,-
2022-12-09,-,-
2022-12-10,-,-
2022-12-11,-,-
2022-12-12,-,-
2022-12-13,-,-
2022-12-14,-,-
2022-12-15,-,-
2022-12-16,-,-
2022-12-17,-,-
2022-12-18,-,-
2022-12-19,-,-
