Estación: ,MTRNL,Monterrey
Variable: ,Evaporación (mm)
Longitud: ,100° 16' 18.07'',Latitud:,25° 40' 56.83''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,3.99,
2022-01-02,3.83,
2022-01-03,8.38,
2022-01-04,0.72,
2022-01-05,0.47,
2022-01-06,2.01,
2022-01-07,0.27,
2022-01-08,0.02,
2022-01-09,3.22,
2022-01-10,3.85,
2022-01-11,1.42,
2022-01-12,0.11,
2022-01-13,0.83,
2022-01-14,6.13,
2022-01-15,1.44,
2022-01-16,5.11,
2022-01-17,0.75,
2022-01-18,2.86,
2022-01-19,4.58,
2022-01-20,2.14,
2022-01-21,1.03,
2022-01-22,1.17,
2022-01-23,2.36,
2022-01-24,1.09,
2022-01-25,2.85,
2022-01-26,0.42,
2022-01-27,0.3,
2022-01-28,0.5,
2022-01-29,4.37,
2022-01-30,2.03,
2022-01-31,1.32,
2022-02-01,3.16,
2022-02-02,3.27,
2022-02-03,0.21,
2022-02-04,1.8,
2022-02-05,1.47,
2022-02-06,2.02,
2022-02-07,1.46,
2022-02-08,0.61,
2022-02-09,2.98,
2022-02-10,1.93,
2022-02-11,2.23,
2022-02-12,5.39,
2022-02-13,2.12,
2022-02-14,3.22,
2022-02-15,2.1,
2022-02-16,3.68,
2022-02-17,5.72,
2022-02-18,3.46,
2022-02-19,3.54,
2022-02-20,1.68,
2022-02-21,3.95,
2022-02-22,4.71,
2022-02-23,1.36,
2022-02-24,3.01,
2022-02-25,1.69,
2022-02-26,0.19,
2022-02-27,2.53,
2022-02-28,2.84,
2022-03-01,4.19,
2022-03-02,2.3,
2022-03-03,3.57,
2022-03-04,1.16,
2022-03-05,2.38,
2022-03-06,3.96,
2022-03-07,2.8,
2022-03-08,5.45,
2022-03-09,3.83,
2022-03-10,3.67,
2022-03-11,5.34,
2022-03-12,4.05,
2022-03-13,3.01,
2022-03-14,4.52,
2022-03-15,5.63,
2022-03-16,5.39,
2022-03-17,6.67,
2022-03-18,6.04,
2022-03-19,6.51,
2022-03-20,3.94,
2022-03-21,6,
2022-03-22,8.56,
2022-03-23,5.02,
2022-03-24,4.25,
2022-03-25,6.33,
2022-03-26,6.22,
2022-03-27,6.27,
2022-03-28,4.04,
2022-03-29,5.86,
2022-03-30,8.71,
2022-03-31,4.86,
2022-04-01,5.83,
2022-04-02,6.47,
2022-04-03,2.84,
2022-04-04,5.31,
2022-04-05,8.24,
2022-04-06,9.74,
2022-04-07,6.93,
2022-04-08,5.47,
2022-04-09,6.34,
2022-04-10,5.93,
2022-04-11,9.27,
2022-04-12,2.46,
2022-04-13,11.38,
2022-04-14,2.8,
2022-04-15,4.08,
2022-04-16,6.18,
2022-04-17,5.76,
2022-04-18,5.01,
2022-04-19,3.12,
2022-04-20,3.07,
2022-04-21,4.7,
2022-04-22,7.3,
2022-04-23,5.73,
2022-04-24,4.6,
2022-04-25,2.7,
2022-04-26,1.45,
2022-04-27,3.33,
2022-04-28,5.12,
2022-04-29,5.09,
2022-04-30,5.45,
2022-05-01,4.16,
2022-05-02,6.68,
2022-05-03,5.74,
2022-05-04,3.96,
2022-05-05,7.32,
2022-05-06,6.05,
2022-05-07,10.2,
2022-05-08,8.28,
2022-05-09,7.07,
2022-05-10,1.99,
2022-05-11,7.24,
2022-05-12,7.78,
2022-05-13,8.69,
2022-05-14,4.95,
2022-05-15,6.9,
2022-05-16,10.39,
2022-05-17,9.47,
2022-05-18,6.83,
2022-05-19,7.4,
2022-05-20,10.49,
2022-05-21,7.15,
2022-05-22,1.15,
2022-05-23,4.45,
2022-05-24,2.37,
2022-05-25,3.02,
2022-05-26,5.91,
2022-05-27,5.3,
2022-05-28,9.35,
2022-05-29,6.14,
2022-05-30,4.91,
2022-05-31,7.29,
2022-06-01,7.75,
2022-06-02,5.27,
2022-06-03,4.06,
2022-06-04,7.72,
2022-06-05,7.53,
2022-06-06,8.11,
2022-06-07,8.79,
2022-06-08,7.94,
2022-06-09,6.76,
2022-06-10,7.08,
2022-06-11,8.29,
2022-06-12,8.2,
2022-06-13,7.5,
2022-06-14,8.36,
2022-06-15,7.42,
2022-06-16,9.56,
2022-06-17,7.44,
2022-06-18,7.8,
2022-06-19,7.49,
2022-06-20,8.41,
2022-06-21,6.36,
2022-06-22,5.26,
2022-06-23,9,
2022-06-24,8.57,
2022-06-25,7.5,
2022-06-26,6.43,
2022-06-27,7,
2022-06-28,9.66,
2022-06-29,5.79,
2022-06-30,4.45,
2022-07-01,8.3,
2022-07-02,4.57,
2022-07-03,5.32,
2022-07-04,6.46,
2022-07-05,8.45,
2022-07-06,7.65,
2022-07-07,8.77,
2022-07-08,7.13,
2022-07-09,7.67,
2022-07-10,8.46,
2022-07-11,7.98,
2022-07-12,10,
2022-07-13,7.98,
2022-07-14,9.24,
2022-07-15,6.82,
2022-07-16,8.58,
2022-07-17,10.71,
2022-07-18,7.65,
2022-07-19,5.01,
2022-07-20,7.6,
2022-07-21,9.25,
2022-07-22,10.36,
2022-07-23,8.03,
2022-07-24,9.52,
2022-07-25,6.95,
2022-07-26,8.81,
2022-07-27,8.21,
2022-07-28,7.98,
2022-07-29,8.63,
2022-07-30,9.03,
2022-07-31,8.03,
2022-08-01,8.3,
2022-08-02,7.47,
2022-08-03,9.76,
2022-08-04,8.19,
2022-08-05,9.77,
2022-08-06,8.43,
2022-08-07,8.17,
2022-08-08,8.27,
2022-08-09,8.28,
2022-08-10,7.78,
2022-08-11,9.84,
2022-08-12,5.35,
2022-08-13,6,
2022-08-14,3.73,
2022-08-15,4.43,
2022-08-16,4.35,
2022-08-17,6.67,
2022-08-18,7.24,
2022-08-19,7.99,
2022-08-20,4.87,
2022-08-21,8.11,
2022-08-22,7.89,
2022-08-23,6.42,
2022-08-24,5.17,
2022-08-25,4.16,
2022-08-26,2.4,
2022-08-27,6.03,
2022-08-28,6.42,
2022-08-29,6.2,
2022-08-30,5.67,
2022-08-31,3.71,
2022-09-01,4.2,
2022-09-02,5.07,
2022-09-03,5.69,
2022-09-04,-,-
2022-09-05,1.19,
2022-09-06,1.38,
2022-09-07,3.73,
2022-09-08,3.79,
2022-09-09,4.35,
2022-09-10,3.09,
2022-09-11,6.72,
2022-09-12,4.92,
2022-09-13,4.67,
2022-09-14,3.97,
2022-09-15,2.08,
2022-09-16,4.26,
2022-09-17,4.69,
2022-09-18,1.8,
2022-09-19,3.96,
2022-09-20,7.46,
2022-09-21,1.8,
2022-09-22,4.13,
2022-09-23,3.4,
2022-09-24,2,
2022-09-25,4.15,
2022-09-26,2.51,
2022-09-27,5.73,
2022-09-28,5.68,
2022-09-29,3.4,
2022-09-30,3.12,
2022-10-01,4.16,
2022-10-02,2.74,
2022-10-03,3.38,
2022-10-04,2.3,
2022-10-05,2.1,
2022-10-06,0.34,
2022-10-07,0.7,
2022-10-08,1.73,
2022-10-09,2.3,
2022-10-10,0.58,
2022-10-11,1.15,
2022-10-12,4.07,
2022-10-13,2.28,
2022-10-14,2.85,
2022-10-15,2.92,
2022-10-16,1.5,
2022-10-17,4.01,
2022-10-18,1.32,
2022-10-19,2.37,
2022-10-20,2.88,
2022-10-21,1.14,
2022-10-22,2.42,
2022-10-23,2.26,
2022-10-24,2.4,
2022-10-25,4.06,
2022-10-26,3.67,
2022-10-27,1.36,
2022-10-28,4.68,
2022-10-29,1.91,
2022-10-30,2.9,
2022-10-31,0.36,
2022-11-01,1.42,
2022-11-02,1.01,
2022-11-03,1.37,
2022-11-04,3.56,
2022-11-05,4.77,
2022-11-06,2.02,
2022-11-07,0.94,
2022-11-08,1.81,
2022-11-09,2.2,
2022-11-10,1.85,
2022-11-11,5.4,
2022-11-12,3.69,
2022-11-13,3,
2022-11-14,2.24,
2022-11-15,1.51,
2022-11-16,1.13,
2022-11-17,0.22,
2022-11-18,0.21,
2022-11-19,0.44,
2022-11-20,2.55,
2022-11-21,0.32,
2022-11-22,0.72,
2022-11-23,1.37,
2022-11-24,3.99,
2022-11-25,0.04,
2022-11-26,1.19,
2022-11-27,1.64,
2022-11-28,1.08,
2022-11-29,1.8,
2022-11-30,1.39,
2022-12-01,0.45,
2022-12-02,0.68,
2022-12-03,0.8,
2022-12-04,0.43,
2022-12-05,0.62,
2022-12-06,0.41,
2022-12-07,1.42,
2022-12-08,0.23,
2022-12-09,0.55,
2022-12-10,0.95,
2022-12-11,0.85,
2022-12-12,1.45,
2022-12-13,1.7,
2022-12-14,1.81,
2022-12-15,1.39,
2022-12-16,2.05,
2022-12-17,2.2,
2022-12-18,0.65,
2022-12-19,0.75,
2022-12-20,0.15,
2022-12-21,0.82,
2022-12-22,2.13,
2022-12-23,1.2,
2022-12-24,0.65,
2022-12-25,1.15,
2022-12-26,7.35,
2022-12-27,1.71,
2022-12-28,5.28,
2022-12-29,3.66,
2022-12-30,1,
2022-12-31,2.05,
2023-01-01,2.01,
2023-01-02,3.29,
2023-01-03,2,
2023-01-04,3.31,
2023-01-05,3.2,
2023-01-06,0.26,
2023-01-07,0.6,
2023-01-08,0.68,
2023-01-09,1.5,
2023-01-10,2.95,
2023-01-11,1.95,
2023-01-12,3.4,
2023-01-13,2.47,
2023-01-14,2.25,
2023-01-15,2.12,
2023-01-16,3.1,
2023-01-17,1.53,
2023-01-18,8.2,
2023-01-19,2.38,
2023-01-20,0.65,
2023-01-21,0.67,
2023-01-22,3.51,
2023-01-23,0.5,
2023-01-24,3.15,
2023-01-25,4.15,
2023-01-26,1.18,
2023-01-27,1.33,
2023-01-28,0.66,
2023-01-29,1.02,
2023-01-30,1.65,
2023-01-31,0.68,
2023-02-01,0.6,
2023-02-02,0.48,
2023-02-03,1.22,
2023-02-04,2.25,
2023-02-05,1.4,
2023-02-06,2.67,
2023-02-07,3.92,
2023-02-08,2.18,
2023-02-09,2,
2023-02-10,4.15,
2023-02-11,4.14,
2023-02-12,3.33,
2023-02-13,1.38,
2023-02-14,3.85,
2023-02-15,7.2,
2023-02-16,2.82,
2023-02-17,3.79,
2023-02-18,2.6,
2023-02-19,2.11,
2023-02-20,3.55,
2023-02-21,5.39,
2023-02-22,3.81,
2023-02-23,4.23,
2023-02-24,2.24,
2023-02-25,4.57,
2023-02-26,2.35,
2023-02-27,5.8,
2023-02-28,3.82,
2023-03-01,5.97,
2023-03-02,6.48,
2023-03-03,-,-
