Estación: ,MTRNL,Monterrey
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 16' 18.07'',Latitud:,25° 40' 56.83''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,27,37,17
2022-01-02,14.25,17,11.5
2022-01-03,11,18,4
2022-01-04,14.5,24,5
2022-01-05,18,31,5
2022-01-06,20.5,30,11
2022-01-07,15,17,13
2022-01-08,17.75,26,9.5
2022-01-09,20.25,29,11.5
2022-01-10,12.25,14,10.5
2022-01-11,14,18,10
2022-01-12,12.75,19.5,6
2022-01-13,17.5,27,8
2022-01-14,19.25,29,9.5
2022-01-15,16,21,11
2022-01-16,13,21,5
2022-01-17,15.5,26,5
2022-01-18,17.75,28.5,7
2022-01-19,20.25,31.5,9
2022-01-20,13.75,15,12.5
2022-01-21,5.25,10,0.5
2022-01-22,4.75,7.5,2
2022-01-23,7,10,4
2022-01-24,10.5,15,6
2022-01-25,16.25,25.5,7
2022-01-26,12,15.5,8.5
2022-01-27,13.25,16,10.5
2022-01-28,12.25,13.5,11
2022-01-29,12.5,18,7
2022-01-30,14,22,6
2022-01-31,17.5,29,6
2022-02-01,19,28,10
2022-02-02,20,27.5,12.5
2022-02-03,9,9.5,8.5
2022-02-04,5,10,0
2022-02-05,7.5,15,0
2022-02-06,11,20,2
2022-02-07,9,15,3
2022-02-08,13.5,22,5
2022-02-09,14.75,24.5,5
2022-02-10,14.75,22.5,7
2022-02-11,17.5,25,10
2022-02-12,17.5,23,12
2022-02-13,13,20,6
2022-02-14,16.25,27.5,5
2022-02-15,15.5,25,6
2022-02-16,19.75,30.5,9
2022-02-17,20.75,31,10.5
2022-02-18,14.75,21.5,8
2022-02-19,14.75,21,8.5
2022-02-20,18.5,27,10
2022-02-21,20.75,32.5,9
2022-02-22,26.25,37,15.5
2022-02-23,21.75,25,18.5
2022-02-24,14.75,21.5,8
2022-02-25,12,16,8
2022-02-26,8.5,12,5
2022-02-27,14.25,22,6.5
2022-02-28,15.5,24,7
2022-03-01,15.25,24.5,6
2022-03-02,16.75,24.5,9
2022-03-03,17.5,24,11
2022-03-04,22.5,28,17
2022-03-05,21.25,31.5,11
2022-03-06,24.5,32,17
2022-03-07,22,25,19
2022-03-08,16.5,24,9
2022-03-09,15.5,22.5,8.5
2022-03-10,18.5,28,9
2022-03-11,21,32,10
2022-03-12,13.5,20,7
2022-03-13,13.75,23,4.5
2022-03-14,18.75,31.5,6
2022-03-15,20.5,30,11
2022-03-16,22.75,31.5,14
2022-03-17,26.25,38,14.5
2022-03-18,22.5,30,15
2022-03-19,23,31,15
2022-03-20,20,28,12
2022-03-21,24.5,36,13
2022-03-22,25.25,33.5,17
2022-03-23,18.75,25,12.5
2022-03-24,20.75,30,11.5
2022-03-25,23.25,34.5,12
2022-03-26,24,35,13
2022-03-27,24.5,33,16
2022-03-28,24.5,34,15
2022-03-29,25.75,35.5,16
2022-03-30,26.75,35.5,18
2022-03-31,25.5,33,18
2022-04-01,24,31,17
2022-04-02,24.5,32,17
2022-04-03,24.5,29.5,19.5
2022-04-04,26.5,33.5,19.5
2022-04-05,30,40,20
2022-04-06,30.75,40,21.5
2022-04-07,23.5,28.5,18.5
2022-04-08,22,30,14
2022-04-09,23,32,14
2022-04-10,27,39,15
2022-04-11,28.75,38.5,19
2022-04-12,29.25,37,21.5
2022-04-13,31,40,22
2022-04-14,25.5,30,21
2022-04-15,27.5,34,21
2022-04-16,29.5,37.5,21.5
2022-04-17,30,38,22
2022-04-18,28,32,24
2022-04-19,25.75,30,21.5
2022-04-20,26.75,32.5,21
2022-04-21,27,33,21
2022-04-22,27.5,33,22
2022-04-23,27,33,21
2022-04-24,28,35,21
2022-04-25,25.25,29.5,21
2022-04-26,22.75,28,17.5
2022-04-27,24,30,18
2022-04-28,25.75,33.5,18
2022-04-29,27.25,34.5,20
2022-04-30,28,35,21
2022-05-01,27.75,34,21.5
2022-05-02,29.5,36,23
2022-05-03,30.25,36.5,24
2022-05-04,29.75,35.5,24
2022-05-05,31.25,38,24.5
2022-05-06,31.5,38,25
2022-05-07,32,41,23
2022-05-08,32.5,41,24
2022-05-09,30.5,36,25
2022-05-10,29,33,25
2022-05-11,29.5,35.5,23.5
2022-05-12,29.5,37,22
2022-05-13,30,37,23
2022-05-14,29.75,36,23.5
2022-05-15,31.5,40,23
2022-05-16,30.75,38.5,23
2022-05-17,31.25,39.5,23
2022-05-18,30,37.5,22.5
2022-05-19,31.5,40,23
2022-05-20,33.5,43,24
2022-05-21,33,41,25
2022-05-22,29.5,34,25
2022-05-23,23.5,25,22
2022-05-24,24.75,28.5,21
2022-05-25,25,30,20
2022-05-26,28.5,35,22
2022-05-27,30.25,36.5,24
2022-05-28,30.5,37,24
2022-05-29,30,37,23
2022-05-30,30.5,38,23
2022-05-31,30.75,37,24.5
2022-06-01,30.5,36,25
2022-06-02,30,36.5,23.5
2022-06-03,28.5,33.5,23.5
2022-06-04,30.25,37.5,23
2022-06-05,32,41,23
2022-06-06,33,42.5,23.5
2022-06-07,33.25,41.5,25
2022-06-08,31.75,39.5,24
2022-06-09,31,37.5,24.5
2022-06-10,31.75,39.5,24
2022-06-11,32.25,40,24.5
2022-06-12,32.5,40.5,24.5
2022-06-13,31.5,38,25
2022-06-14,31.5,38,25
2022-06-15,30.5,37,24
2022-06-16,30.75,38,23.5
2022-06-17,30.25,37.5,23
2022-06-18,30.25,37,23.5
2022-06-19,29.75,36.5,23
2022-06-20,30.5,37.5,23.5
2022-06-21,30.75,38,23.5
2022-06-22,29,35,23
2022-06-23,30,37,23
2022-06-24,30.25,38.5,22
2022-06-25,30.75,38,23.5
2022-06-26,30.75,38,23.5
2022-06-27,31.75,39,24.5
2022-06-28,30,36,24
2022-06-29,28.5,35,22
2022-06-30,30.25,38,22.5
2022-07-01,31.5,39,24
2022-07-02,29.5,35,24
2022-07-03,30.75,37,24.5
2022-07-04,31.5,39,24
2022-07-05,31.5,38.5,24.5
2022-07-06,31.5,38,25
2022-07-07,32.25,40,24.5
2022-07-08,33,41,25
2022-07-09,33,41,25
2022-07-10,33.5,42,25
2022-07-11,34.5,43,26
2022-07-12,34,41,27
2022-07-13,32.75,39.5,26
2022-07-14,32,39,25
2022-07-15,30.75,37.5,24
2022-07-16,31.25,38.5,24
2022-07-17,31.5,39,24
2022-07-18,32,40,24
2022-07-19,31.5,39,24
2022-07-20,33,40.5,25.5
2022-07-21,33.25,40,26.5
2022-07-22,32,40,24
2022-07-23,32,39,25
2022-07-24,32.5,40,25
2022-07-25,31.25,38,24.5
2022-07-26,31.75,39,24.5
2022-07-27,31.25,38,24.5
2022-07-28,31,38,24
2022-07-29,31.25,38,24.5
2022-07-30,31,38,24
2022-07-31,31,38,24
2022-08-01,30.5,37,24
2022-08-02,32.5,40,25
2022-08-03,32.25,41,23.5
2022-08-04,33,40,26
2022-08-05,32.5,39.5,25.5
2022-08-06,30.75,38,23.5
2022-08-07,30.75,37.5,24
2022-08-08,31,38,24
2022-08-09,31,38,24
2022-08-10,32,40,24
2022-08-11,32.5,40,25
2022-08-12,32,39,25
2022-08-13,30,37,23
2022-08-14,31,37,25
2022-08-15,29,34.5,23.5
2022-08-16,29.5,35,24
2022-08-17,30.75,37,24.5
2022-08-18,31.25,38,24.5
2022-08-19,31.25,37.5,25
2022-08-20,31,37.5,24.5
2022-08-21,30.75,37,24.5
2022-08-22,31.5,38,25
2022-08-23,31.25,37,25.5
2022-08-24,31.75,38,25.5
2022-08-25,30.75,35.5,26
2022-08-26,29.5,34.5,24.5
2022-08-27,29.5,35,24
2022-08-28,29.75,35,24.5
2022-08-29,30,35.5,24.5
2022-08-30,30.5,35,26
2022-08-31,27.5,32.5,22.5
2022-09-01,27.75,33,22.5
2022-09-02,29,35,23
2022-09-03,29,33,25
2022-09-04,26.25,29.5,23
2022-09-05,23,26,20
2022-09-06,25.5,29,22
2022-09-07,27,33.5,20.5
2022-09-08,28,35,21
2022-09-09,28.5,35,22
2022-09-10,28.5,34,23
2022-09-11,28.5,34,23
2022-09-12,28,33,23
2022-09-13,28.25,33.5,23
2022-09-14,28.25,33.5,23
2022-09-15,27.5,33,22
2022-09-16,27,31,23
2022-09-17,27.5,33,22
2022-09-18,28.25,34.5,22
2022-09-19,28.25,34,22.5
2022-09-20,28.5,34,23
2022-09-21,28.5,33,24
2022-09-22,28.5,34,23
2022-09-23,28.75,34.5,23
2022-09-24,28.5,34,23
2022-09-25,29,35,23
2022-09-26,28,33,23
2022-09-27,25,30,20
2022-09-28,25,30,20
2022-09-29,25,30,20
2022-09-30,25.5,32,19
2022-10-01,25.5,32,19
2022-10-02,24.75,30.5,19
2022-10-03,24,28,20
2022-10-04,23,25,21
2022-10-05,24.75,28.5,21
2022-10-06,23.75,25.5,22
2022-10-07,22,26.5,17.5
2022-10-08,21.25,24,18.5
2022-10-09,24.25,29.5,19
2022-10-10,21.75,25.5,18
2022-10-11,22.75,26,19.5
2022-10-12,26.75,34,19.5
2022-10-13,28,36,20
2022-10-14,26.75,32.5,21
2022-10-15,27,32,22
2022-10-16,27.5,33,22
2022-10-17,27.75,32.5,23
2022-10-18,15.25,17.5,13
2022-10-19,18.25,23.5,13
2022-10-20,20.25,28.5,12
2022-10-21,21.5,31,12
2022-10-22,23.5,33,14
2022-10-23,22.25,29,15.5
2022-10-24,26.5,35,18
2022-10-25,23.25,27.5,19
2022-10-26,21.25,27.5,15
2022-10-27,22.5,30,15
2022-10-28,22.75,30,15.5
2022-10-29,21.5,28,15
2022-10-30,21,28,14
2022-10-31,19.25,23,15.5
2022-11-01,21,25,17
2022-11-02,20.5,23,18
2022-11-03,23.5,29,18
2022-11-04,26.25,33,19.5
2022-11-05,24.5,29,20
2022-11-06,23,32,14
2022-11-07,22.75,31,14.5
2022-11-08,24,29,19
2022-11-09,23.75,28,19.5
2022-11-10,25.25,30,20.5
2022-11-11,26,32,20
2022-11-12,16.75,20.5,13
2022-11-13,14.5,20,9
2022-11-14,19.75,29.5,10
2022-11-15,16,22,10
2022-11-16,12.25,14,10.5
2022-11-17,8.75,12.5,5
2022-11-18,9.5,13.5,5.5
2022-11-19,9.5,11,8
2022-11-20,7.5,10,5
2022-11-21,8.5,12,5
2022-11-22,10.5,17,4
2022-11-23,13.5,18,9
2022-11-24,19.5,28,11
2022-11-25,16.75,19,14.5
2022-11-26,16.25,22.5,10
2022-11-27,19.5,31,8
2022-11-28,18.25,27.5,9
2022-11-29,22.5,33,12
2022-11-30,19.5,24,15
2022-12-01,12.75,15.5,10
2022-12-02,17,24,10
2022-12-03,17.5,22,13
2022-12-04,18.75,21.5,16
2022-12-05,22,27.5,16.5
2022-12-06,22.25,28,16.5
2022-12-07,21.5,25,18
2022-12-08,21.5,26,17
2022-12-09,20.75,26,15.5
2022-12-10,22,27,17
2022-12-11,22,26,18
2022-12-12,21,25,17
2022-12-13,23.5,32,15
2022-12-14,19,24,14
2022-12-15,17.25,23,11.5
2022-12-16,18,25,11
2022-12-17,12.5,15,10
2022-12-18,11,13,9
2022-12-19,14.5,22,7
2022-12-20,17.75,26.5,9
2022-12-21,11.5,14,9
2022-12-22,18.25,28,8.5
2022-12-23,1.5,4,-1
2022-12-24,3.5,9,-2
2022-12-25,6,14,-2
2022-12-26,11.5,24,-1
2022-12-27,12.5,22,3
2022-12-28,18.5,31,6
2022-12-29,18,28,8
2022-12-30,20,27,13
2022-12-31,19.5,27,12
2023-01-01,22.5,34,11
2023-01-02,22.5,31,14
2023-01-03,22,28,16
2023-01-04,20.5,27,14
2023-01-05,20,27,13
2023-01-06,19.75,27.5,12
2023-01-07,21.75,29,14.5
2023-01-08,19.75,25,14.5
2023-01-09,21,26,16
2023-01-10,20.5,28,13
2023-01-11,23.5,33,14
2023-01-12,20.5,27,14
2023-01-13,16.25,22,10.5
2023-01-14,15.75,24,7.5
2023-01-15,18,28,8
2023-01-16,22,35,9
2023-01-17,21,28,14
2023-01-18,21,27,15
2023-01-19,19.5,24,15
2023-01-20,19.5,25,14
2023-01-21,20.5,27,14
2023-01-22,20,26,14
2023-01-23,14.25,17,11.5
2023-01-24,18,25,11
2023-01-25,14.5,21,8
2023-01-26,11,15,7
2023-01-27,12.25,17,7.5
2023-01-28,15.5,24,7
2023-01-29,19.5,31,8
2023-01-30,21.2,29.4,13
2023-01-31,9.5,10,9
2023-02-01,7,10,4
2023-02-02,11.5,19,4
2023-02-03,13.75,22,5.5
2023-02-04,13.5,21,6
2023-02-05,17.5,29,6
2023-02-06,19.75,30,9.5
2023-02-07,21,30,12
2023-02-08,19,24,14
2023-02-09,20.5,26,15
2023-02-10,15,19,11
2023-02-11,13.25,20,6.5
2023-02-12,15,24,6
2023-02-13,17.5,26,9
2023-02-14,22.5,34,11
2023-02-15,24.25,35,13.5
2023-02-16,20.5,25,16
2023-02-17,13.25,18,8.5
2023-02-18,13.25,20,6.5
2023-02-19,16.5,27,6
2023-02-20,20.5,32,9
2023-02-21,24.5,33,16
2023-02-22,27,37,17
2023-02-23,27.5,37,18
2023-02-24,26.25,32,20.5
2023-02-25,25.25,31,19.5
2023-02-26,25,31,19
2023-02-27,27.5,36,19
2023-02-28,28,37,19
2023-03-01,30.5,40,21
2023-03-02,30,38,22
2023-03-03,-,-,17
