Estación: ,OBSNL,Obs. Monterrey
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 16' 18.0'',Latitud:,25° 40' 56.8''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,-,-,-
2022-01-02,-,17.6,-
2022-01-03,10.9,17.6,4.2
2022-01-04,14.4,23.6,5.2
2022-01-05,19.9,31,8.8
2022-01-06,20.9,30,11.8
2022-01-07,15,17,13
2022-01-08,-,-,9.5
2022-01-09,-,29.4,-
2022-01-10,11.9,14.6,9.2
2022-01-11,13.8,17.6,10
2022-01-12,13.1,19.2,7
2022-01-13,17.8,27,8.6
2022-01-14,19.3,29.2,9.4
2022-01-15,-,-,14.4
2022-01-16,-,21.8,-
2022-01-17,16.6,26.6,6.6
2022-01-18,17.2,28.2,6.2
2022-01-19,20.6,31.6,9.6
2022-01-20,-,-,13
2022-01-21,-,10,-
2022-01-22,-,-,1.8
2022-01-23,-,10,-
2022-01-24,10.5,15,6
2022-01-25,16.6,25.6,7.6
2022-01-26,-,-,8.4
2022-01-27,-,15.6,-
2022-01-28,12.45,13.5,11.4
2022-01-29,-,-,7
2022-01-30,-,22.4,-
2022-01-31,19.7,28.4,11
2022-02-01,19.5,28,11
2022-02-02,-,-,12.5
2022-02-03,-,10,-
2022-02-04,4.2,9.4,-1
2022-02-05,-,-,2
2022-02-06,-,20,-
2022-02-07,8.9,14.8,3
2022-02-08,13.6,21.4,5.8
2022-02-09,15.1,24,6.2
2022-02-10,15.4,22.8,8
2022-02-11,18.4,25.8,11
2022-02-12,-,-,12.8
2022-02-13,-,19.4,-
2022-02-14,-,-,5.4
2022-02-15,-,25.4,-
2022-02-16,-,-,9.8
2022-02-17,-,30.4,-
2022-02-18,15.4,21.4,9.4
2022-02-19,-,-,9.2
2022-02-20,-,26,-
2022-02-21,21.1,32.2,10
2022-02-22,26.7,37.2,16.2
2022-02-23,22.2,26.2,18.2
2022-02-24,14.4,21.6,7.2
2022-02-25,12.1,15.4,8.8
2022-02-26,-,-,6
2022-02-27,-,21.4,-
2022-02-28,14.9,23,6.8
2022-03-01,16.2,24.4,8
2022-03-02,16.5,24.2,8.8
2022-03-03,18.5,24.2,12.8
2022-03-04,22,27,17
2022-03-05,-,-,16.2
2022-03-06,-,32.4,-
2022-03-07,20.9,23.8,18
2022-03-08,16.6,24,9.2
2022-03-09,15.8,22.6,9
2022-03-10,18.1,27,9.2
2022-03-11,21.7,32.4,11
2022-03-12,-,-,7.6
2022-03-13,-,22.6,-
2022-03-14,18.6,30.8,6.4
2022-03-15,21.3,30.2,12.4
2022-03-16,23,31.4,14.6
2022-03-17,-,-,14.4
2022-03-18,-,-,-
2022-03-19,-,-,-
2022-03-20,-,24,-
2022-03-21,24.65,35.3,14
2022-03-22,25.8,33.6,18
2022-03-23,19.2,25,13.4
2022-03-24,20.3,29,11.6
2022-03-25,23.5,34,13
2022-03-26,-,-,14
2022-03-27,-,32.2,-
2022-03-28,24.6,33.2,16
2022-03-29,26.2,35.4,17
2022-03-30,27,35.6,18.4
2022-03-31,25.5,32.8,18.2
2022-04-01,23.6,31.2,16
2022-04-02,-,-,17.6
2022-04-03,-,29.2,-
2022-04-04,26.5,34,19
2022-04-05,29.7,39.4,20
2022-04-06,30.3,39.4,21.2
2022-04-07,23.7,28.4,19
2022-04-08,22,30,14
2022-04-09,-,-,14
2022-04-10,-,39,-
2022-04-11,28.9,38.8,19
2022-04-12,29.6,38.2,21
2022-04-13,30.5,40,21
2022-04-14,-,-,21
2022-04-15,-,-,-
2022-04-16,-,38,-
2022-04-17,29.9,37,22.8
2022-04-18,28.5,33,24
2022-04-19,25.2,29.4,21
2022-04-20,26.4,31.8,21
2022-04-21,26.9,32.8,21
2022-04-22,27.6,33.2,22
2022-04-23,-,-,21.2
2022-04-24,-,34.8,-
2022-04-25,26,31,21
2022-04-26,22.6,27.2,18
2022-04-27,23.3,28.6,18
2022-04-28,26,33.6,18.4
2022-04-29,27.5,35,20
2022-04-30,-,-,21
2022-05-01,-,33.4,-
2022-05-02,29.9,37,22.8
2022-05-03,29.8,36,23.6
2022-05-04,29.6,35.2,24
2022-05-05,31.7,38.4,25
2022-05-06,31.7,37.8,25.6
2022-05-07,-,-,23.4
2022-05-08,-,41,-
2022-05-09,30.8,36.6,25
2022-05-10,28.9,33,24.8
2022-05-11,29.8,36,23.6
2022-05-12,29.5,37,22
2022-05-13,29.8,37.6,22
2022-05-14,-,-,23.6
2022-05-15,-,39.6,-
2022-05-16,30.4,38.8,22
2022-05-17,31.2,39.4,23
2022-05-18,29.9,37.4,22.4
2022-05-19,31.3,39.6,23
2022-05-20,33.6,43.2,24
2022-05-21,-,-,24.6
2022-05-22,-,35,-
2022-05-23,24,26,22
2022-05-24,24.2,28,20.4
2022-05-25,25.2,29.8,20.6
2022-05-26,28.5,35,22
2022-05-27,-,-,23
2022-05-28,-,-,-
2022-05-29,-,-,-
2022-05-30,-,38,-
2022-05-31,30.9,37.8,24
2022-06-01,30.2,36,24.4
2022-06-02,-,-,23.5
2022-06-03,-,33.6,-
2022-06-04,-,-,22.6
2022-06-05,-,41,-
2022-06-06,33.3,42.6,24
2022-06-07,32.9,41,24.8
2022-06-08,31.2,39,23.4
2022-06-09,-,-,24.8
2022-06-10,-,-,-
2022-06-11,-,-,-
2022-06-12,-,40.2,-
2022-06-13,31.4,38,24.8
2022-06-14,31.4,38,24.8
2022-06-15,30.8,37,24.6
2022-06-16,-,-,24
2022-06-17,-,37.4,-
2022-06-18,-,-,23.6
2022-06-19,-,36.6,-
2022-06-20,30.2,37.2,23.2
2022-06-21,30.5,37.2,23.8
2022-06-22,29.5,36,23
2022-06-23,29.5,37,22
2022-06-24,-,-,22
2022-06-25,-,-,-
2022-06-26,-,-,-
2022-06-27,-,38,-
2022-06-28,30.4,36.6,24.2
2022-06-29,28,35,21
2022-06-30,29.5,37,22
2022-07-01,31.7,38.8,24.6
2022-07-02,-,-,25
2022-07-03,-,36,-
2022-07-04,31.2,38.4,24
2022-07-05,31.7,38.6,24.8
2022-07-06,31.1,38.2,24
2022-07-07,31.5,39,24
2022-07-08,32.7,40.4,25
2022-07-09,-,-,25
2022-07-10,-,40.8,-
2022-07-11,34.1,42.2,26
2022-07-12,-,-,27
2022-07-13,-,40,-
2022-07-14,31.4,38.8,24
2022-07-15,30.9,37.4,24.4
2022-07-16,-,-,24.5
2022-07-17,-,40,-
2022-07-18,31.6,39.2,24
2022-07-19,32.2,39.4,25
2022-07-20,33.5,41.6,25.4
2022-07-21,33,40,26
2022-07-22,32.2,39.8,24.6
2022-07-23,-,-,25
2022-07-24,-,39.8,-
2022-07-25,-,-,24.6
2022-07-26,-,-,-
2022-07-27,-,-,-
2022-07-28,-,-,-
2022-07-29,-,38.6,-
2022-07-30,-,-,24.2
2022-07-31,-,38.6,-
2022-08-01,31,38,24
2022-08-02,31.7,39.8,23.6
2022-08-03,32.6,41.2,24
2022-08-04,32.7,40,25.4
2022-08-05,32.1,39.2,25
2022-08-06,-,-,24
2022-08-07,-,37.8,-
2022-08-08,31.2,38.2,24.2
2022-08-09,31,38,24
2022-08-10,32.1,39.6,24.6
2022-08-11,-,-,25
2022-08-12,-,38.6,-
2022-08-13,-,-,23
2022-08-14,-,37.9,-
2022-08-15,29.1,34.6,23.6
2022-08-16,29.6,35.2,24
2022-08-17,30.6,36.6,24.6
2022-08-18,31.4,38.2,24.6
2022-08-19,31.4,38,24.8
2022-08-20,-,-,24.6
2022-08-21,-,38.8,-
2022-08-22,32.25,39.5,25
2022-08-23,31,36.4,25.6
2022-08-24,32.2,38.8,25.6
2022-08-25,31.15,36.9,25.4
2022-08-26,29.7,34.8,24.6
2022-08-27,-,-,23.4
2022-08-28,-,37.1,-
2022-08-29,30.75,37.5,24
2022-08-30,30.05,35.7,24.4
2022-08-31,27.85,32.7,23
2022-09-01,27.85,33.7,22
2022-09-02,29.3,35.6,23
2022-09-03,-,-,24
2022-09-04,-,30,-
2022-09-05,24.1,27.4,20.8
2022-09-06,24.7,29,20.4
2022-09-07,27.6,34.4,20.8
2022-09-08,28.3,35.6,21
2022-09-09,-,-,21.4
2022-09-10,-,-,-
2022-09-11,-,35.2,-
2022-09-12,28.6,34.2,23
2022-09-13,28.6,34.4,22.8
2022-09-14,28.3,33.8,22.8
2022-09-15,27.4,33.4,21.4
2022-09-16,27.2,32,22.4
2022-09-17,-,-,22
2022-09-18,-,34,-
2022-09-19,28.4,34,22.8
2022-09-20,28.8,34.4,23.2
2022-09-21,28.35,33.1,23.6
2022-09-22,28.8,34.8,22.8
2022-09-23,28.3,34.4,22.2
2022-09-24,-,-,22.8
2022-09-25,-,35.6,-
2022-09-26,27.5,32.8,22.2
2022-09-27,25.7,32.4,19
2022-09-28,26.2,31.4,21
2022-09-29,25.45,30.9,20
2022-09-30,-,-,18.8
2022-10-01,-,-,-
2022-10-02,-,30.6,-
2022-10-03,23.6,27.4,19.8
2022-10-04,22.9,25.8,20
2022-10-05,25.5,30,21
2022-10-06,23.6,25.4,21.8
2022-10-07,-,-,17
2022-10-08,-,-,-
2022-10-09,-,-,-
2022-10-10,-,25.4,-
2022-10-11,22.8,26.6,19
2022-10-12,26.5,34,19
2022-10-13,27.6,36.2,19
2022-10-14,27.1,33.2,21
2022-10-15,-,-,21
2022-10-16,-,33.4,-
2022-10-17,28,33.2,22.8
2022-10-18,15.6,17.6,13.6
2022-10-19,18.2,23.4,13
2022-10-20,20.1,28.4,11.8
2022-10-21,21.5,31,12
2022-10-22,23.4,32.4,14.4
2022-10-23,22.8,29.6,16
2022-10-24,26.9,35.8,18
2022-10-25,23.6,29.2,18
2022-10-26,21,27.8,14.2
2022-10-27,22.1,29.2,15
2022-10-28,-,-,16
2022-10-29,-,-,-
2022-10-30,-,27.6,-
2022-10-31,19.5,23,16
2022-11-01,-,-,17
2022-11-02,-,22.8,-
2022-11-03,24.1,29.2,19
2022-11-04,26.6,33.4,19.8
2022-11-05,-,-,18.8
2022-11-06,-,32,-
2022-11-07,22.7,30.6,14.8
2022-11-08,25,29.4,20.6
2022-11-09,23.7,28.4,19
2022-11-10,25,30,20
2022-11-11,26.9,33.6,20.2
2022-11-12,-,-,12.8
2022-11-13,-,19.6,-
2022-11-14,19.9,29.8,10
2022-11-15,16.1,21.2,11
2022-11-16,12,13.6,10.4
2022-11-17,8.6,12.2,5
2022-11-18,-,-,5.4
2022-11-19,-,-,-
2022-11-20,-,9.8,-
2022-11-21,7.9,11,4.8
2022-11-22,10.1,16.2,4
2022-11-23,13.1,17.2,9
2022-11-24,19.5,28,11
2022-11-25,17.1,19.2,15
2022-11-26,-,-,10
2022-11-27,-,31.4,-
2022-11-28,18.3,27.6,9
2022-11-29,-,-,13.8
2022-11-30,-,22.4,-
2022-12-01,12.4,14.4,10.4
2022-12-02,17.2,23.2,11.2
2022-12-03,-,-,13
2022-12-04,-,21.2,-
2022-12-05,22.25,27.5,17
2022-12-06,22.15,27.8,16.5
2022-12-07,-,-,18.8
2022-12-08,-,-,-
2022-12-09,-,-,-
2022-12-10,-,-,-
2022-12-11,-,-,-
2022-12-12,-,-,-
2022-12-13,-,32.2,-
2022-12-14,-,-,14.2
2022-12-15,-,24.2,-
2022-12-16,18.7,26.4,11
2022-12-17,-,-,10.2
2022-12-18,-,12.4,-
2022-12-19,15.2,22.4,8
2022-12-20,17.6,26.2,9
2022-12-21,11.4,13.2,9.6
2022-12-22,18.9,28.8,9
2022-12-23,0.7,3,-1.6
2022-12-24,-,-,-1
2022-12-25,-,14.6,-
2022-12-26,12.1,25.2,-1
2022-12-27,14.1,21.8,6.4
2022-12-28,-,-,6.2
2022-12-29,-,30.2,-
2022-12-30,20.8,27.6,14
2022-12-31,-,-,11.8
2023-01-01,-,33,-
2023-01-02,23.3,32.6,14
2023-01-03,23.3,30,16.6
2023-01-04,20.6,28.6,12.6
2023-01-05,20.1,28.4,11.8
2023-01-06,21.7,27.6,15.8
2023-01-07,-,-,14.8
2023-01-08,-,24.4,-
2023-01-09,20.9,25.8,16
2023-01-10,-,-,13.6
2023-01-11,-,33.2,-
2023-01-12,21,26.4,15.6
2023-01-13,16.2,22,10.4
2023-01-14,-,-,8
2023-01-15,-,28,-
2023-01-16,-,-,9
2023-01-17,-,-,-
2023-01-18,-,-,-
2023-01-19,-,-,-
2023-01-20,-,-,-
2023-01-21,-,-,-
2023-01-22,-,25.8,-
2023-01-23,13.7,15.8,11.6
2023-01-24,19.4,26.4,12.4
2023-01-25,15.6,22.2,9
2023-01-26,9.8,13.6,6
2023-01-27,11.8,16,7.6
2023-01-28,-,-,7.8
2023-01-29,-,31,-
2023-01-30,22,30,14
2023-01-31,8.7,9.4,8
2023-02-01,7,10,4
2023-02-02,11.9,19,4.8
2023-02-03,14.1,21.8,6.4
2023-02-04,-,-,6
2023-02-05,-,29.6,-
2023-02-06,20.7,29.2,12.2
2023-02-07,22.8,31.6,14
2023-02-08,19.3,24.6,14
2023-02-09,20.3,25.6,15
2023-02-10,14.3,17.6,11
2023-02-11,-,-,7.4
2023-02-12,-,23.6,-
2023-02-13,17.6,25.8,9.4
2023-02-14,25.1,35.8,14.4
2023-02-15,26.3,36.6,16
2023-02-16,20.3,25,15.6
2023-02-17,12.3,16,8.6
2023-02-18,-,-,7
2023-02-19,-,27,-
2023-02-20,23.8,32,15.6
2023-02-21,25.2,33,17.4
2023-02-22,27.6,37,18.2
2023-02-23,28.9,37,20.8
2023-02-24,26.2,32,20.4
2023-02-25,-,-,19.6
2023-02-26,-,30.6,-
2023-02-27,27.7,36,19.4
2023-02-28,28,36,20
2023-03-01,30.5,40,21
2023-03-02,30.8,38.2,23.4
2023-03-03,-,-,17
