Estación: ,PAMNL,La Pamona
Variable: ,Gasto en Río (m3/s)
Longitud: ,99° 13' 22.8'',Latitud:,24° 59' 34.9''

Fecha,Valor
2006-03-30,0.01
2006-03-31,0.01
2006-04-01,0
2006-04-02,0
2006-04-04,0
2006-04-06,0
2006-04-07,0
2006-04-08,0
2006-04-09,0
2006-04-10,0.01
2006-04-11,0.01
2006-04-12,0.01
2006-04-15,0
2006-04-16,0
2006-04-17,0
2006-04-18,0
2006-04-19,0
2006-04-20,0
2006-04-21,0
2006-04-22,0
2006-04-23,0
2006-04-24,0
2006-04-25,0
2006-04-26,0
2006-04-28,0
2006-04-29,0.01
2006-04-30,0.01
2006-05-01,0
2006-05-02,0
2006-05-03,0
2006-05-04,0
2006-05-06,0
2006-05-08,0
2006-05-09,0
2006-05-10,0
2006-05-11,0
2006-05-12,0
2006-05-14,0
2006-05-15,0
2006-05-16,0.13
2006-05-17,0.01
2006-05-18,0.01
2006-05-19,0.01
2006-05-20,0
2006-05-21,0
2006-05-22,0
2006-05-23,0
2006-05-24,0
2006-05-29,0
2006-05-30,0.212
2006-05-31,0.01
2006-06-01,0.01
2006-06-02,0.01
2006-06-03,0.01
2006-06-04,1.675
2006-06-05,0.172
2006-06-06,0.01
2006-06-07,0.01
2006-06-08,0.01
2006-06-09,0.01
2006-06-10,0
2006-06-11,0
2006-06-12,0
2006-06-13,0
2006-06-14,0
2006-06-15,0
2006-06-16,0
2006-06-18,0.001
2006-06-19,0
2006-06-20,0
2006-06-21,0
2006-06-22,0
2006-06-23,0
2006-06-24,0.01
2006-06-25,0.01
2006-06-26,0
2006-06-27,0
2006-06-28,0
2006-06-29,0
2006-06-30,0
2006-07-01,0.01
2006-07-02,0.01
2006-07-03,0.01
2006-07-04,0.01
2006-07-05,0.01
2006-07-06,0
2006-07-07,0
2006-07-08,3.69
2006-07-09,0.182
2006-07-10,0.01
2006-07-11,0.01
2006-07-12,0.01
2006-07-13,0.01
2006-07-14,0.01
2006-07-15,0.01
2006-07-16,0.01
2006-07-17,0.01
2006-07-18,0.01
2006-07-19,0
2006-07-20,0.01
2006-07-21,0
2006-07-22,0
2006-07-23,0.124
2006-07-24,0
2006-07-25,0
2006-07-26,0
2006-07-27,0
2006-07-28,0
2006-07-29,0
2006-07-30,0
2006-07-31,0
2006-08-01,0
2006-08-02,0
2006-08-03,0
2006-08-04,0
2006-08-05,0.395
2006-08-06,0.01
2006-08-07,0.01
2006-08-08,0.01
2006-08-09,0.01
2006-08-10,0.01
2006-08-11,0.01
2006-08-12,0
2006-08-13,0.01
2006-08-14,0
2006-08-15,0
2006-08-16,0
2006-08-17,0
2006-08-18,0
2006-08-19,0
2006-08-21,0
2006-08-22,0
2006-08-24,0
2006-08-25,0
2006-08-26,0
2006-08-27,0
2006-08-28,0
2006-08-29,0
2006-08-30,0
2006-08-31,0
2006-09-01,0
2006-09-02,0.01
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,0.376
2006-09-08,0.01
2006-09-09,2.281
2006-09-10,19.238
2006-09-11,0.791
2006-09-12,0.122
2006-09-14,1.516
2006-09-16,0.382
2006-09-17,0.216
2006-09-18,1.407
2006-09-19,0.358
2006-09-20,0.228
2006-09-21,0.142
2006-09-22,0.085
2006-09-23,0.01
2006-09-24,0.01
2006-09-25,5.007
2006-09-26,0.775
2006-09-27,0.395
2006-09-28,0.274
2006-09-29,1.277
2006-09-30,0.228
2006-10-01,0.165
2006-10-02,0.119
2006-10-03,0.092
2006-10-04,0.01
2006-10-05,0
2006-10-06,1.002
2006-10-07,0.22
2006-10-08,0.159
2006-10-09,0.095
2006-10-10,0.01
2006-10-11,0.01
2006-10-12,0.01
2006-10-13,0.01
2006-10-14,1.572
2006-10-15,0.743
2006-10-16,0.498
2006-10-17,0.188
2006-10-18,0.133
2006-10-19,0.103
2006-10-20,0.068
2006-10-21,0.01
2006-10-22,0.01
2006-10-23,0.01
2006-10-24,0.01
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0.001
2006-11-03,0.01
2006-11-04,0
2006-11-05,0
2006-11-06,0.01
2006-11-07,0.01
2006-11-08,0.01
2006-11-09,0.01
2006-11-10,0.01
2006-11-11,0
2006-11-12,0
2006-11-13,0.01
2006-11-15,0
2006-11-16,0.01
2006-11-17,0.01
2006-11-18,0.01
2006-11-19,0.01
2006-11-20,0.01
2006-11-21,0.01
2006-11-22,0.01
2006-11-23,0.01
2006-11-25,0.001
2006-11-26,0.001
2006-11-27,0.01
2006-11-28,0.01
2006-11-29,0.01
2006-11-30,0.01
2006-12-01,0.01
2006-12-02,0.01
2006-12-03,0.01
2007-01-04,0.01
2007-01-05,0.01
2007-01-06,0.01
2007-01-07,0.01
2007-01-08,0.01
2007-01-09,0.01
2007-01-10,0.01
2007-01-11,0.01
2007-01-12,0.01
2007-01-13,0.001
2007-01-14,0.001
2007-01-15,0.01
2007-01-16,0.01
2007-01-17,0.01
2007-01-18,0.01
2007-01-23,0.001
2007-01-25,0.001
2007-01-26,0.001
2007-01-27,0.01
2007-01-28,0.001
2007-01-29,0.001
2007-01-30,0.01
2007-01-31,0.01
2007-02-01,0.01
2007-02-02,0.001
2007-02-03,0.001
2007-02-04,0.001
2007-02-05,0.01
2007-02-06,0.001
2007-02-07,0.001
2007-02-08,0.001
2007-02-09,0.001
2007-02-10,0.01
2007-02-11,0.001
2007-02-12,0.01
2007-02-13,0.001
2007-02-14,0.001
2007-02-15,0.001
2007-02-16,0.001
2007-02-17,0.01
2007-02-18,0.01
2007-02-19,0.001
2007-02-20,0.001
2007-02-21,0.01
2007-02-22,0.001
2007-02-23,0.001
2007-02-24,0.01
2007-02-25,0.01
2007-02-26,0.001
2007-02-27,0.001
2007-02-28,0.001
2007-03-01,0.001
2007-03-02,0.001
2007-03-03,0.01
2007-03-04,0.01
2007-03-05,0.001
2007-03-06,0.001
2007-03-07,0.01
2007-03-08,0.001
2007-03-09,0.01
2007-03-10,0.001
2007-03-11,0.001
2007-03-12,0.001
2007-03-13,0.001
2007-03-14,0.001
2007-03-15,0.001
2007-03-16,0.001
2007-03-17,0.01
2007-03-18,0.01
2007-03-19,0.01
2007-03-20,0.001
2007-03-21,0.001
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0.01
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-04-01,0.01
2007-04-02,0
2007-04-03,0
2007-04-04,0
2007-04-05,0.001
2007-04-06,0.001
2007-04-07,0.01
2007-04-08,0.01
2007-04-09,0.001
2007-04-10,0.001
2007-04-11,0.001
2007-04-12,0.001
2007-04-13,0.001
2007-04-14,0.01
2007-04-15,0.01
2007-04-17,0
2007-04-18,0
2007-04-19,0
2007-04-20,0
2007-04-22,0
2007-04-23,0
2007-04-24,0
2007-04-25,0
2007-04-26,0
2007-04-27,0
2007-04-28,0
2007-04-29,0
2007-04-30,0
2007-05-01,0
2007-05-02,0
2007-05-03,0
2007-05-04,0
2007-05-05,0
2007-05-06,0
2007-05-07,0
2007-05-08,18.221
2007-05-09,0.524
2007-05-10,0.089
2007-05-11,0.01
2007-05-12,0.01
2007-05-13,0.01
2007-05-14,0.001
2007-05-15,0.001
2007-05-16,0.001
2007-05-17,0.001
2007-05-18,0.01
2007-05-19,0.001
2007-05-20,0.001
2007-05-21,2.265
2007-05-22,0.096
2007-05-23,0.065
2007-05-24,0.001
2007-05-25,3.471
2007-05-26,27.566
2007-05-27,0.584
2007-05-28,0.154
2007-05-29,0.103
2007-05-30,0.01
2007-05-31,0.01
2007-06-01,0.01
2007-06-02,0.01
2007-06-03,0.01
2007-06-04,0.001
2007-06-05,0.001
2007-06-06,0.001
2007-06-07,0.01
2007-06-08,0.01
2007-06-09,0.01
2007-06-10,0.01
2007-06-11,0.001
2007-06-12,0.001
2007-06-13,0.001
2007-06-14,0.001
2007-06-15,0.01
2007-06-16,0.001
2007-06-17,0
2007-06-18,0.001
2007-06-19,0
2007-06-20,0
2007-06-21,1.265
2007-06-22,3.124
2007-06-23,0.936
2007-06-24,30.412
2007-06-25,0.369
2007-06-26,0.155
2007-06-27,0.119
2007-06-28,0.095
2007-07-02,0.001
2007-07-03,0.01
2007-07-04,0.01
2007-07-06,0.485
2007-07-07,0.127
2007-07-08,0.01
2007-07-09,0.01
2007-07-10,0.001
2007-07-11,0.001
2007-07-12,0.001
2007-07-13,0.001
2007-07-14,0.001
2007-07-15,0.001
2007-07-16,0.01
2007-07-17,0.001
2007-07-18,3.326
2007-07-19,11.167
2007-07-20,1.316
2007-07-21,0.518
2007-07-22,0.298
2007-07-23,0.224
2007-07-24,0.166
2007-07-26,0.001
2007-07-27,0.001
2007-07-28,0.001
2007-07-29,0.122
2007-07-30,0.094
2007-07-31,0.01
2007-08-01,0.01
2007-08-02,0.01
2007-08-10,0
2007-08-12,0
2007-08-13,0
2007-08-14,0.001
2007-08-15,0.001
2007-08-16,0.01
2007-08-17,0.01
2007-08-18,0.01
2007-08-19,0.01
2007-08-20,0.01
2007-08-21,0.01
2007-08-22,1.313
2007-08-23,1.764
2007-08-24,0.469
2007-08-25,0.239
2007-08-26,0.239
2007-09-12,0.374
2007-09-13,0.256
2007-09-14,0.192
2007-09-15,0.137
2007-09-16,1.519
2007-09-18,0.292
2007-09-19,3.143
2007-09-20,0.359
2007-09-21,0.159
2007-09-22,0.15
2007-09-23,0.139
2007-09-24,0.12
2007-09-25,0.123
2007-09-26,0.109
2007-09-27,0.094
2007-09-28,0.001
2007-09-29,0.001
2007-09-30,0.01
2007-10-01,0.001
2007-10-02,0.001
2007-10-03,0.163
2007-10-04,0.13
2007-10-05,0.126
2007-10-06,0.09
2007-10-07,0.01
2007-10-08,0.001
2007-10-09,0.001
2007-10-10,0.135
2007-10-11,0.124
2007-10-14,0.096
2007-10-15,0.001
2007-10-16,0.001
2007-10-17,0.001
2007-10-18,0.001
2007-10-19,0.001
2007-10-20,0.01
2007-10-21,0.001
2007-10-22,0.001
2007-10-23,0.001
2007-10-24,0.01
2007-10-25,0.01
2007-10-26,0.001
2007-10-27,0.001
2007-10-28,0.001
2007-10-29,0.001
2007-10-30,0.001
2007-10-31,0.001
2007-11-01,0.01
2007-11-02,0.01
2007-11-03,0.01
2007-11-04,0.01
2007-11-05,0.01
2007-11-06,0.001
2007-11-07,0.001
2007-11-08,0.001
2007-11-09,0.001
2007-11-10,0.001
2007-11-11,0.001
2007-11-12,0.001
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,0
2007-12-03,0
2007-12-04,0
2007-12-05,0
2007-12-06,0
2007-12-07,0
2007-12-08,0
2007-12-09,0
2007-12-10,0
2007-12-11,0
2007-12-12,0
2007-12-13,0
2007-12-14,0
2007-12-15,0
2007-12-16,0
2008-01-03,0
2008-01-04,0
2008-01-06,0
2008-01-07,0
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,0
2008-01-12,0
2008-01-13,0
2008-01-14,0
2008-01-15,0
2008-01-16,0
2008-01-17,0
2008-01-18,0
2008-01-19,0
2008-01-20,0
2008-01-21,0
2008-01-22,0
2008-01-23,0
2008-01-24,0
2008-01-25,0
2008-01-26,0
2008-01-27,0
2008-01-28,0
2008-01-29,0
2008-01-30,0
2008-01-31,0
2008-02-01,0
2008-02-02,0
2008-02-03,0
2008-02-04,0
2008-02-05,0
2008-02-06,0
2008-02-07,0
2008-02-08,0
2008-02-09,0
2008-02-10,0
2008-02-11,0
2008-02-12,0
2008-02-13,0
2008-02-14,0
2008-02-15,0
2008-02-16,0
2008-02-17,0
2008-02-18,0
2008-02-19,0
2008-02-20,0
2008-02-21,0
2008-02-22,0
2008-02-23,0
2008-02-25,0
2008-02-26,0
2008-02-27,0
2008-02-28,0
2008-02-29,0
2008-03-01,0
2008-03-02,0
2008-03-03,0
2008-03-04,0
2008-03-05,0
2008-03-06,0
2008-03-07,0
2008-03-08,0
2008-03-09,0
2008-03-10,0
2008-03-11,0
2008-03-12,0
2008-03-13,0
2008-03-14,0
2008-03-15,0
2008-03-16,0
2008-03-17,0
2008-03-18,0
2008-03-19,0
2008-03-20,0
2008-03-21,0
2008-03-22,0
2008-03-23,0
2008-03-24,0
2008-03-25,0
2008-03-26,0
2008-03-27,0
2008-03-28,0
2008-03-29,0
2008-03-30,0
2008-03-31,0
2008-04-01,0
2008-04-02,0
2008-04-03,0
2008-04-04,0
2008-04-05,0.001
2008-04-06,0
2008-04-07,0
2008-04-08,0
2008-04-09,0
2008-04-10,0
2008-04-11,0
2008-04-12,0
2008-04-13,0
2008-04-14,0
2008-04-15,0
2008-04-16,0
2008-04-17,0
2008-04-18,0
2008-04-19,0
2008-04-20,0
2008-04-21,0
2008-04-22,0
2008-04-23,0
2008-04-24,0
2008-04-25,0
2008-04-26,0
2008-04-27,0.15
2008-04-28,9.656
2008-04-29,0.41
2008-05-07,0.01
2008-05-08,0.01
2008-05-09,0
2008-05-10,0.01
2008-05-11,0.01
2008-05-12,0
2008-05-13,0
2008-05-14,0
2008-05-15,0
2008-05-16,0.485
2008-05-17,2.638
2008-05-18,0.322
2008-05-19,0.125
2008-05-20,0.01
2008-05-21,0.01
2008-05-22,0.01
2008-05-23,0.01
2008-05-24,0.01
2008-05-25,0.01
2008-05-26,0
2008-05-27,0
2008-05-28,0
2008-05-29,0
2008-05-30,0
2008-05-31,0
2008-06-01,0
2008-06-02,0
2008-06-03,0
2008-06-04,0
2008-06-05,0
2008-06-06,0
2008-06-07,0
2008-06-08,0
2008-06-09,0
2008-06-10,0
2008-06-11,0
2008-06-12,0
2008-06-13,0
2008-06-14,0
2008-06-15,0
2008-06-16,0
2008-06-17,0
2008-06-18,0
2008-06-19,0
2008-06-20,0
2008-06-21,0
2008-06-22,0
2008-06-23,0
2008-06-24,0
2008-06-25,0
2008-06-26,0
2008-06-27,0
2008-06-28,0
2008-06-29,0
2008-06-30,0
2008-07-01,0
2008-07-02,0
2008-07-03,0
2008-07-04,0.484
2008-07-05,0.196
2008-07-06,5.007
2008-07-07,2.532
2008-07-08,3.776
2008-07-09,1.699
2008-07-10,1.473
2008-07-11,0.272
