Estación: ,PAMNL,La Pamona
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 13' 22.8'',Latitud:,24° 59' 34.9''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,-,-,-
2022-01-02,-,18.5,-
2022-01-03,8,19,-3
2022-01-04,12.25,26.5,-2
2022-01-05,16.75,31.5,2
2022-01-06,18.25,29.5,7
2022-01-07,15.25,18,12.5
2022-01-08,18.5,26,11
2022-01-09,21,30,12
2022-01-10,15,17,13
2022-01-11,14.5,18,11
2022-01-12,15,19,11
2022-01-13,15.75,28.5,3
2022-01-14,18.25,33,3.5
2022-01-15,14,22,6
2022-01-16,11.5,24,-1
2022-01-17,12.75,27.5,-2
2022-01-18,15.5,31,0
2022-01-19,18.75,35,2.5
2022-01-20,12,17,7
2022-01-21,4,7,1
2022-01-22,4.75,8,1.5
2022-01-23,7.5,10,5
2022-01-24,10.5,14,7
2022-01-25,15.25,25,5.5
2022-01-26,11.75,17.5,6
2022-01-27,13,17,9
2022-01-28,13,14,12
2022-01-29,13.75,20,7.5
2022-01-30,14.25,26,2.5
2022-01-31,16,29,3
2022-02-01,19.5,32,7
2022-02-02,19.25,31,7.5
2022-02-03,9.75,11,8.5
2022-02-04,6.5,11,2
2022-02-05,8.5,16,1
2022-02-06,6,17,-5
2022-02-07,8,14.5,1.5
2022-02-08,14.75,22,7.5
2022-02-09,13.5,25,2
2022-02-10,12.25,22,2.5
2022-02-11,14.75,23,6.5
2022-02-12,16.25,24,8.5
2022-02-13,10.75,21,0.5
2022-02-14,13,26,0
2022-02-15,15.25,30,0.5
2022-02-16,19.75,35,4.5
2022-02-17,20,31,9
2022-02-18,14.5,23,6
2022-02-19,12.75,22.5,3
2022-02-20,18.25,32,4.5
2022-02-21,21,35,7
2022-02-22,26,38,14
2022-02-23,22.25,31,13.5
2022-02-24,13.25,19,7.5
2022-02-25,11.5,15,8
2022-02-26,8.5,11,6
2022-02-27,11,17,5
2022-02-28,12.5,24,1
2022-03-01,14.5,27,2
2022-03-02,14.5,26,3
2022-03-03,18.5,30,7
2022-03-04,23.75,34,13.5
2022-03-05,23.5,32,15
2022-03-06,26.25,37,15.5
2022-03-07,20.75,23,18.5
2022-03-08,17,23,11
2022-03-09,15.5,21,10
2022-03-10,14.5,23,6
2022-03-11,20.25,34,6.5
2022-03-12,13,17,9
2022-03-13,14.5,28,1
2022-03-14,18.25,33,3.5
2022-03-15,22,32,12
2022-03-16,22,36,8
2022-03-17,24.25,39,9.5
2022-03-18,20.75,30,11.5
2022-03-19,19.5,29,10
2022-03-20,23,34,12
2022-03-21,25,41,9
2022-03-22,23.75,34,13.5
2022-03-23,17.5,28,7
2022-03-24,19,32,6
2022-03-25,21.75,37,6.5
2022-03-26,22,38,6
2022-03-27,23.25,37,9.5
2022-03-28,24.75,37,12.5
2022-03-29,26.75,40,13.5
2022-03-30,25.25,37,13.5
2022-03-31,24,36,12
2022-04-01,22.5,33.5,11.5
2022-04-02,21.5,31,12
2022-04-03,25.5,34,17
2022-04-04,28.25,39,17.5
2022-04-05,29.25,40,18.5
2022-04-06,32.75,44.5,21
2022-04-07,23.25,31,15.5
2022-04-08,21.75,33.5,10
2022-04-09,22.75,35,10.5
2022-04-10,28,42,14
2022-04-11,28.5,43,14
2022-04-12,28.75,40.5,17
2022-04-13,31.5,43,20
2022-04-14,28,35,21
2022-04-15,30.25,39,21.5
2022-04-16,30.75,39.5,22
2022-04-17,31.25,40,22.5
2022-04-18,28,34,22
2022-04-19,28.5,34.5,22.5
2022-04-20,28.5,36,21
2022-04-21,29.5,38.5,20.5
2022-04-22,29.5,38,21
2022-04-23,30.5,41,20
2022-04-24,30.25,40,20.5
2022-04-25,29.75,38,21.5
2022-04-26,24.75,31.5,18
2022-04-27,25.75,32.5,19
2022-04-28,28.25,38,18.5
2022-04-29,28.5,38,19
2022-04-30,30,39,21
2022-05-01,30.25,39,21.5
2022-05-02,31.75,41,22.5
2022-05-03,31,40,22
2022-05-04,32,41.5,22.5
2022-05-05,33,42,24
2022-05-06,31.5,39,24
2022-05-07,32.5,44,21
2022-05-08,33.5,45,22
2022-05-09,34,44,24
2022-05-10,32,39,25
2022-05-11,32,38.5,25.5
2022-05-12,31,41.5,20.5
2022-05-13,31.25,42.5,20
2022-05-14,30.25,40,20.5
2022-05-15,30,41,19
2022-05-16,30.5,41.5,19.5
2022-05-17,31.5,43,20
2022-05-18,31,40,22
2022-05-19,32.75,43,22.5
2022-05-20,34,45,23
2022-05-21,34,44,24
2022-05-22,30.25,37,23.5
2022-05-23,27.25,34.5,20
2022-05-24,30,37,23
2022-05-25,27,32,22
2022-05-26,30,39,21
2022-05-27,32,41,23
2022-05-28,30.5,40,21
2022-05-29,31.5,41.5,21.5
2022-05-30,33.25,42,24.5
2022-05-31,32.25,41,23.5
2022-06-01,31.5,39,24
2022-06-02,31,39,23
2022-06-03,30.75,39.5,22
2022-06-04,30,40,20
2022-06-05,32.75,45,20.5
2022-06-06,33.75,46.5,21
2022-06-07,33.25,44,22.5
2022-06-08,32.25,43,21.5
2022-06-09,31,40,22
2022-06-10,31.75,41,22.5
2022-06-11,32.75,42,23.5
2022-06-12,32.75,42,23.5
2022-06-13,30.25,37,23.5
2022-06-14,30.25,36.5,24
2022-06-15,31.75,39,24.5
2022-06-16,31,40,22
2022-06-17,30.25,40,20.5
2022-06-18,29.5,37.5,21.5
2022-06-19,30.25,39,21.5
2022-06-20,30.25,39,21.5
2022-06-21,29.25,38,20.5
2022-06-22,29,37,21
2022-06-23,30,40,20
2022-06-24,30.75,41,20.5
2022-06-25,30.75,41,20.5
2022-06-26,30.25,39.5,21
2022-06-27,31.5,40.5,22.5
2022-06-28,30.75,39,22.5
2022-06-29,28.5,35,22
2022-06-30,31,39.5,22.5
2022-07-01,32.75,41.5,24
2022-07-02,32.5,41,24
2022-07-03,32.25,41,23.5
2022-07-04,31.25,40,22.5
2022-07-05,32.25,41.5,23
2022-07-06,31.75,42,21.5
2022-07-07,32.75,42.5,23
2022-07-08,33.5,44,23
2022-07-09,32.75,42,23.5
2022-07-10,33,42,24
2022-07-11,33.25,42.5,24
2022-07-12,33.25,42,24.5
2022-07-13,33.5,42,25
2022-07-14,30.5,39,22
2022-07-15,30.25,38.5,22
2022-07-16,30.75,40.5,21
2022-07-17,31.25,42,20.5
2022-07-18,31.5,42,21
2022-07-19,33,43,23
2022-07-20,33.75,43.5,24
2022-07-21,33.75,43,24.5
2022-07-22,32.5,42.5,22.5
2022-07-23,32,41.5,22.5
2022-07-24,32.5,41.5,23.5
2022-07-25,31.25,39.5,23
2022-07-26,31.75,42,21.5
2022-07-27,31.25,40,22.5
2022-07-28,31.75,40.5,23
2022-07-29,31.75,40,23.5
2022-07-30,30.75,40,21.5
2022-07-31,30.25,39.5,21
2022-08-01,30.5,40,21
2022-08-02,31.25,40.5,22
2022-08-03,32.5,43,22
2022-08-04,31.75,41,22.5
2022-08-05,33.25,42.5,24
2022-08-06,33,40.5,25.5
2022-08-07,31.25,40,22.5
2022-08-08,30.25,38.5,22
2022-08-09,30.5,39.5,21.5
2022-08-10,31.75,42,21.5
2022-08-11,31.75,41,22.5
2022-08-12,32.75,42,23.5
2022-08-13,32.25,40,24.5
2022-08-14,28.5,34.5,22.5
2022-08-15,31,39,23
2022-08-16,31,38.5,23.5
2022-08-17,31.5,40,23
2022-08-18,32.5,41.5,23.5
2022-08-19,32.5,41,24
2022-08-20,30.5,38.5,22.5
2022-08-21,32.25,41.5,23
2022-08-22,33.25,42,24.5
2022-08-23,32.75,41,24.5
2022-08-24,32.75,41,24.5
2022-08-25,33,41,25
2022-08-26,32,40,24
2022-08-27,31.75,40,23.5
2022-08-28,32,41,23
2022-08-29,32.25,40.5,24
2022-08-30,32,40,24
2022-08-31,31.25,39,23.5
2022-09-01,31.25,38.5,24
2022-09-02,31.75,39,24.5
2022-09-03,28.25,33,23.5
2022-09-04,28.5,34,23
2022-09-05,27.75,32,23.5
2022-09-06,26.25,31.5,21
2022-09-07,27.25,33.5,21
2022-09-08,28.75,36,21.5
2022-09-09,29.25,38,20.5
2022-09-10,29.5,38,21
2022-09-11,29.75,37.5,22
2022-09-12,28.75,37,20.5
2022-09-13,28.5,37.5,19.5
2022-09-14,28.5,37,20
2022-09-15,27.75,35,20.5
2022-09-16,28.75,37.5,20
2022-09-17,29.25,38,20.5
2022-09-18,29,37,21
2022-09-19,29.5,37.5,21.5
2022-09-20,28.75,37,20.5
2022-09-21,28.75,37.5,20
2022-09-22,28.75,37,20.5
2022-09-23,29,38,20
2022-09-24,28.75,37,20.5
2022-09-25,29.25,38,20.5
2022-09-26,28.5,35,22
2022-09-27,27.5,34.5,20.5
2022-09-28,26.25,33.5,19
2022-09-29,25,33,17
2022-09-30,25.5,36,15
2022-10-01,25.25,35,15.5
2022-10-02,26,34,18
2022-10-03,25.5,33.5,17.5
2022-10-04,25,32,18
2022-10-05,27,36,18
2022-10-06,23.75,29,18.5
2022-10-07,24.25,29,19.5
2022-10-08,23.25,26.5,20
2022-10-09,24.25,31,17.5
2022-10-10,24,30,18
2022-10-11,25.5,33,18
2022-10-12,27.25,36,18.5
2022-10-13,28.25,37.5,19
2022-10-14,30.75,38.5,23
2022-10-15,29,38.5,19.5
2022-10-16,29.75,39.5,20
2022-10-17,28,36,20
2022-10-18,16.75,19,14.5
2022-10-19,17.75,23,12.5
2022-10-20,19.25,29.5,9
2022-10-21,21,32.5,9.5
2022-10-22,22.75,34.5,11
2022-10-23,23.25,33,13.5
2022-10-24,27,37,17
2022-10-25,25.75,31,20.5
2022-10-26,21.5,31.5,11.5
2022-10-27,23.5,35,12
2022-10-28,22.75,30,15.5
2022-10-29,20.5,30,11
2022-10-30,21.5,31.5,11.5
2022-10-31,-,-,12.5
2022-11-01,-,-,-
2022-11-02,-,-,-
2022-11-03,-,-,-
2022-11-04,-,-,-
2022-11-05,-,-,-
2022-11-06,-,-,-
2022-11-07,-,-,-
2022-11-08,-,-,-
2022-11-09,-,-,-
2022-11-10,-,-,-
2022-11-11,-,-,-
2022-11-12,-,-,-
2022-11-13,-,-,-
2022-11-14,-,32.5,-
2022-11-15,17,22.5,11.5
2022-11-16,14.75,17,12.5
2022-11-17,8.75,12,5.5
2022-11-18,10.75,15,6.5
2022-11-19,11.25,13,9.5
2022-11-20,7.25,8,6.5
2022-11-21,8.75,11,6.5
2022-11-22,12,17,7
2022-11-23,13,17,9
2022-11-24,20.25,28.5,12
2022-11-25,16,18.5,13.5
2022-11-26,16.75,23,10.5
2022-11-27,20.5,30,11
2022-11-28,20.75,30.5,11
2022-11-29,23.25,35,11.5
2022-11-30,17.75,22,13.5
2022-12-01,16.25,20,12.5
2022-12-02,18.5,25,12
2022-12-03,19,25,13
2022-12-04,23.5,30,17
2022-12-05,24.75,32,17.5
2022-12-06,23,33,13
2022-12-07,22.75,32,13.5
2022-12-08,24,33,15
2022-12-09,24,32.5,15.5
2022-12-10,24.5,32.5,16.5
2022-12-11,22,30,14
2022-12-12,23,31.5,14.5
2022-12-13,23,32.5,13.5
2022-12-14,19,24,14
2022-12-15,16,26.5,5.5
2022-12-16,17,28,6
2022-12-17,-,-,11.5
2022-12-18,-,-,-
2022-12-19,-,-,-
2022-12-20,-,-,-
2022-12-21,-,-,-
2022-12-22,-,-,-
2022-12-23,-,-,-
2022-12-24,-,-,-
2022-12-25,-,-,-
2022-12-26,-,-,-
2022-12-27,-,-,-
2022-12-28,-,-,-
2022-12-29,-,-,-
2022-12-30,-,-,-
2022-12-31,-,-,-
2023-01-01,-,32,-
2023-01-02,24.25,33,15.5
2023-01-03,22.75,30,15.5
2023-01-04,19,30,8
2023-01-05,19.75,32,7.5
2023-01-06,20.25,32.5,8
2023-01-07,21.5,33,10
2023-01-08,19.5,27,12
2023-01-09,20.25,26,14.5
2023-01-10,21.5,32,11
2023-01-11,19.25,29,9.5
2023-01-12,19,28.5,9.5
2023-01-13,13,23,3
2023-01-14,13.25,26.5,0
2023-01-15,16,31.5,0.5
2023-01-16,19.5,35,4
2023-01-17,19.5,30.5,8.5
2023-01-18,20.5,32,9
2023-01-19,17.75,24,11.5
2023-01-20,18.25,24,12.5
2023-01-21,21,27,15
2023-01-22,21,26.5,15.5
2023-01-23,16.25,22,10.5
2023-01-24,23.5,33,14
2023-01-25,18,24,12
2023-01-26,9.5,16.5,2.5
2023-01-27,10.5,18,3
2023-01-28,19.25,31,7.5
2023-01-29,21.25,33,9.5
2023-01-30,22.25,32,12.5
2023-01-31,9.5,11,8
2023-02-01,6.5,8.5,4.5
2023-02-02,10.25,16.5,4
2023-02-03,10.5,22,-1
2023-02-04,13,26,0
2023-02-05,16,30,2
2023-02-06,20.5,34.5,6.5
2023-02-07,21.5,36,7
2023-02-08,17,23,11
2023-02-09,21.25,28,14.5
2023-02-10,17,21.5,12.5
2023-02-11,11.75,21.5,2
2023-02-12,15,27.5,2.5
2023-02-13,17.25,31.5,3
2023-02-14,22.75,36,9.5
2023-02-15,26.5,40.5,12.5
2023-02-16,19.5,26,13
2023-02-17,13,20,6
2023-02-18,12.25,23.5,1
2023-02-19,16.75,32,1.5
2023-02-20,20.25,35,5.5
2023-02-21,24.5,38,11
2023-02-22,25.5,39.5,11.5
2023-02-23,27,38.5,15.5
2023-02-24,25.5,35,16
2023-02-25,24,34,14
2023-02-26,25.75,35,16.5
2023-02-27,26.25,36,16.5
2023-02-28,27.5,38,17
2023-03-01,29.5,41,18
2023-03-02,28.75,38,19.5
2023-03-03,-,-,11
