Estación: ,SRANL,San Rafael
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 33' 07.16'',Latitud:,25° 01' 53.88''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,13.5,26,1
2022-01-02,11.75,25,-1.5
2022-01-03,9,22,-4
2022-01-04,11,26,-4
2022-01-05,11.5,27,-4
2022-01-06,11.75,27,-3.5
2022-01-07,10.5,24,-3
2022-01-08,11.5,25,-2
2022-01-09,13.5,28,-1
2022-01-10,8.5,18,-1
2022-01-11,7.5,16,-1
2022-01-12,10.5,17,4
2022-01-13,10.75,25,-3.5
2022-01-14,10,26,-6
2022-01-15,8.5,22,-5
2022-01-16,7.5,21,-6
2022-01-17,9.5,25,-6
2022-01-18,10,26,-6
2022-01-19,10.75,25,-3.5
2022-01-20,9.5,22,-3
2022-01-21,10,16,4
2022-01-22,10.5,17,4
2022-01-23,9.5,19,0
2022-01-24,10.5,14,7
2022-01-25,10,20,0
2022-01-26,9.75,21,-1.5
2022-01-27,11,23,-1
2022-01-28,10.5,17,4
2022-01-29,10,17,3
2022-01-30,8.5,21,-4
2022-01-31,9.5,23,-4
2022-02-01,10.5,25,-4
2022-02-02,12,28,-4
2022-02-03,8,18,-2
2022-02-04,12,21,3
2022-02-05,11,20,2
2022-02-06,8.75,19,-1.5
2022-02-07,7.5,16,-1
2022-02-08,8,17,-1
2022-02-09,8,20,-4
2022-02-10,8,19,-3
2022-02-11,10,21,-1
2022-02-12,9.5,22,-3
2022-02-13,7.75,20,-4.5
2022-02-14,9.5,23,-4
2022-02-15,11,25,-3
2022-02-16,13,27,-1
2022-02-17,15,28,2
2022-02-18,14.5,27,2
2022-02-19,13.5,25,2
2022-02-20,14.5,27,2
2022-02-21,16.75,29,4.5
2022-02-22,15.75,27,4.5
2022-02-23,17.5,31,4
2022-02-24,17,30,4
2022-02-25,17.5,27,8
2022-02-26,13.5,19,8
2022-02-27,17,29,5
2022-02-28,14.5,28,1
2022-03-01,16,31,1
2022-03-02,16,30,2
2022-03-03,16.5,31,2
2022-03-04,17.5,31,4
2022-03-05,17.5,31,4
2022-03-06,18.5,31,6
2022-03-07,16.5,30,3
2022-03-08,16,29,3
2022-03-09,13.75,26,1.5
2022-03-10,12.5,26,-1
2022-03-11,13,27,-1
2022-03-12,8,16,0
2022-03-13,11.25,26,-3.5
2022-03-14,12.5,28,-3
2022-03-15,12.75,27,-1.5
2022-03-16,13.5,28,-1
2022-03-17,14.5,29,0
2022-03-18,13.5,28,-1
2022-03-19,13,27,-1
2022-03-20,15,27,3
2022-03-21,16,28,4
2022-03-22,14,26,2
2022-03-23,10.5,21,0
2022-03-24,7.25,18,-3.5
2022-03-25,10.5,27,-6
2022-03-26,11,28,-6
2022-03-27,14.5,30,-1
2022-03-28,16.5,32,1
2022-03-29,17.5,33,2
2022-03-30,16,28,4
2022-03-31,16.5,30,3
2022-04-01,17,31,3
2022-04-02,17,31,3
2022-04-03,17.5,31,4
2022-04-04,17.5,32,3
2022-04-05,17,30,4
2022-04-06,18,32,4
2022-04-07,16,28,4
2022-04-08,15,26,4
2022-04-09,16.5,29,4
2022-04-10,17,29,5
2022-04-11,17.75,30,5.5
2022-04-12,19,30,8
2022-04-13,18.75,32,5.5
2022-04-14,19.25,33,5.5
2022-04-15,19.5,33,6
2022-04-16,22,35,9
2022-04-17,23.25,36,10.5
2022-04-18,20.75,31,10.5
2022-04-19,20,30,10
2022-04-20,21.5,31,12
2022-04-21,19.5,31,8
2022-04-22,19,30,8
2022-04-23,20.5,32,9
2022-04-24,19,32,6
2022-04-25,17.5,29,6
2022-04-26,15.5,25,6
2022-04-27,17.5,28,7
2022-04-28,17.75,30,5.5
2022-04-29,17.25,29.5,5
2022-04-30,19.25,32,6.5
2022-05-01,19,31,7
2022-05-02,20,33,7
2022-05-03,21.5,35,8
2022-05-04,21.5,34,9
2022-05-05,22.5,34,11
2022-05-06,23.5,35.5,11.5
2022-05-07,21.75,34,9.5
2022-05-08,23.5,37,10
2022-05-09,23.5,36,11
2022-05-10,23.5,35,12
2022-05-11,22,31,13
2022-05-12,20,32,8
2022-05-13,21,34,8
2022-05-14,21,34,8
2022-05-15,19.5,32,7
2022-05-16,20.75,34,7.5
2022-05-17,20.5,34,7
2022-05-18,21,35,7
2022-05-19,20,33,7
2022-05-20,19.5,32,7
2022-05-21,21.75,35,8.5
2022-05-22,20.5,32,9
2022-05-23,18.5,27,10
2022-05-24,20.5,30,11
2022-05-25,21.5,33,10
2022-05-26,21.5,34,9
2022-05-27,22,35,9
2022-05-28,20.25,32,8.5
2022-05-29,21.25,34,8.5
2022-05-30,21,34,8
2022-05-31,22,35,9
2022-06-01,21,32,10
2022-06-02,21.5,32,11
2022-06-03,19.5,28,11
2022-06-04,20.75,32,9.5
2022-06-05,21.5,34,9
2022-06-06,23,36,10
2022-06-07,23.5,36,11
2022-06-08,22.25,35,9.5
2022-06-09,21,33,9
2022-06-10,21.25,33,9.5
2022-06-11,21.5,33,10
2022-06-12,22.25,33,11.5
2022-06-13,19.25,29,9.5
2022-06-14,20.5,31,10
2022-06-15,21.5,31,12
2022-06-16,19.5,30,9
2022-06-17,19.75,31,8.5
2022-06-18,19,29,9
2022-06-19,19,28,10
2022-06-20,18.75,29,8.5
2022-06-21,19.5,31,8
2022-06-22,18,28,8
2022-06-23,19.75,31,8.5
2022-06-24,20.5,33,8
2022-06-25,20.5,33,8
2022-06-26,20.75,33,8.5
2022-06-27,20.5,31,10
2022-06-28,19.5,29,10
2022-06-29,19.25,27,11.5
2022-06-30,21,31,11
2022-07-01,20.5,30,11
2022-07-02,20,29,11
2022-07-03,22,31,13
2022-07-04,23.5,32,15
2022-07-05,23,33,13
2022-07-06,21,33,9
2022-07-07,21.25,33,9.5
2022-07-08,20.5,32,9
2022-07-09,22.5,34,11
2022-07-10,22.25,35,9.5
2022-07-11,21.5,33,10
2022-07-12,22.5,34,11
2022-07-13,22.5,34,11
2022-07-14,20.5,31,10
2022-07-15,19.75,29.5,10
2022-07-16,20.25,31,9.5
2022-07-17,22,34,10
2022-07-18,22.5,33,12
2022-07-19,22,33,11
2022-07-20,22.5,34,11
2022-07-21,23,34,12
2022-07-22,20.75,32,9.5
2022-07-23,20,31,9
2022-07-24,21.5,33,10
2022-07-25,20.5,30,11
2022-07-26,22.5,33,12
2022-07-27,21,30,12
2022-07-28,19.5,29,10
2022-07-29,19.5,29,10
2022-07-30,20,30,10
2022-07-31,20.75,32,9.5
2022-08-01,19,28,10
2022-08-02,21,30,12
2022-08-03,23,33,13
2022-08-04,22.5,33,12
2022-08-05,20,31,9
2022-08-06,20.5,32,9
2022-08-07,21.5,31,12
2022-08-08,19.5,30,9
2022-08-09,19.5,30,9
2022-08-10,20.5,32,9
2022-08-11,19.75,30,9.5
2022-08-12,18.5,28,9
2022-08-13,18,26,10
2022-08-14,20,29,11
2022-08-15,21,29,13
2022-08-16,21,28,14
2022-08-17,21.5,31,12
2022-08-18,21,30,12
2022-08-19,20.75,31,10.5
2022-08-20,21.25,33,9.5
2022-08-21,19,28,10
2022-08-22,21.75,32,11.5
2022-08-23,21.5,31,12
2022-08-24,21.5,31,12
2022-08-25,21,29,13
2022-08-26,20,28,12
2022-08-27,19.5,27,12
2022-08-28,19.25,26.5,12
2022-08-29,18,24,12
2022-08-30,18.5,25,12
2022-08-31,18,23,13
2022-09-01,17.5,22,13
2022-09-02,17.25,22,12.5
2022-09-03,17,22,12
2022-09-04,15,19,11
2022-09-05,17,23,11
2022-09-06,16.5,20,13
2022-09-07,16,19,13
2022-09-08,14.5,21,8
2022-09-09,14,20,8
2022-09-10,15.5,22,9
2022-09-11,15,20,10
2022-09-12,14,19,9
2022-09-13,13.5,19,8
2022-09-14,13.5,19,8
2022-09-15,14.25,20,8.5
2022-09-16,13.5,19,8
2022-09-17,14,20,8
2022-09-18,15,22,8
2022-09-19,18,26,10
2022-09-20,19.25,29,9.5
2022-09-21,19.5,30,9
2022-09-22,18.5,31,6
2022-09-23,18,30,6
2022-09-24,19,31,7
2022-09-25,19.5,31,8
2022-09-26,17,26,8
2022-09-27,17.5,26,9
2022-09-28,18.5,27,10
2022-09-29,16,28,4
2022-09-30,15.75,28,3.5
2022-10-01,17,30,4
2022-10-02,16.75,30,3.5
2022-10-03,14,24,4
2022-10-04,14,21,7
2022-10-05,19.5,26,13
2022-10-06,15,18,12
2022-10-07,14.5,20,9
2022-10-08,15,21,9
2022-10-09,17,25,9
2022-10-10,17,25,9
2022-10-11,18.5,27,10
2022-10-12,19,29,9
2022-10-13,18.25,29.5,7
2022-10-14,17.75,28,7.5
2022-10-15,18.5,29,8
2022-10-16,19,30,8
2022-10-17,19.5,31,8
2022-10-18,15.5,22,9
2022-10-19,12.5,17,8
2022-10-20,16,23,9
2022-10-21,14.5,26,3
2022-10-22,16.5,30,3
2022-10-23,15,27,3
2022-10-24,18,29,7
2022-10-25,17.5,29,6
2022-10-26,17.5,28,7
2022-10-27,17.5,29,6
2022-10-28,16.5,29,4
2022-10-29,13,26,0
2022-10-30,15,29,1
2022-10-31,15.5,27,4
2022-11-01,18,28,8
2022-11-02,18.5,29,8
2022-11-03,20.5,30,11
2022-11-04,19,29,9
2022-11-05,15.75,28,3.5
2022-11-06,16,30,2
2022-11-07,16,30,2
2022-11-08,16,29,3
2022-11-09,18.5,29,8
2022-11-10,18,29,7
2022-11-11,17,30,4
2022-11-12,16,27,5
2022-11-13,17.5,28,7
2022-11-14,16.5,27,6
2022-11-15,11,19,3
2022-11-16,13,23,3
2022-11-17,17.5,24,11
2022-11-18,16,22,10
2022-11-19,13.75,19,8.5
2022-11-20,11,16,6
2022-11-21,13,18,8
2022-11-22,15.5,22,9
2022-11-23,16.5,24,9
2022-11-24,13.5,21,6
2022-11-25,15,24,6
2022-11-26,12,22,2
2022-11-27,9.5,22,-3
2022-11-28,12,27,-3
2022-11-29,12.5,28,-3
2022-11-30,13,26,0
2022-12-01,11.5,22,1
2022-12-02,15,28,2
2022-12-03,15.5,28,3
2022-12-04,15,26,4
2022-12-05,15.5,28,3
2022-12-06,16.5,30,3
2022-12-07,15.75,28,3.5
2022-12-08,14.5,28,1
2022-12-09,13,26,0
2022-12-10,13.5,27,0
2022-12-11,14.5,27,2
2022-12-12,14,26,2
2022-12-13,13,25,1
2022-12-14,11.5,24,-1
2022-12-15,10.5,24,-3
2022-12-16,11,25,-3
2022-12-17,11,23,-1
2022-12-18,11.5,20,3
2022-12-19,14,25,3
2022-12-20,11.5,23,0
2022-12-21,8.5,18,-1
2022-12-22,10.5,23,-2
2022-12-23,9.75,22,-2.5
2022-12-24,-,-,-2
2022-12-25,-,18,-
2022-12-26,11.5,20,3
2022-12-27,8.5,21,-4
2022-12-28,10.25,24,-3.5
2022-12-29,8.5,20,-3
2022-12-30,9,18,0
2022-12-31,11,21,1
2023-01-01,12.5,26,-1
2023-01-02,12,23,1
2023-01-03,12,24,0
2023-01-04,12,26,-2
2023-01-05,12,27,-3
2023-01-06,12,26,-2
2023-01-07,13.5,27,0
2023-01-08,14,27,1
2023-01-09,12,23,1
2023-01-10,12.5,25,0
2023-01-11,12,26,-2
2023-01-12,12.75,27,-1.5
2023-01-13,10,24,-4
2023-01-14,11,25,-3
2023-01-15,11.5,26,-3
2023-01-16,12.5,27,-2
2023-01-17,14,29,-1
2023-01-18,13,26,0
2023-01-19,12,25,-1
2023-01-20,11.5,23,0
2023-01-21,14,26,2
2023-01-22,10.5,23,-2
2023-01-23,9.5,20,-1
2023-01-24,14.5,24,5
2023-01-25,10.5,23,-2
2023-01-26,6,16,-4
2023-01-27,6,16,-4
2023-01-28,13.5,22,5
2023-01-29,16.5,26,7
2023-01-30,16.5,29,4
2023-01-31,16,27,5
2023-02-01,16,25,7
2023-02-02,16.5,25,8
2023-02-03,11.5,23,0
2023-02-04,11.5,25,-2
2023-02-05,12.5,27,-2
2023-02-06,12.5,27,-2
2023-02-07,12.5,26,-1
2023-02-08,14,27,1
2023-02-09,14,26,2
2023-02-10,14,22,6
2023-02-11,8,22,-6
2023-02-12,10.5,26,-5
2023-02-13,14.5,27,2
2023-02-14,15,27,3
2023-02-15,15.5,28,3
2023-02-16,14,26,2
2023-02-17,12.5,22,3
2023-02-18,15,27,3
2023-02-19,14.5,28,1
2023-02-20,16,30,2
2023-02-21,17,30,4
2023-02-22,17,27,7
2023-02-23,15.5,28,3
2023-02-24,17.5,31,4
2023-02-25,17,30,4
2023-02-26,17,30,4
2023-02-27,19,32,6
2023-02-28,19,32,6
2023-03-01,18.5,32,5
2023-03-02,17,28,6
2023-03-03,-,-,3
