Estación: ,VCRCL,P.V.Carranza
Variable: ,Evaporación (mm)
Longitud: ,100° 37' 01.8'',Latitud:,27° 31' 11
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,4.2,
2022-01-02,3.27,
2022-01-03,2.02,
2022-01-04,3.53,
2022-01-05,3.74,
2022-01-06,4.15,
2022-01-07,2.3,
2022-01-08,2.46,
2022-01-09,3.52,
2022-01-10,1.95,
2022-01-11,2.15,
2022-01-12,2.36,
2022-01-13,2.97,
2022-01-14,3.45,
2022-01-15,6.6,
2022-01-16,3.06,
2022-01-17,3.23,
2022-01-18,3.54,
2022-01-19,4.25,
2022-01-20,1.75,
2022-01-21,1.97,
2022-01-22,1.48,
2022-01-23,2.1,
2022-01-24,2.62,
2022-01-25,3.28,
2022-01-26,2.07,
2022-01-27,2.35,
2022-01-28,1.9,
2022-01-29,2.12,
2022-01-30,2.88,
2022-01-31,3.15,
2022-02-01,3.34,
2022-02-02,6.6,
2022-02-03,2.18,
2022-02-04,2.74,
2022-02-05,2.87,
2022-02-06,3.16,
2022-02-07,3.04,
2022-02-08,2.72,
2022-02-09,3.44,
2022-02-10,3.58,
2022-02-11,3.83,
2022-02-12,6.3,
2022-02-13,3.24,
2022-02-14,3.67,
2022-02-15,4.7,
2022-02-16,4.55,
2022-02-17,6.5,
2022-02-18,5.15,
2022-02-19,3.92,
2022-02-20,4.07,
2022-02-21,5.54,
2022-02-22,6.13,
2022-02-23,3.22,
2022-02-24,3.63,
2022-02-25,2.2,
2022-02-26,1.85,
2022-02-27,2.57,
2022-02-28,3.43,
2022-03-01,3.95,
2022-03-02,3.78,
2022-03-03,4.04,
2022-03-04,4.4,
2022-03-05,4.52,
2022-03-06,4.78,
2022-03-07,3.77,
2022-03-08,4.33,
2022-03-09,3.14,
2022-03-10,3.64,
2022-03-11,4.88,
2022-03-12,2.96,
2022-03-13,3.47,
2022-03-14,4.36,
2022-03-15,6.2,
2022-03-16,6.65,
2022-03-17,7.14,
2022-03-18,5.3,
2022-03-19,5.75,
2022-03-20,6.88,
2022-03-21,6.05,
2022-03-22,7.27,
2022-03-23,5.14,
2022-03-24,5.42,
2022-03-25,6.81,
2022-03-26,7.54,
2022-03-27,6.26,
2022-03-28,6.04,
2022-03-29,3.42,
2022-03-30,8.22,
2022-03-31,5.5,
2022-04-01,4.45,
2022-04-02,4.85,
2022-04-03,5.8,
2022-04-04,5.97,
2022-04-05,6.73,
2022-04-06,8.05,
2022-04-07,5.9,
2022-04-08,5.62,
2022-04-09,6.02,
2022-04-10,7.45,
2022-04-11,7.02,
2022-04-12,8.25,
2022-04-13,8.6,
2022-04-14,5.39,
2022-04-15,5.67,
2022-04-16,7.08,
2022-04-17,7.36,
2022-04-18,7.3,
2022-04-19,5.12,
2022-04-20,6.15,
2022-04-21,6.48,
2022-04-22,7.65,
2022-04-23,7.8,
2022-04-24,7.97,
2022-04-25,4.06,
2022-04-26,2.83,
2022-04-27,3.41,
2022-04-28,4.13,
2022-04-29,4.44,
2022-04-30,4.62,
2022-05-01,4.75,
2022-05-02,6.12,
2022-05-03,6.37,
2022-05-04,5.34,
2022-05-05,5.08,
2022-05-06,8.1,
2022-05-07,8.74,
2022-05-08,8.85,
2022-05-09,7.4,
2022-05-10,5.66,
2022-05-11,4.93,
2022-05-12,6.21,
2022-05-13,5.95,
2022-05-14,5.84,
2022-05-15,9.15,
2022-05-16,10.46,
2022-05-17,10.65,
2022-05-18,9.25,
2022-05-19,9.02,
2022-05-20,9.7,
2022-05-21,8.6,
2022-05-22,2.8,
2022-05-23,2.95,
2022-05-24,4.4,
2022-05-25,5.56,
2022-05-26,6.08,
2022-05-27,6.82,
2022-05-28,7.8,
2022-05-29,7.94,
2022-05-30,7.32,
2022-05-31,7.5,
2022-06-01,6.75,
2022-06-02,6.8,
2022-06-03,7.14,
2022-06-04,7.73,
2022-06-05,10.66,
2022-06-06,10.85,
2022-06-07,10.2,
2022-06-08,9.33,
2022-06-09,8.42,
2022-06-10,9.6,
2022-06-11,10.05,
2022-06-12,10.7,
2022-06-13,11.35,
2022-06-14,10.4,
2022-06-15,9.1,
2022-06-16,8.75,
2022-06-17,8.92,
2022-06-18,9.94,
2022-06-19,10.36,
2022-06-20,10.95,
2022-06-21,10.52,
2022-06-22,8.18,
2022-06-23,10.55,
2022-06-24,10.08,
2022-06-25,10.47,
2022-06-26,9.3,
2022-06-27,9.45,
2022-06-28,10.92,
2022-06-29,7.5,
2022-06-30,9.84,
2022-07-01,10.14,
2022-07-02,9.82,
2022-07-03,7.46,
2022-07-04,10.53,
2022-07-05,11.15,
2022-07-06,11.04,
2022-07-07,10.15,
2022-07-08,9.42,
2022-07-09,11.42,
2022-07-10,11.6,
2022-07-11,11.76,
2022-07-12,10.12,
2022-07-13,10.44,
2022-07-14,7.24,
2022-07-15,7.85,
2022-07-16,7.98,
2022-07-17,8.14,
2022-07-18,9.68,
2022-07-19,10.5,
2022-07-20,12.15,
2022-07-21,10.02,
2022-07-22,10.73,
2022-07-23,11.36,
2022-07-24,11.5,
2022-07-25,9.8,
2022-07-26,10.58,
2022-07-27,9.91,
2022-07-28,10.22,
2022-07-29,10.76,
2022-07-30,10.88,
2022-07-31,9.2,
2022-08-01,9.74,
2022-08-02,11.1,
