Estación: ,ZRGNL,Zaragoza
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 46' 46.8'',Latitud:,23° 58' 52.8''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,23,32,14
2022-01-02,15.5,18,13
2022-01-03,8.5,18,-1
2022-01-04,13,27,-1
2022-01-05,17,27,7
2022-01-06,17,27,7
2022-01-07,16.5,25,8
2022-01-08,19.5,31,8
2022-01-09,19.5,31,8
2022-01-10,10.5,12,9
2022-01-11,12,18,6
2022-01-12,15.5,25,6
2022-01-13,14.5,23,6
2022-01-14,17,28,6
2022-01-15,13.5,18,9
2022-01-16,8.5,19,-2
2022-01-17,11,23,-1
2022-01-18,18,31,5
2022-01-19,20.5,30,11
2022-01-20,14.5,18,11
2022-01-21,6.5,12,1
2022-01-22,4.5,7,2
2022-01-23,10.5,19,2
2022-01-24,16,27,5
2022-01-25,16,24,8
2022-01-26,11.5,19,4
2022-01-27,12.5,19,6
2022-01-28,9,11,7
2022-01-29,9.5,14,5
2022-01-30,13.5,24,3
2022-01-31,16,27,5
2022-02-01,16,27,5
2022-02-02,19,32,6
2022-02-03,13,21,5
2022-02-04,2,3,1
2022-02-05,5.5,12,-1
2022-02-06,9,18,0
2022-02-07,5.5,8,3
2022-02-08,6,8,4
2022-02-09,9.5,19,0
2022-02-10,10,19,1
2022-02-11,11.5,22,1
2022-02-12,15,21,9
2022-02-13,11,17,5
2022-02-14,13,22,4
2022-02-15,15.5,27,4
2022-02-16,20.5,32,9
2022-02-17,22.5,32,13
2022-02-18,13.5,20,7
2022-02-19,10.5,19,2
2022-02-20,16.5,29,4
2022-02-21,22,34,10
2022-02-22,22,33,11
2022-02-23,22,32,12
2022-02-24,21.5,32,11
2022-02-25,16,24,8
2022-02-26,19.5,31,8
2022-02-27,11.5,17,6
2022-02-28,13,22,4
2022-03-01,13.5,24,3
2022-03-02,16,27,5
2022-03-03,17,26,8
2022-03-04,18.5,28,9
2022-03-05,19.5,31,8
2022-03-06,22.5,36,9
2022-03-07,21,26,16
2022-03-08,21.5,33,10
2022-03-09,14,22,6
2022-03-10,19,32,6
2022-03-11,21,33,9
2022-03-12,9,13,5
2022-03-13,12.5,23,2
2022-03-14,18,32,4
2022-03-15,20,31,9
2022-03-16,18.5,29,8
2022-03-17,21.5,34,9
2022-03-18,18,25,11
2022-03-19,14,22,6
2022-03-20,16.5,27,6
2022-03-21,22.5,36,9
2022-03-22,25,32,18
2022-03-23,13,21,5
2022-03-24,13.5,23,4
2022-03-25,16,27,5
2022-03-26,18,28,8
2022-03-27,19.5,31,8
2022-03-28,22.5,32,13
2022-03-29,25.5,38,13
2022-03-30,26.5,36,17
2022-03-31,19.5,27,12
2022-04-01,18.5,27,10
2022-04-02,20,28,12
2022-04-03,22.5,30,15
2022-04-04,24.5,38,11
2022-04-05,25,37,13
2022-04-06,24.5,34,15
2022-04-07,16.5,22,11
2022-04-08,16,23,9
2022-04-09,20.5,31,10
2022-04-10,24,36,12
2022-04-11,21.5,30,13
2022-04-12,25.5,36,15
2022-04-13,26,37,15
2022-04-14,22.5,31,14
2022-04-15,26.5,38,15
2022-04-16,26.5,37,16
2022-04-17,26,35,17
2022-04-18,23,28,18
2022-04-19,21,28,14
2022-04-20,24,33,15
2022-04-21,22.5,30,15
2022-04-22,23,31,15
2022-04-23,22.5,33,12
2022-04-24,23,33,13
2022-04-25,20.5,27,14
2022-04-26,19.5,25,14
2022-04-27,19.5,25,14
2022-04-28,19.5,28,11
2022-04-29,22,32,12
2022-04-30,23.5,34,13
2022-05-01,25,34,16
2022-05-02,27.5,38,17
2022-05-03,26,36,16
2022-05-04,26,36,16
2022-05-05,27.5,38,17
2022-05-06,25,33,17
2022-05-07,27,37,17
2022-05-08,29.5,41,18
2022-05-09,28,38,18
2022-05-10,26.5,34,19
2022-05-11,24.5,30,19
2022-05-12,23.5,33,14
2022-05-13,23.5,34,13
2022-05-14,24,33,15
2022-05-15,24.5,34,15
2022-05-16,24.5,34,15
2022-05-17,24.5,35,14
2022-05-18,26.5,36,17
2022-05-19,27.5,36,19
2022-05-20,31,41,21
2022-05-21,30,39,21
2022-05-22,25,29,21
2022-05-23,23.5,32,15
2022-05-24,26,36,16
2022-05-25,23,30,16
2022-05-26,26.5,33,20
2022-05-27,24,33,15
2022-05-28,24,33,15
2022-05-29,25,36,14
2022-05-30,24.5,35,14
2022-05-31,24.5,33,16
2022-06-01,25,33,17
2022-06-02,25.5,33,18
2022-06-03,24,31,17
2022-06-04,24,33,15
2022-06-05,25.5,35,16
2022-06-06,27,37,17
2022-06-07,24.5,36,13
2022-06-08,24,34,14
2022-06-09,23.5,32,15
2022-06-10,25.5,35,16
2022-06-11,25,35,15
2022-06-12,25,34,16
2022-06-13,24,31,17
2022-06-14,22,30,14
2022-06-15,23.5,32,15
2022-06-16,24.5,34,15
2022-06-17,23,31,15
2022-06-18,21,28,14
2022-06-19,21.5,28,15
2022-06-20,23,31,15
2022-06-21,22.5,31,14
2022-06-22,20.5,25,16
2022-06-23,20.5,28,13
2022-06-24,22.5,32,13
2022-06-25,23.5,33,14
2022-06-26,24,32,16
2022-06-27,21.5,31,12
2022-06-28,23,31,15
2022-06-29,22,28,16
2022-06-30,24,31,17
2022-07-01,25.5,33,18
2022-07-02,24.5,32,17
2022-07-03,24,32,16
2022-07-04,24.75,33,16.5
2022-07-05,23.5,32,15
2022-07-06,23.5,32,15
2022-07-07,23.5,31,16
2022-07-08,24.5,33,16
2022-07-09,25,33,17
2022-07-10,25,34,16
2022-07-11,25,34,16
2022-07-12,23.5,30,17
2022-07-13,25,33,17
2022-07-14,23,30,16
2022-07-15,21,27,15
2022-07-16,22.5,31,14
2022-07-17,23,32,14
2022-07-18,23.5,33,14
2022-07-19,24.5,34,15
2022-07-20,26.5,37,16
2022-07-21,25,34,16
2022-07-22,25.5,33,18
2022-07-23,23.5,32,15
2022-07-24,22.5,30,15
2022-07-25,23,31,15
2022-07-26,23,30,16
2022-07-27,22.5,29,16
2022-07-28,21.5,28,15
2022-07-29,22,28,16
2022-07-30,23,30,16
2022-07-31,22.5,31,14
2022-08-01,24,33,15
2022-08-02,23.5,32,15
2022-08-03,24,33,15
2022-08-04,24.5,34,15
2022-08-05,24,32,16
2022-08-06,24,33,15
2022-08-07,22.5,30,15
2022-08-08,22.5,30,15
2022-08-09,22,30,14
2022-08-10,23.5,33,14
2022-08-11,22.5,31,14
2022-08-12,25,34,16
2022-08-13,21.5,27,16
2022-08-14,23.5,31,16
2022-08-15,23.5,30,17
2022-08-16,22,27,17
2022-08-17,23,31,15
2022-08-18,22.5,31,14
2022-08-19,23,31,15
2022-08-20,23,32,14
2022-08-21,23,32,14
2022-08-22,26,34,18
2022-08-23,23.5,32,15
2022-08-24,23,31,15
2022-08-25,24.5,33,16
2022-08-26,23,30,16
2022-08-27,24,32,16
2022-08-28,24.5,33,16
2022-08-29,25,33,17
2022-08-30,24,32,16
2022-08-31,23.5,31,16
2022-09-01,24,31,17
2022-09-02,23.5,29,18
2022-09-03,23.5,28,19
2022-09-04,22.5,27,18
2022-09-05,21.5,25,18
2022-09-06,22,27,17
2022-09-07,21.5,27,16
2022-09-08,20.5,27,14
2022-09-09,22,29,15
2022-09-10,22,29,15
2022-09-11,22,28,16
2022-09-12,21,29,13
2022-09-13,22,30,14
2022-09-14,21.5,29,14
2022-09-15,19.5,25,14
2022-09-16,21,28,14
2022-09-17,20,25,15
2022-09-18,22,28,16
2022-09-19,23,29,17
2022-09-20,20.5,27,14
2022-09-21,20.5,27,14
2022-09-22,20,26,14
2022-09-23,20,27,13
2022-09-24,22,31,13
2022-09-25,21.5,29,14
2022-09-26,19.5,25,14
2022-09-27,19.5,25,14
2022-09-28,19,23,15
2022-09-29,17,23,11
2022-09-30,17.5,25,10
2022-10-01,17,25,9
2022-10-02,17,24,10
2022-10-03,17,25,9
2022-10-04,18,22,14
2022-10-05,18.5,24,13
2022-10-06,14.5,16,13
2022-10-07,15.5,17,14
2022-10-08,16.5,19,14
2022-10-09,17.5,22,13
2022-10-10,18,22,14
2022-10-11,19,26,12
2022-10-12,20.5,29,12
2022-10-13,21,29,13
2022-10-14,20,27,13
2022-10-15,-,-,13
2022-10-16,-,32,-
2022-10-17,21,29,13
2022-10-18,14.5,15,14
2022-10-19,14.5,16,13
2022-10-20,18.5,23,14
2022-10-21,16.5,25,8
2022-10-22,18,28,8
2022-10-23,20.5,31,10
2022-10-24,23.5,35,12
2022-10-25,17.5,20,15
2022-10-26,18.5,27,10
2022-10-27,21.5,33,10
2022-10-28,20.5,30,11
2022-10-29,17.5,24,11
2022-10-30,16.5,24,9
2022-10-31,17.5,26,9
2022-11-01,17,24,10
2022-11-02,19.5,28,11
2022-11-03,21.5,31,12
2022-11-04,23,33,13
2022-11-05,20,27,13
2022-11-06,20.5,32,9
2022-11-07,18.5,27,10
2022-11-08,19,26,12
2022-11-09,19.5,28,11
2022-11-10,21.5,31,12
2022-11-11,22.5,33,12
2022-11-12,14.5,16,13
2022-11-13,15,21,9
2022-11-14,20,32,8
2022-11-15,17.5,22,13
2022-11-16,12.5,16,9
2022-11-17,11.5,14,9
2022-11-18,14.5,21,8
2022-11-19,15,21,9
2022-11-20,11.5,14,9
2022-11-21,14.5,20,9
2022-11-22,15,20,10
2022-11-23,18.5,27,10
2022-11-24,21,30,12
2022-11-25,17.5,22,13
2022-11-26,19.5,28,11
2022-11-27,20,32,8
2022-11-28,15,19,11
2022-11-29,21.5,29,14
2022-11-30,17,25,9
2022-12-01,17.5,25,10
2022-12-02,20,29,11
2022-12-03,18.5,25,12
2022-12-04,19.5,27,12
2022-12-05,20.5,30,11
2022-12-06,19.5,28,11
2022-12-07,19.5,28,11
2022-12-08,18.5,29,8
2022-12-09,17.5,27,8
2022-12-10,18.5,29,8
2022-12-11,16.5,25,8
2022-12-12,19.5,30,9
2022-12-13,20.5,31,10
2022-12-14,20,29,11
2022-12-15,14,24,4
2022-12-16,15,25,5
2022-12-17,13.5,18,9
2022-12-18,14.5,20,9
2022-12-19,18,28,8
2022-12-20,13,20,6
2022-12-21,13.5,24,3
2022-12-22,21,29,13
2022-12-23,4.5,8,1
2022-12-24,-,-,3
2022-12-25,-,16,-
2022-12-26,6.5,14,-1
2022-12-27,12,22,2
2022-12-28,15,27,3
2022-12-29,-,-,10
2022-12-30,-,-,-
2022-12-31,-,26,-
2023-01-01,21,30,12
2023-01-02,22.5,31,14
2023-01-03,20,29,11
2023-01-04,15,24,6
2023-01-05,17,27,7
2023-01-06,12,17,7
2023-01-07,18.5,28,9
2023-01-08,15,21,9
2023-01-09,17,26,8
2023-01-10,17.5,26,9
2023-01-11,19.5,29,10
2023-01-12,15.5,20,11
2023-01-13,9,17,1
2023-01-14,13,25,1
2023-01-15,17,29,5
2023-01-16,18,30,6
2023-01-17,21,32,10
2023-01-18,20.5,31,10
2023-01-19,14.5,21,8
2023-01-20,16.5,26,7
2023-01-21,19,31,7
2023-01-22,14,20,8
2023-01-23,12.5,21,4
2023-01-24,18.5,31,6
2023-01-25,16.5,25,8
2023-01-26,6.5,13,0
2023-01-27,10,20,0
2023-01-28,18,30,6
2023-01-29,20.5,33,8
2023-01-30,20.5,30,11
2023-01-31,19.5,26,13
2023-02-01,16,24,8
2023-02-02,19,31,7
2023-02-03,8.5,12,5
2023-02-04,12.5,23,2
2023-02-05,14,26,2
2023-02-06,18,30,6
2023-02-07,20.5,34,7
2023-02-08,17,24,10
2023-02-09,17,23,11
2023-02-10,11.5,13,10
2023-02-11,9.5,15,4
2023-02-12,13,24,2
2023-02-13,19,32,6
2023-02-14,22,32,12
2023-02-15,21.5,33,10
2023-02-16,19.5,27,12
2023-02-17,8.5,14,3
2023-02-18,10.5,22,-1
2023-02-19,16,28,4
2023-02-20,18,29,7
2023-02-21,21.5,33,10
2023-02-22,24,33,15
2023-02-23,21,32,10
2023-02-24,20.5,29,12
2023-02-25,18,26,10
2023-02-26,22.5,35,10
2023-02-27,24,33,15
2023-02-28,24.5,37,12
2023-03-01,25,37,13
2023-03-02,-,-,16
2023-03-03,-,-,-
