Estación: ,ARRNL,Aramberri
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 49' 20.4'',Latitud:,24° 07' 32
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,22.25,33,11.5
2022-01-02,16,18,14
2022-01-03,8.5,18,-1
2022-01-04,12.5,25,0
2022-01-05,16.75,28,5.5
2022-01-06,17,28.5,5.5
2022-01-07,15.5,25.5,5.5
2022-01-08,22,32.5,11.5
2022-01-09,21.75,33,10.5
2022-01-10,12.5,14,11
2022-01-11,12.5,18.5,6.5
2022-01-12,13.25,21,5.5
2022-01-13,15.25,25,5.5
2022-01-14,18.5,32,5
2022-01-15,12.25,19,5.5
2022-01-16,8.25,18.5,-2
2022-01-17,11.25,24.5,-2
2022-01-18,15.75,29.5,2
2022-01-19,19,31,7
2022-01-20,14,17.5,10.5
2022-01-21,8.75,15.5,2
2022-01-22,9,16.5,1.5
2022-01-23,11,20.5,1.5
2022-01-24,15.25,26,4.5
2022-01-25,15.5,24,7
2022-01-26,11.75,19,4.5
2022-01-27,12.25,19.5,5
2022-01-28,12,12.5,11.5
2022-01-29,10,14.5,5.5
2022-01-30,12.5,22.5,2.5
2022-01-31,16.75,29,4.5
2022-02-01,15.5,28,3
2022-02-02,18.25,33.5,3
2022-02-03,11.75,15,8.5
2022-02-04,2.5,5,0
2022-02-05,6.5,13,0
2022-02-06,12.75,25.5,0
2022-02-07,6,10,2
2022-02-08,10.5,16,5
2022-02-09,13,25,1
2022-02-10,10.5,20,1
2022-02-11,12.5,21,4
2022-02-12,16.75,25.5,8
2022-02-13,11,16.5,5.5
2022-02-14,11.5,21,2
2022-02-15,14,26,2
2022-02-16,19,34,4
2022-02-17,22,34,10
2022-02-18,13.5,19,8
2022-02-19,11.25,19.5,3
2022-02-20,16.5,29.5,3.5
2022-02-21,21,32.5,9.5
2022-02-22,23,36.5,9.5
2022-02-23,23.25,32.5,14
2022-02-24,19,30,8
2022-02-25,14.5,20,9
2022-02-26,15.75,23.5,8
2022-02-27,11.5,17,6
2022-02-28,12.25,21.5,3
2022-03-01,12.5,22,3
2022-03-02,13.25,23.5,3
2022-03-03,15,25,5
2022-03-04,18,26.5,9.5
2022-03-05,22.75,33,12.5
2022-03-06,26.25,38.5,14
2022-03-07,20,25.5,14.5
2022-03-08,18.5,27.5,9.5
2022-03-09,13.5,21.5,5.5
2022-03-10,19.25,33,5.5
2022-03-11,21.75,36,7.5
2022-03-12,10.5,15,6
2022-03-13,11.75,21.5,2
2022-03-14,17.25,33,1.5
2022-03-15,17,27,7
2022-03-16,18.5,29,8
2022-03-17,22.75,36.5,9
2022-03-18,18.5,26.5,10.5
2022-03-19,16.25,25,7.5
2022-03-20,17.75,27.5,8
2022-03-21,23.5,38,9
2022-03-22,21.25,28.5,14
2022-03-23,14.25,22,6.5
2022-03-24,15.5,25,6
2022-03-25,16.75,28.5,5
2022-03-26,17,29,5
2022-03-27,21,32,10
2022-03-28,21.75,33,10.5
2022-03-29,26,39,13
2022-03-30,27,38,16
2022-03-31,22.5,30,15
2022-04-01,20,29,11
2022-04-02,20,29,11
2022-04-03,22,29,15
2022-04-04,28,40,16
2022-04-05,27.25,38.5,16
2022-04-06,29,39.5,18.5
2022-04-07,20,25,15
2022-04-08,18,25,11
2022-04-09,20,29,11
2022-04-10,23.75,36,11.5
2022-04-11,27.25,39,15.5
2022-04-12,28,39,17
2022-04-13,28.25,40,16.5
2022-04-14,24,31,17
2022-04-15,28,39,17
2022-04-16,28,37,19
2022-04-17,27,35,19
2022-04-18,25.5,31,20
2022-04-19,24.25,29,19.5
2022-04-20,28,36,20
2022-04-21,23.25,31.5,15
2022-04-22,23.25,31.5,15
2022-04-23,24.75,33,16.5
2022-04-24,24.5,34,15
2022-04-25,23.25,29.5,17
2022-04-26,20.25,25,15.5
2022-04-27,21,26,16
2022-04-28,21.5,29,14
2022-04-29,25,35,15
2022-04-30,26,35,17
2022-05-01,26.5,35,18
2022-05-02,28,38,18
2022-05-03,25.5,33,18
2022-05-04,27,34.5,19.5
2022-05-05,27.5,36,19
2022-05-06,26.25,34,18.5
2022-05-07,27.75,37.5,18
2022-05-08,31.75,43,20.5
2022-05-09,29.75,39.5,20
2022-05-10,26,32,20
2022-05-11,26.75,32,21.5
2022-05-12,27.5,36,19
2022-05-13,26,35,17
2022-05-14,24.25,33.5,15
2022-05-15,25.5,34.5,16.5
2022-05-16,25,35.5,14.5
2022-05-17,26.25,38,14.5
2022-05-18,27.25,37,17.5
2022-05-19,29.5,40,19
2022-05-20,31.5,42,21
2022-05-21,30.75,40.5,21
2022-05-22,25.5,31,20
2022-05-23,24,31,17
2022-05-24,25.25,32.5,18
2022-05-25,25,30.5,19.5
2022-05-26,26,32,20
2022-05-27,26.5,33,20
2022-05-28,25.75,34,17.5
2022-05-29,27.25,36.5,18
2022-05-30,27,36.5,17.5
2022-05-31,25.75,33,18.5
2022-06-01,25.25,32,18.5
2022-06-02,26.25,32.5,20
2022-06-03,25.75,32,19.5
2022-06-04,24.75,32.5,17
2022-06-05,28,39,17
2022-06-06,31,41.5,20.5
2022-06-07,30.25,39,21.5
2022-06-08,27,35.5,18.5
2022-06-09,25.75,32.5,19
2022-06-10,27.5,36.5,18.5
2022-06-11,28.25,36,20.5
2022-06-12,29,37,21
2022-06-13,25.25,33,17.5
2022-06-14,25.5,33,18
2022-06-15,26.25,33,19.5
2022-06-16,24,33,15
2022-06-17,23.75,32,15.5
2022-06-18,22,29,15
2022-06-19,23.75,29.5,18
2022-06-20,24.25,30,18.5
2022-06-21,24.75,32,17.5
2022-06-22,21.75,25.5,18
2022-06-23,22.5,29,16
2022-06-24,24.5,32,17
2022-06-25,24.75,32,17.5
2022-06-26,25.75,32.5,19
2022-06-27,26,32.5,19.5
2022-06-28,26,32.5,19.5
2022-06-29,25,31.5,18.5
2022-06-30,26,33.5,18.5
2022-07-01,27.5,35.5,19.5
2022-07-02,26.5,33,20
2022-07-03,26.5,33,20
2022-07-04,26.5,33,20
2022-07-05,26.5,35.5,17.5
2022-07-06,26,33,19
2022-07-07,26.5,33,20
2022-07-08,26.75,33,20.5
2022-07-09,28,34.5,21.5
2022-07-10,28.75,36,21.5
2022-07-11,27,33,21
2022-07-12,29,36,22
2022-07-13,27.75,34.5,21
2022-07-14,26.25,33,19.5
2022-07-15,23.5,29.5,17.5
2022-07-16,24.75,32,17.5
2022-07-17,24.75,32,17.5
2022-07-18,26.5,33,20
2022-07-19,28.75,36.5,21
2022-07-20,30.25,39.5,21
2022-07-21,29,36,22
2022-07-22,26.5,34,19
2022-07-23,26,33,19
2022-07-24,26.75,35,18.5
2022-07-25,26.5,33,20
2022-07-26,27.5,35,20
2022-07-27,26.25,32.5,20
2022-07-28,25,32.5,17.5
2022-07-29,24,29.5,18.5
2022-07-30,25,32.5,17.5
2022-07-31,25.5,32.5,18.5
2022-08-01,25,31.5,18.5
2022-08-02,25.25,33,17.5
2022-08-03,27,36.5,17.5
2022-08-04,26.5,34,19
2022-08-05,26,33,19
2022-08-06,26.25,32.5,20
2022-08-07,25.5,33,18
2022-08-08,26.5,34,19
2022-08-09,25.25,31.5,19
2022-08-10,25,33,17
2022-08-11,26.5,35,18
2022-08-12,26.75,35,18.5
2022-08-13,24,29,19
2022-08-14,24.75,31.5,18
2022-08-15,25.5,33,18
2022-08-16,23.75,28,19.5
2022-08-17,25.25,31.5,19
2022-08-18,25.5,33,18
2022-08-19,26.75,34,19.5
2022-08-20,26.25,33,19.5
2022-08-21,28.25,36.5,20
2022-08-22,27.25,35,19.5
2022-08-23,26.75,33.5,20
2022-08-24,27,34,20
2022-08-25,27.25,34.5,20
2022-08-26,26.25,32.5,20
2022-08-27,26.25,33,19.5
2022-08-28,27,34,20
2022-08-29,26.75,33.5,20
2022-08-30,26.75,33,20.5
2022-08-31,26.25,32,20.5
2022-09-01,26.5,32.5,20.5
2022-09-02,26.25,32,20.5
2022-09-03,26,34,18
2022-09-04,24.5,29,20
2022-09-05,23.5,27.5,19.5
2022-09-06,24,29,19
2022-09-07,23,27.5,18.5
2022-09-08,22.5,29,16
2022-09-09,22.25,31.5,13
2022-09-10,23.5,30.5,16.5
2022-09-11,23.25,29.5,17
2022-09-12,23,29.5,16.5
2022-09-13,22.5,29.5,15.5
2022-09-14,22.25,29.5,15
2022-09-15,23,28.5,17.5
2022-09-16,22.5,29.5,15.5
2022-09-17,22.5,28.5,16.5
2022-09-18,23.5,30,17
2022-09-19,23.25,29,17.5
2022-09-20,24,29.5,18.5
2022-09-21,22.5,29.5,15.5
2022-09-22,23,29.5,16.5
2022-09-23,22.75,29,16.5
2022-09-24,24,32,16
2022-09-25,23.25,31,15.5
2022-09-26,21.75,27,16.5
2022-09-27,21.5,26.5,16.5
2022-09-28,21.25,25.5,17
2022-09-29,19.5,25.5,13.5
2022-09-30,19.25,28,10.5
2022-10-01,16.25,22,10.5
2022-10-02,18.75,27,10.5
2022-10-03,17.75,25.5,10
2022-10-04,19.5,23.5,15.5
2022-10-05,20.25,25,15.5
2022-10-06,18.5,20,17
2022-10-07,18.5,21.5,15.5
2022-10-08,18,20.5,15.5
2022-10-09,20.25,26,14.5
2022-10-10,19.25,24.5,14
2022-10-11,20.75,27,14.5
2022-10-12,22.5,32,13
2022-10-13,21.5,30.5,12.5
2022-10-14,21,29.5,12.5
2022-10-15,21.75,30.5,13
2022-10-16,24.5,34,15
2022-10-17,22.75,29.5,16
2022-10-18,15.75,16,15.5
2022-10-19,15,20,10
2022-10-20,17,25.5,8.5
2022-10-21,17,26,8
2022-10-22,19,29,9
2022-10-23,22.75,32.5,13
2022-10-24,25.75,35,16.5
2022-10-25,19.5,22.5,16.5
2022-10-26,12.25,16,8.5
2022-10-27,22,35.5,8.5
2022-10-28,23.25,33,13.5
2022-10-29,18.5,25,12
2022-10-30,17.25,25.5,9
2022-10-31,17.75,26,9.5
2022-11-01,19.5,26.5,12.5
2022-11-02,19.75,26,13.5
2022-11-03,23,32.5,13.5
2022-11-04,26.25,36,16.5
2022-11-05,21.25,26,16.5
2022-11-06,21.75,34,9.5
2022-11-07,20.25,29,11.5
2022-11-08,19.75,28,11.5
2022-11-09,22,28.5,15.5
2022-11-10,24.5,33.5,15.5
2022-11-11,24.5,36,13
2022-11-12,15.5,17,14
2022-11-13,14.5,20.5,8.5
2022-11-14,21.5,34.5,8.5
2022-11-15,18.25,22,14.5
2022-11-16,12.75,16,9.5
2022-11-17,12,15,9
2022-11-18,16,22.5,9.5
2022-11-19,14.25,19,9.5
2022-11-20,12.25,15,9.5
2022-11-21,14.25,19.5,9
2022-11-22,13.75,18,9.5
2022-11-23,17.75,26,9.5
2022-11-24,21.75,33,10.5
2022-11-25,18.25,21,15.5
2022-11-26,17.5,23,12
2022-11-27,19.5,32.5,6.5
2022-11-28,17.25,28.5,6
2022-11-29,20.5,34.5,6.5
2022-11-30,18.25,27,9.5
2022-12-01,18.25,26.5,10
2022-12-02,22,31,13
2022-12-03,18.25,26,10.5
2022-12-04,20.25,29.5,11
2022-12-05,21.75,33,10.5
2022-12-06,21,32.5,9.5
2022-12-07,17,26.5,7.5
2022-12-08,19.5,30.5,8.5
2022-12-09,19,29,9
2022-12-10,20.5,31.5,9.5
2022-12-11,16.75,24,9.5
2022-12-12,21,32.5,9.5
2022-12-13,22.5,32.5,12.5
2022-12-14,21.5,29.5,13.5
2022-12-15,13.5,23,4
2022-12-16,15.25,25.5,5
2022-12-17,11.5,18,5
2022-12-18,14.75,20,9.5
2022-12-19,20,31.5,8.5
2022-12-20,14.5,22.5,6.5
2022-12-21,12.25,21,3.5
2022-12-22,17.5,31,4
2022-12-23,12,24,0
2022-12-24,1.5,6,-3
2022-12-25,6,15,-3
2022-12-26,11,25,-3
2022-12-27,12.25,22,2.5
2022-12-28,17.25,29,5.5
2022-12-29,19.5,29,10
2022-12-30,19.25,28.5,10
2022-12-31,18,29.5,6.5
2023-01-01,19.25,32,6.5
2023-01-02,22.5,31.5,13.5
2023-01-03,24,31.5,16.5
2023-01-04,16.25,26,6.5
2023-01-05,15.75,26.5,5
2023-01-06,17.75,30,5.5
2023-01-07,20.5,32.5,8.5
2023-01-08,17.25,24.5,10
2023-01-09,17.75,26,9.5
2023-01-10,18.25,29,7.5
2023-01-11,19.25,30.5,8
2023-01-12,16,23.5,8.5
2023-01-13,10.5,20,1
2023-01-14,11.25,22.5,0
2023-01-15,17,32.5,1.5
2023-01-16,22,32.5,11.5
2023-01-17,23,34.5,11.5
2023-01-18,22.25,33,11.5
2023-01-19,15,22.5,7.5
2023-01-20,15.5,24.5,6.5
2023-01-21,18.5,31,6
2023-01-22,15,22,8
2023-01-23,12.5,21,4
2023-01-24,18.5,32,5
2023-01-25,14,19.5,8.5
2023-01-26,7,15,-1
2023-01-27,10.75,19.5,2
2023-01-28,17.5,29,6
2023-01-29,22,33,11
2023-01-30,20.5,29.5,11.5
2023-01-31,18.25,24,12.5
2023-02-01,12.5,17,8
2023-02-02,13,21,5
2023-02-03,14.25,18,10.5
2023-02-04,11.5,22,1
2023-02-05,14.75,28,1.5
2023-02-06,18.25,32.5,4
2023-02-07,20,34.5,5.5
2023-02-08,16.25,23,9.5
2023-02-09,16.25,23,9.5
2023-02-10,11.5,13,10
2023-02-11,11.25,17,5.5
2023-02-12,11.75,21.5,2
2023-02-13,15.25,28,2.5
2023-02-14,20.75,35.5,6
2023-02-15,24,35.5,12.5
2023-02-16,20.25,26,14.5
2023-02-17,9.75,15,4.5
2023-02-18,10,20,0
2023-02-19,14,28,0
2023-02-20,18.25,30,6.5
2023-02-21,22.5,35.5,9.5
2023-02-22,22.5,35,10
2023-02-23,25,34,16
2023-02-24,22,31,13
2023-02-25,20.25,27,13.5
2023-02-26,23.5,32,15
2023-02-27,25.25,35.5,15
2023-02-28,25.75,37,14.5
2023-03-01,27,39.5,14.5
2023-03-02,25.5,36.5,14.5
2023-03-03,-,-,12.5
