Estación: ,ASCNL,La Ascencion
Variable: ,Evaporación (mm)
Longitud: ,99° 54' 36.6'',Latitud:,24° 19' 18.1''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,2.3,
2022-01-02,3.4,
2022-01-03,2.5,
2022-01-04,2.4,
2022-01-05,2.3,
2022-01-06,2.7,
2022-01-07,3.3,
2022-01-08,2.2,
2022-01-09,1.8,
2022-01-10,3.1,
2022-01-11,1.9,
2022-01-12,3.5,
2022-01-13,3.2,
2022-01-14,2.1,
2022-01-15,3.3,
2022-01-16,2.3,
2022-01-17,3.3,
2022-01-18,2.2,
2022-01-19,2.2,
2022-01-20,2.1,
2022-01-21,3.4,
2022-01-22,3.4,
2022-01-23,2.7,
2022-01-24,2.4,
2022-01-25,1.5,
2022-01-26,2.2,
2022-01-27,1.6,
2022-01-28,1,
2022-01-29,2.1,
2022-01-30,2,
2022-01-31,-,-
2022-02-01,2.6,
2022-02-02,1.9,
2022-02-03,1.8,
2022-02-04,1.8,
2022-02-05,1.4,
2022-02-06,0.6,
2022-02-07,0.5,
2022-02-08,0.2,
2022-02-09,1,
2022-02-10,1.2,
2022-02-11,2.4,
2022-02-12,2.5,
2022-02-13,2.1,
2022-02-14,1.9,
2022-02-15,3.3,
2022-02-16,2.7,
2022-02-17,0.6,
2022-02-18,2,
2022-02-19,2.2,
2022-02-20,2.9,
2022-02-21,2.6,
2022-02-22,2.6,
2022-02-23,1.9,
2022-02-24,3.4,
2022-02-25,2.9,
2022-02-26,4.4,
2022-02-27,2.1,
2022-02-28,2.6,
2022-03-01,2.6,
2022-03-02,2.4,
2022-03-03,1.9,
2022-03-04,5.2,
2022-03-05,4.6,
2022-03-06,7.3,
2022-03-07,8,
2022-03-08,6.4,
2022-03-09,5.9,
2022-03-10,5.3,
2022-03-11,4.85,
2022-03-12,5,
2022-03-13,4.89,
2022-03-14,5.51,
2022-03-15,5.15,
2022-03-16,2.35,
2022-03-17,3.1,
2022-03-18,5,
2022-03-19,8,
2022-03-20,1.9,
2022-03-21,5.4,
2022-03-22,4.95,
2022-03-23,3.1,
2022-03-24,4.55,
2022-03-25,1.9,
2022-03-26,2.6,
2022-03-27,2.3,
2022-03-28,3.7,
2022-03-29,3.6,
2022-03-30,4.4,
2022-03-31,2.4,
2022-04-01,8.55,
2022-04-02,3.95,
