Estación: ,C19001,Adjuntas. (Santiago N.L)
Variable: ,Precipitación (mm)
Longitud: ,100° 12' 00'',Latitud:,25° 21' 00

Fecha,Valor,NúmDatos
1957-06-01,13,CLIC
1957-06-02,0,CLIC
1957-06-03,0,CLIC
1957-06-04,0,CLIC
1957-06-05,1,CLIC
1957-06-06,6,CLIC
1957-06-07,0,CLIC
1957-06-08,0,CLIC
1957-06-09,0,CLIC
1957-06-10,0,CLIC
1957-06-11,0,CLIC
1957-06-12,0,CLIC
1957-06-13,0,CLIC
1957-06-14,0,CLIC
1957-06-15,0,CLIC
1957-06-16,0,CLIC
1957-06-17,12,CLIC
1957-06-18,48,CLIC
1957-06-19,8,CLIC
1957-06-20,2,CLIC
1957-06-21,1,CLIC
1957-06-22,0,CLIC
1957-06-23,61,CLIC
1957-06-24,12,CLIC
1957-06-25,0,CLIC
1957-06-26,0,CLIC
1957-06-27,0,CLIC
1957-06-28,0,CLIC
1957-06-29,0,CLIC
1957-06-30,0,CLIC
1957-07-01,0,CLIC
1957-07-02,0,CLIC
1957-07-03,0,CLIC
1957-07-04,0,CLIC
1957-07-05,0,CLIC
1957-07-06,0,CLIC
1957-07-07,0,CLIC
1957-07-08,9,CLIC
1957-07-09,0,CLIC
1957-07-10,0,CLIC
1957-07-11,0,CLIC
1957-07-12,0,CLIC
1957-07-13,0,CLIC
1957-07-14,0,CLIC
1957-07-15,0,CLIC
1957-07-16,0,CLIC
1957-07-17,0,CLIC
1957-07-18,0,CLIC
1957-07-19,0,CLIC
1957-07-20,0,CLIC
1957-07-21,0,CLIC
1957-07-22,0,CLIC
1957-07-23,0,CLIC
1957-07-24,0,CLIC
1957-07-25,0,CLIC
1957-07-26,0,CLIC
1957-07-27,0,CLIC
1957-07-28,0,CLIC
1957-07-29,0,CLIC
1957-07-30,0,CLIC
1957-07-31,0,CLIC
1957-08-01,0,CLIC
1957-08-02,0,CLIC
1957-08-03,0,CLIC
1957-08-04,0,CLIC
1957-08-05,0,CLIC
1957-08-06,0,CLIC
1957-08-07,0,CLIC
1957-08-08,2,CLIC
1957-08-09,0,CLIC
1957-08-10,0,CLIC
1957-08-11,0,CLIC
1957-08-12,0,CLIC
1957-08-13,0,CLIC
1957-08-14,0,CLIC
1957-08-15,0,CLIC
1957-08-16,0,CLIC
1957-08-17,2,CLIC
1957-08-18,6,CLIC
1957-08-19,22,CLIC
1957-08-20,1,CLIC
1957-08-21,40,CLIC
1957-08-22,0,CLIC
1957-08-23,0,CLIC
1957-08-24,0,CLIC
1957-08-25,0,CLIC
1957-08-26,0,CLIC
1957-08-27,0,CLIC
1957-08-28,9,CLIC
1957-08-29,20.2,CLIC
1957-08-30,0,CLIC
1957-08-31,0,CLIC
1957-09-01,0,CLIC
1957-09-02,0,CLIC
1957-09-03,0,CLIC
1957-09-04,1.2,CLIC
1957-09-05,0,CLIC
1957-09-06,0,CLIC
1957-09-07,2,CLIC
1957-09-08,0,CLIC
1957-09-09,0,CLIC
1957-09-10,0,CLIC
1957-09-11,0,CLIC
1957-09-12,0,CLIC
1957-09-13,0,CLIC
1957-09-14,0,CLIC
1957-09-15,0,CLIC
1957-09-16,18,CLIC
1957-09-17,0,CLIC
1957-09-18,0,CLIC
1957-09-19,0,CLIC
1957-09-20,0,CLIC
1957-09-21,0,CLIC
1957-09-22,17,CLIC
1957-09-23,0,CLIC
1957-09-24,0,CLIC
1957-09-25,0,CLIC
1957-09-26,0,CLIC
1957-09-27,11,CLIC
1957-09-28,0,CLIC
