Estación: ,C19004,APODACA. APODACA
Variable: ,Precipitación (mm)
Longitud: ,100° 09' 00'',Latitud:,25° 49' 00

Fecha,Valor,NúmDatos
1964-02-17,0,CLIC
1964-02-18,0,CLIC
1964-02-19,0,CLIC
1964-02-20,1,CLIC
1964-02-21,2,CLIC
1964-02-22,0,CLIC
1964-02-23,0,CLIC
1964-02-24,0,CLIC
1964-02-25,0,CLIC
1964-02-26,0,CLIC
1964-02-27,0,CLIC
1964-02-28,0,CLIC
1964-02-29,0,CLIC
1964-03-01,0,CLIC
1964-03-02,0,CLIC
1964-03-03,0,CLIC
1964-03-04,0,CLIC
1964-03-05,0,CLIC
1964-03-06,0,CLIC
1964-03-07,0,CLIC
1964-03-08,0,CLIC
1964-03-09,0,CLIC
1964-03-10,0,CLIC
1964-03-11,1,CLIC
1964-03-12,0,CLIC
1964-03-13,0,CLIC
1964-03-14,0,CLIC
1964-03-15,0,CLIC
1964-03-16,2,CLIC
1964-03-17,8,CLIC
1964-03-18,0,CLIC
1964-03-19,0,CLIC
1964-03-20,0,CLIC
1964-03-21,0,CLIC
1964-03-22,0,CLIC
1964-03-23,0,CLIC
1964-03-24,0,CLIC
1964-03-25,0,CLIC
1964-03-26,0,CLIC
1964-03-27,0,CLIC
1964-03-28,0,CLIC
1964-03-29,3,CLIC
1964-03-30,0.7,CLIC
1964-03-31,0.5,CLIC
1964-04-01,0,CLIC
1964-04-02,0,CLIC
1964-04-03,0,CLIC
1964-04-04,0,CLIC
1964-04-05,0,CLIC
1964-04-06,0,CLIC
1964-04-07,0,CLIC
1964-04-08,0,CLIC
1964-04-09,0,CLIC
1964-04-10,0,CLIC
1964-04-11,0,CLIC
1964-04-12,0,CLIC
1964-04-13,0.9,CLIC
1964-04-14,1.5,CLIC
1964-04-15,0.3,CLIC
1964-04-16,0,CLIC
1964-04-17,0,CLIC
1964-04-18,0,CLIC
1964-04-19,0,CLIC
1964-04-20,0,CLIC
1964-04-21,0,CLIC
1964-04-22,0,CLIC
1964-04-23,0,CLIC
1964-04-24,0,CLIC
1964-04-25,0,CLIC
1964-04-26,0,CLIC
1964-04-27,0,CLIC
1964-04-28,0,CLIC
1964-04-29,0,CLIC
1964-04-30,0,CLIC
1964-06-01,2,CLIC
1964-06-02,1,CLIC
1964-06-03,0,CLIC
1964-06-04,0,CLIC
1964-06-05,0,CLIC
1964-06-06,0,CLIC
1964-06-07,0,CLIC
1964-06-08,0,CLIC
1964-06-09,0,CLIC
1964-06-10,0,CLIC
1964-06-11,0,CLIC
1964-06-12,0,CLIC
1964-06-13,0,CLIC
1964-06-14,0,CLIC
1964-06-15,0,CLIC
1964-06-16,0,CLIC
1964-06-17,0,CLIC
1964-06-18,0,CLIC
1964-06-19,0,CLIC
1964-06-20,0,CLIC
1964-06-21,0,CLIC
1964-06-22,0,CLIC
1964-06-23,11,CLIC
1964-06-24,0.5,CLIC
1964-06-25,2,CLIC
1964-06-26,0,CLIC
1964-06-27,0,CLIC
1964-06-28,0,CLIC
1964-06-29,0,CLIC
1964-08-01,0,CLIC
1964-08-02,0,CLIC
1964-08-03,0,CLIC
1964-08-04,0,CLIC
1964-08-05,0,CLIC
1964-08-06,0,CLIC
1964-08-07,0,CLIC
1964-08-08,0,CLIC
1964-08-09,0,CLIC
1964-08-10,0,CLIC
1964-08-11,0,CLIC
1964-08-12,0,CLIC
1964-08-13,0,CLIC
1964-08-14,0,CLIC
1964-08-15,0,CLIC
1964-08-16,0,CLIC
1964-08-17,0,CLIC
1964-08-18,0,CLIC
1964-08-19,0,CLIC
1964-08-20,0,CLIC
1964-08-21,0,CLIC
1964-08-22,1.5,CLIC
1964-08-23,10.5,CLIC
1964-08-24,0,CLIC
1964-08-25,0,CLIC
1964-08-26,0,CLIC
1964-08-27,0,CLIC
1964-08-28,0,CLIC
1964-08-29,0,CLIC
1964-08-30,0,CLIC
1964-08-31,0,CLIC
1964-09-01,0,CLIC
1964-09-02,0,CLIC
1964-09-03,0,CLIC
1964-09-04,0,CLIC
1964-09-05,14.5,CLIC
1964-09-06,0,CLIC
1964-09-07,0,CLIC
1964-09-08,0.5,CLIC
1964-09-09,0,CLIC
1964-09-10,0,CLIC
1964-09-11,10,CLIC
1964-09-12,78,CLIC
1964-09-13,0,CLIC
1964-09-14,0,CLIC
1964-09-15,0,CLIC
1964-09-16,0.5,CLIC
1964-09-17,2,CLIC
1964-09-18,5,CLIC
1964-09-19,0,CLIC
1964-09-20,0,CLIC
1964-09-21,0,CLIC
1964-09-22,0,CLIC
1964-09-23,0,CLIC
1964-09-24,10.5,CLIC
1964-09-25,8.5,CLIC
1964-09-26,0,CLIC
1964-09-27,0,CLIC
1964-09-28,22,CLIC
1964-09-29,1.5,CLIC
1964-10-01,0,CLIC
1964-10-02,0,CLIC
1964-10-03,0,CLIC
1964-10-04,0,CLIC
1964-10-05,0,CLIC
1964-10-06,0,CLIC
1964-10-07,0,CLIC
1964-10-08,0,CLIC
1964-10-09,0,CLIC
1964-10-10,0,CLIC
1964-10-11,0,CLIC
1964-10-12,0,CLIC
1964-10-13,0,CLIC
1964-10-14,0,CLIC
1964-10-15,0,CLIC
1964-10-16,0,CLIC
1964-10-17,0,CLIC
1964-10-18,0,CLIC
1964-10-19,53,CLIC
