Estación: ,C19006,BUSTAMANTE. BUSTAMANTE
Variable: ,Evaporación (mm)
Longitud: ,100° 31' 00'',Latitud:,26° 33' 00

Fecha,Valor,NúmDatos
1961-01-01,2.9,CLIC
1961-01-02,1,CLIC
1961-01-03,1,CLIC
1961-01-04,1.2,CLIC
1961-01-05,1.3,CLIC
1961-01-06,2.1,CLIC
1961-01-07,1.3,CLIC
1961-01-08,2.1,CLIC
1961-01-09,1.6,CLIC
1961-01-10,2.4,CLIC
1961-01-11,1.1,CLIC
1961-01-12,2.7,CLIC
1961-01-13,3.1,CLIC
1961-01-14,2.2,CLIC
1961-01-15,2.8,CLIC
1961-01-16,2.1,CLIC
1961-01-17,3.1,CLIC
1961-01-18,2.1,CLIC
1961-01-19,1.9,CLIC
1961-01-20,1.2,CLIC
1961-01-21,1,CLIC
1961-01-22,1.9,CLIC
1961-01-23,2,CLIC
1961-01-24,1,CLIC
1961-01-25,1.8,CLIC
1961-01-26,1.1,CLIC
1961-01-27,1,CLIC
1961-01-28,1,CLIC
1961-01-29,1,CLIC
1961-01-30,1.7,CLIC
1961-01-31,2.1,CLIC
1961-02-01,2.8,CLIC
1961-02-02,3.3,CLIC
1961-02-03,1.9,CLIC
1961-02-04,4.3,CLIC
1961-02-05,1.9,CLIC
1961-02-06,2.1,CLIC
1961-02-07,2.1,CLIC
1961-02-08,2.8,CLIC
1961-02-09,3.1,CLIC
1961-02-10,3.2,CLIC
1961-02-11,2.9,CLIC
1961-02-12,3,CLIC
1961-02-13,3.8,CLIC
1961-02-14,3.2,CLIC
1961-02-15,2.7,CLIC
1961-02-16,2.2,CLIC
1961-02-17,2.8,CLIC
1961-02-18,5.1,CLIC
1961-02-19,2,CLIC
1961-02-20,1,CLIC
1961-02-21,2.3,CLIC
1961-02-22,2.6,CLIC
1961-02-23,3,CLIC
1961-02-24,1.1,CLIC
1961-02-25,2.1,CLIC
1961-02-26,2.7,CLIC
1961-02-27,2.8,CLIC
1961-02-28,2.3,CLIC
1961-03-01,4.1,CLIC
1961-03-02,3.8,CLIC
1961-03-03,4.1,CLIC
1961-03-04,5.3,CLIC
1961-03-05,6.9,CLIC
1961-03-06,5,CLIC
1961-03-07,3.1,CLIC
1961-03-08,2.9,CLIC
1961-03-09,2.1,CLIC
1961-03-10,3.1,CLIC
1961-03-11,4.9,CLIC
1961-03-12,5,CLIC
1961-03-13,5.8,CLIC
1961-03-14,5.4,CLIC
1961-03-15,4.8,CLIC
1961-03-16,4.1,CLIC
1961-03-17,5.8,CLIC
1961-03-18,5.1,CLIC
1961-03-19,3.9,CLIC
1961-03-20,4.1,CLIC
1961-03-21,4.9,CLIC
1961-03-22,5.9,CLIC
1961-03-23,4.1,CLIC
1961-03-24,2.7,CLIC
1961-03-25,5.4,CLIC
1961-03-26,7.7,CLIC
1961-03-27,8.3,CLIC
1961-03-28,6.8,CLIC
1961-03-29,5.1,CLIC
1961-03-30,5.3,CLIC
1961-03-31,3.3,CLIC
1961-04-01,4.9,CLIC
1961-04-02,5.8,CLIC
1961-04-03,5.2,CLIC
1961-04-04,4.1,CLIC
1961-04-05,3.9,CLIC
1961-04-06,3.2,CLIC
1961-04-07,3.6,CLIC
1961-04-08,7.2,CLIC
1961-04-09,6.9,CLIC
1961-04-10,8,CLIC
1961-04-11,8.2,CLIC
1961-04-12,6,CLIC
1961-04-13,5.9,CLIC
1961-04-14,5,CLIC
1961-04-15,4,CLIC
1961-04-16,4.1,CLIC
1961-04-17,5.9,CLIC
1961-04-18,5.1,CLIC
1961-04-19,5.7,CLIC
1961-04-20,7.1,CLIC
1961-04-21,8.1,CLIC
1961-04-22,8,CLIC
1961-04-23,8.8,CLIC
1961-04-24,10.1,CLIC
1961-04-25,9.1,CLIC
1961-04-26,6,CLIC
1961-04-27,7,CLIC
1961-04-28,5.1,CLIC
1961-04-29,4.8,CLIC
1961-04-30,5.1,CLIC
1961-05-01,6.1,CLIC
1961-05-02,5.8,CLIC
1961-05-03,4.1,CLIC
1961-05-04,8.1,CLIC
1961-05-05,9.6,CLIC
1961-05-06,7.3,CLIC
1961-05-07,8.7,CLIC
1961-05-08,9.1,CLIC
1961-05-09,7.1,CLIC
1961-05-10,7.8,CLIC
1961-05-11,8.1,CLIC
1961-05-12,9.1,CLIC
1961-05-13,9.1,CLIC
1961-05-14,9.8,CLIC
1961-05-15,9.2,CLIC
1961-05-16,9.9,CLIC
1961-05-17,10.3,CLIC
1961-05-18,9.6,CLIC
1961-05-19,9.1,CLIC
