Estación: ,C19006,BUSTAMANTE. BUSTAMANTE
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 31' 00'',Latitud:,26° 33' 00

Fecha,Promedio,Máximo,Mínimo
1961-01-01,13,20,6
1961-01-02,10.5,14,7
1961-01-03,9,10,8
1961-01-04,8,11,5
1961-01-05,9,12,6
1961-01-06,13,18,8
1961-01-07,16,22,10
1961-01-08,12,16,8
1961-01-09,15.5,25,6
1961-01-10,17.5,26,9
1961-01-11,15.5,21,10
1961-01-12,12.5,19,6
1961-01-13,13.5,24,3
1961-01-14,13.5,23,4
1961-01-15,14.5,25,4
1961-01-16,15.5,26,5
1961-01-17,16.5,27,6
1961-01-18,16.5,26,7
1961-01-19,9,11,7
1961-01-20,6.5,10,3
1961-01-21,8.5,12,5
1961-01-22,15,25,5
1961-01-23,17,26,8
1961-01-24,10,12,8
1961-01-25,6,9,3
1961-01-26,6.5,10,3
1961-01-27,4.5,6,3
1961-01-28,6.5,11,2
1961-01-29,10.5,19,2
1961-01-30,12,21,3
1961-01-31,12.5,20,5
1961-02-01,15,22,8
1961-02-02,14,20,8
1961-02-03,14,24,4
1961-02-04,13.5,21,6
1961-02-05,15,19,11
1961-02-06,5,8,2
1961-02-07,11,20,2
1961-02-08,13,23,3
1961-02-09,17,26,8
1961-02-10,16.5,26,7
1961-02-11,19,29,9
1961-02-12,21,34,8
1961-02-13,22.5,33,12
1961-02-14,20.5,32,9
1961-02-15,20.5,29,12
1961-02-16,21,28,14
1961-02-17,25,36,14
1961-02-18,23.5,34,13
1961-02-19,18.5,22,15
1961-02-20,12,18,6
1961-02-21,12,19,5
1961-02-22,16.5,28,5
1961-02-23,19.5,33,6
1961-02-24,17,22,12
1961-02-25,13,23,3
1961-02-26,19.5,34,5
1961-02-27,23.5,35,12
1961-02-28,16.5,24,9
1961-03-01,16.5,25,8
1961-03-02,18.5,27,10
1961-03-03,18,24,12
1961-03-04,23,36,10
1961-03-05,25,35,15
1961-03-06,25,34,16
1961-03-07,23.5,32,15
1961-03-08,19,24,14
1961-03-09,13,21,5
1961-03-10,16.5,28,5
1961-03-11,21,35,7
1961-03-12,25,36,14
1961-03-13,26,38,14
1961-03-14,24.5,32,17
1961-03-15,25.5,35,16
1961-03-16,28,38,18
1961-03-17,24,34,14
1961-03-18,23,31,15
1961-03-19,19.5,25,14
1961-03-20,18,26,10
1961-03-21,21.5,34,9
1961-03-22,23,34,12
1961-03-23,22.5,28,17
1961-03-24,20,25,15
1961-03-25,26,34,18
1961-03-26,25.5,38,13
1961-03-27,25,37,13
1961-03-28,27.5,39,16
1961-03-29,27,35,19
1961-03-30,17,24,10
1961-03-31,19.5,30,9
1961-04-01,18,26,10
1961-04-02,18.5,29,8
1961-04-03,16.5,23,10
1961-04-04,17.5,21,14
1961-04-05,15.5,16,15
1961-04-06,13.5,18,9
1961-04-07,14,17,11
1961-04-08,21,29,13
1961-04-09,21,27,15
1961-04-10,22.5,29,16
1961-04-11,22.5,27,18
1961-04-12,23,31,15
1961-04-13,20,28,12
1961-04-14,24,31,17
1961-04-15,19,25,13
1961-04-16,17.5,27,8
1961-04-17,20,28,12
1961-04-18,25.5,37,14
1961-04-19,28,38,18
1961-04-20,30,40,20
1961-04-21,30,37,23
1961-04-22,30,38,22
1961-04-23,29.5,38,21
1961-04-24,32,42,22
1961-04-25,29,37,21
1961-04-26,31.5,40,23
1961-04-27,29.5,35,24
1961-04-28,28.5,34,23
1961-04-29,29,33,25
1961-04-30,23.5,32,15
1961-05-01,25,32,18
1961-05-02,27.5,35,20
1961-05-03,28.5,36,21
1961-05-04,31,39,23
1961-05-05,33,42,24
1961-05-06,32.5,40,25
1961-05-07,32.5,41,24
1961-05-08,29,34,24
1961-05-09,25.5,33,18
1961-05-10,24,34,14
1961-05-11,26.5,38,15
1961-05-12,29,40,18
1961-05-13,30,40,20
1961-05-14,28.5,35,22
1961-05-15,28,39,17
1961-05-16,31,38,24
1961-05-17,32.5,40,25
1961-05-18,31.5,38,25
1961-05-19,31.5,39,24
1961-05-20,33,41,25
1961-05-21,32.5,40,25
1961-05-22,31.5,40,23
1961-05-23,28.5,33,24
1961-05-24,25.5,32,19
1961-05-25,29,36,22
1961-05-26,29,35,23
1961-05-27,26.5,31,22
1961-05-28,27.5,34,21
1961-05-29,30,37,23
1961-05-30,30,37,23
1961-05-31,31,39,23
1961-06-01,32,39,25
1961-06-02,31,38,24
1961-06-03,30.5,38,23
1961-06-04,31.5,39,24
1961-06-05,31.5,38,25
1961-06-06,30.5,38,23
1961-06-07,31,39,23
1961-06-08,32.5,42,23
1961-06-09,32.5,39,26
1961-06-10,32,40,24
1961-06-11,33,42,24
1961-06-12,32.5,40,25
1961-06-13,31.5,39,24
1961-06-14,32.5,41,24
1961-06-15,33,41,25
1961-06-16,32.5,40,25
1961-06-17,31,40,22
1961-06-18,32.5,42,23
1961-06-19,32,39,25
1961-06-20,31.5,39,24
1961-06-21,31.5,39,24
1961-06-22,32,39,25
1961-06-23,31.5,38,25
1961-06-24,31,37,25
1961-06-25,31,39,23
1961-06-26,32,40,24
1961-06-27,31.5,38,25
1961-06-28,29,36,22
1961-06-29,30.5,37,24
1961-06-30,31.5,39,24
1961-07-01,31.5,38,25
1961-07-02,31.5,39,24
1961-07-03,31.5,38,25
1961-07-04,32,39,25
1961-07-05,32,39,25
1961-07-06,33,40,26
1961-07-07,33,40,26
1961-07-08,33,40,26
1961-07-09,33,40,26
1961-07-10,33.5,42,25
1961-07-11,30,40,20
1961-07-12,32,39,25
1961-07-13,31.5,38,25
1961-07-14,29.5,34,25
1961-07-15,29,34,24
1961-07-16,31.5,40,23
1961-07-17,30,36,24
1961-07-18,25.5,30,21
1961-07-19,28,34,22
1961-07-20,28.5,37,20
1961-07-21,30,35,25
1961-07-22,29,38,20
1961-07-23,30,38,22
1961-07-24,30.5,39,22
1961-07-25,30.5,40,21
1961-07-26,31.5,39,24
1961-07-27,32.5,40,25
1961-07-28,32,39,25
1961-07-29,31,38,24
1961-07-30,30,36,24
1961-08-01,31,37,25
1961-08-02,29.5,34,25
1961-08-03,29.5,38,21
1961-08-04,32,41,23
1961-08-05,30,37,23
1961-08-06,33.5,41,26
1961-08-07,33,40,26
1961-08-08,32,40,24
1961-08-09,31.5,40,23
1961-08-10,32.5,41,24
1961-08-11,32.5,40,25
1961-08-12,32.5,41,24
1961-08-13,33,42,24
1961-08-14,32.5,40,25
1961-08-15,32,40,24
1961-08-16,32.5,40,25
1961-08-17,27,31,23
1961-08-18,28,34,22
1961-08-19,31.5,40,23
1961-08-20,33,41,25
1961-08-21,32.5,41,24
1961-08-22,32,39,25
1961-08-23,31,40,22
1961-08-24,31.5,40,23
1961-08-25,31.5,39,24
1961-08-26,32,41,23
1961-08-27,33.5,42,25
1961-08-28,31.5,38,25
1961-08-29,29.5,39,20
1961-08-30,33,42,24
1961-08-31,33,42,24
1961-09-01,33,40,26
1961-09-02,31,39,23
1961-09-03,33,41,25
1961-09-04,31.5,38,25
1961-09-05,32.5,42,23
1961-09-06,33.5,43,24
1961-09-07,33,40,26
1961-09-08,33,42,24
1961-09-09,31,36,26
1961-09-10,29,36,22
1961-09-11,32.5,42,23
1961-09-12,32,40,24
1961-09-13,32,40,24
1961-09-14,23.5,25,22
1961-09-15,21.5,24,19
1961-09-16,22,25,19
1961-09-17,21.5,25,18
1961-09-18,22.5,26,19
1961-09-19,25.5,34,17
1961-09-20,27.5,36,19
1961-09-21,29.5,39,20
1961-09-22,30,36,24
1961-09-23,29,38,20
1961-09-24,30.5,38,23
1961-09-25,29.5,36,23
1961-09-26,29,35,23
1961-09-27,29.5,39,20
1961-09-28,32,40,24
1961-09-29,32.5,41,24
1961-09-30,33.5,42,25
1961-10-01,31.5,38,25
1961-10-02,27,32,22
1961-10-03,20,25,15
1961-10-04,19,29,9
1961-10-05,19.5,29,10
1961-10-06,24,30,18
1961-10-07,26,38,14
1961-10-08,28,36,20
1961-10-09,30,37,23
1961-10-10,31.5,40,23
1961-10-11,31,38,24
1961-10-12,27,32,22
1961-10-13,28.5,38,19
1961-10-14,30.5,40,21
1961-10-15,26.5,31,22
1961-10-16,20.5,32,9
1961-10-17,20.5,30,11
1961-10-18,21.5,33,10
1961-10-19,23,32,14
1961-10-20,22,31,13
1961-10-21,23.5,33,14
1961-10-22,23.5,33,14
1961-10-23,25,35,15
1961-10-24,26,36,16
1961-10-25,25.5,31,20
1961-10-26,21,24,18
1961-10-27,21,25,17
1961-10-28,24.5,32,17
1961-10-29,26.5,35,18
1961-10-30,28,36,20
1961-10-31,27,31,23
1961-11-01,26,32,20
1961-11-02,22,31,13
1961-11-03,20.5,30,11
1961-11-04,21,28,14
1961-11-05,13,17,9
1961-11-06,8,10,6
1961-11-07,10.5,16,5
1961-11-08,16,24,8
1961-11-09,17.5,24,11
1961-11-10,19.5,27,12
1961-11-11,22,32,12
1961-11-12,21.5,30,13
1961-11-13,19.5,23,16
1961-11-14,10.5,13,8
1961-11-15,15,23,7
1961-11-16,15,21,9
1961-11-17,13.5,20,7
1961-11-18,21,32,10
1961-11-19,19.5,27,12
1961-11-20,20.5,29,12
1961-11-21,21.5,31,12
1961-11-22,22.5,30,15
1961-11-23,16.5,27,6
1961-11-24,18,29,7
1961-11-25,20,29,11
1961-11-26,21,31,11
1961-11-27,18.5,28,9
1961-11-28,20.5,31,10
1961-11-29,11.5,15,8
