Estación: ,C19008,CADEREYTA JIMENEZ.
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 58' 30'',Latitud:,25° 35' 25

Fecha,Promedio,Máximo,Mínimo
1955-10-21,19.9,30,9.8
1955-10-22,22,29.5,14.5
1955-10-23,22.5,30,15
1955-10-24,24.1,30.2,18
1955-10-25,19,25.5,12.5
1955-10-26,19.75,28.5,11
1955-10-27,21.5,30.5,12.5
1955-10-28,23.6,31.2,16
1955-10-29,21,31.5,10.5
1955-10-30,21.7,33.2,10.2
1955-10-31,21.75,30,13.5
1955-11-01,24,33.5,14.5
1955-11-02,24,32.2,15.8
1955-11-03,15.5,18.5,12.5
1955-11-04,18.15,23.5,12.8
1955-11-05,22.15,30.5,13.8
1955-11-06,24.35,32.5,16.2
1955-11-07,18.8,26.8,10.8
1955-11-08,11.15,11.5,10.8
1955-11-09,10.25,17,3.5
1955-11-10,13.4,23.3,3.5
1955-11-11,18.5,30,7
1955-11-12,21.5,32.5,10.5
1955-11-13,21.35,31.2,11.5
1955-11-14,21.75,30,13.5
1955-11-15,24.75,32.5,17
1955-11-16,19.6,28.2,11
1955-11-17,13.6,16.7,10.5
1955-11-18,17.85,24.2,11.5
1955-11-19,19,27.5,10.5
1955-11-20,14.5,18.2,10.8
1955-11-21,18.85,25.2,12.5
1955-11-22,25.5,34,17
1955-11-23,22.15,28.5,15.8
1955-11-24,18.75,22.7,14.8
1955-11-25,16.7,24.2,9.2
1955-11-26,16.15,23.8,8.5
1955-11-27,20.5,29.5,11.5
1955-11-28,12.6,16.2,9
1955-11-29,7,10.5,3.5
1955-11-30,12.25,20,4.5
1955-12-01,13.25,20,6.5
1955-12-02,16,27.5,4.5
1955-12-03,20.25,32,8.5
1955-12-04,17.2,21.2,13.2
1955-12-05,17.35,20.2,14.5
1955-12-06,14.1,21.2,7
1955-12-07,18.35,31.2,5.5
1955-12-08,15.75,21.5,10
1955-12-09,10.35,18.2,2.5
1955-12-10,14.25,25.5,3
1955-12-11,11,11.5,10.5
1955-12-12,11,15.5,6.5
1955-12-13,12.2,22.6,1.8
1955-12-14,17.65,29.5,5.8
1955-12-15,11.1,14,8.2
1955-12-16,12,18,6
1955-12-17,13.75,22,5.5
1955-12-18,18.65,30.8,6.5
1955-12-19,18.55,27.8,9.3
1955-12-20,16.6,25.2,8
1955-12-21,18.1,28.2,8
1955-12-22,17.6,28.2,7
1955-12-23,20.9,35,6.8
1955-12-24,22.3,36,8.6
1955-12-25,22.45,34,10.9
1955-12-26,21.4,31.8,11
1955-12-27,19,25,13
1955-12-28,19.15,25.8,12.5
1955-12-29,16.85,26.2,7.5
1955-12-30,17.35,24.2,10.5
1955-12-31,18,25,11
1956-01-01,15.4,25.8,5
1956-01-02,18.85,28,9.7
1956-01-03,18.85,27.2,10.5
1956-01-04,16.4,23.8,9
1956-01-05,17.6,28.2,7
1956-01-06,19.15,30.5,7.8
1956-01-07,18.25,27.5,9
1956-01-08,14.8,22,7.6
1956-01-09,13.6,22,5.2
1956-01-10,13.9,22,5.8
1956-01-11,14,22,6
1956-01-12,12.55,22.5,2.6
1956-01-13,11.4,21.5,1.3
1956-01-14,13,24.5,1.5
1956-01-15,17.5,31.5,3.5
1956-01-16,15.9,22.8,9
1956-01-17,12.75,19.5,6
1956-01-18,12.5,17,8
1956-01-19,10,17.5,2.5
1956-01-20,14.1,25.2,3
1956-01-21,15.25,26.5,4
1956-01-22,17.5,24.8,10.2
1956-01-23,16.75,22.5,11
1956-01-24,17.8,28,7.6
1956-01-25,15.75,22.2,9.3
1956-01-26,19,24.5,13.5
1956-01-27,23.15,30.5,15.8
1956-01-28,23.4,32,14.8
1956-01-29,23.4,34,12.8
1956-01-30,17.6,19.5,15.7
1956-01-31,12.75,16,9.5
1956-02-01,18.85,29,8.7
1956-02-02,10.25,10.5,10
1956-02-03,3.5,7,0
1956-02-04,7.05,14,0.1
1956-02-05,9.2,17.2,1.2
1956-02-06,12.9,24.5,1.3
1956-02-07,15.5,26,5
1956-02-08,20.8,28.8,12.8
1956-02-09,14.35,17.2,11.5
1956-02-10,11.5,19,4
1956-02-11,14.5,25.5,3.5
1956-02-12,16.35,27.2,5.5
1956-02-13,19.05,29.5,8.6
1956-02-14,21,32.5,9.5
1956-02-15,23.15,35.3,11
1956-02-16,23.85,33.5,14.2
1956-02-17,26.15,37.5,14.8
1956-02-18,23,31.5,14.5
1956-02-19,23.9,33.5,14.3
1956-02-20,21.9,26.8,17
1956-02-21,18.4,19.8,17
1956-02-22,19.35,21.5,17.2
1956-02-23,23.8,29.6,18
1956-02-24,25.25,35.7,14.8
1956-02-25,22.15,27,17.3
1956-02-26,20.5,28.8,12.2
1956-02-27,23.6,33.2,14
1956-02-28,19.15,26,12.3
1956-02-29,20.25,27.5,13
1956-03-01,22,31.2,12.8
1956-03-02,23.6,31.2,16
1956-03-03,24.95,32.5,17.4
1956-03-04,26,33.2,18.8
1956-03-05,27.5,34,21
1956-03-06,28.85,40.5,17.2
1956-03-07,26.8,34.6,19
1956-03-08,12.75,19.5,6
1956-03-09,15.1,25.7,4.5
1956-03-10,20.4,31.8,9
1956-03-11,24.4,34.8,14
1956-03-12,21.4,23.2,19.6
1956-03-13,15.5,21.2,9.8
1956-03-14,17.7,26.8,8.6
1956-03-15,20.9,29.8,12
1956-03-16,17.75,22.5,13
1956-03-17,16.35,27.2,5.5
1956-03-18,17.65,29.5,5.8
1956-03-19,22.1,28.2,16
1956-03-20,19.65,24.5,14.8
1956-03-21,22.4,29.8,15
1956-03-22,22.55,28.5,16.6
1956-03-23,18.6,26.4,10.8
1956-03-24,18.4,22.8,14
1956-03-25,20.2,27.2,13.2
1956-03-26,24.65,33.7,15.6
1956-03-27,25.9,38,13.8
1956-03-28,23.25,30,16.5
1956-03-29,23.4,27,19.8
1956-03-30,23.3,31,15.6
1956-03-31,25,33.8,16.2
1956-04-01,27.85,36.2,19.5
1956-04-02,29,38,20
1956-04-03,25.95,31,20.9
1956-04-04,24,32.2,15.8
1956-04-05,26.5,35.6,17.4
1956-04-06,24.5,33,16
1956-04-07,23.55,30.5,16.6
1956-04-08,23.55,29.8,17.3
1956-04-09,25.65,32.3,19
1956-04-10,21.1,29,13.2
1956-04-11,21.85,30.2,13.5
1956-04-12,24,31.8,16.2
1956-04-13,25.5,34.8,16.2
1956-04-14,27.75,39.5,16
1956-04-15,26.5,36.8,16.2
1956-04-16,23.5,31,16
1956-04-17,22.9,33.2,12.6
1956-04-18,20.65,22.3,19
1956-04-19,19.35,20.2,18.5
1956-04-20,12.25,13,11.5
1956-04-21,14,16.5,11.5
1956-04-22,17.25,22.2,12.3
1956-04-23,19.3,22.8,15.8
1956-04-24,20.6,27.6,13.6
1956-04-25,23.35,28.5,18.2
1956-04-26,25,31.2,18.8
1956-04-27,26.75,33.2,20.3
1956-04-28,29,36,22
1956-04-29,25.6,28.2,23
1956-04-30,26.25,29.5,23
1956-05-01,27.8,33,22.6
1956-05-02,26,29,23
1956-05-04,25.55,33.2,17.9
1956-05-05,25.9,33.8,18
1956-05-06,27.15,36.3,18
1956-05-07,28.35,36.5,20.2
1956-05-08,28,33.2,22.8
1956-05-09,27.5,34,21
1956-05-10,28.2,35.2,21.2
1956-05-11,29.1,35.2,23
1956-05-12,29.5,36,23
1956-05-13,29.5,37,22
1956-05-14,29.25,35.5,23
1956-05-15,30.4,35.8,25
1956-05-16,22.35,24.2,20.5
1956-05-17,23.8,29,18.6
1956-05-18,25.75,31.7,19.8
1956-05-19,24,32.2,15.8
1956-05-20,25,32.5,17.5
1956-05-21,25.2,32.2,18.2
1956-05-22,27.2,33.4,21
1956-05-23,27,31.5,22.5
1956-05-24,27.25,32,22.5
1956-05-25,26.15,31,21.3
1956-05-26,27.25,32.5,22
1956-05-27,28.75,34,23.5
1956-05-28,29.25,34,24.5
1956-05-29,28.5,33,24
1956-05-30,29,35,23
1956-05-31,30,37,23
1956-06-01,28.75,35.2,22.3
1956-06-02,27.75,36.5,19
1956-06-03,28.95,37.5,20.4
1956-06-04,29.75,36.5,23
1956-06-05,28.7,36.2,21.2
1956-06-06,29.9,36.8,23
1956-06-07,30.9,37.8,24
1956-06-08,29.85,36.5,23.2
1956-06-09,29.75,37.2,22.3
1956-06-10,29.65,36.8,22.5
1956-06-11,28,36.5,19.5
1956-06-12,29.6,38.2,21
1956-06-13,29.5,38,21
1956-06-14,31.1,41,21.2
1956-06-15,31.9,41.2,22.6
1956-06-16,31.95,38.2,25.7
1956-06-17,30.7,35.8,25.6
1956-06-18,28.8,36.6,21
1956-06-19,29.25,36,22.5
1956-06-20,29.4,36,22.8
1956-06-21,30,37,23
1956-06-22,30.1,37.2,23
1956-06-23,29.75,36.5,23
1956-06-24,27.5,32,23
1956-06-25,27,32,22
1956-06-26,29.9,36.8,23
1956-06-27,29.05,35.5,22.6
1956-06-28,30.2,38.2,22.2
1956-06-29,30.4,38,22.8
1956-06-30,29.4,36.8,22
1956-07-01,30.75,38,23.5
1956-07-02,28.5,34.5,22.5
1956-07-03,31.6,39,24.2
1956-07-04,30.75,38,23.5
1956-07-05,31.5,38.7,24.3
1956-07-06,31.5,39,24
1956-07-07,31.85,39.5,24.2
1956-07-08,31.6,40,23.2
1956-07-09,31.4,38.8,24
1956-07-10,28,33,23
1956-07-11,30.5,37,24
1956-07-12,29,36,22
1956-07-13,31,38.5,23.5
1956-07-14,30.4,38,22.8
