Estación: ,C19014,DULCES NOMBRES.
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 36' 00'',Latitud:,24° 01' 00

Fecha,Promedio,Máximo,Mínimo
1960-05-28,15,22,8
1960-05-29,16.5,23,10
1960-05-30,15.5,19,12
1960-05-31,14,20,8
1960-06-01,20.5,26,15
1960-06-02,20,25,15
1960-06-03,18,21,15
1960-06-04,20.5,25,16
1960-06-05,19,26,12
1960-06-06,17.25,21.5,13
1960-06-07,21,28,14
1960-06-08,18,23,13
1960-06-09,16.75,20.5,13
1960-06-10,17.5,18,17
1960-06-11,15.5,19,12
1960-06-12,18.5,20,17
1960-06-13,16.5,22,11
1960-06-14,18,22,14
1960-06-15,17.5,23,12
1960-06-16,20.5,27,14
1960-06-17,18.5,25,12
1960-06-18,19.5,24,15
1960-06-19,20,22,18
1960-06-20,17.5,22,13
1960-06-21,20.5,27,14
1960-06-22,16.5,20,13
1960-06-23,16.5,21,12
1960-06-24,15.5,18,13
1960-06-25,17,20,14
1960-06-26,17.5,20,15
1960-06-27,16.5,20,13
1960-06-28,19,21,17
1960-06-29,15.5,19,12
1960-06-30,16.5,20,13
1960-07-01,16.5,21,12
1960-07-02,16.5,21,12
1960-07-03,17.5,22,13
1960-07-04,18,22,14
1960-07-05,17.5,22,13
1960-07-06,17,21,13
1960-07-07,17,22,12
1960-07-08,17,22,12
1960-07-09,17.5,23,12
1960-07-10,17.5,22,13
1960-07-11,20,23,17
1960-07-12,19,21,17
1960-07-13,20,22,18
1960-07-14,19,20,18
1960-07-15,15.5,19,12
1960-07-16,17.5,19,16
1960-07-17,17,21,13
1960-07-18,18,22,14
1960-07-19,16.5,20,13
1960-07-20,16,19,13
1960-07-21,15.5,20,11
1960-07-22,15.5,20,11
1960-07-23,17,22,12
1960-07-24,19,23,15
1960-07-25,18,23,13
1960-07-26,17,21,13
1960-07-27,17.5,22,13
1960-07-28,17.5,22,13
1960-07-29,19,24,14
1960-07-30,20.5,25,16
1960-07-31,20.5,24,17
1960-08-01,19,22,16
1960-08-02,16.5,20,13
1960-08-03,17,22,12
1960-08-04,17.5,22,13
1960-08-05,18.5,23,14
1960-08-06,17.5,21,14
1960-08-07,18,22,14
1960-08-08,16.5,20,13
1960-08-09,18,23,13
1960-08-10,19.5,25,14
1960-08-11,19.5,26,13
1960-08-12,17.5,22,13
1960-08-13,14,16,12
1960-08-14,14,17,11
1960-08-15,16.5,22,11
1960-08-16,16,20,12
1960-08-17,16,20,12
1960-08-18,18.5,21,16
1960-08-19,17,21,13
1960-08-20,17,21,13
1960-08-21,17.5,23,12
1960-08-22,19.5,22,17
1960-08-23,18.5,22,15
1960-08-24,18.5,23,14
1960-08-25,17.5,22,13
1960-08-26,18,22,14
1960-08-27,17.5,22,13
1960-08-28,19.5,25,14
1960-08-29,17.5,22,13
1960-08-30,17.5,23,12
1960-08-31,15.5,20,11
1960-09-01,15,17,13
1960-09-02,14.5,16,13
1960-09-03,14,17,11
1960-09-04,13.5,16,11
1960-09-05,13.5,15,12
1960-09-06,13,15,11
1960-09-07,14,17,11
1960-09-08,13.5,15,12
1960-09-09,12.5,13,12
1960-09-10,13,15,11
1960-09-11,11.5,12,11
1960-09-12,11.5,12,11
1960-09-13,12.5,16,9
1960-09-14,13,18,8
1960-09-15,14.5,18,11
1960-09-16,16,21,11
1960-09-17,16,21,11
1960-09-18,14,19,9
1960-09-19,14,18,10
1960-09-20,14.5,18,11
1960-09-21,15.5,19,12
1960-09-22,14.5,18,11
1960-09-23,14,15,13
1960-09-24,16.5,21,12
1960-09-25,15.5,20,11
1960-09-26,15.5,20,11
1960-09-27,12,16,8
1960-09-28,10,12,8
1960-09-29,11.5,15,8
1960-09-30,13,17,9
1960-10-01,14,18,10
1960-10-02,14.5,19,10
1960-10-03,14.5,19,10
1960-10-04,17,21,13
1960-10-05,19,24,14
1960-10-06,19,24,14
1960-10-07,14.5,19,10
1960-10-08,15,20,10
1960-10-09,17.5,22,13
1960-10-10,17.5,22,13
1960-10-11,14.5,18,11
1960-10-12,16,21,11
1960-10-13,18.5,24,13
1960-10-14,20,25,15
1960-10-15,17,20,14
1960-10-16,15.5,18,13
1960-10-17,16.25,20.5,12
1960-10-18,16,19,13
1960-10-19,13.5,15,12
1960-10-20,12,15,9
1960-10-21,12,15,9
1960-10-22,13,15,11
1960-10-23,13.5,15,12
1960-10-24,15,19,11
1960-10-25,15.5,18,13
1960-10-26,16,18,14
1960-10-27,14,16,12
1960-10-28,15.5,20,11
1960-10-29,13,16,10
1960-10-30,11,13,9
1960-10-31,16,21,11
1960-11-01,13,16,10
1960-11-02,14.5,18,11
1960-11-03,16,20,12
1960-11-04,14.5,21,8
1960-11-05,11,17,5
1960-11-06,13.5,18,9
1960-11-07,14.5,20,9
1960-11-08,12,15,9
1960-11-09,11,21,1
1960-11-10,16,21,11
1960-11-11,10.5,12,9
1960-11-12,12,17,7
1960-11-13,15.5,20,11
1960-11-14,16.5,21,12
1960-11-15,15.5,19,12
1960-11-16,16,21,11
1960-11-17,14.5,18,11
1960-11-18,14.5,19,10
1960-11-19,15,21,9
1960-11-20,16,22,10
1960-11-21,15,19,11
1960-11-22,13,15,11
1960-11-23,13.5,17,10
1960-11-24,16.5,24,9
1960-11-25,13.5,19,8
1960-11-26,15,19,11
1960-11-27,15.5,20,11
1960-11-28,16.5,22,11
1960-11-29,13,21,5
1960-11-30,9.5,12,7
1960-12-01,11,14,8
1960-12-02,8.5,11,6
1960-12-03,8,13,3
1960-12-04,9.5,14,5
1960-12-05,14.5,18,11
1960-12-06,15,19,11
1960-12-07,14,18,10
1960-12-08,12.5,15,10
1960-12-09,13,15,11
1960-12-10,13.5,17,10
1960-12-11,16,19,13
1960-12-12,11.5,17,6
1960-12-13,8.25,13.5,3
1960-12-14,6.75,13,0.5
1960-12-15,7.25,11,3.5
1960-12-16,8,14,2
1960-12-17,8,11,5
1960-12-18,9.75,14,5.5
1960-12-19,11.75,16.5,7
1960-12-20,12.5,16,9
1960-12-21,10,20,0
1960-12-22,8.25,13.5,3
1960-12-23,9.5,12,7
1960-12-24,10.5,13,8
1960-12-25,8,12,4
1960-12-26,8,10,6
1960-12-27,7,14,0
1960-12-28,11,19,3
1960-12-29,14.5,19,10
1960-12-30,10,16,4
1960-12-31,12,19,5
1961-01-01,8,12,4
1961-01-02,8.5,11,6
1961-01-03,10.5,13,8
1961-01-04,11,14,8
1961-01-05,10.5,14,7
1961-01-06,9.5,13,6
1961-01-07,11,18,4
1961-01-08,9,13,5
1961-01-09,5,10,0
1961-01-10,5.5,9,2
1961-01-11,11.25,16.5,6
1961-01-12,11.25,18,4.5
1961-01-13,7,11,3
1961-01-14,9,12,6
1961-01-15,7,11,3
1961-01-16,8.5,14,3
1961-01-17,8.5,11,6
1961-01-18,10.75,13.5,8
1961-01-19,13,18,8
1961-01-20,5,8,2
1961-01-21,4,8,0
1961-01-22,9.5,16,3
1961-01-23,12.5,17,8
1961-01-24,12.25,16,8.5
1961-01-25,10.5,14,7
1961-01-26,11,15,7
1961-01-27,9.5,12,7
1961-01-28,14,18,10
1961-01-29,8,11,5
1961-01-30,9.5,16,3
1961-01-31,8.75,14,3.5
1961-02-01,15.5,20.5,10.5
1961-02-02,13.5,20,7
1961-02-03,5,8,2
1961-02-04,8,11,5
1961-02-05,8.5,10,7
1961-02-06,11.5,16,7
1961-02-07,7.5,14,1
1961-02-08,6.5,10,3
1961-02-09,11,17,5
1961-02-10,7.5,12,3
1961-02-11,7,10,4
1961-02-12,9,13,5
1961-02-13,12,16,8
1961-02-14,14.5,19,10
1961-02-15,12,18,6
1961-02-16,11.5,18,5
1961-02-17,13.5,19,8
1961-02-18,14,21,7
1961-02-19,13,18,8
1961-02-20,14,18,10
1961-02-21,12.5,20,5
1961-02-22,9,15,3
1961-02-23,11,17,5
1961-02-24,15.5,22,9
1961-02-25,14.5,20,9
1961-02-26,12.5,18,7
1961-02-27,11.5,17,6
1961-02-28,11,18,4
1961-03-01,9.5,13,6
1961-03-02,11,14,8
1961-03-03,10.5,15,6
1961-03-04,12.5,16,9
1961-03-05,11,14,8
1961-03-06,10,13,7
1961-03-07,13,16,10
1961-03-08,7.5,11,4
1961-03-09,12,16,8
1961-03-10,9,11,7
1961-03-11,10,14,6
1961-03-12,11,20,2
1961-03-13,14.5,20,9
1961-03-14,13,18,8
1961-03-15,13.5,17,10
1961-03-16,15.5,21,10
1961-03-17,17.5,24,11
1961-03-18,14,22,6
1961-03-19,15,18,12
1961-03-20,11,20,2
1961-03-21,8.5,14,3
1961-03-22,14.5,19,10
1961-03-23,14.5,21,8
1961-03-24,9.5,12,7
1961-03-25,12,15,9
1961-03-26,14.5,18,11
1961-03-27,16.5,21,12
1961-03-28,17,21,13
1961-03-29,17.5,23,12
1961-03-30,19,25,13
1961-03-31,16.5,23,10
1961-04-01,10.5,19,2
1961-04-02,8,13,3
1961-04-03,11.5,16,7
1961-04-04,13,18,8
1961-04-05,14,18,10
1961-04-06,13,19,7
1961-04-07,12,17,7
1961-04-08,14,19,9
1961-04-09,16,25,7
1961-04-10,12,17,7
1961-04-11,15.5,21,10
1961-04-12,12,20,4
1961-04-13,14,21,7
1961-04-14,19.5,25,14
1961-04-15,21.5,26,17
1961-04-16,10,18,2
1961-04-17,12,16,8
1961-04-18,15.5,21,10
1961-04-19,17.5,22,13
1961-04-20,19,24,14
1961-04-21,19,25,13
