Estación: ,C19023,CAMPO EXP. GRAL. TERAN.
Variable: ,Precipitación (mm)
Longitud: ,99° 41' 00'',Latitud:,25° 15' 00

Fecha,Valor,NúmDatos
1969-01-02,0,CLIC
1969-01-03,0,CLIC
1969-01-04,0.2,CLIC
1969-01-06,0,CLIC
1969-01-07,0,CLIC
1969-01-08,0,CLIC
1969-01-09,0,CLIC
1969-01-10,0,CLIC
1969-01-11,0,CLIC
1969-01-13,0,CLIC
1969-01-14,0,CLIC
1969-01-15,0,CLIC
1969-01-16,0,CLIC
1969-01-17,0,CLIC
1969-01-18,0,CLIC
1969-01-20,0,CLIC
1969-01-21,0,CLIC
1969-01-22,0,CLIC
1969-01-23,0,CLIC
1969-01-24,0,CLIC
1969-01-25,0,CLIC
1969-01-27,0,CLIC
1969-01-28,0,CLIC
1969-01-29,0,CLIC
1969-01-30,0,CLIC
1969-01-31,0,CLIC
1969-03-01,0,CLIC
1969-03-03,0,CLIC
1969-03-04,0,CLIC
1969-03-05,0,CLIC
1969-03-06,0,CLIC
1969-03-07,0,CLIC
1969-03-10,4,CLIC
1969-03-11,6,CLIC
1969-03-12,4,CLIC
1969-03-13,0,CLIC
1969-03-14,0,CLIC
1969-03-15,0,CLIC
1969-03-17,0,CLIC
1969-03-18,0,CLIC
1969-03-19,0,CLIC
1969-03-20,0,CLIC
1969-03-22,25,CLIC
1969-03-24,0,CLIC
1969-03-25,0,CLIC
1969-03-26,0,CLIC
1969-03-27,0,CLIC
1969-03-28,0,CLIC
1969-03-29,0,CLIC
1969-03-31,0,CLIC
1969-04-01,0,CLIC
1969-04-07,0.8,CLIC
1969-04-08,0,CLIC
1969-04-09,0,CLIC
1969-04-10,0,CLIC
1969-04-11,0,CLIC
1969-04-12,0,CLIC
1969-04-14,0,CLIC
1969-04-15,0,CLIC
1969-04-16,0,CLIC
1969-04-17,0,CLIC
1969-04-18,0,CLIC
1969-04-19,0,CLIC
1969-04-21,0,CLIC
1969-04-22,0,CLIC
1969-04-23,0,CLIC
1969-04-24,0,CLIC
1969-04-25,0,CLIC
1969-04-26,0,CLIC
1969-04-28,0,CLIC
1969-04-29,0,CLIC
1969-04-30,1.2,CLIC
1969-05-02,1.5,CLIC
1969-05-03,0,CLIC
1969-05-06,0,CLIC
1969-05-07,0,CLIC
1969-05-08,0,CLIC
1969-05-09,5,CLIC
1969-05-10,0,CLIC
1969-05-13,0,CLIC
1969-05-14,0,CLIC
1969-05-15,4,CLIC
1969-05-16,0,CLIC
1969-05-17,0,CLIC
1969-05-19,0,CLIC
1969-05-20,0,CLIC
1969-05-21,0,CLIC
1969-05-22,0,CLIC
1969-05-23,0,CLIC
1969-05-24,0,CLIC
1969-05-26,0,CLIC
1969-05-27,0,CLIC
1969-05-28,0,CLIC
1969-05-29,0,CLIC
1969-05-30,0,CLIC
1969-05-31,0,CLIC
1969-06-02,4.3,CLIC
1969-06-03,82,CLIC
1969-06-04,1,CLIC
1969-06-05,38,CLIC
1969-06-06,0,CLIC
1969-06-07,0,CLIC
1969-06-09,0,CLIC
1969-06-10,0,CLIC
1969-06-11,0,CLIC
1969-06-12,0,CLIC
1969-06-13,0,CLIC
1969-06-16,0,CLIC
1969-06-17,0,CLIC
1969-06-18,0,CLIC
1969-06-19,0,CLIC
1969-06-20,0,CLIC
1969-06-21,0,CLIC
1969-06-23,0,CLIC
1969-06-24,0,CLIC
1969-06-25,0,CLIC
1969-06-26,0,CLIC
1969-06-27,0,CLIC
1969-06-28,3,CLIC
1969-06-30,0,CLIC
1969-07-01,0,CLIC
1969-07-02,0,CLIC
1969-07-03,0,CLIC
1969-07-04,0,CLIC
1969-07-05,0,CLIC
1969-07-07,0,CLIC
1969-07-08,0,CLIC
1969-07-09,0,CLIC
1969-07-10,0,CLIC
1969-07-11,0,CLIC
1969-07-12,0,CLIC
1969-07-14,0,CLIC
1969-07-15,0,CLIC
1969-07-16,0,CLIC
1969-07-17,0,CLIC
1969-07-18,0,CLIC
1969-07-19,0,CLIC
1969-07-21,0,CLIC
1969-07-22,0,CLIC
1969-07-23,0,CLIC
1969-07-24,0,CLIC
1969-07-25,0,CLIC
1969-07-26,0,CLIC
1969-07-28,0,CLIC
1969-07-29,1.2,CLIC
1969-07-30,0,CLIC
1969-07-31,0,CLIC
1969-09-02,6,CLIC
1969-09-03,0,CLIC
1969-09-04,0,CLIC
1969-09-05,0,CLIC
1969-09-06,0,CLIC
1969-09-08,3.5,CLIC
1969-09-09,2,CLIC
1969-09-10,0,CLIC
1969-09-11,0,CLIC
1969-09-12,2.5,CLIC
1969-09-13,2,CLIC
1969-09-17,0,CLIC
1969-09-18,3.5,CLIC
1969-09-19,0.7,CLIC
1969-09-20,0.3,CLIC
1969-09-22,1.6,CLIC
1969-09-23,0,CLIC
1969-09-24,2.5,CLIC
1969-09-25,0,CLIC
1969-09-26,0.5,CLIC
1969-09-27,0,CLIC
1969-09-29,0,CLIC
1969-09-30,0,CLIC
1969-10-01,0,CLIC
1969-10-02,0,CLIC
1969-10-03,0,CLIC
1969-10-04,0,CLIC
1969-10-06,4,CLIC
1969-10-07,3,CLIC
1969-10-08,0,CLIC
1969-10-09,0,CLIC
1969-10-10,0,CLIC
1969-10-11,0,CLIC
1969-10-13,12,CLIC
1969-10-14,7,CLIC
1969-10-15,0,CLIC
1969-10-16,0,CLIC
1969-10-17,0,CLIC
1969-10-18,0,CLIC
1969-10-20,0,CLIC
1969-10-21,0,CLIC
1969-10-22,0,CLIC
1969-10-23,0,CLIC
1969-10-24,0,CLIC
1969-10-25,0,CLIC
1969-10-27,0,CLIC
1969-10-28,38,CLIC
1969-10-29,0,CLIC
1969-10-30,2,CLIC
1969-10-31,0,CLIC
1970-01-01,0,CLIC
1970-01-02,0,CLIC
1970-01-03,0,CLIC
1970-01-04,0,CLIC
1970-01-05,5,CLIC
1970-01-06,2,CLIC
1970-01-07,0,CLIC
1970-01-08,0,CLIC
1970-01-09,3,CLIC
1970-01-10,1,CLIC
1970-01-11,0,CLIC
1970-01-12,0,CLIC
1970-01-13,1,CLIC
1970-01-14,0,CLIC
1970-01-15,0,CLIC
1970-01-16,2,CLIC
1970-01-17,0,CLIC
1970-01-18,0,CLIC
1970-01-19,0,CLIC
1970-01-20,0,CLIC
1970-01-21,0,CLIC
1970-01-22,0,CLIC
1970-01-23,0,CLIC
1970-01-24,0,CLIC
1970-01-25,0,CLIC
1970-01-26,0,CLIC
1970-01-27,0,CLIC
1970-01-28,0,CLIC
1970-01-29,0,CLIC
1970-01-30,0,CLIC
1970-01-31,0,CLIC
1970-03-01,0,CLIC
1970-03-02,0,CLIC
1970-03-03,0,CLIC
1970-03-04,0,CLIC
1970-03-05,0,CLIC
1970-03-06,0,CLIC
1970-03-07,4,CLIC
1970-03-08,0,CLIC
1970-03-09,0,CLIC
1970-03-10,0,CLIC
1970-03-11,0,CLIC
1970-03-12,0,CLIC
1970-03-13,0,CLIC
1970-03-14,0,CLIC
1970-03-16,0,CLIC
1970-03-17,0,CLIC
1970-03-18,0,CLIC
1970-03-19,0,CLIC
1970-03-20,0,CLIC
1970-03-23,0,CLIC
1970-03-24,0,CLIC
1970-03-25,0,CLIC
1970-03-30,0,CLIC
1970-03-31,0,CLIC
1970-06-01,26,CLIC
1970-06-02,5,CLIC
1970-06-03,0,CLIC
1970-06-04,0,CLIC
1970-06-05,0,CLIC
1970-06-06,0,CLIC
1970-06-07,0,CLIC
1970-06-08,0,CLIC
1970-06-09,0,CLIC
1970-06-10,0,CLIC
1970-06-11,0,CLIC
1970-06-12,0,CLIC
1970-06-13,0,CLIC
1970-06-14,0,CLIC
1970-06-15,0,CLIC
1970-06-16,0,CLIC
1970-06-17,0,CLIC
1970-06-18,0,CLIC
1970-06-19,10,CLIC
1970-06-20,20,CLIC
1970-06-21,0,CLIC
1970-06-22,10,CLIC
1970-06-23,26,CLIC
1970-06-24,40,CLIC
1970-06-25,2,CLIC
1970-06-26,2,CLIC
1970-06-27,25,CLIC
1970-06-28,33,CLIC
1970-06-29,0,CLIC
1970-06-30,4,CLIC
1970-07-01,0,CLIC
1970-07-02,13,CLIC
1970-07-03,0,CLIC
1970-07-04,0,CLIC
1970-07-05,0,CLIC
1970-07-06,0,CLIC
1970-07-07,0,CLIC
1970-07-08,0,CLIC
1970-07-09,7,CLIC
1970-07-10,0,CLIC
1970-07-11,0,CLIC
1970-07-12,0,CLIC
1970-07-13,0,CLIC
1970-07-14,0,CLIC
1970-07-15,4,CLIC
1970-07-16,18,CLIC
1970-07-17,10,CLIC
1970-07-18,0,CLIC
1970-07-19,0,CLIC
1970-07-20,0,CLIC
1970-07-21,0,CLIC
1970-07-22,0,CLIC
1970-07-23,0,CLIC
1970-07-24,6,CLIC
1970-07-25,0,CLIC
1970-07-26,0,CLIC
1970-07-27,0,CLIC
1970-07-28,0,CLIC
1970-07-29,0,CLIC
1970-07-30,0,CLIC
1970-07-31,0,CLIC
1970-08-01,0,CLIC
1970-08-02,0,CLIC
1970-08-03,0,CLIC
1970-08-04,0,CLIC
1970-08-05,14,CLIC
1970-08-06,5,CLIC
1970-08-07,2,CLIC
1970-08-08,0,CLIC
1970-08-09,0,CLIC
1970-08-10,0,CLIC
1970-08-11,0,CLIC
1970-08-12,0,CLIC
1970-08-13,20,CLIC
1970-08-14,20,CLIC
1970-08-15,55,CLIC
1970-08-16,0,CLIC
1970-08-17,0,CLIC
1970-08-18,0,CLIC
1970-08-19,0,CLIC
1970-08-20,0,CLIC
1970-08-21,0,CLIC
1970-08-22,0,CLIC
1970-08-23,0,CLIC
1970-08-24,0,CLIC
1970-08-25,0,CLIC
1970-08-26,0,CLIC
1970-08-27,0,CLIC
1970-08-28,0,CLIC
1970-08-29,0,CLIC
1970-08-30,0,CLIC
1970-08-31,0,CLIC
1970-10-01,0,CLIC
1970-10-02,0,CLIC
1970-10-03,0,CLIC
1970-10-04,0,CLIC
1970-10-05,0,CLIC
1970-10-06,0,CLIC
1970-10-07,0,CLIC
1970-10-08,0,CLIC
1970-10-09,0,CLIC
1970-10-10,0,CLIC
1970-10-11,0,CLIC
1970-10-12,0,CLIC
1970-10-13,0,CLIC
1970-10-14,0,CLIC
1970-10-15,0,CLIC
1970-10-16,0,CLIC
1970-10-17,0,CLIC
1970-10-18,0,CLIC
1970-10-19,15,CLIC
1970-10-20,0,CLIC
1970-10-21,5,CLIC
1970-10-22,0,CLIC
1970-10-23,0,CLIC
1970-10-24,0,CLIC
1970-10-25,0,CLIC
1970-10-26,0,CLIC
1970-10-27,0,CLIC
1970-10-28,0,CLIC
1970-10-29,0,CLIC
1970-10-30,0,CLIC
1970-10-31,0,CLIC
1970-12-01,6,CLIC
1970-12-02,14,CLIC
1970-12-03,14,CLIC
1970-12-04,16,CLIC
1970-12-05,12,CLIC
1970-12-06,14,CLIC
1970-12-07,19,CLIC
1970-12-08,13,CLIC
1970-12-09,15,CLIC
1970-12-10,13,CLIC
1970-12-11,15,CLIC
1970-12-12,12,CLIC
1970-12-13,15,CLIC
1970-12-14,12,CLIC
1970-12-15,11,CLIC
1970-12-16,11,CLIC
1970-12-17,11,CLIC
1970-12-27,7,CLIC
1970-12-28,9,CLIC
1970-12-29,10,CLIC
1970-12-30,11,CLIC
1970-12-31,0,CLIC
1971-01-02,0,CLIC
1971-01-03,0,CLIC
1971-01-04,0,CLIC
1971-01-05,0,CLIC
1971-01-06,0,CLIC
1971-01-07,0,CLIC
1971-01-08,0,CLIC
1971-01-09,0,CLIC
1971-01-10,0,CLIC
1971-01-11,0,CLIC
1971-01-12,0,CLIC
1971-01-13,0,CLIC
1971-01-14,0,CLIC
1971-01-15,0,CLIC
1971-01-16,9,CLIC
1971-01-17,0,CLIC
1971-01-18,0,CLIC
1971-01-19,0,CLIC
1971-01-20,0,CLIC
1971-01-21,0,CLIC
1971-01-22,0,CLIC
1971-01-23,0,CLIC
1971-01-24,0,CLIC
1971-01-25,0,CLIC
1971-01-26,0,CLIC
1971-01-27,0,CLIC
1971-01-28,0,CLIC
1971-01-29,0,CLIC
1971-01-30,0,CLIC
1971-01-31,0,CLIC
1971-03-01,0,CLIC
1971-03-02,0,CLIC
1971-03-03,0,CLIC
1971-03-04,0,CLIC
1971-03-05,0,CLIC
1971-03-06,0,CLIC
1971-03-07,0,CLIC
1971-03-08,0,CLIC
1971-03-09,0,CLIC
1971-03-10,0,CLIC
1971-03-11,0,CLIC
1971-03-12,0,CLIC
1971-03-13,0,CLIC
1971-03-14,0,CLIC
1971-03-15,0,CLIC
1971-03-16,0,CLIC
1971-03-17,0,CLIC
1971-03-18,0,CLIC
1971-03-19,0,CLIC
1971-03-20,0,CLIC
1971-03-21,0,CLIC
1971-03-22,0,CLIC
1971-03-23,0,CLIC
1971-03-24,0,CLIC
1971-03-25,0,CLIC
1971-03-26,0,CLIC
1971-03-27,0,CLIC
1971-03-28,0,CLIC
1971-03-29,0,CLIC
1971-03-30,0,CLIC
1971-03-31,0,CLIC
1971-04-01,0,CLIC
1971-04-02,0,CLIC
1971-04-03,1,CLIC
1971-04-04,0,CLIC
1971-04-05,4,CLIC
1971-04-06,0,CLIC
1971-04-07,0,CLIC
1971-04-08,0,CLIC
1971-04-09,0,CLIC
1971-04-10,0,CLIC
1971-04-11,0,CLIC
1971-04-12,0,CLIC
1971-04-13,0,CLIC
1971-04-14,0,CLIC
1971-04-15,0,CLIC
1971-04-16,0,CLIC
1971-04-17,0,CLIC
1971-04-18,0,CLIC
1971-04-19,0,CLIC
1971-04-20,0,CLIC
1971-04-21,0,CLIC
1971-04-22,0,CLIC
1971-04-23,0,CLIC
1971-04-24,0,CLIC
1971-04-25,0,CLIC
1971-04-26,0,CLIC
1971-04-27,0,CLIC
1971-04-28,0,CLIC
1971-04-29,0,CLIC
1971-04-30,0,CLIC
1971-05-01,0,CLIC
1971-05-02,0,CLIC
1971-05-03,0,CLIC
1971-05-04,0,CLIC
1971-05-05,0,CLIC
1971-05-06,0,CLIC
1971-05-07,0,CLIC
1971-05-08,0,CLIC
1971-05-09,0,CLIC
1971-05-10,0,CLIC
1971-05-11,0,CLIC
1971-05-12,0,CLIC
1971-05-13,17,CLIC
1971-05-14,5,CLIC
1971-05-15,0,CLIC
1971-05-16,0,CLIC
1971-05-17,0,CLIC
1971-05-18,0,CLIC
1971-05-19,0,CLIC
1971-05-20,0,CLIC
1971-05-21,0,CLIC
1971-05-22,0,CLIC
1971-05-23,0,CLIC
1971-05-24,0,CLIC
1971-05-25,5,CLIC
1971-05-26,0,CLIC
1971-05-27,0,CLIC
1971-05-28,0,CLIC
1971-05-29,0,CLIC
1971-05-30,0,CLIC
1971-05-31,0,CLIC
1971-08-01,0,CLIC
1971-08-02,0,CLIC
1971-08-03,17,CLIC
1971-08-04,0,CLIC
1971-08-05,3,CLIC
1971-08-06,9,CLIC
1971-08-07,4,CLIC
1971-08-08,0,CLIC
1971-08-09,0,CLIC
1971-08-10,0,CLIC
1971-08-11,0,CLIC
1971-08-12,0,CLIC
1971-08-13,0,CLIC
1971-08-14,9,CLIC
1971-08-15,30,CLIC
1971-08-16,10,CLIC
1971-08-17,0,CLIC
1971-08-18,0,CLIC
1971-08-19,0,CLIC
1971-08-20,15,CLIC
1971-08-21,0,CLIC
1971-08-22,0,CLIC
1971-08-23,0,CLIC
1971-08-24,0,CLIC
1971-08-25,0,CLIC
1971-08-26,0,CLIC
1971-08-27,0,CLIC
1971-08-28,2,CLIC
1971-08-29,0,CLIC
1971-08-30,0,CLIC
1971-08-31,0,CLIC
1971-09-01,0,CLIC
1971-09-02,0,CLIC
1971-09-03,0,CLIC
1971-09-04,0,CLIC
1971-09-05,0,CLIC
1971-09-06,0,CLIC
1971-09-07,0,CLIC
1971-09-08,0,CLIC
1971-09-09,0,CLIC
1971-09-10,6,CLIC
1971-09-11,0,CLIC
1971-09-12,0,CLIC
1971-09-13,148,CLIC
1971-09-14,71,CLIC
1971-09-15,17,CLIC
1971-09-16,0,CLIC
1971-09-17,0,CLIC
1971-09-18,0,CLIC
1971-09-19,20,CLIC
1971-09-20,0,CLIC
1971-09-21,0,CLIC
1971-09-22,0,CLIC
1971-09-23,0,CLIC
1971-09-24,5,CLIC
1971-09-25,18,CLIC
1971-09-26,0,CLIC
1971-09-27,3,CLIC
1971-09-28,0,CLIC
1971-09-29,26,CLIC
1971-09-30,0,CLIC
1971-10-01,0,CLIC
1971-10-02,0,CLIC
1971-10-03,0,CLIC
1971-10-04,0,CLIC
1971-10-05,30,CLIC
1971-10-06,2,CLIC
1971-10-07,7,CLIC
1971-10-08,0,CLIC
1971-10-09,172,CLIC
1971-10-10,2,CLIC
1971-10-11,0,CLIC
1971-10-12,0,CLIC
1971-10-13,14,CLIC
1971-10-14,1.5,CLIC
1971-10-15,0,CLIC
1971-10-16,0,CLIC
1971-10-17,0,CLIC
1971-10-18,0,CLIC
1971-10-19,0,CLIC
1971-10-20,5,CLIC
1971-10-21,0,CLIC
1971-10-22,0,CLIC
1971-10-23,0,CLIC
1971-10-24,0,CLIC
1971-10-25,0,CLIC
1971-10-26,0,CLIC
1971-10-27,0,CLIC
1971-10-28,0,CLIC
1971-10-29,0,CLIC
1971-10-30,0,CLIC
1971-10-31,0,CLIC
1971-11-01,0,CLIC
1971-11-02,0,CLIC
1971-11-03,0,CLIC
1971-11-04,0,CLIC
1971-11-05,0,CLIC
1971-11-06,0,CLIC
1971-11-07,0,CLIC
1971-11-08,0,CLIC
1971-11-09,0,CLIC
1971-11-10,0,CLIC
1971-11-11,0,CLIC
1971-11-12,0,CLIC
1971-11-13,0,CLIC
1971-11-14,0,CLIC
1971-11-15,0,CLIC
1971-11-16,0,CLIC
1971-11-17,0,CLIC
1971-11-18,0,CLIC
1971-11-19,0,CLIC
1971-11-20,0,CLIC
1971-11-21,0,CLIC
1971-11-22,0,CLIC
1971-11-23,0,CLIC
1971-11-24,0,CLIC
1971-11-25,0,CLIC
1971-11-26,0,CLIC
1971-11-27,0,CLIC
1971-11-28,0,CLIC
1971-11-29,0,CLIC
1971-11-30,0,CLIC
1971-12-01,0,CLIC
1971-12-02,4,CLIC
1971-12-03,0,CLIC
1971-12-04,0,CLIC
1971-12-05,9,CLIC
1971-12-06,0,CLIC
1971-12-07,0,CLIC
1971-12-08,0,CLIC
1971-12-09,0,CLIC
1971-12-10,0,CLIC
1971-12-11,0,CLIC
1971-12-12,0,CLIC
1971-12-13,0,CLIC
