Estación: ,C19023,CAMPO EXP. GRAL. TERAN.
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 41' 00'',Latitud:,25° 15' 00

Fecha,Promedio,Máximo,Mínimo
1969-01-03,7.5,11,4
1969-01-04,13.5,23,4
1969-01-06,10,19,1
1969-01-07,14.5,26,3
1969-01-09,21,34,8
1969-01-10,9.5,19,0
1969-01-11,9.5,18,1
1969-01-13,15.5,21,10
1969-01-14,18,23,13
1969-01-15,16,24,8
1969-01-16,19,26,12
1969-01-17,19.5,27,12
1969-01-18,17.5,26,9
1969-01-20,19.5,29,10
1969-01-21,17.5,25,10
1969-01-22,20,31,9
1969-01-23,20.5,34,7
1969-01-25,16,23,9
1969-01-27,14,19,9
1969-01-28,22,29,15
1969-01-29,24,29,19
1969-01-30,23.5,30,17
1969-01-31,18,25,11
1969-03-01,16.5,23,10
1969-03-03,18,27,9
1969-03-04,12,20,4
1969-03-06,18.5,26,11
1969-03-07,20.5,29,12
1969-03-10,12.5,20,5
1969-03-11,10.5,15,6
1969-03-12,10,14,6
1969-03-13,12,19,5
1969-03-14,16,18,14
1969-03-15,23,28,18
1969-03-17,16.5,29,4
1969-03-18,13,24,2
1969-03-19,21,33,9
1969-03-20,24,36,12
1969-03-22,21,25,17
1969-03-24,20.5,31,10
1969-03-25,18,28,8
1969-03-26,13,22,4
1969-03-27,15,23,7
1969-03-28,18,26,10
1969-03-29,23.5,28,19
1969-03-31,24,34,14
1969-05-02,21.5,29,14
1969-05-03,24.5,28,21
1969-05-06,29.5,38,21
1969-05-07,30,36,24
1969-05-08,28.5,35,22
1969-05-09,28.5,37,20
1969-05-10,22,26,18
1969-05-13,24.5,31,18
1969-05-14,26,30,22
1969-05-15,25,32,18
1969-05-16,26,30,22
1969-05-17,24,32,16
1969-05-19,25,33,17
1969-05-20,26.5,35,18
1969-05-21,26.5,33,20
1969-05-22,26,34,18
1969-05-23,28.5,35,22
1969-05-24,26.5,32,21
1969-05-26,28,36,20
1969-05-27,28.5,36,21
1969-05-28,27.5,36,19
1969-05-29,28,37,19
1969-05-30,27.5,36,19
1969-05-31,28.5,37,20
1969-06-02,31,42,20
1969-06-03,25.5,31,20
1969-06-04,26.5,30,23
1969-06-05,25.5,30,21
1969-06-06,25,28,22
1969-06-07,25,28,22
1969-06-09,27,33,21
1969-06-10,28,34,22
1969-06-11,28.5,35,22
1969-06-12,29.5,35,24
1969-06-13,28,33,23
1969-06-16,28,35,21
1969-06-17,29,35,23
1969-06-18,30.5,37,24
1969-06-19,31.5,40,23
1969-06-20,32,40,24
1969-06-21,33.5,41,26
1969-06-23,34,42,26
1969-06-24,34,40,28
1969-06-25,35,43,27
1969-06-26,33,42,24
1969-06-27,31.5,38,25
1969-06-28,32,40,24
1969-06-30,28.5,36,21
1969-07-01,29.5,38,21
1969-07-02,30,38,22
1969-07-03,30.5,37,24
1969-07-04,32,39,25
1969-07-05,32.5,40,25
1969-07-07,32.5,40,25
1969-07-08,31,38,24
1969-07-09,31.5,39,24
1969-07-10,32,40,24
1969-07-11,32.5,41,24
1969-07-12,33,41,25
1969-07-14,32,40,24
1969-07-15,32,40,24
1969-07-16,33.5,43,24
1969-07-17,31.5,41,22
1969-07-18,32.5,41,24
1969-07-19,33,41,25
1969-07-21,31.5,41,22
1969-07-22,31.5,40,23
1969-07-23,33,41,25
1969-07-24,33.5,42,25
1969-07-25,34,42,26
1969-07-26,33.5,42,25
1969-07-28,32.5,42,23
1969-07-29,29.5,36,23
1969-07-30,30.5,38,23
1969-07-31,30,38,22
1969-09-02,24,28,20
1969-09-03,25,30,20
1969-09-04,27.5,32,23
1969-09-05,27.5,33,22
1969-09-06,29.5,35,24
1969-09-08,28,35,21
1969-09-09,25.5,31,20
1969-09-10,25.5,32,19
1969-09-11,27,34,20
1969-09-12,27,34,20
1969-09-13,30.5,39,22
1969-09-17,26.5,34,19
1969-09-18,27.5,35,20
1969-09-19,27,32,22
1969-09-20,26.5,32,21
1969-09-22,26,30,22
1969-09-23,27,31,23
1969-09-24,27,33,21
1969-09-25,26.5,33,20
1969-09-26,26,31,21
1969-09-27,25,31,19
1969-09-29,23.5,30,17
1969-09-30,23,32,14
1969-10-01,22.5,31,14
1969-10-02,23,32,14
1969-10-03,25.5,31,20
1969-10-04,28,32,24
1969-10-06,27,34,20
1969-10-07,25.5,30,21
1969-10-08,23.5,28,19
1969-10-09,24,29,19
1969-10-10,25,30,20
1969-10-11,27.5,32,23
1969-10-13,26.5,35,18
1969-10-14,16,19,13
1969-10-15,16,20,12
1969-10-16,20,26,14
1969-10-18,24,29,19
1969-10-20,23.5,29,18
1969-10-21,23.5,29,18
1969-10-22,25,31,19
1969-10-23,26.5,30,23
1969-10-24,24.5,29,20
1969-10-25,21.5,24,19
1969-10-27,20.5,27,14
1969-10-28,21,29,13
1969-10-29,21,29,13
1969-10-30,16,20,12
1969-10-31,16.5,20,13
1970-01-01,5,10,0
1970-01-02,6.5,11,2
1970-01-03,8,10,6
1970-01-04,8.5,10,7
1970-01-05,8.55,9.1,8
1970-01-06,7.5,12,3
1970-01-07,3.5,7,0
1970-01-08,4,8,0
1970-01-09,5.05,6.1,4
1970-01-10,6.5,8,5
1970-01-11,9.5,13,6
1970-01-12,12.5,21,4
1970-01-13,15.5,25,6
1970-01-14,9.5,13,6
1970-01-15,9.5,14,5
1970-01-16,9.5,14,5
1970-01-17,14.5,22,7
1970-01-18,13.5,20,7
1970-01-19,12.5,20,5
1970-01-20,13,23,3
1970-01-21,14,24,4
1970-01-22,11,21,1
1970-01-23,11,17,5
1970-01-24,12.5,17,8
1970-01-25,14.5,20,9
1970-01-26,18.5,28,9
1970-01-27,20,26,14
1970-01-28,20,28,12
1970-01-29,21,30,12
1970-01-30,13.5,22,5
1970-01-31,9,17,1
1970-03-01,17,21,13
1970-03-02,19,24,14
1970-03-03,19.5,24,15
1970-03-04,22,30,14
1970-03-05,21.5,28,15
1970-03-06,21.5,28,15
1970-03-07,19.5,30,9
1970-03-08,16.5,26,7
1970-03-09,14,23,5
1970-03-10,19,29,9
1970-03-11,21,36,6
1970-03-12,17.5,28,7
1970-03-13,16,25,7
1970-03-14,14,24,4
1970-03-16,18.5,32,5
1970-03-17,21.5,28,15
1970-03-18,16.5,22,11
1970-03-19,19,30,8
1970-03-20,19,33,5
1970-03-23,16.5,26,7
1970-03-24,16,22,10
1970-03-25,16.5,22,11
1970-03-30,23.5,38,9
1970-03-31,22.5,38,7
1970-06-01,26.5,34,19
1970-06-02,26,32,20
1970-06-03,22,29,15
1970-06-04,24.5,31,18
1970-06-05,27,34,20
1970-06-06,26.5,34,19
1970-06-07,28,35,21
1970-06-08,28.5,35,22
1970-06-09,28.5,35,22
1970-06-10,26,31,21
1970-06-11,31,37,25
1970-06-12,32.5,40,25
1970-06-13,33,41,25
1970-06-15,33.5,42,25
1970-06-16,32.5,40,25
1970-06-17,26.55,30.1,23
1970-06-18,31.5,38,25
1970-06-19,29,36,22
1970-06-20,29.5,37,22
1970-06-21,28,34,22
1970-06-22,28,33,23
1970-06-23,26,30,22
1970-06-24,26.5,30,23
1970-06-25,26,31,21
1970-06-26,28,33,23
1970-06-27,26.5,31,22
1970-06-28,26.5,30,23
1970-06-29,26.5,30,23
1970-06-30,28.5,33,24
1970-07-01,27.5,33,22
1970-07-02,27,34,20
1970-07-03,29,35,23
1970-07-04,28,34,22
1970-07-05,28.5,34,23
1970-07-06,28.5,35,22
1970-07-07,30,36,24
1970-07-08,30,36,24
1970-07-09,30.5,38,23
1970-07-10,30,36,24
1970-07-11,30.5,38,23
1970-07-12,31,38,24
1970-07-13,31.5,38,25
1970-07-14,30.5,37,24
1970-07-15,31,37,25
1970-07-16,26.5,31,22
1970-07-17,20.5,26,15
1970-07-18,25.5,28,23
1970-07-19,26,30,22
1970-07-20,27,32,22
1970-07-21,28,33,23
1970-07-22,28,34,22
1970-07-23,28,33,23
1970-07-24,28.5,34,23
1970-07-25,28,34,22
1970-07-26,28.5,34,23
1970-07-27,28.5,34,23
1970-07-28,29,35,23
1970-07-29,28.5,35,22
1970-07-30,29,34,24
1970-07-31,29,35,23
1970-08-01,30.5,38,23
1970-08-02,30,37,23
1970-08-03,29.5,36,23
1970-08-04,30.5,36,25
1970-08-05,31,38,24
1970-08-06,26.55,29.1,24
1970-08-07,27,31,23
1970-08-08,29,33,25
1970-08-09,28.5,33,24
1970-08-10,29.5,34,25
1970-08-11,30,35,25
1970-08-12,31,37,25
1970-08-13,31.5,39,24
1970-08-14,30.5,37,24
1970-08-15,27,31,23
1970-08-16,27,31,23
1970-08-17,28,32,24
1970-08-18,29,34,24
1970-08-19,29.5,34,25
1970-08-20,30,35,25
1970-08-21,30,35,25
1970-08-22,29.5,36,23
1970-08-23,30.5,37,24
1970-08-24,30,37,23
1970-08-25,30,37,23
1970-08-26,30,36,24
1970-08-27,28.5,34,23
1970-08-28,26.5,33,20
1970-08-29,27,34,20
1970-08-30,27.5,34,21
1970-08-31,28,35,21
1970-10-01,20,25,15
1970-10-02,19,22,16
1970-10-03,21.5,27,16
1970-10-04,23.5,28,19
1970-10-05,24,28,20
1970-10-06,25.5,29,22
1970-10-07,26,30,22
1970-10-08,28,33,23
1970-10-09,25,34,16
1970-10-10,17.5,24,11
1970-10-11,18,24,12
1970-10-12,21.5,31,12
1970-10-13,20.5,30,11
1970-10-14,22.5,30,15
1970-10-15,21.5,27,16
