Estación: ,C19025,HIGUERAS. HIGUERAS (SMN)
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 01' 00'',Latitud:,25° 58' 00

Fecha,Promedio,Máximo,Mínimo
1983-03-01,20.75,27.5,14
1983-03-02,16.5,21,12
1983-03-03,25,31,19
1983-03-04,27,33,21
1983-03-05,24.5,32,17
1983-03-06,22.5,29,16
1983-03-07,21.5,31,12
1983-03-08,22,30,14
1983-03-09,18,23,13
1983-03-10,16.5,21,12
1983-03-11,21.5,27,16
1983-03-12,19,24,14
1983-03-13,19.25,25,13.5
1983-03-14,20.5,27,14
1983-03-15,23,30,16
1983-03-16,19.5,23,16
1983-03-17,19.5,25,14
1983-03-18,18,24,12
1983-03-19,22.5,32,13
1983-03-20,20.5,25,16
1983-03-21,13.5,16,11
1983-03-22,16,20,12
1983-03-23,21.5,29,14
1983-03-24,18.5,25,12
1983-03-25,18.5,22,15
1983-03-26,17.25,23.5,11
1983-03-27,19.75,27.5,12
1983-03-28,18,22,14
1983-03-29,22,28,16
1983-03-30,23.5,32,15
1983-03-31,24,33,15
1983-04-01,26.5,36,17
1983-04-02,20.5,25,16
1983-04-03,22.5,29,16
1983-04-04,31.5,39,24
1983-04-05,23,26,20
1983-04-06,20,25,15
1983-04-07,18,20,16
1983-04-08,17.5,21,14
1983-04-09,17.5,24,11
1983-04-10,21.5,29,14
1983-04-11,23,30,16
1983-04-12,27,36,18
1983-04-13,29.5,36,23
1983-04-14,27.5,36,19
1983-04-15,24,32,16
1983-04-16,24.5,32,17
1983-04-17,20,25,15
1983-04-18,26.75,37.5,16
1983-04-19,27,37,17
1983-04-20,25.5,35,16
1983-04-21,27.5,34,21
1983-04-22,28,37,19
1983-04-23,27.75,37.5,18
1983-04-24,25,30,20
1983-04-25,25.5,32,19
1983-04-26,24.5,30,19
1983-04-27,24.5,30,19
1983-04-28,25,31,19
1983-04-29,28.25,33.5,23
1983-04-30,30,35,25
1983-05-01,32,40,24
1983-05-02,34,43,25
1983-05-03,31,38,24
1983-05-04,24.5,30,19
1983-05-05,27.5,35,20
1983-05-06,29.25,34.5,24
1983-05-07,29.75,35.5,24
1983-05-08,29.5,33,26
1983-05-09,26.25,31.5,21
1983-05-10,27.5,32,23
1983-05-11,29.25,34.5,24
1983-05-12,29.5,34,25
1983-05-13,29.5,34,25
1983-05-14,32.5,39,26
1983-05-15,28.25,31.5,25
1983-05-16,26,31,21
1983-05-17,27,32,22
1983-05-18,29,34,24
1983-05-19,30.5,35,26
1983-05-20,33.25,40.5,26
1983-05-21,32.25,37,27.5
1983-05-22,30.5,35,26
1983-05-23,28,33,23
1983-05-24,28.75,33.5,24
1983-05-25,29,33.5,24.5
1983-05-26,23.5,24.5,22.5
1983-05-27,22.5,25,20
1983-05-28,22.5,25,20
1983-05-29,24,26,22
1983-05-30,25.75,30,21.5
1983-05-31,22.5,28,17
1983-10-01,24.5,27,22
1983-10-02,25,27,23
1983-10-03,24.5,29,20
1983-10-04,27,31,23
1983-10-05,27.5,33,22
1983-10-06,26.5,31.5,21.5
1983-10-07,27,30,24
1983-10-08,27.5,31,24
1983-10-09,24.25,27.5,21
1983-10-10,25.5,27.5,23.5
1983-10-11,23.75,30,17.5
1983-10-12,20.25,23.5,17
1983-10-13,18,23.5,12.5
1983-10-14,20,26,14
1983-10-15,22.5,27,18
1983-10-16,24,28,20
1983-10-17,24.5,28,21
1983-10-18,25.5,28.5,22.5
1983-10-19,27.25,30,24.5
1983-10-20,29,33.5,24.5
1983-10-21,20.25,24.5,16
1983-10-22,23,28.5,17.5
1983-10-23,23,29,17
1983-10-24,22.75,28.5,17
1983-10-25,21.75,26,17.5
1983-10-26,18.5,25,12
1983-10-27,18,25,11
1983-10-28,21,26,16
1983-10-29,22.25,27,17.5
1983-10-30,23.5,25,22
1983-10-31,23,26,20
1983-11-01,22.5,26,19
1983-11-02,24.25,27.5,21
1983-11-03,23.5,26.5,20.5
1983-11-04,23.75,27.5,20
1983-11-05,23.5,28,19
1983-11-06,24.25,28.5,20
1983-11-07,25.5,29.5,21.5
1983-11-08,22.25,25.5,19
1983-11-09,24.25,29,19.5
1983-11-10,16.75,22.5,11
1983-11-11,17.75,24,11.5
1983-11-12,21,32,10
1983-11-13,27.25,34.5,20
1983-11-14,26,35,17
1983-11-15,20.5,23.5,17.5
1983-11-16,15.5,23,8
1983-11-17,20,27,13
1983-11-18,22,30,14
1983-11-19,25.5,31,20
1983-11-20,20.75,31.5,10
1983-11-21,21,33,9
1983-11-22,22.25,34,10.5
1983-11-23,16.5,21,12
1983-11-24,16.25,23.5,9
1983-11-25,17,24,10
1983-11-26,21.5,31,12
1983-11-27,16,22,10
1983-11-28,13.25,20,6.5
1983-11-29,17,20,14
1983-11-30,20,25,15
1983-12-01,15,16,14
1983-12-02,17.5,21,14
1983-12-03,23,31,15
1983-12-04,21.5,29,14
1983-12-05,24,33,15
1983-12-06,18,20,16
1983-12-07,14,20,8
1983-12-08,18.25,24.5,12
1983-12-09,21,30,12
1983-12-10,24.75,32.5,17
1983-12-11,23,30,16
1983-12-12,17,25,9
1983-12-13,21.25,28.5,14
1983-12-14,15.75,24,7.5
1983-12-15,15.5,21,10
1983-12-16,17,20,14
1983-12-17,10.5,14,7
1983-12-18,10.25,10.5,10
1983-12-19,7.25,10,4.5
1983-12-20,7.5,10,5
1983-12-21,11.5,17,6
1983-12-22,8.5,14,3
1983-12-23,5.75,10,1.5
1983-12-24,5.15,10,0.3
1983-12-25,10.45,20,0.9
1983-12-26,5.25,10,0.5
1983-12-27,12.25,20,4.5
1983-12-28,15.5,25,6
1983-12-29,4.5,7,2
1983-12-30,5,10,0
1983-12-31,7,14,0
1984-01-01,14.5,20,9
1984-01-02,12,14,10
1984-01-03,10.5,12,9
1984-01-04,11.25,13.5,9
1984-01-05,15.5,23,8
1984-01-06,18.5,27,10
1984-01-07,18,23,13
1984-01-08,15.5,17,14
1984-01-09,18.5,24,13
1984-01-10,11.5,13,10
1984-01-11,9,14,4
1984-01-12,13.5,21,6
1984-01-13,10.5,15,6
1984-01-14,11,15,7
1984-01-15,9.25,11,7.5
1984-01-16,6.5,8,5
1984-01-17,7.5,9,6
1984-01-18,8.25,10,6.5
1984-01-19,5,10,0
1984-01-20,2,4,0
1984-01-21,1,2,0
1984-01-22,5.5,11,0
1984-01-23,11.5,20,3
1984-01-24,11,12,10
1984-01-25,12,13,11
1984-01-26,14,21,7
1984-01-27,15,20,10
1984-01-28,17.25,24.5,10
1984-01-29,18.75,24,13.5
1984-01-30,14,15,13
1984-01-31,10,13,7
1984-02-01,7.5,10,5
1984-02-02,15.5,22,9
1984-02-03,15.75,20.5,11
1984-02-04,15.75,21.5,10
1984-02-05,13,15,11
1984-02-06,12,14,10
1984-02-07,11.75,18.5,5
1984-02-08,16,22,10
1984-02-09,18,25,11
1984-02-10,19.5,27.5,11.5
1984-02-11,22.25,30,14.5
1984-02-12,21.5,26.5,16.5
1984-02-13,18.75,29.5,8
1984-02-14,20,28,12
1984-02-15,24.25,33.5,15
1984-02-16,22,28,16
1984-02-17,23,27,19
1984-02-18,23.25,29,17.5
1984-02-19,15.25,17.5,13
1984-02-20,9.5,13,6
1984-02-21,11.5,19,4
1984-02-22,14.5,24,5
1984-02-23,21,30.5,11.5
1984-02-24,21.25,27.5,15
1984-02-25,20,26,14
1984-02-26,23,30,16
1984-02-27,14.5,20,9
1984-02-28,12,19,5
1984-02-29,11,15,7
1984-03-01,17,24,10
1984-03-02,22.25,30.5,14
1984-03-03,20.25,26.5,14
1984-03-04,21.75,28.5,15
1984-03-05,14.5,15,14
1984-03-06,12.25,17.5,7
1984-03-07,13.25,20.5,6
1984-03-08,17.75,24,11.5
1984-03-09,17.75,23.5,12
1984-03-10,18,21,15
1984-03-11,19,22,16
1984-03-12,24.25,31,17.5
1984-03-13,23,30,16
1984-03-14,22.5,25,20
1984-03-15,24.5,30,19
1984-03-16,24.25,30.5,18
1984-03-17,25,31,19
1984-03-18,26,33.5,18.5
1984-03-19,21.25,25,17.5
1984-03-20,18,25,11
1984-03-21,19.5,25,14
1984-03-22,22.75,31.5,14
1984-03-23,25,34,16
1984-03-24,22,25.5,18.5
1984-03-25,23.75,33.5,14
1984-03-26,27,35,19
1984-03-27,30.75,37.5,24
1984-03-28,22.5,30,15
1984-03-29,18.75,22.5,15
1984-03-30,21.5,29.5,13.5
1984-03-31,23.5,30,17
1984-04-01,21.5,24.5,18.5
1984-04-02,25.5,34,17
1984-04-03,25.25,34.5,16
1984-04-04,19.5,24,15
1984-04-05,19,25,13
1984-04-06,21,26,16
1984-04-07,27.5,35,20
1984-04-08,24.25,31,17.5
1984-04-09,25,32,18
1984-04-10,28,35,21
1984-04-11,25.5,34,17
1984-04-12,28,35,21
1984-04-13,27.5,32,23
1984-04-14,23.25,25,21.5
1984-04-15,21.5,28,15
1984-04-16,22.5,28,17
1984-04-17,26,34,18
1984-04-18,24.5,31,18
1984-04-19,29.25,38.5,20
1984-04-20,31.25,41,21.5
1984-04-21,29.5,35,24
1984-04-22,25.5,34,17
1984-04-23,24,30,18
1984-04-24,24,30,18
1984-04-25,29.5,38,21
1984-04-26,32,40,24
1984-04-27,29.25,37.5,21
1984-04-28,28,35,21
1984-04-29,31.25,40.5,22
1984-04-30,30,35,25
1984-05-01,28.5,36,21
1984-05-02,31,40,22
1984-05-03,31.25,38.5,24
1984-05-04,31.5,38,25
