Estación: ,C19028,LAMPAZOS. L. DE NARANJO
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 30' 34.4'',Latitud:,27° 00' 37.4''

Fecha,Promedio,Máximo,Mínimo
1934-06-01,26.15,33.6,18.7
1934-06-02,25.85,33.1,18.6
1934-06-03,27.3,34,20.6
1934-06-04,27.65,34,21.3
1934-06-05,27.55,36.5,18.6
1934-06-06,28.75,38.3,19.2
1934-06-07,29.3,38,20.6
1934-06-08,30.25,36.8,23.7
1934-06-09,28.5,35.8,21.2
1934-06-10,28.1,35.4,20.8
1934-06-11,28.7,37.2,20.2
1934-06-12,30.7,39.4,22
1934-06-13,29.9,38.2,21.6
1934-06-14,30.3,39,21.6
1934-06-15,30.3,39.2,21.4
1934-06-16,29.8,38.4,21.2
1934-06-17,31.4,40.8,22
1934-06-18,29.9,37.8,22
1934-06-19,32.1,40.6,23.6
1934-06-20,31.45,40.2,22.7
1934-06-21,30.9,38.1,23.7
1934-06-22,30.15,37.9,22.4
1934-06-23,30.3,39,21.6
1934-06-24,29.55,36.9,22.2
1934-06-25,28.4,36.6,20.2
1934-06-26,28.9,36.2,21.6
1934-06-27,29.05,36.6,21.5
1934-06-28,29,37.2,20.8
1934-06-29,27.85,36.2,19.5
1934-06-30,27.85,35.5,20.2
1934-07-01,27.6,35.4,19.8
1934-07-02,28.8,37.2,20.4
1934-07-03,28.5,36.2,20.8
1934-07-04,28.2,36.6,19.8
1934-07-05,30,37.8,22.2
1934-07-06,30,37.8,22.2
1934-07-07,29.3,37.4,21.2
1934-07-08,29.3,37.2,21.4
1934-07-09,28.2,36.4,20
1934-07-10,28.3,35,21.6
1934-07-11,26.9,33.8,20
1934-07-12,26.1,32.6,19.6
1934-07-13,26.8,34,19.6
1934-07-14,27.8,35.2,20.4
1934-07-15,28.9,36.6,21.2
1934-07-16,29.1,37.4,20.8
1934-07-17,28.1,37.6,18.6
1934-07-18,30.4,39.6,21.2
1934-07-19,29.1,38.6,19.6
1934-07-20,28.5,37.4,19.6
1934-07-21,29.7,38,21.4
1934-07-22,29.2,37.2,21.2
1934-07-23,25.9,32.6,19.2
1934-07-24,27.8,38,17.6
1934-07-25,28.2,36.4,20
1934-07-26,25.2,33.4,17
1934-07-27,25.2,35,15.4
1934-07-28,26.35,37.5,15.2
1934-07-29,24.4,36,12.8
1934-07-30,27.4,36.8,18
1934-07-31,25.3,36.6,14
1934-08-01,24.3,36.4,12.2
1934-08-02,24.9,37.2,12.6
1934-08-03,25.4,37,13.8
1934-08-04,24.5,37,12
1934-08-05,26.9,37.4,16.4
1934-08-06,24.9,37.6,12.2
1934-08-07,24.9,37.6,12.2
1934-08-08,25.2,37.2,13.2
1934-08-09,25.4,37.2,13.6
1934-08-10,24.7,36.4,13
1934-08-11,24.9,36.6,13.2
1934-08-12,26.9,39.6,14.2
1934-08-13,26.4,39.4,13.4
1934-08-14,26.5,38,15
1934-08-15,25.9,36.8,15
1934-08-16,25.8,37.2,14.4
1934-08-17,24.2,35,13.4
1934-08-18,25.8,39.4,12.2
1934-08-19,26.7,38.2,15.2
1934-08-20,26.7,39,14.4
1934-08-21,27.6,40,15.2
1934-08-22,27.8,39.8,15.8
1934-08-23,25.7,37.2,14.2
1934-08-24,26.1,37.8,14.4
1934-08-25,26,37.8,14.2
1934-08-26,23.9,36,11.8
1934-08-27,25.6,37,14.2
1934-08-28,25.5,37.2,13.8
1934-08-29,25.5,36.6,14.4
1934-08-30,25.7,36.2,15.2
1934-08-31,24.9,36.6,13.2
1934-09-11,29.4,33.8,25
1934-09-12,28.8,35.4,22.2
1934-09-13,29.55,35.3,23.8
1934-09-14,30,35.8,24.2
1934-09-15,30.6,36.8,24.4
1934-09-16,25.3,30,20.6
1934-09-17,25.5,33.8,17.2
1934-09-18,29.6,35.8,23.4
1934-09-19,28.2,33,23.4
1934-09-20,30,36.4,23.6
1934-09-21,29.85,35.5,24.2
1934-09-22,30,35.2,24.8
1934-09-23,30.65,36.8,24.5
1934-09-24,30.9,37,24.8
1934-09-25,30.2,36.6,23.8
1934-09-26,29.75,35.6,23.9
1934-09-27,29.1,34,24.2
1934-09-28,30.4,36,24.8
1934-09-29,28.3,31.4,25.2
1934-10-01,21.8,26.2,17.4
1934-10-02,23,31,15
1934-10-03,20,25.2,14.8
1934-10-04,22.85,31.5,14.2
1934-10-05,26,35.8,16.2
1934-10-06,26.3,35.8,16.8
1934-10-07,25.5,32.4,18.6
1934-10-08,25.3,34.4,16.2
1934-10-09,25.1,34.2,16
1934-10-10,24.6,32,17.2
1934-10-11,26.1,31,21.2
1934-10-12,28.05,34.2,21.9
1934-10-13,29.2,36.6,21.8
1934-10-14,26.8,32.2,21.4
1934-10-15,28.2,34,22.4
1934-10-16,27.6,31.2,24
1934-10-17,27.35,31.2,23.5
1934-10-18,28,33.4,22.6
1934-10-19,28.35,35,21.7
1934-10-20,28.2,34.4,22
1934-10-21,28.1,34,22.2
1934-10-22,28.7,35.2,22.2
1934-10-23,28.2,34.4,22
1934-10-24,26.25,32.5,20
1934-10-25,25,31.6,18.4
1934-10-26,22.8,31.4,14.2
1934-10-27,24.1,31,17.2
1934-10-28,24.9,32,17.8
1934-10-29,24,32.6,15.4
1934-10-30,25.2,32.8,17.6
1934-10-31,25.3,32.6,18
1934-11-01,25.4,34.4,16.4
1934-11-02,27.6,34.4,20.8
1934-11-03,23.6,27,20.2
1934-11-04,20.6,31,10.2
1934-11-05,22.8,32.8,12.8
1934-11-06,23.2,30.8,15.6
1934-11-07,23,30.2,15.8
1934-11-08,24.6,30.4,18.8
1934-11-09,23,30.6,15.4
1934-11-10,23.7,30.4,17
1934-11-11,22.6,29.8,15.4
1934-11-12,21.6,28.4,14.8
1934-11-13,23,29,17
1934-11-14,23.3,30,16.6
1934-11-15,22.2,26.2,18.2
1934-11-16,21.6,28,15.2
1934-11-17,23.5,30.2,16.8
1934-11-18,23.3,29.2,17.4
1934-11-19,27.3,34.8,19.8
1934-11-20,22.2,31.2,13.2
1934-11-21,19.8,28.4,11.2
1934-11-22,15.5,21.2,9.8
1934-11-23,12,22.4,1.6
1934-11-24,15.7,25.2,6.2
1934-11-25,19.1,27,11.2
1934-11-26,14,25,3
1934-11-27,16.5,23,10
1934-11-28,13.1,23.4,2.8
1934-11-29,13.8,18,9.6
1934-11-30,8.5,16.6,0.4
1934-12-01,13.2,22.4,4
1934-12-02,16.6,24.6,8.6
1934-12-03,15.3,22.4,8.2
1934-12-04,13.1,18.2,8
1934-12-05,10.15,15.4,4.9
1934-12-06,12.3,15,9.6
1934-12-07,10.4,11.8,9
1934-12-08,9.35,12.4,6.3
1934-12-09,13.2,19.6,6.8
1934-12-10,11.9,16,7.8
1934-12-11,10.95,17,4.9
1934-12-12,12.35,20.2,4.5
1934-12-13,13.9,22.2,5.6
1934-12-14,15.95,25.4,6.5
1934-12-15,17.8,26.6,9
1934-12-16,19.6,27,12.2
1934-12-17,18.6,23,14.2
1934-12-18,20.6,27,14.2
1934-12-19,12.3,19.6,5
1934-12-20,11.9,20.8,3
1934-12-21,14.45,24.7,4.2
1934-12-22,14.8,25.2,4.4
1934-12-23,15.5,24,7
1934-12-24,15.9,22,9.8
1934-12-25,19.2,26.6,11.8
1934-12-26,18.4,22,14.8
1934-12-27,17,22.2,11.8
1934-12-28,15.2,20,10.4
1934-12-29,18.9,26.2,11.6
1934-12-30,22.6,32.8,12.4
1934-12-31,18.6,23.6,13.6
1935-01-01,10.6,11.6,9.6
1935-01-02,10.9,17,4.8
1935-01-03,12.45,20,4.9
1935-01-04,11.8,17.2,6.4
1935-01-05,15.7,23.6,7.8
1935-01-06,16.3,21.8,10.8
1935-01-07,20.4,28.4,12.4
1935-01-08,16.7,26.2,7.2
1935-01-09,18.85,28.8,8.9
1935-01-10,19.1,28.6,9.6
1935-01-11,19.7,28.8,10.6
1935-01-12,20.2,28.2,12.2
1935-01-13,17.6,22.4,12.8
1935-01-14,20.5,27.2,13.8
1935-01-15,22.4,29,15.8
1935-01-16,24.7,34.6,14.8
1935-01-17,20.6,25.8,15.4
1935-01-18,20.9,24.6,17.2
1935-01-19,20.5,27.2,13.8
1935-01-20,20.8,26.6,15
1935-01-21,4.3,7.8,0.8
1935-01-22,4.8,16.2,-6.6
1935-01-23,9.3,21.8,-3.2
1935-01-24,9.4,15.6,3.2
1935-01-25,11.45,18.6,4.3
1935-01-26,14.85,23.6,6.1
1935-01-27,15.1,23,7.2
1935-01-28,16.05,23.6,8.5
1935-01-29,16.3,21.8,10.8
1935-01-30,14.5,17.5,11.5
1935-01-31,15.5,17.2,13.8
1935-02-01,14.5,17.2,11.8
1935-02-02,13.45,17.4,9.5
1935-02-03,14.2,21.6,6.8
1935-02-04,13.8,21.2,6.4
1935-02-05,17.25,26,8.5
1935-02-06,14.7,19.8,9.6
1935-02-07,19,27.2,10.8
1935-02-08,20.05,26.6,13.5
1935-02-09,16.95,19.6,14.3
1935-02-10,12.15,12.8,11.5
1935-02-11,7.9,10,5.8
1935-02-12,9.2,12,6.4
1935-02-13,11.25,15.4,7.1
1935-02-14,16.35,24.4,8.3
1935-02-15,16.9,25,8.8
1935-02-16,12.4,15,9.8
1935-02-17,10,18.8,1.2
1935-02-18,14.1,24,4.2
1935-02-19,16.5,27.2,5.8
1935-02-20,18.55,28.4,8.7
1935-02-21,19.7,29.8,9.6
1935-02-22,18.9,27.2,10.6
