Estación: ,C19029,LA ARENA. PESQUERIA
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 56' 00'',Latitud:,25° 44' 00

Fecha,Promedio,Máximo,Mínimo
1967-03-18,25,30,20
1967-03-19,26.5,32.5,20.5
1967-03-20,24.25,31,17.5
1967-03-21,24.5,32,17
1967-03-22,24.5,34,15
1967-03-23,19,23.5,14.5
1967-03-24,20.25,25,15.5
1967-03-25,24.75,33,16.5
1967-03-26,22.75,33,12.5
1967-03-27,23.25,32.5,14
1967-03-28,24.25,33.5,15
1967-03-29,24,33,15
1967-03-30,25.5,35.5,15.5
1967-03-31,26.5,35,18
1967-04-01,25.5,35,16
1967-04-02,26.5,36.5,16.5
1967-04-03,26.25,32.5,20
1967-04-04,27,33,21
1967-04-05,27.5,34,21
1967-04-06,28.5,35,22
1967-04-07,25.5,33,18
1967-04-08,27,34,20
1967-04-09,27.25,34.5,20
1967-04-10,26,32,20
1967-04-11,26.5,32,21
1967-04-12,27.5,33,22
1967-04-13,28,34,22
1967-04-14,28.5,35,22
1967-04-15,29,35,23
1967-04-16,29,35,23
1967-04-17,30,37,23
1967-04-18,28.5,36,21
1967-04-19,28.25,37,19.5
1967-04-20,28,36,20
1967-04-21,29,39,19
1967-04-22,30.25,40,20.5
1967-04-23,30.75,41,20.5
1967-04-24,29,37.5,20.5
1967-04-25,30,38,22
1967-04-26,30,39,21
1967-04-27,23.5,26.5,20.5
1967-04-28,25.75,31,20.5
1967-04-29,26.5,32.5,20.5
1967-04-30,28.25,35,21.5
1967-05-01,29.25,38,20.5
1967-05-02,29.25,37.5,21
1967-05-03,31,41,21
1967-05-04,30.75,40,21.5
1967-05-05,30.25,39.5,21
1967-05-06,29.5,39,20
1967-05-07,28,38,18
1967-05-08,31.25,41,21.5
1967-05-09,31.5,41,22
1967-05-10,27.25,32,22.5
1967-05-11,31.5,41,22
1967-05-12,31.5,41,22
1967-05-13,30.75,39,22.5
1967-05-14,31,40,22
1967-05-15,23.25,30,16.5
1967-05-16,21.5,31,12
1967-05-17,22.5,32.5,12.5
1967-05-18,23.25,33.5,13
1967-05-19,24.25,35,13.5
1967-05-20,29.25,35.5,23
1967-05-21,29,36,22
1967-05-22,27.5,35,20
1967-05-23,23.5,34,13
1967-05-24,23.75,34,13.5
1967-05-25,25.75,34,17.5
1967-05-26,26.5,36,17
1967-05-27,28,37,19
1967-05-28,28.5,37,20
1967-05-29,24.75,29,20.5
1967-05-30,31,40,22
1967-05-31,33,43.5,22.5
1967-06-01,29.75,38.5,21
1967-06-02,27.5,34.5,20.5
1967-06-03,27,33,21
1967-06-04,27.5,33.5,21.5
1967-06-05,28,34.5,21.5
1967-06-06,28,35,21
1967-06-07,29,37,21
1967-06-08,29.25,37,21.5
1967-06-09,30.5,37,24
1967-06-10,31.75,39,24.5
1967-06-11,32.25,38.5,26
1967-06-12,32,39,25
1967-06-13,31,36,26
1967-06-14,30,36,24
1967-06-15,30.5,37,24
1967-06-16,30,37,23
1967-06-17,31,38,24
1967-06-18,30,38,22
1967-06-19,29.75,38.5,21
1967-06-20,31.25,39.5,23
1967-06-21,31,39,23
1967-06-22,30.5,40,21
1967-06-23,31.75,39,24.5
1967-06-24,32,40,24
1967-06-25,32.25,40,24.5
1967-06-26,32.75,40.5,25
1967-06-27,32.5,41,24
1967-06-28,31,40,22
1967-06-29,32.75,40,25.5
1967-06-30,32.5,40,25
1967-07-01,32.5,40,25
1967-07-02,32,40,24
1967-07-03,31.75,40.5,23
1967-07-04,31,40.5,21.5
1967-07-05,31,41,21
1967-07-06,31.5,41,22
1967-07-07,32,41,23
1967-07-08,31.75,41,22.5
1967-07-09,32.25,41.5,23
1967-07-10,31.75,40.5,23
1967-07-11,33,41,25
1967-07-12,31.5,41,22
1967-07-13,31.25,41,21.5
1967-07-14,28,35,21
1967-07-15,28.25,36.5,20
1967-07-16,28.5,36,21
1967-07-17,30,38,22
1967-07-18,31.5,39,24
1967-07-19,29.5,38,21
1967-07-20,31,38,24
1967-07-21,29.5,38,21
1967-07-22,30.5,40,21
1967-07-23,31.5,40,23
1967-07-24,32.25,41,23.5
1967-07-25,31.75,40.5,23
1967-07-26,31.75,40.5,23
1967-07-27,32,41,23
1967-07-28,31.5,41,22
1967-07-29,32.5,41,24
1967-07-30,32,41,23
1967-07-31,32,41,23
1967-08-01,32.5,41,24
1967-08-02,32.5,41,24
1967-08-03,32.5,42,23
1967-08-04,32.25,42,22.5
1967-08-05,31.5,40,23
1967-08-06,31.75,40.5,23
1967-08-07,32,41,23
1967-08-08,31.5,41,22
1967-08-09,31.5,41,22
1967-08-10,32,41,23
1967-08-11,31.5,40,23
1967-08-12,26,30,22
1967-08-13,25,30,20
1967-08-14,25.5,32,19
1967-08-15,28.25,39,17.5
1967-08-16,28.5,38,19
1967-08-17,28,36,20
1967-08-18,29.75,36.5,23
1967-08-19,26.5,32,21
1967-08-20,26,31,21
1967-08-21,27,32,22
1967-08-22,27,32,22
1967-08-23,25.5,30,21
1967-08-24,25.25,29,21.5
1967-08-25,25.5,30,21
1967-08-26,25.5,30,21
1967-08-27,24,29,19
1967-08-29,25,30,20
1967-08-30,26.5,32,21
1967-08-31,26,32,20
1967-09-01,25.5,31,20
1967-09-02,27,33,21
1967-09-03,27.5,33,22
1967-09-04,27.25,33.5,21
1967-09-05,27.25,33,21.5
1967-09-06,24.5,29,20
1967-09-07,26,33,19
1967-09-08,25.75,33,18.5
1967-09-09,26,33,19
1967-09-10,26.25,33.5,19
1967-09-11,25.5,32,19
1967-09-12,26,32,20
1967-09-13,25.5,30,21
1967-09-14,27,32,22
1967-09-15,26.5,33,20
1967-09-16,27,33,21
1967-09-17,26.75,32.5,21
1967-09-18,25.75,31.5,20
1967-09-19,25.25,31,19.5
1967-09-20,23,27,19
1967-09-21,23,25,21
1967-09-22,22.5,24,21
1967-09-23,23,26,20
1967-09-24,23,28,18
1967-09-25,24,29,19
1967-09-26,24.5,29,20
1967-09-27,23.5,26,21
1967-09-28,20,24,16
1967-09-29,18,26,10
1967-09-30,18.5,27,10
1967-10-01,19.5,27,12
1967-10-02,19.75,27.5,12
1967-10-03,20.25,28.5,12
1967-10-04,23.75,31,16.5
1967-10-05,23,29,17
1967-10-06,25.5,29,22
1967-10-07,24,26,22
1967-10-08,19.75,27,12.5
1967-10-09,19.5,28,11
1967-10-10,19.75,27,12.5
1967-10-11,22.75,27.5,18
1967-10-12,21.75,25.5,18
1967-10-13,23,28,18
1967-10-14,23.5,29,18
1967-10-15,24,29,19
1967-10-16,23,28,18
1967-10-17,20,29,11
1967-10-18,19.75,28.5,11
1967-10-19,19,28,10
1967-10-20,17.5,26,9
1967-10-21,19,27,11
1967-10-22,20,27,13
1967-10-23,21,26,16
1967-10-24,21,28,14
1967-10-25,22.5,30.5,14.5
1967-10-26,23,31.5,14.5
1967-10-27,22.5,30,15
1967-10-28,23.5,29.5,17.5
1967-10-29,22,28,16
1967-10-30,15.5,18,13
1967-10-31,14,22,6
1967-11-01,17,30,4
1967-11-02,16,29,3
1967-11-03,16.5,30,3
1967-11-04,10,17,3
1967-11-05,10.5,18,3
1967-11-06,10.5,16,5
1967-11-07,10.75,12.5,9
1967-11-08,11.25,13,9.5
1967-11-09,14.25,18.5,10
1967-11-10,16.5,23,10
1967-11-11,20.25,26.5,14
1967-11-12,18,21,15
1967-11-13,19,23,15
1967-11-14,20.75,26.5,15
1967-11-15,19,27,11
1967-11-16,18,25,11
1967-11-17,19.75,26,13.5
1967-11-18,18,22,14
1967-11-19,21,27,15
1967-11-20,22,29,15
1967-11-21,23.5,31,16
1967-11-22,23.5,32,15
1967-11-23,24.25,33,15.5
1967-11-24,24.5,33,16
1967-11-25,24.25,33,15.5
1967-11-26,23.5,33,14
1967-11-27,19.5,25,14
1967-11-28,18,21,15
1967-11-29,17.5,24,11
1967-11-30,19.25,26.5,12
1967-12-01,20,26.5,13.5
1967-12-02,16.5,23,10
1967-12-03,14,22,6
1967-12-04,14,24,4
1967-12-05,16,24,8
1967-12-06,19,25,13
1967-12-07,19,28,10
1967-12-08,19.5,26,13
1967-12-09,19,25,13
1967-12-10,18.5,29,8
1967-12-11,14.5,24,5
1967-12-12,14,26,2
1967-12-13,15.5,27,4
1967-12-14,12.5,15,10
1967-12-15,9.5,14,5
1967-12-16,7.5,10,5
1967-12-17,9,12,6
1967-12-18,9.5,14,5
1967-12-19,14.5,24,5
1967-12-20,13,21,5
1967-12-21,18.5,27,10
1967-12-25,12,25,-1
1967-12-26,9.75,17.5,2
1967-12-27,10.5,16,5
1967-12-28,14.5,25,4
1967-12-29,12.25,24,0.5
1967-12-30,13.5,23,4
1967-12-31,15.5,22,9
1968-01-01,15.5,22,9
1968-01-02,16,23,9
1968-01-03,14.5,21,8
1968-01-04,15,20,10
1968-01-05,13,17,9
1968-01-06,10.5,15,6
1968-01-07,3.75,8,-0.5
1968-01-08,3.5,6,1
1968-01-09,6,10,2
1968-01-10,6.5,9,4
1968-01-11,8.5,12,5
1968-01-12,8.75,16,1.5
1968-01-13,7.5,15,0
1968-01-14,10.5,21,0
1968-01-15,11.25,23,-0.5
1968-01-16,12,21,3
1968-01-17,17,26,8
1968-01-18,16.5,27,6
1968-01-19,9.75,12,7.5
1968-01-20,11.5,16,7
1968-01-21,14.75,23,6.5
1968-01-22,14.75,24,5.5
1968-01-23,13,21,5
1968-01-24,11.5,22,1
