Estación: ,C19030,CIENEGA DE G.. SANTIAGO
Variable: ,Precipitación (mm)
Longitud: ,100° 17' 00'',Latitud:,25° 21' 00

Fecha,Valor,NúmDatos
1970-06-14,0,CLIC
1970-06-15,0,CLIC
1970-06-16,0,CLIC
1970-06-17,0,CLIC
1970-06-18,0,CLIC
1970-06-19,0,CLIC
1970-06-20,0,CLIC
1970-06-21,0,CLIC
1970-06-22,0,CLIC
1970-06-23,1.2,CLIC
1970-06-24,13.2,CLIC
1970-06-25,17,CLIC
1970-06-26,33,CLIC
1970-06-27,7.2,CLIC
1970-06-28,0,CLIC
1970-06-29,0,CLIC
1970-06-30,0,CLIC
1970-07-01,1,CLIC
1970-07-02,0,CLIC
1970-07-03,3.5,CLIC
1970-07-04,0,CLIC
1970-07-05,0,CLIC
1970-07-06,0,CLIC
1970-07-07,0,CLIC
1970-07-08,0,CLIC
1970-07-09,0,CLIC
1970-07-10,0,CLIC
1970-07-11,0,CLIC
1970-07-12,0,CLIC
1970-07-13,0,CLIC
1970-07-14,50,CLIC
1970-07-15,22,CLIC
1970-07-16,48,CLIC
1970-07-17,1,CLIC
1970-07-18,0,CLIC
1970-07-19,0,CLIC
1970-07-20,0,CLIC
1970-07-21,0,CLIC
1970-07-22,1,CLIC
1970-07-23,0,CLIC
1970-07-24,3,CLIC
1970-07-25,1.2,CLIC
1970-07-26,2,CLIC
1970-07-27,0,CLIC
1970-07-28,0,CLIC
1970-07-29,0,CLIC
1970-07-30,0,CLIC
1970-07-31,0,CLIC
1970-08-01,0,CLIC
1970-08-02,0,CLIC
1970-08-03,0,CLIC
1970-08-04,0,CLIC
1970-08-05,20.3,CLIC
1970-08-06,6,CLIC
1970-08-07,0,CLIC
1970-08-08,0,CLIC
1970-08-09,0,CLIC
1970-08-10,0,CLIC
1970-08-11,0,CLIC
1970-08-12,1.5,CLIC
1970-08-13,3.5,CLIC
1970-08-14,6,CLIC
1970-08-15,0,CLIC
1970-08-16,0,CLIC
1970-08-17,0,CLIC
1970-08-18,0,CLIC
1970-08-19,0,CLIC
1970-08-20,0,CLIC
1970-08-21,0,CLIC
1970-08-22,0,CLIC
1970-08-23,0,CLIC
1970-08-24,0,CLIC
1970-08-25,4,CLIC
1970-08-26,0,CLIC
1970-08-27,0.5,CLIC
1970-08-28,0,CLIC
1970-08-29,0,CLIC
1970-08-30,0,CLIC
1970-08-31,6.5,CLIC
1970-09-01,0,CLIC
1970-09-02,0,CLIC
1970-09-03,0,CLIC
1970-09-04,0,CLIC
1970-09-05,0,CLIC
1970-09-06,0,CLIC
1970-09-07,0,CLIC
1970-09-08,0,CLIC
1970-09-09,0,CLIC
1970-09-10,20,CLIC
1970-09-11,16,CLIC
1970-09-12,140,CLIC
1970-09-13,0,CLIC
1970-09-14,0,CLIC
1970-09-15,0,CLIC
1970-09-16,3,CLIC
1970-09-17,2,CLIC
1970-09-18,26.5,CLIC
1970-09-19,0,CLIC
1970-09-20,0,CLIC
1970-09-21,0,CLIC
1970-09-22,0,CLIC
1970-09-23,36,CLIC
1970-09-24,53,CLIC
1970-09-25,26,CLIC
1970-09-26,14,CLIC
1970-09-27,3,CLIC
1970-09-28,9,CLIC
1970-09-29,0,CLIC
1970-09-30,0,CLIC
1970-10-01,0,CLIC
1970-10-02,0,CLIC
1970-10-03,0,CLIC
1970-10-04,8,CLIC
1970-10-05,0,CLIC
1970-10-06,0,CLIC
1970-10-07,0,CLIC
1970-10-08,0,CLIC
1970-10-09,0,CLIC
1970-10-10,0,CLIC
1970-10-11,0,CLIC
1970-10-12,0,CLIC
1970-10-13,0,CLIC
1970-10-14,1,CLIC
1970-10-15,4,CLIC
1970-10-16,2,CLIC
1970-10-17,0.5,CLIC
1970-10-18,0,CLIC
1970-10-19,0,CLIC
