Estación: ,C19031,LA CRUZ. STA. CATARINA
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 26' 17'',Latitud:,25° 27' 53

Fecha,Promedio,Máximo,Mínimo
1980-12-01,16.5,25,8
1980-12-02,17.5,27,8
1980-12-03,17.5,27,8
1980-12-04,9.05,15.1,3
1980-12-05,8.5,15,2
1980-12-06,7.5,13,2
1980-12-07,10,13,7
1980-12-08,8,15,1
1980-12-09,16.5,25,8
1980-12-10,13,21,5
1980-12-11,10.5,12,9
1980-12-12,10.5,13,8
1980-12-13,14,25,3
1980-12-14,11.5,15,8
1980-12-15,12.5,20,5
1980-12-16,15,25,5
1980-12-17,12.5,18,7
1980-12-18,17,24,10
1980-12-19,10,13,7
1980-12-20,14.5,18,11
1980-12-21,14,18,10
1980-12-22,14,16,12
1980-12-23,9.5,13,6
1980-12-24,10,16,4
1980-12-25,13,16,10
1980-12-26,10.55,13.1,8
1980-12-27,11,14,8
1980-12-28,16.5,25,8
1980-12-29,12.5,16,9
1980-12-30,12.5,14,11
1980-12-31,9.55,10.1,9
1981-01-01,7.5,15,0
1981-01-02,8.5,17,0
1981-01-03,13,17,9
1981-01-04,13.55,16.1,11
1981-01-05,15.5,20,11
1981-01-06,14,25,3
1981-01-07,12.5,20,5
1981-01-08,11.5,23,0
1981-01-09,12.5,20,5
1981-01-10,5.05,10.1,0
1981-01-11,10,15,5
1981-01-12,6.5,13,0
1981-01-13,7.5,15,0
1981-01-14,9.5,16,3
1981-01-15,8,12,4
1981-01-16,8.5,12,5
1981-01-17,12,18,6
1981-01-18,8,16,0
1981-01-19,9.5,14,5
1981-01-20,7.5,12,3
1981-01-21,7.5,10,5
1981-01-22,6,12,0
1981-01-23,7.5,13,2
1981-01-24,11.5,15,8
1981-01-25,11.5,18,5
1981-01-26,12.5,16,9
1981-01-27,10,15,5
1981-01-28,12.5,23,2
1981-01-29,16.5,21,12
1981-01-30,18.5,21,16
1981-01-31,18,20,16
1981-02-01,15,20,10
1981-02-02,12.5,17,8
1981-02-03,14.5,19,10
1981-02-04,11.5,18,5
1981-02-05,14.5,15,14
1981-02-06,14,20,8
1981-02-07,16.5,23,10
1981-02-08,16.5,21,12
1981-02-09,16.5,20,13
1981-02-10,13,14,12
1981-02-11,12,18,6
1981-02-12,14,20,8
1981-02-13,14,18,10
1981-02-14,13.55,16.1,11
1981-02-15,14.5,18,11
1981-02-16,16,20,12
1981-02-17,14.5,19,10
1981-02-18,12,20,4
1981-02-19,14.5,20,9
1981-02-20,16.5,25,8
1981-02-21,18.5,22,15
1981-02-22,17.5,20,15
1981-02-23,14,18,10
1981-02-24,14,23,5
1981-02-25,17,24,10
1981-02-26,14,19,9
1981-02-27,15.5,21,10
1981-02-28,13.5,22,5
1981-03-01,19.25,23,15.5
1981-03-02,17,24,10
1981-03-03,16,20,12
1981-03-04,16,22,10
1981-03-05,21,26.5,15.5
1981-03-06,16.5,23,10
1981-03-07,17,24,10
1981-03-08,17.25,25.5,9
1981-03-09,16.5,20,13
1981-03-10,16.5,19,14
1981-03-11,12.5,20,5
1981-03-12,16.75,23.5,10
1981-03-13,17,24,10
1981-03-14,19.5,25,14
1981-03-15,20.75,26.5,15
1981-03-16,20,25,15
1981-03-17,19.75,26.5,13
1981-03-18,18.5,25,12
1981-03-19,19.5,26,13
1981-03-20,20,25,15
1981-03-21,20.75,27,14.5
1981-03-22,19.75,26,13.5
1981-03-23,20.5,27,14
1981-03-24,18,21,15
1981-03-25,18,23,13
1981-03-26,12.75,17,8.5
1981-03-27,17,21.5,12.5
1981-03-28,18,23,13
1981-03-29,18,24,12
1981-03-30,20,27,13
1981-03-31,22,30,14
1981-04-01,19.5,21,18
1981-04-02,19,24,14
1981-04-03,19,23,15
1981-04-04,20,21,19
1981-04-05,15.5,21,10
1981-04-06,16.5,22,11
1981-04-07,20.5,23,18
1981-04-08,23.5,27,20
1981-04-09,22.05,23.1,21
1981-04-10,20.5,21,20
1981-04-11,17.55,18.1,17
1981-04-12,18.5,23,14
1981-04-13,18,21,15
1981-04-14,21.5,25,18
1981-04-15,22,24,20
1981-04-16,22.5,24,21
1981-04-17,12.5,15,10
1981-04-18,14,20,8
1981-04-19,15.5,21,10
1981-04-20,19,24,14
1981-04-21,19.5,21,18
1981-04-22,17.5,20,15
1981-04-23,18,22,14
1981-04-24,21.5,25,18
1981-04-25,20.05,21.1,19
1981-04-26,17,20,14
1981-04-27,14.05,18.1,10
1981-04-28,19,26,12
1981-04-29,19.5,25,14
1981-04-30,23.5,27,20
1981-05-01,16,20,12
1981-05-02,17,19,15
1981-05-03,18,26,10
1981-05-04,18,25,11
1981-05-05,21,26,16
1981-05-06,22.5,27,18
1981-05-07,21,28,14
1981-05-08,23,26,20
1981-05-09,20.55,21.1,20
1981-05-10,21,24,18
1981-05-11,23.5,28,19
1981-05-12,22.55,24.1,21
1981-05-13,22,25,19
1981-05-14,22.5,26,19
1981-05-15,22.05,24.1,20
1981-05-16,19.05,20.1,18
1981-05-17,17.5,22,13
1981-05-18,19,26,12
1981-05-19,25.5,35,16
1981-05-20,19,25,13
1981-05-21,12,20,4
1981-05-22,12.5,17,8
1981-05-23,12.5,15,10
1981-05-24,15,20,10
1981-05-25,13.55,15.1,12
1981-05-26,19,28,10
1981-05-27,19.5,26,13
1981-05-28,24.5,28,21
1981-05-29,23.5,27,20
1981-05-30,23,27,19
1981-05-31,22.5,27,18
1981-06-01,23.75,26.5,21
1981-06-02,24.25,28.5,20
1981-06-03,23.5,28,19
1981-06-04,17.75,21,14.5
1981-06-05,19.5,26,13
1981-06-06,19.5,24,15
1981-06-07,22.75,26,19.5
1981-06-08,23.75,29,18.5
1981-06-09,25.75,30.5,21
1981-06-10,23.25,26,20.5
1981-06-11,24,30,18
1981-06-12,22,28,16
1981-06-13,23,27.5,18.5
1981-06-14,24,28,20
1981-06-15,22.75,29.5,16
1981-06-16,22.5,27,18
1981-06-17,24,28,20
1981-06-18,23.4,28.3,18.5
1981-06-19,23,25,21
1981-06-20,23,26,20
1981-06-21,23.5,27,20
1981-06-22,21.75,25,18.5
1981-06-23,23.5,28,19
1981-06-24,22,26,18
1981-06-25,20.75,24,17.5
1981-06-26,18.75,23.5,14
1981-06-27,22,25,19
1981-06-28,22,26,18
1981-06-29,20,23,17
1981-06-30,20.75,26.5,15
1981-07-01,20.5,26,15
1981-07-02,23.5,29,18
1981-07-03,21,26,16
1981-07-04,23.25,29,17.5
1981-07-05,23.5,28,19
1981-07-06,24,28,20
1981-07-07,21.5,24,19
1981-07-08,21,26,16
1981-07-09,21.25,27.5,15
1981-07-10,22.25,26.5,18
1981-07-11,24,28.5,19.5
1981-07-12,23.25,28.5,18
1981-07-13,24.5,29,20
1981-07-14,24.75,28,21.5
1981-07-15,24.75,29.5,20
1981-07-16,22,29,15
1981-07-17,24.25,30,18.5
1981-07-18,22.5,31,14
1981-07-19,23.5,29,18
1981-07-20,25.5,31,20
1981-07-21,24.25,30,18.5
1981-07-22,25.5,30.5,20.5
1981-07-23,25.5,31,20
1981-07-24,23.75,27,20.5
1981-07-25,24.75,30.5,19
1981-07-26,24.75,31,18.5
1981-07-27,25.25,30.5,20
1981-07-28,23.75,28,19.5
1981-07-29,19.75,29.5,10
1981-07-30,25,30,20
1981-07-31,24.5,31,18
1981-08-01,19.5,23,16
1981-08-02,22,31,13
1981-08-03,21,26,16
1981-08-04,19.5,28.5,10.5
1981-08-05,21,28,14
1981-08-06,21,26,16
1981-08-07,21.75,28.5,15
1981-08-08,20,27,13
1981-08-09,20.75,29.5,12
1981-08-10,18.5,23,14
1981-08-11,19.5,26,13
1981-08-12,19.25,26.5,12
1981-08-13,22.25,28,16.5
1981-08-14,20.5,26,15
1981-08-15,23.25,31.5,15
1981-08-16,23,29,17
1981-08-17,23.75,29.5,18
1981-08-18,24,31,17
1981-08-19,21,27,15
1981-08-20,19.5,26,13
1981-08-21,20.25,28.5,12
1981-08-22,22.5,30,15
1981-08-23,23,29,17
1981-08-24,19.75,28.5,11
1981-08-25,20,27,13
1981-08-26,19.75,29.5,10
1981-08-27,21,27,15
1981-08-28,18,26,10
1981-08-29,20.25,27.5,13
1981-08-30,21,28,14
1981-08-31,19.25,23.5,15
1981-09-01,21,27,15
1981-09-02,16.5,21,12
1981-09-03,19,21,17
1981-09-04,18,24,12
1981-09-05,15.5,21,10
1981-09-06,18.5,23,14
1981-09-07,17,24,10
1981-09-08,19,24,14
1981-09-09,22,28,16
1981-09-10,19,26,12
1981-09-11,18.5,27,10
1981-09-12,21,28,14
1981-09-13,19,23,15
1981-09-14,18,23,13
1981-09-15,15,20,10
1981-09-16,20,28,12
1981-09-17,21.5,27,16
1981-09-18,19.5,24,15
1981-09-19,17,21,13
1981-09-20,20.5,27,14
1981-09-21,16.5,21,12
1981-09-22,19,23,15
1981-09-23,20.5,31,10
1981-09-24,18.5,24,13
1981-09-25,16.05,18.1,14
1981-09-26,22.5,29,16
1981-09-27,18.55,20.1,17
1981-09-28,17,21,13
1981-09-29,14.5,19,10
1981-09-30,16.5,19,14
1981-10-01,20.55,21.1,20
1981-10-02,18,21,15
1981-10-03,14.05,18.1,10
1981-10-04,15,19,11
1981-10-05,18,24,12
1981-10-06,18,22,14
1981-10-07,22.25,26,18.5
1981-10-08,20.5,23,18
1981-10-09,14.5,18,11
1981-10-10,18,22,14
1981-10-11,22,29,15
1981-10-12,19.5,24,15
