Estación: ,C19032,LA CARBONERA. GALEANA
Variable: ,Evaporación (mm)
Longitud: ,100° 47' 12.4'',Latitud:,24° 48' 57.2''

Fecha,Valor,NúmDatos
1981-11-01,2.8,CLIC
1981-11-02,2.1,CLIC
1981-11-03,1.9,CLIC
1981-11-04,3.1,CLIC
1981-11-05,3.6,CLIC
1981-11-06,3.9,CLIC
1981-11-07,3.7,CLIC
1981-11-08,4.4,CLIC
1981-11-09,2.7,CLIC
1981-11-10,2.2,CLIC
1981-11-11,3.4,CLIC
1981-11-12,3.9,CLIC
1981-11-13,2.6,CLIC
1981-11-14,4.5,CLIC
1981-11-15,4.9,CLIC
1981-11-16,3.8,CLIC
1981-11-17,2.8,CLIC
1981-11-18,5.6,CLIC
1981-11-19,4.2,CLIC
1981-11-20,3.9,CLIC
1981-11-21,2.4,CLIC
1981-11-22,5.4,CLIC
1981-11-23,3.6,CLIC
1981-11-24,4.9,CLIC
1981-11-25,3,CLIC
1981-11-26,5.8,CLIC
1981-11-27,4.1,CLIC
1981-11-28,4.3,CLIC
1981-11-29,3.8,CLIC
1981-11-30,4.6,CLIC
1981-12-01,5.2,CLIC
1981-12-02,2.3,CLIC
1981-12-03,3.4,CLIC
1981-12-04,2.3,CLIC
1981-12-05,2.5,CLIC
1981-12-06,2.2,CLIC
1981-12-07,1.1,CLIC
1981-12-08,3.5,CLIC
1981-12-09,1.5,CLIC
1981-12-10,2.5,CLIC
1981-12-11,3.2,CLIC
1981-12-12,3.5,CLIC
1981-12-13,3,CLIC
1981-12-14,4.8,CLIC
1981-12-15,2.2,CLIC
1981-12-16,4.1,CLIC
1981-12-17,2,CLIC
1981-12-18,2.5,CLIC
1981-12-19,1.5,CLIC
1981-12-20,3.1,CLIC
1981-12-21,4.2,CLIC
1981-12-22,6.1,CLIC
1981-12-23,3.5,CLIC
1981-12-24,2.9,CLIC
1981-12-25,3.2,CLIC
1981-12-26,4.2,CLIC
1981-12-27,2.9,CLIC
1981-12-28,5.7,CLIC
1981-12-29,3.6,CLIC
1981-12-30,2.9,CLIC
1981-12-31,3.1,CLIC
1982-01-01,2,CLIC
1982-01-02,4,CLIC
1982-01-03,4.4,CLIC
1982-01-04,3.6,CLIC
1982-01-05,2.7,CLIC
1982-01-06,3.6,CLIC
