Estación: ,C19034,LINARES. LINARES (SMN)
Variable: ,Evaporación (mm)
Longitud: ,99° 34' 46'',Latitud:,24° 52' 34

Fecha,Valor,NúmDatos
1929-07-01,14.1,CLIC
1929-07-02,11.9,CLIC
1929-07-03,9.1,CLIC
1929-07-04,6.1,CLIC
1929-07-05,9,CLIC
1929-07-06,8.6,CLIC
1929-07-07,8,CLIC
1929-07-08,10,CLIC
1929-07-09,9.3,CLIC
1929-07-10,9.9,CLIC
1929-07-11,5.4,CLIC
1929-07-12,6.1,CLIC
1929-07-13,11.5,CLIC
1929-07-14,5.5,CLIC
1929-07-15,7.3,CLIC
1929-07-16,6.5,CLIC
1929-07-17,11,CLIC
1929-07-18,10.5,CLIC
1929-07-19,2.2,CLIC
1929-07-20,3.2,CLIC
1929-07-21,1.1,CLIC
1929-07-22,5.4,CLIC
1929-07-26,7.9,CLIC
1929-07-27,6.4,CLIC
1929-07-28,5.4,CLIC
1929-07-29,9.3,CLIC
1929-07-30,8.4,CLIC
1929-07-31,4.2,CLIC
1929-08-02,4.1,CLIC
1929-08-03,8.1,CLIC
1929-08-04,10.7,CLIC
1929-08-05,5.9,CLIC
1929-08-06,4,CLIC
1929-08-07,2.3,CLIC
1929-08-08,8.9,CLIC
1929-08-09,8.8,CLIC
1929-08-10,9.7,CLIC
1929-08-11,10.9,CLIC
1929-08-12,8.8,CLIC
1929-08-13,9.8,CLIC
1929-08-14,10.1,CLIC
1929-08-15,11.6,CLIC
1929-08-16,9.6,CLIC
1929-08-17,9,CLIC
1929-08-18,9,CLIC
1929-08-19,7.1,CLIC
1929-08-20,6.4,CLIC
1929-08-21,9.9,CLIC
1929-08-22,7.3,CLIC
1929-08-23,5.9,CLIC
1929-08-24,7.6,CLIC
1929-08-26,5.3,CLIC
1929-08-27,6.8,CLIC
1929-08-28,5.5,CLIC
1929-08-29,7.1,CLIC
1929-08-30,6.3,CLIC
1929-08-31,6.3,CLIC
1929-09-02,5.5,CLIC
1929-09-03,7.5,CLIC
1929-09-04,7.7,CLIC
1929-09-05,7.8,CLIC
1929-09-06,7.3,CLIC
1929-09-07,8,CLIC
1929-09-08,9.1,CLIC
1929-09-09,8.1,CLIC
1929-09-10,7.9,CLIC
1929-09-11,5.1,CLIC
1929-09-12,1.2,CLIC
1929-09-13,5.7,CLIC
1929-09-14,7.4,CLIC
1929-09-15,3.5,CLIC
1929-09-16,6.3,CLIC
1929-09-17,1.3,CLIC
1929-09-18,3.3,CLIC
1929-09-19,2.8,CLIC
1929-09-20,2,CLIC
1929-09-21,2.7,CLIC
1929-09-22,4.3,CLIC
1929-09-23,8.5,CLIC
1929-09-24,3.4,CLIC
1929-09-25,4,CLIC
1929-09-26,4.4,CLIC
1929-09-27,7.7,CLIC
1929-09-28,6.2,CLIC
1929-09-29,7,CLIC
1929-09-30,6.5,CLIC
1929-10-02,6.5,CLIC
1929-10-03,5.1,CLIC
1929-10-04,7.5,CLIC
1929-10-05,7.3,CLIC
1929-10-06,6.2,CLIC
1929-10-07,6.1,CLIC
1929-10-08,6,CLIC
1929-10-09,6.1,CLIC
1929-10-10,6.1,CLIC
1929-10-11,6.3,CLIC
1929-10-12,5.2,CLIC
1929-10-13,3.6,CLIC
1929-10-14,5,CLIC
1929-10-15,5,CLIC
1929-10-16,3.6,CLIC
1929-10-17,2.2,CLIC
1929-10-18,5.3,CLIC
1929-10-20,7.2,CLIC
1929-10-21,6,CLIC
1929-10-22,6.6,CLIC
1929-10-23,4.9,CLIC
1929-10-24,2.1,CLIC
1929-10-25,2.7,CLIC
1929-10-26,1,CLIC
1929-10-28,1.2,CLIC
1929-10-29,3.1,CLIC
1929-10-30,5.8,CLIC
1929-10-31,5.2,CLIC
1929-11-02,5.1,CLIC
1929-11-03,2.7,CLIC
1929-11-04,2.1,CLIC
1929-11-05,1.6,CLIC
1929-11-06,3.5,CLIC
1929-11-07,1.5,CLIC
1929-11-08,3.5,CLIC
1929-11-09,4.5,CLIC
1929-11-10,2.3,CLIC
1929-11-11,3.5,CLIC
1929-11-12,3.9,CLIC
1929-11-13,5.5,CLIC
1929-11-14,6.1,CLIC
1929-11-15,3.3,CLIC
1929-11-16,2.7,CLIC
1929-11-17,3.8,CLIC
1929-11-18,3.8,CLIC
1929-11-19,4.9,CLIC
1929-11-20,4.3,CLIC
1929-11-21,3.2,CLIC
1929-11-22,0.2,CLIC
1929-11-23,7.6,CLIC
1929-11-24,0.2,CLIC
1929-11-25,0.3,CLIC
1929-11-26,3.7,CLIC
1929-11-27,1.1,CLIC
1929-11-28,3.1,CLIC
1929-11-29,2.7,CLIC
1929-11-30,2.6,CLIC
1929-12-02,4.1,CLIC
1929-12-03,2.9,CLIC
1929-12-04,1.9,CLIC
1929-12-05,2.3,CLIC
1929-12-06,1.5,CLIC
1929-12-07,8.9,CLIC
1929-12-08,3.4,CLIC
1929-12-09,0.9,CLIC
1929-12-10,2.8,CLIC
1929-12-11,1.1,CLIC
1929-12-12,3.9,CLIC
1929-12-13,2.7,CLIC
1929-12-14,3.1,CLIC
1929-12-15,0.6,CLIC
1929-12-16,0.8,CLIC
1929-12-17,2,CLIC
1929-12-18,7.1,CLIC
1929-12-19,0.4,CLIC
1929-12-20,1.5,CLIC
1929-12-21,1,CLIC
1929-12-22,0.8,CLIC
1929-12-23,3.7,CLIC
1929-12-24,2.1,CLIC
1929-12-25,4.6,CLIC
1929-12-26,1,CLIC
1929-12-27,0.7,CLIC
1929-12-28,0.9,CLIC
1929-12-29,0.7,CLIC
1929-12-30,3.4,CLIC
1929-12-31,2.7,CLIC
1930-01-02,3.7,CLIC
1930-01-03,2.1,CLIC
1930-01-04,2.5,CLIC
1930-01-05,2,CLIC
1930-01-06,2.2,CLIC
1930-01-07,4,CLIC
1930-01-08,3.7,CLIC
1930-01-09,4.5,CLIC
1930-01-10,2.3,CLIC
1930-01-11,1.2,CLIC
1930-01-12,1.5,CLIC
1930-01-13,0.4,CLIC
1930-01-14,2.6,CLIC
1930-01-15,2.3,CLIC
1930-01-16,4,CLIC
1930-01-17,3.4,CLIC
1930-01-18,2.5,CLIC
1930-01-19,1.5,CLIC
1930-01-20,4,CLIC
1930-01-21,2.7,CLIC
1930-01-22,2.1,CLIC
1930-01-23,4.7,CLIC
1930-01-24,3.3,CLIC
1930-01-25,2.5,CLIC
1930-01-26,3,CLIC
1930-01-27,3.4,CLIC
1930-01-28,4.3,CLIC
1930-01-29,3.6,CLIC
1930-01-30,1.1,CLIC
1930-01-31,2.3,CLIC
1930-02-01,2.9,CLIC
1930-02-02,2.7,CLIC
1930-02-03,3,CLIC
1930-02-04,4,CLIC
1930-02-05,4.4,CLIC
1930-02-06,4.2,CLIC
1930-02-07,5.3,CLIC
1930-02-08,4.3,CLIC
1930-02-09,3.8,CLIC
1930-02-10,3.1,CLIC
1930-02-11,2.1,CLIC
1930-02-12,2.2,CLIC
1930-02-13,5.1,CLIC
1930-02-14,5.8,CLIC
1930-02-15,3.7,CLIC
1930-02-16,2.9,CLIC
1930-02-17,3.9,CLIC
1930-02-18,4.3,CLIC
1930-02-19,5.3,CLIC
1930-02-20,5.4,CLIC
1930-02-21,5.7,CLIC
1930-02-22,5.1,CLIC
1930-02-23,4.3,CLIC
1930-02-24,6.9,CLIC
1930-02-25,8,CLIC
1930-02-26,4.7,CLIC
1930-02-27,7.6,CLIC
1930-02-28,6,CLIC
1930-03-02,11.9,CLIC
1930-03-03,2.6,CLIC
1930-03-04,4.3,CLIC
1930-03-05,3.6,CLIC
1930-03-06,9.3,CLIC
1930-03-07,8.7,CLIC
1930-03-08,6.1,CLIC
1930-03-09,4.7,CLIC
1930-03-10,8,CLIC
1930-03-11,4,CLIC
1930-03-12,4.6,CLIC
1930-03-13,3.4,CLIC
1930-03-14,1.9,CLIC
1930-03-15,3.2,CLIC
1930-03-16,1.9,CLIC
1930-03-17,5.7,CLIC
1930-03-18,4.6,CLIC
1930-03-19,10.2,CLIC
1930-03-20,6,CLIC
1930-03-21,7.2,CLIC
1930-03-22,2.8,CLIC
1930-03-23,2.7,CLIC
1930-03-24,11.2,CLIC
1930-03-25,7.5,CLIC
1930-03-26,6.3,CLIC
1930-03-27,1.7,CLIC
1930-03-28,3.5,CLIC
1930-03-29,3.3,CLIC
1930-03-30,1.4,CLIC
1930-03-31,3.6,CLIC
1930-04-01,4.4,CLIC
1930-04-02,8.7,CLIC
1930-04-03,9.6,CLIC
1930-04-04,5.6,CLIC
1930-04-05,6.3,CLIC
1930-04-06,9.1,CLIC
1930-04-07,9.4,CLIC
1930-04-08,7.6,CLIC
1930-04-09,9.8,CLIC
1930-04-10,9.9,CLIC
1930-04-11,9.6,CLIC
1930-04-12,7.3,CLIC
1930-04-13,4.5,CLIC
1930-04-14,7.2,CLIC
1930-04-15,7.2,CLIC
1930-04-16,4.5,CLIC
1930-04-17,8.1,CLIC
1930-04-18,4.3,CLIC
1930-04-19,0.1,CLIC
1930-04-20,8,CLIC
1930-04-21,7.8,CLIC
1930-04-22,5.6,CLIC
1930-04-23,4.5,CLIC
1930-04-24,4.1,CLIC
1930-04-25,6.1,CLIC
1930-04-26,3.9,CLIC
1930-04-27,4.3,CLIC
1930-04-28,4.5,CLIC
1930-04-29,2,CLIC
1930-04-30,3.7,CLIC
1930-05-01,7.8,CLIC
1930-05-02,7.5,CLIC
1930-05-03,7.6,CLIC
1930-05-04,7.7,CLIC
1930-05-05,7.7,CLIC
1930-05-06,9.4,CLIC
1930-05-07,6,CLIC
1930-05-08,7.5,CLIC
1930-05-09,5.1,CLIC
1930-05-10,5.4,CLIC
1930-05-11,4.9,CLIC
1930-05-12,0.3,CLIC
1930-05-13,5,CLIC
1930-05-14,3.4,CLIC
1930-05-15,8.5,CLIC
1930-05-16,5.5,CLIC
1930-05-17,7.6,CLIC
1930-05-18,5.5,CLIC
1930-05-19,9.2,CLIC
1930-05-20,4.5,CLIC
1930-05-21,7.1,CLIC
1930-05-22,8.3,CLIC
1930-05-23,8.3,CLIC
1930-05-24,3.1,CLIC
1930-05-25,2.6,CLIC
1930-05-26,2.3,CLIC
1930-05-27,3,CLIC
1930-05-28,1.4,CLIC
1930-05-29,4.8,CLIC
1930-05-30,2.7,CLIC
1930-05-31,2.3,CLIC
1930-06-01,1.5,CLIC
1930-06-02,3.6,CLIC
1930-06-03,2,CLIC
1930-06-04,6.7,CLIC
1930-06-05,8.8,CLIC
1930-06-06,7.9,CLIC
1930-06-07,6.2,CLIC
1930-06-08,6.3,CLIC
1930-06-09,3.1,CLIC
1930-06-10,0.9,CLIC
1930-06-11,11.4,CLIC
1930-06-12,1.1,CLIC
1930-06-13,5.4,CLIC
1930-06-14,5.6,CLIC
1930-06-15,5.1,CLIC
1930-06-16,4.9,CLIC
1930-06-17,3.7,CLIC
1930-06-18,7.1,CLIC
1930-06-19,7.5,CLIC
1930-06-20,7.9,CLIC
1930-06-21,7.6,CLIC
1930-06-22,4.9,CLIC
1930-06-23,4.8,CLIC
1930-06-24,7.2,CLIC
1930-06-25,9.7,CLIC
1930-06-26,7.5,CLIC
1930-06-27,8.1,CLIC
1930-06-28,8.8,CLIC
1930-06-29,8.3,CLIC
1930-06-30,9.1,CLIC
1930-07-01,8.8,CLIC
1930-07-02,10,CLIC
1930-07-03,7.7,CLIC
1930-07-04,9.1,CLIC
1930-07-05,8.4,CLIC
1930-07-06,9.8,CLIC
1930-07-07,6.4,CLIC
1930-07-08,5.7,CLIC
1930-07-09,4.2,CLIC
1930-07-10,7,CLIC
1930-07-11,6.4,CLIC
1930-07-12,7,CLIC
1930-07-13,6.2,CLIC
1930-07-14,5.7,CLIC
1930-07-15,7,CLIC
1930-07-16,5.9,CLIC
