Estación: ,C19038,LAS COMITAS.STA.CATARINA
Variable: ,Evaporación (mm)
Longitud: ,100° 20' 00'',Latitud:,25° 32' 00

Fecha,Valor,NúmDatos
1950-09-01,9,CLIC
1950-09-02,5,CLIC
1950-09-03,7,CLIC
1950-09-04,7,CLIC
1950-09-05,6,CLIC
1950-09-06,6,CLIC
1950-09-07,7,CLIC
1950-09-08,7,CLIC
1950-09-09,8,CLIC
1950-09-10,9,CLIC
1950-09-11,9,CLIC
1950-09-12,8,CLIC
1950-09-13,7,CLIC
1950-09-14,8,CLIC
1950-09-15,9,CLIC
1950-09-16,8,CLIC
1950-09-17,6,CLIC
1950-09-18,9,CLIC
1950-09-19,9,CLIC
1950-09-20,9,CLIC
1950-09-21,9,CLIC
1950-09-22,7,CLIC
1950-09-23,15,CLIC
1950-09-24,8,CLIC
1950-09-25,12,CLIC
1950-09-26,4,CLIC
1950-09-27,3,CLIC
1950-09-28,7,CLIC
1950-09-29,7,CLIC
1950-09-30,7,CLIC
1950-11-01,3.6,CLIC
1950-11-02,5.4,CLIC
1950-11-03,4.2,CLIC
1950-11-04,5,CLIC
1950-11-05,4.5,CLIC
1950-11-06,3.9,CLIC
1950-11-07,6.2,CLIC
1950-11-08,5.3,CLIC
1950-11-09,2.7,CLIC
1950-11-10,2.2,CLIC
1950-11-11,3.7,CLIC
1950-11-12,1.2,CLIC
1950-11-13,5.4,CLIC
1950-11-14,2.1,CLIC
1950-11-15,2.8,CLIC
1950-11-16,3.1,CLIC
1950-11-17,2,CLIC
1950-11-18,2,CLIC
1950-11-19,8.4,CLIC
1950-11-20,4.6,CLIC
1950-11-21,2.7,CLIC
1950-11-22,4.2,CLIC
1950-11-23,1.3,CLIC
1950-11-24,1.4,CLIC
1950-11-25,1.7,CLIC
1950-11-26,3.3,CLIC
1950-11-27,5.8,CLIC
1950-11-28,2,CLIC
1950-11-29,3.5,CLIC
1950-11-30,4.2,CLIC
1950-12-01,3.8,CLIC
1950-12-02,3.1,CLIC
1950-12-03,5.4,CLIC
1950-12-04,3.6,CLIC
1950-12-05,3.4,CLIC
1950-12-06,2.1,CLIC
1950-12-07,4.4,CLIC
1950-12-08,3.6,CLIC
1950-12-09,7.4,CLIC
1950-12-10,1.1,CLIC
1950-12-11,2,CLIC
1950-12-12,3.4,CLIC
1950-12-13,5.2,CLIC
1950-12-14,3.7,CLIC
1950-12-15,3.2,CLIC
1950-12-16,3.6,CLIC
1950-12-17,2.3,CLIC
1950-12-18,3.5,CLIC
1950-12-19,2.5,CLIC
1950-12-20,4.7,CLIC
1950-12-21,1,CLIC
1950-12-22,1.5,CLIC
1950-12-23,1.2,CLIC
1950-12-24,3.4,CLIC
1950-12-25,2.3,CLIC
1950-12-26,5.2,CLIC
1950-12-27,1.6,CLIC
1950-12-28,2,CLIC
1950-12-29,1.8,CLIC
1950-12-30,1.8,CLIC
1950-12-31,3.4,CLIC
1951-01-01,4.7,CLIC
1951-01-02,3.6,CLIC
1951-01-03,5.9,CLIC
1951-01-04,1.4,CLIC
1951-01-05,7.1,CLIC
1951-01-06,3.3,CLIC
1951-01-07,5.2,CLIC
1951-01-08,3.2,CLIC
1951-01-09,1,CLIC
1951-01-10,2.8,CLIC
1951-01-11,1.7,CLIC
1951-01-12,7,CLIC
1951-01-13,2.6,CLIC
1951-01-14,6.4,CLIC
1951-01-15,1.8,CLIC
1951-01-16,5.4,CLIC
1951-01-17,4.8,CLIC
1951-01-18,4.7,CLIC
1951-01-19,6.4,CLIC
1951-01-20,3.2,CLIC
1951-01-21,1.2,CLIC
1951-01-22,3.6,CLIC
1951-01-23,1.2,CLIC
1951-01-24,2,CLIC
1951-01-25,4.7,CLIC
1951-01-26,3.3,CLIC
1951-01-27,3.5,CLIC
1951-01-28,4.5,CLIC
1951-01-30,2,CLIC
1951-01-31,1.9,CLIC
1951-02-01,5,CLIC
1951-02-02,5.9,CLIC
1951-02-03,4,CLIC
1951-02-04,4.8,CLIC
1951-02-05,5.7,CLIC
1951-02-06,4.7,CLIC
1951-02-07,1.4,CLIC
1951-02-08,2,CLIC
1951-02-09,5.5,CLIC
1951-02-10,4,CLIC
1951-02-11,8.5,CLIC
1951-02-12,1.2,CLIC
1951-02-13,3.8,CLIC
1951-02-14,2.5,CLIC
1951-02-15,6.5,CLIC
1951-02-16,4,CLIC
1951-02-17,5.9,CLIC
1951-02-18,7.2,CLIC
1951-02-19,1,CLIC
1951-02-20,1,CLIC
1951-02-21,3,CLIC
1951-02-22,4.4,CLIC
1951-02-23,6.6,CLIC
1951-02-24,4.7,CLIC
1951-02-25,4.7,CLIC
1951-02-26,6.5,CLIC
1951-02-27,8,CLIC
1951-02-28,4.3,CLIC
1951-03-01,7.3,CLIC
1951-03-02,7.7,CLIC
1951-03-03,4.8,CLIC
1951-03-04,4.9,CLIC
1951-03-05,7.1,CLIC
1951-03-06,6.3,CLIC
1951-03-07,6,CLIC
1951-03-08,6,CLIC
1951-03-09,5,CLIC
1951-03-10,5.4,CLIC
1951-03-11,2.8,CLIC
1951-03-12,3.8,CLIC
1951-03-13,2.6,CLIC
1951-03-14,2.4,CLIC
1951-03-15,4,CLIC
1951-03-16,6,CLIC
1951-03-17,5.4,CLIC
1951-03-18,3,CLIC
1951-03-19,1.7,CLIC
1951-03-20,7.3,CLIC
1951-03-21,6.5,CLIC
1951-03-22,8.9,CLIC
1951-03-23,3.7,CLIC
1951-03-24,1.8,CLIC
1951-03-25,2.8,CLIC
1951-03-26,5.7,CLIC
1951-03-27,8.4,CLIC
1951-03-28,7.4,CLIC
1951-03-29,5,CLIC
1951-03-30,9.9,CLIC
1951-03-31,4.9,CLIC
1951-04-01,5.2,CLIC
1951-04-02,5.8,CLIC
1951-04-03,5.4,CLIC
1951-04-04,5.7,CLIC
1951-04-05,7.8,CLIC
1951-04-06,2,CLIC
1951-04-07,6,CLIC
1951-04-08,4,CLIC
1951-04-09,10,CLIC
1951-04-10,11,CLIC
1951-04-11,4,CLIC
1951-04-12,7.3,CLIC
1951-04-13,9.8,CLIC
1951-04-14,9,CLIC
1951-04-15,3.6,CLIC
1951-04-16,7.4,CLIC
1951-04-17,8.4,CLIC
1951-04-18,11.1,CLIC
1951-04-19,11.1,CLIC
1951-04-20,5,CLIC
1951-04-21,6,CLIC
1951-04-22,10.6,CLIC
1951-04-23,8.2,CLIC
1951-04-24,5.1,CLIC
1951-04-25,6.1,CLIC
1951-04-26,5.6,CLIC
1951-04-27,5.9,CLIC
1951-04-28,6,CLIC
1951-04-29,5,CLIC
1951-04-30,6.3,CLIC
1951-05-01,11.1,CLIC
1951-05-02,0.6,CLIC
1951-05-03,8,CLIC
1951-05-04,10.8,CLIC
1951-05-05,4,CLIC
1951-05-06,2,CLIC
1951-05-07,8.3,CLIC
1951-05-08,7.9,CLIC
1951-05-09,7.9,CLIC
1951-05-10,3.6,CLIC
1951-05-11,1.8,CLIC
1951-05-12,8.8,CLIC
1951-05-13,3.7,CLIC
1951-05-14,5.4,CLIC
1951-05-15,6,CLIC
1951-05-16,6.2,CLIC
1951-05-17,8.6,CLIC
